date,PRC,is_prediction
2012/01/03,36.48,True
2012/01/04,36.19,True
2012/01/05,37.0,True
2012/01/06,37.4,True
2012/01/09,38.38,True
2012/01/10,39.1,True
2012/01/11,38.92,True
2012/01/12,39.52,True
2012/01/13,39.06,True
2012/01/17,39.99,True
2012/01/18,41.27,True
2012/01/19,41.85,True
2012/01/20,41.0,True
2012/01/23,41.0,True
2012/01/24,42.6,True
2012/01/25,44.05,True
2012/01/26,42.66,True
2012/01/27,42.68,True
2012/01/30,43.16,True
2012/01/31,42.47,True
2012/02/01,44.19,True
2012/02/02,43.72,True
2012/02/03,45.28,True
2012/02/06,44.66,True
2012/02/07,44.6,True
2012/02/08,44.97,True
2012/02/09,45.09,True
2012/02/10,44.14,True
2012/02/13,43.84,True
2012/02/14,43.78,True
2012/02/15,43.64,True
2012/02/16,43.83,True
2012/02/17,43.14,True
2012/02/21,42.61,True
2012/02/22,42.72,True
2012/02/23,43.41,True
2012/02/24,43.02,True
2012/02/27,43.35,True
2012/02/28,43.63,True
2012/02/29,43.62,True
2012/03/01,44.16,True
2012/03/02,43.72,True
2012/03/05,42.78,True
2012/03/06,42.28,True
2012/03/07,43.46,True
2012/03/08,44.28,True
2012/03/09,44.55,True
2012/03/12,43.62,True
2012/03/13,45.11,True
2012/03/14,44.97,True
2012/03/15,45.86,True
2012/03/16,45.62,True
2012/03/19,45.36,True
2012/03/20,44.83,True
2012/03/21,44.72,True
2012/03/22,43.71,True
2012/03/23,44.3,True
2012/03/26,45.05,True
2012/03/27,45.67,True
2012/03/28,44.59,True
2012/03/29,44.46,True
2012/03/30,44.51,True
2012/04/02,44.87,True
2012/04/03,44.83,True
2012/04/04,43.74,True
2012/04/05,44.77,True
2012/04/09,43.55,True
2012/04/10,42.3,True
2012/04/11,42.47,True
2012/04/12,43.53,True
2012/04/13,42.24,True
2012/04/16,41.99,True
2012/04/17,42.65,True
2012/04/18,42.32,True
2012/04/19,41.92,True
2012/04/20,42.1,True
2012/04/23,41.27,True
2012/04/24,39.8,True
2012/04/25,41.18,True
2012/04/26,41.99,True
2012/04/27,42.56,True
2012/04/30,42.18,True
2012/05/01,42.97,True
2012/05/02,43.04,True
2012/05/03,42.21,True
2012/05/04,41.01,True
2012/05/07,40.86,True
2012/05/08,40.27,True
2012/05/09,39.93,True
2012/05/10,39.74,True
2012/05/11,39.45,True
2012/05/14,38.9,True
2012/05/15,40.51,True
2012/05/16,39.76,True
2012/05/17,39.63,True
2012/05/18,38.73,True
2012/05/21,39.99,True
2012/05/22,40.49,True
2012/05/23,40.77,True
2012/05/24,41.02,True
2012/05/25,41.01,True
2012/05/29,42.18,True
2012/05/30,41.35,True
2012/05/31,40.66,True
2012/06/01,38.22,True
2012/06/04,37.84,True
2012/06/05,38.29,True
2012/06/06,39.77,True
2012/06/07,39.96,True
2012/06/08,39.6,True
2012/06/11,38.98,True
2012/06/12,39.47,True
2012/06/13,39.0,True
2012/06/14,39.35,True
2012/06/15,40.01,True
2012/06/18,40.15,True
2012/06/19,41.15,True
2012/06/20,40.64,True
2012/06/21,39.12,True
2012/06/22,39.03,True
2012/06/25,37.66,True
2012/06/26,37.99,True
2012/06/27,38.35,True
2012/06/28,37.72,True
2012/06/29,39.24,True
2012/07/02,38.91,True
2012/07/03,39.54,True
2012/07/05,39.37,True
2012/07/06,37.97,True
2012/07/09,37.62,True
2012/07/10,37.49,True
2012/07/11,37.19,True
2012/07/12,36.52,True
2012/07/13,37.04,True
2012/07/16,36.83,True
2012/07/17,37.34,True
2012/07/18,38.36,True
2012/07/19,38.46,True
2012/07/20,37.56,True
2012/07/23,36.69,True
2012/07/24,35.61,True
2012/07/25,36.14,True
2012/07/26,36.61,True
2012/07/27,37.94,True
2012/07/30,38.18,True
2012/07/31,38.29,True
2012/08/01,38.18,True
2012/08/02,37.75,True
2012/08/03,39.11,True
2012/08/06,39.23,True
2012/08/07,40.25,True
2012/08/08,40.66,True
2012/08/09,40.8,True
2012/08/10,40.53,True
2012/08/13,40.38,True
2012/08/14,40.49,True
2012/08/15,40.48,True
2012/08/16,37.15,True
2012/08/17,37.22,True
2012/08/20,36.68,True
2012/08/21,37.13,True
2012/08/22,37.46,True
2012/08/23,37.47,True
2012/08/24,37.85,True
2012/08/27,37.44,True
2012/08/28,36.95,True
2012/08/29,37.16,True
2012/08/30,37.04,True
2012/08/31,37.16,True
2012/09/04,37.05,True
2012/09/05,36.74,True
2012/09/06,37.48,True
2012/09/07,38.42,True
2012/09/10,38.26,True
2012/09/11,37.83,True
2012/09/12,37.49,True
2012/09/13,38.38,True
2012/09/14,39.73,True
2012/09/17,39.63,True
2012/09/18,39.55,True
2012/09/19,39.88,True
2012/09/20,39.23,True
2012/09/21,39.0,True
2012/09/24,38.69,True
2012/09/25,38.32,True
2012/09/26,38.27,True
2012/09/27,38.58,True
2012/09/28,38.45,True
2012/10/01,38.86,True
2012/10/02,38.87,True
2012/10/03,38.98,True
2012/10/04,39.2,True
2012/10/05,38.86,True
2012/10/08,38.66,True
2012/10/09,38.15,True
2012/10/10,37.41,True
2012/10/11,37.63,True
2012/10/12,37.22,True
2012/10/15,37.18,True
2012/10/16,37.91,True
2012/10/17,38.06,True
2012/10/18,36.64,True
2012/10/19,35.75,True
2012/10/22,36.0,True
2012/10/23,35.51,True
2012/10/24,35.85,True
2012/10/25,36.11,True
2012/10/26,35.94,True
2012/10/31,35.99,True
2012/11/01,37.1,True
2012/11/02,37.0,True
2012/11/05,37.61,True
2012/11/06,38.28,True
2012/11/07,37.58,True
2012/11/08,36.88,True
2012/11/09,36.91,True
2012/11/12,36.82,True
2012/11/13,36.33,True
2012/11/14,36.14,True
2012/11/15,35.75,True
2012/11/16,35.81,True
2012/11/19,37.51,True
2012/11/20,36.28,True
2012/11/21,35.84,True
2012/11/23,36.88,True
2012/11/26,37.47,True
2012/11/27,37.34,True
2012/11/28,37.97,True
2012/11/29,38.34,True
2012/11/30,38.29,True
2012/12/03,37.92,True
2012/12/04,38.13,True
2012/12/05,38.66,True
2012/12/06,38.32,True
2012/12/07,37.81,True
2012/12/10,38.56,True
2012/12/11,39.7,True
2012/12/12,40.51,True
2012/12/13,39.8,True
2012/12/14,39.85,True
2012/12/17,40.74,True
2012/12/18,41.39,True
2012/12/19,40.59,True
2012/12/20,41.36,True
2012/12/21,41.05,True
2012/12/24,41.07,True
2012/12/26,40.89,True
2012/12/27,40.64,True
2012/12/28,39.83,True
2012/12/31,40.94,True
2013/01/01,41.00807092858562,False
2013/01/02,41.04194546690705,False
2013/01/03,40.971993609858195,False
2013/01/04,41.04031973976438,False
2013/01/07,41.03583578603451,False
2013/01/08,41.07124975234847,False
2013/01/09,41.0241728058811,False
2013/01/10,41.04290877270083,False
2013/01/11,41.061082814136235,False
2013/01/14,41.08774057673246,False
2013/01/15,41.10062682081799,False
2013/01/16,41.1201506654971,False
2013/01/17,41.136203576837126,False
2013/01/18,41.15586713805198,False
2013/01/21,41.17124947004434,False
2013/01/22,41.1872561446665,False
2013/01/23,41.202794910942295,False
2013/01/24,41.21944446806762,False
2013/01/25,41.235612396523564,False
2013/01/28,41.25206737949962,False
2013/01/29,41.268331393518345,False
2013/01/30,41.28485371802141,False
2013/01/31,41.30128114826708,False
2013/02/01,41.31772968671064,False
2013/02/04,41.3340985441794,False
2013/02/05,41.35050335863051,False
2013/02/06,41.36688803676883,False
2013/02/07,41.38328649306235,False
2013/02/08,41.39967060961574,False
2013/02/11,41.4160643005009,False
2013/02/12,41.43245656007012,False
2013/02/13,41.448853764534356,False
2013/02/14,41.46524794159802,False
2013/02/15,41.48164324572063,False
2013/02/18,41.49803730640382,False
2013/02/19,41.51443210461354,False
2013/02/20,41.530826026257785,False
2013/02/21,41.54722005669068,False
2013/02/22,41.56361377315513,False
2013/02/25,41.58000763029913,False
2013/02/26,41.59640138009319,False
2013/02/27,41.612795167516005,False
2013/02/28,41.62918883484754,False
2013/03/01,41.64558249634068,False
2013/03/04,41.66197605379373,False
2013/03/05,41.67836957768405,False
2013/03/06,41.694762997094585,False
2013/03/07,41.7111563804918,False
2013/03/08,41.727549688133934,False
2013/03/11,41.74394294444057,False
