date,PRC,is_prediction
2012/01/03,69.1,True
2012/01/04,70.72,True
2012/01/05,71.17,True
2012/01/06,71.5,True
2012/01/09,71.48,True
2012/01/10,71.54,True
2012/01/11,72.02,True
2012/01/12,71.65,True
2012/01/13,71.46,True
2012/01/17,72.08,True
2012/01/18,73.63,True
2012/01/19,75.15,True
2012/01/20,74.75,True
2012/01/23,74.9,True
2012/01/24,75.23,True
2012/01/25,75.98,True
2012/01/26,75.06,True
2012/01/27,75.35,True
2012/01/30,76.57,True
2012/01/31,76.64,True
2012/02/01,76.66,True
2012/02/02,76.27,True
2012/02/03,76.92,True
2012/02/06,76.84,True
2012/02/07,77.23,True
2012/02/08,78.83,True
2012/02/09,80.12,True
2012/02/10,79.99,True
2012/02/13,79.43,True
2012/02/14,79.77,True
2012/02/15,79.4,True
2012/02/16,85.9,True
2012/02/17,85.57,True
2012/02/21,85.39,True
2012/02/22,85.08,True
2012/02/23,85.15,True
2012/02/24,84.58,True
2012/02/27,84.17,True
2012/02/28,85.77,True
2012/02/29,85.37,True
2012/03/01,85.98,True
2012/03/02,86.71,True
2012/03/05,86.84,True
2012/03/06,87.01,True
2012/03/07,86.8,True
2012/03/08,86.94,True
2012/03/09,87.27,True
2012/03/12,87.49,True
2012/03/13,88.48,True
2012/03/14,89.17,True
2012/03/15,89.25,True
2012/03/16,88.05,True
2012/03/19,88.5,True
2012/03/20,88.81,True
2012/03/21,89.11,True
2012/03/22,89.18,True
2012/03/23,88.99,True
2012/03/26,90.33,True
2012/03/27,90.51,True
2012/03/28,88.79,True
2012/03/29,87.98,True
2012/03/30,88.57,True
2012/04/02,88.98,True
2012/04/03,90.0,True
2012/04/04,89.73,True
2012/04/05,90.2,True
2012/04/09,89.82,True
2012/04/10,88.28,True
2012/04/11,89.66,True
2012/04/12,89.95,True
2012/04/13,90.15,True
2012/04/16,89.7,True
2012/04/17,90.19,True
2012/04/18,90.68,True
2012/04/19,90.87,True
2012/04/20,90.78,True
2012/04/23,90.59,True
2012/04/24,88.85,True
2012/04/25,89.64,True
2012/04/26,91.43,True
2012/04/27,92.37,True
2012/04/30,91.8,True
2012/05/01,90.75,True
2012/05/02,92.32,True
2012/05/03,91.95,True
2012/05/04,90.36,True
2012/05/07,90.67,True
2012/05/08,89.18,True
2012/05/09,88.61,True
2012/05/10,89.07,True
2012/05/11,88.42,True
2012/05/14,82.34,True
2012/05/15,81.08,True
2012/05/16,82.1,True
