date,PRC,is_prediction
2012/01/03,38.07,True
2012/01/04,38.2,True
2012/01/05,38.49,True
2012/01/06,38.59,True
2012/01/09,38.57,True
2012/01/10,39.01,True
2012/01/11,38.61,True
2012/01/12,38.84,True
2012/01/13,37.8,True
2012/01/17,38.3,True
2012/01/18,39.04,True
2012/01/19,39.4,True
2012/01/20,40.09,True
2012/01/23,39.8,True
2012/01/24,39.55,True
2012/01/25,39.72,True
2012/01/26,39.0,True
2012/01/27,38.98,True
2012/01/30,38.82,True
2012/01/31,38.97,True
2012/02/01,39.81,True
2012/02/02,39.34,True
2012/02/03,39.23,True
2012/02/06,38.98,True
2012/02/07,38.87,True
2012/02/08,39.35,True
2012/02/09,38.97,True
2012/02/10,38.6,True
2012/02/13,37.21,True
2012/02/14,37.55,True
2012/02/15,36.71,True
2012/02/16,36.96,True
2012/02/17,36.68,True
2012/02/21,36.19,True
2012/02/22,36.8,True
2012/02/23,37.44,True
2012/02/24,37.7,True
2012/02/27,37.7,True
2012/02/28,37.7,True
2012/02/29,37.37,True
2012/03/01,37.3,True
2012/03/02,36.59,True
2012/03/05,36.55,True
2012/03/06,36.28,True
2012/03/07,36.85,True
2012/03/08,37.45,True
2012/03/09,37.86,True
2012/03/12,37.74,True
2012/03/13,38.02,True
2012/03/14,38.24,True
2012/03/15,37.91,True
2012/03/16,38.32,True
2012/03/19,38.56,True
2012/03/20,38.81,True
2012/03/21,38.56,True
2012/03/22,38.29,True
2012/03/23,38.96,True
2012/03/26,39.6,True
2012/03/27,39.48,True
2012/03/28,39.08,True
2012/03/29,39.2,True
2012/03/30,39.66,True
2012/04/02,39.19,True
2012/04/03,38.68,True
2012/04/04,38.48,True
2012/04/05,38.22,True
2012/04/09,38.44,True
2012/04/10,38.39,True
2012/04/11,38.78,True
2012/04/12,38.81,True
2012/04/13,37.53,True
2012/04/16,37.48,True
2012/04/17,38.22,True
2012/04/18,37.45,True
2012/04/19,37.48,True
2012/04/20,37.75,True
2012/04/23,37.49,True
2012/04/24,37.5,True
2012/04/25,37.85,True
2012/04/26,36.97,True
2012/04/27,36.9,True
2012/04/30,37.21,True
2012/05/01,37.3,True
2012/05/02,37.21,True
2012/05/03,36.55,True
2012/05/04,36.17,True
2012/05/07,35.95,True
2012/05/08,36.16,True
2012/05/09,36.01,True
2012/05/10,36.58,True
2012/05/11,36.62,True
2012/05/14,36.65,True
2012/05/15,36.4,True
2012/05/16,36.7,True
2012/05/17,36.44,True
2012/05/18,35.99,True
2012/05/21,36.08,True
2012/05/22,36.25,True
2012/05/23,36.31,True
2012/05/24,36.46,True
2012/05/25,36.9,True
2012/05/29,36.51,True
2012/05/30,36.85,True
2012/05/31,36.99,True
2012/06/01,36.28,True
2012/06/04,36.41,True
2012/06/05,36.75,True
2012/06/06,37.295,True
2012/06/07,36.98,True
2012/06/08,37.06,True
2012/06/11,36.46,True
2012/06/12,37.0,True
2012/06/13,36.45,True
2012/06/14,36.96,True
2012/06/15,37.29,True
2012/06/18,37.81,True
