date,PRC,is_prediction
2012/01/03,56.72,True
2012/01/04,56.5,True
2012/01/05,56.37,True
2012/01/06,55.86,True
2012/01/09,55.85,True
2012/01/10,56.11,True
2012/01/11,55.42,True
2012/01/12,55.16,True
2012/01/13,55.43,True
2012/01/17,55.71,True
2012/01/18,55.36,True
2012/01/19,55.43,True
2012/01/20,55.76,True
2012/01/23,55.72,True
2012/01/24,55.98,True
2012/01/25,55.23,True
2012/01/26,54.87,True
2012/01/27,55.02,True
2012/01/30,54.47,True
2012/01/31,54.15,True
2012/02/01,54.26,True
2012/02/02,54.45,True
2012/02/03,55.0,True
2012/02/06,55.39,True
2012/02/07,55.71,True
2012/02/08,55.57,True
2012/02/09,55.26,True
2012/02/10,55.11,True
2012/02/13,55.16,True
2012/02/14,55.08,True
2012/02/15,55.46,True
2012/02/16,55.85,True
2012/02/17,56.36,True
2012/02/21,56.16,True
2012/02/22,56.23,True
2012/02/23,56.29,True
2012/02/24,56.7,True
2012/02/27,56.6,True
2012/02/28,57.04,True
2012/02/29,56.61,True
2012/03/01,57.32,True
2012/03/02,57.39,True
2012/03/05,57.28,True
2012/03/06,56.35,True
2012/03/07,56.26,True
2012/03/08,57.49,True
2012/03/09,57.95,True
2012/03/12,58.23,True
2012/03/13,58.93,True
2012/03/14,58.99,True
2012/03/15,59.11,True
2012/03/16,59.42,True
2012/03/19,60.22,True
2012/03/20,60.4,True
2012/03/21,60.39,True
2012/03/22,60.11,True
2012/03/23,60.4,True
2012/03/26,60.99,True
2012/03/27,61.33,True
2012/03/28,61.12,True
2012/03/29,60.98,True
2012/03/30,61.29,True
2012/04/02,61.24,True
2012/04/03,61.14,True
2012/04/04,61.46,True
2012/04/05,61.3,True
2012/04/09,60.97,True
2012/04/10,60.14,True
2012/04/11,59.66,True
2012/04/12,59.72,True
2012/04/13,59.59,True
2012/04/16,59.85,True
2012/04/17,60.43,True
2012/04/18,60.46,True
2012/04/19,59.51,True
2012/04/20,59.88,True
2012/04/23,59.87,True
2012/04/24,60.73,True
2012/04/25,61.6,True
2012/04/26,61.86,True
2012/04/27,61.99,True
2012/04/30,62.06,True
2012/05/01,62.23,True
2012/05/02,62.65,True
2012/05/03,63.05,True
2012/05/04,62.41,True
2012/05/07,62.51,True
2012/05/08,62.6,True
2012/05/09,61.23,True
2012/05/10,62.22,True
2012/05/11,62.04,True
2012/05/14,61.68,True
2012/05/15,61.89,True
2012/05/16,62.55,True
2012/05/17,62.23,True
2012/05/18,61.57,True
2012/05/21,61.81,True
2012/05/22,61.99,True
2012/05/23,61.37,True
2012/05/24,62.42,True
2012/05/25,62.25,True
2012/05/29,62.14,True
2012/05/30,61.79,True
2012/05/31,61.79,True
2012/06/01,60.52,True
2012/06/04,60.22,True
2012/06/05,60.3,True
2012/06/06,61.04,True
2012/06/07,61.2,True
2012/06/08,61.88,True
2012/06/11,61.51,True
2012/06/12,61.96,True
2012/06/13,61.51,True
2012/06/14,62.14,True
2012/06/15,62.5,True
2012/06/18,62.7,True
2012/06/19,62.87,True
2012/06/20,62.82,True
2012/06/21,62.24,True
2012/06/22,62.32,True
2012/06/25,62.12,True
2012/06/26,62.35,True
2012/06/27,62.87,True
2012/06/28,62.91,True
2012/06/29,64.47,True
2012/07/02,64.63,True
2012/07/03,64.83,True
2012/07/05,64.75,True
2012/07/06,64.75,True
2012/07/09,65.61,True
2012/07/10,65.67,True
2012/07/11,65.18,True
2012/07/12,65.13,True
2012/07/13,65.45,True
2012/07/16,65.48,True
2012/07/17,66.46,True
2012/07/18,65.93,True
2012/07/19,65.8,True
2012/07/20,65.06,True
2012/07/23,64.64,True
2012/07/24,63.94,True
2012/07/25,64.12,True
2012/07/26,64.65,True
2012/07/27,66.39,True
2012/07/30,66.6,True
2012/07/31,66.31,True
2012/08/01,66.1,True
2012/08/02,66.34,True
2012/08/03,66.59,True
2012/08/06,66.37,True
2012/08/07,66.03,True
2012/08/08,65.9,True
2012/08/09,65.72,True
2012/08/10,66.11,True
2012/08/13,65.99,True
2012/08/14,66.17,True
2012/08/15,66.42,True
2012/08/16,66.43,True
2012/08/17,65.92,True
2012/08/20,65.73,True
