date,PRC,is_prediction
2012/01/03,28.89,True
2012/01/04,29.37,True
2012/01/05,29.24,True
2012/01/06,29.07,True
2012/01/09,28.91,True
2012/01/10,28.78,True
2012/01/11,28.93,True
2012/01/12,29.14,True
2012/01/13,29.17,True
2012/01/17,28.78,True
2012/01/18,29.22,True
2012/01/19,29.42,True
2012/01/20,30.04,True
2012/01/23,29.89,True
2012/01/24,29.82,True
2012/01/25,30.08,True
2012/01/26,29.84,True
2012/01/27,29.82,True
2012/01/30,29.71,True
2012/01/31,28.63,True
2012/02/01,29.19,True
2012/02/02,29.17,True
2012/02/03,29.55,True
2012/02/06,29.6,True
2012/02/07,29.8,True
2012/02/08,30.42,True
2012/02/09,30.75,True
2012/02/10,30.57,True
2012/02/13,30.93,True
2012/02/14,31.15,True
2012/02/15,31.04,True
2012/02/16,31.23,True
2012/02/17,31.35,True
2012/02/21,31.37,True
2012/02/22,31.55,True
2012/02/23,31.74,True
2012/02/24,31.96,True
2012/02/27,31.71,True
2012/02/28,31.58,True
2012/02/29,31.2,True
2012/03/01,31.52,True
2012/03/02,31.64,True
2012/03/05,31.65,True
2012/03/06,30.39,True
2012/03/07,31.05,True
2012/03/08,31.11,True
2012/03/09,31.13,True
2012/03/12,31.33,True
2012/03/13,32.16,True
2012/03/14,31.65,True
2012/03/15,31.82,True
2012/03/16,31.8,True
2012/03/19,31.69,True
2012/03/20,31.87,True
2012/03/21,31.93,True
2012/03/22,31.74,True
2012/03/23,31.86,True
2012/03/26,32.04,True
2012/03/27,31.87,True
2012/03/28,31.27,True
2012/03/29,31.26,True
2012/03/30,31.66,True
2012/04/02,32.33,True
2012/04/03,31.98,True
2012/04/04,31.43,True
2012/04/05,31.32,True
2012/04/09,30.84,True
2012/04/10,30.82,True
2012/04/11,30.99,True
2012/04/12,31.1,True
2012/04/13,30.75,True
2012/04/16,30.79,True
2012/04/17,31.2,True
2012/04/18,30.93,True
2012/04/19,30.675,True
2012/04/20,30.71,True
2012/04/23,30.42,True
2012/04/24,30.94,True
2012/04/25,30.89,True
2012/04/26,31.03,True
2012/04/27,31.08,True
2012/04/30,30.83,True
2012/05/01,33.02,True
2012/05/02,32.95,True
2012/05/03,32.56,True
2012/05/04,32.25,True
2012/05/07,32.59,True
2012/05/08,32.98,True
2012/05/09,32.66,True
2012/05/10,33.5,True
2012/05/11,32.85,True
2012/05/14,33.05,True
2012/05/15,32.47,True
2012/05/16,32.3,True
2012/05/17,32.21,True
2012/05/18,31.82,True
2012/05/21,32.17,True
2012/05/22,32.16,True
2012/05/23,31.92,True
2012/05/24,32.1,True
2012/05/25,32.25,True
2012/05/29,32.5,True
2012/05/30,32.15,True
2012/05/31,31.88,True
2012/06/01,30.92,True
2012/06/04,30.88,True
2012/06/05,31.31,True
2012/06/06,32.17,True
2012/06/07,32.13,True
2012/06/08,31.85,True
2012/06/11,31.69,True
2012/06/12,31.93,True
2012/06/13,31.26,True
2012/06/14,31.26,True
2012/06/15,31.45,True
2012/06/18,31.29,True
2012/06/19,30.15,True
2012/06/20,29.88,True
2012/06/21,29.38,True
2012/06/22,29.28,True
2012/06/25,28.79,True
2012/06/26,28.63,True
2012/06/27,28.87,True
2012/06/28,29.14,True
2012/06/29,29.52,True
2012/07/02,29.04,True
2012/07/03,28.99,True
2012/07/05,28.5,True
2012/07/06,28.39,True
2012/07/09,27.55,True
2012/07/10,27.57,True
2012/07/11,27.66,True
2012/07/12,27.31,True
2012/07/13,27.39,True
2012/07/16,26.91,True
2012/07/17,27.25,True
2012/07/18,27.6,True
2012/07/19,27.29,True
2012/07/20,27.0,True
2012/07/23,26.87,True
2012/07/24,26.69,True
2012/07/25,26.71,True
2012/07/26,27.18,True
2012/07/27,27.54,True
2012/07/30,27.49,True
2012/07/31,26.09,True
2012/08/01,25.68,True
2012/08/02,25.13,True
2012/08/03,25.54,True
2012/08/06,25.63,True
2012/08/07,25.71,True
2012/08/08,26.48,True
2012/08/09,26.47,True
2012/08/10,25.94,True
2012/08/13,25.93,True
2012/08/14,25.82,True
2012/08/15,26.25,True
2012/08/16,26.32,True
2012/08/17,26.17,True
2012/08/20,26.51,True
2012/08/21,26.32,True
2012/08/22,26.27,True
2012/08/23,26.21,True
2012/08/24,26.38,True
2012/08/27,26.42,True
2012/08/28,26.37,True
2012/08/29,26.58,True
2012/08/30,26.53,True
2012/08/31,26.75,True
2012/09/04,26.88,True
2012/09/05,26.63,True
2012/09/06,27.36,True
2012/09/07,27.29,True
2012/09/10,27.24,True
2012/09/11,27.33,True
2012/09/12,27.19,True
2012/09/13,27.39,True
2012/09/14,27.19,True
2012/09/17,27.2,True
2012/09/18,27.23,True
2012/09/19,27.17,True
2012/09/20,27.02,True
2012/09/21,27.03,True
2012/09/24,27.51,True
2012/09/25,27.66,True
2012/09/26,27.48,True
2012/09/27,27.56,True
2012/09/28,27.18,True
2012/10/01,27.77,True
2012/10/02,27.88,True
2012/10/03,27.96,True
2012/10/04,28.15,True
2012/10/05,28.21,True
2012/10/08,28.32,True
2012/10/09,28.3,True
2012/10/10,28.09,True
2012/10/11,28.03,True
2012/10/12,28.05,True
2012/10/15,28.1,True
2012/10/16,28.73,True
2012/10/17,29.1,True
2012/10/18,29.07,True
2012/10/19,28.52,True
2012/10/22,28.04,True
2012/10/23,27.29,True
2012/10/24,26.93,True
2012/10/25,26.99,True
2012/10/26,27.05,True
2012/10/31,26.84,True
2012/11/01,27.1,True
2012/11/02,26.85,True
2012/11/05,26.6,True
2012/11/06,26.63,True
2012/11/07,26.0,True
2012/11/08,25.47,True
2012/11/09,25.39,True
2012/11/12,25.26,True
2012/11/13,24.89,True
2012/11/14,24.53,True
2012/11/15,24.48,True
2012/11/16,24.96,True
2012/11/19,25.55,True
2012/11/20,26.34,True
2012/11/21,26.39,True
2012/11/23,26.74,True
2012/11/26,26.71,True
2012/11/27,26.43,True
2012/11/28,26.6,True
2012/11/29,26.76,True
2012/11/30,26.7,True
2012/12/03,26.79,True
2012/12/04,26.71,True
2012/12/05,26.72,True
2012/12/06,26.72,True
2012/12/07,27.18,True
2012/12/10,26.97,True
2012/12/11,27.17,True
2012/12/12,27.22,True
2012/12/13,27.15,True
2012/12/14,27.09,True
2012/12/17,27.39,True
2012/12/18,28.08,True
2012/12/19,27.89,True
2012/12/20,28.03,True
2012/12/21,27.78,True
2012/12/24,27.74,True
2012/12/26,27.47,True
2012/12/27,27.49,True
2012/12/28,27.06,True
2012/12/31,27.39,True
2013/01/01,27.411946475209643,False
2013/01/02,27.437378275207237,False
2013/01/03,27.42361458716186,False
2013/01/04,27.3809304765794,False
2013/01/07,27.40335811867134,False
2013/01/08,27.349189401876686,False
2013/01/09,27.367652621849793,False
2013/01/10,27.359224805550575,False
2013/01/11,27.35989725008354,False
2013/01/14,27.355037437085723,False
2013/01/15,27.34397443046006,False
2013/01/16,27.342606224900383,False
2013/01/17,27.331708713158058,False
2013/01/18,27.328152839350267,False
2013/01/21,27.32132541221834,False
2013/01/22,27.316131286648172,False
2013/01/23,27.310577301935044,False
2013/01/24,27.30403295488417,False
2013/01/25,27.298721806245812,False
2013/01/28,27.292280226186296,False
2013/01/29,27.286659741815114,False
2013/01/30,27.280613101848278,False
2013/01/31,27.274770638282085,False
2013/02/01,27.26892672223733,False
2013/02/04,27.26294957980515,False
2013/02/05,27.257123837377645,False
2013/02/06,27.251161669146327,False
2013/02/07,27.24529685078009,False
2013/02/08,27.23937876954267,False
2013/02/11,27.233482872555378,False
2013/02/12,27.22759059987902,False
2013/02/13,27.2216814370341,False
2013/02/14,27.21579103942737,False
2013/02/15,27.20988389628998,False
2013/02/18,27.203988414148068,False
2013/02/19,27.19808658387584,False
2013/02/20,27.192187049043827,False
2013/02/21,27.18628826817329,False
2013/02/22,27.18038735248794,False
2013/02/25,27.174488817356004,False
2013/02/26,27.168588227915215,False
2013/02/27,27.16268899181762,False
2013/02/28,27.156789040437687,False
2013/03/01,27.15088933779297,False
2013/03/04,27.144989765153717,False
2013/03/05,27.139089890707115,False
2013/03/06,27.133190318349136,False
2013/03/07,27.127290496771266,False
2013/03/08,27.121390852606858,False
2013/03/11,27.115491126438396,False
