date,PRC,is_prediction
2012/01/03,30.81,True
2012/01/04,30.21,True
2012/01/05,30.82,True
2012/01/06,30.96,True
2012/01/09,31.08,True
2012/01/10,32.53,True
2012/01/11,32.18,True
2012/01/12,32.3,True
2012/01/13,31.92,True
2012/01/17,32.16,True
2012/01/18,34.34,True
2012/01/19,35.43,True
2012/01/20,35.04,True
2012/01/23,34.66,True
2012/01/24,35.81,True
2012/01/25,36.23,True
2012/01/26,36.55,True
2012/01/27,36.6,True
2012/01/30,35.91,True
2012/01/31,36.0,True
2012/02/01,37.0,True
2012/02/02,36.82,True
2012/02/03,37.85,True
2012/02/06,37.755,True
2012/02/07,38.34,True
2012/02/08,38.36,True
2012/02/09,38.4,True
2012/02/10,37.53,True
2012/02/13,38.37,True
2012/02/14,38.79,True
2012/02/15,38.65,True
2012/02/16,39.53,True
2012/02/17,38.91,True
2012/02/21,38.11,True
2012/02/22,37.76,True
2012/02/23,38.2,True
2012/02/24,37.62,True
2012/02/27,38.02,True
2012/02/28,37.99,True
2012/02/29,37.85,True
2012/03/01,37.99,True
2012/03/02,37.09,True
2012/03/05,36.65,True
2012/03/06,35.72,True
2012/03/07,36.06,True
2012/03/08,36.52,True
2012/03/09,36.81,True
2012/03/12,36.67,True
2012/03/13,38.67,True
2012/03/14,39.35,True
2012/03/15,40.08,True
2012/03/16,40.9,True
2012/03/19,41.4,True
2012/03/20,41.1,True
2012/03/21,41.7,True
2012/03/22,41.1,True
2012/03/23,41.08,True
2012/03/26,42.37,True
2012/03/27,42.19,True
2012/03/28,41.9,True
2012/03/29,42.04,True
2012/03/30,42.32,True
2012/04/02,42.34,True
2012/04/03,42.39,True
2012/04/04,41.75,True
2012/04/05,41.44,True
2012/04/09,40.54,True
2012/04/10,39.44,True
2012/04/11,39.62,True
2012/04/12,40.46,True
2012/04/13,41.25,True
2012/04/16,41.09,True
2012/04/17,41.8,True
2012/04/18,41.43,True
2012/04/19,40.58,True
2012/04/20,40.42,True
2012/04/23,39.03,True
2012/04/24,38.71,True
2012/04/25,39.27,True
2012/04/26,40.19,True
2012/04/27,39.63,True
2012/04/30,39.37,True
2012/05/01,40.73,True
2012/05/02,40.16,True
2012/05/03,38.92,True
2012/05/04,37.46,True
2012/05/07,37.2,True
2012/05/08,36.61,True
2012/05/09,36.8,True
2012/05/10,36.18,True
2012/05/11,36.25,True
2012/05/14,35.93,True
2012/05/15,36.45,True
2012/05/16,35.89,True
2012/05/17,34.73,True
2012/05/18,30.26,True
2012/05/21,31.85,True
2012/05/22,32.43,True
2012/05/23,32.18,True
2012/05/24,31.86,True
2012/05/25,32.12,True
2012/05/29,32.78,True
2012/05/30,32.15,True
2012/05/31,32.02,True
2012/06/01,30.84,True
2012/06/04,30.83,True
2012/06/05,31.27,True
2012/06/06,33.11,True
2012/06/07,32.65,True
2012/06/08,32.78,True
2012/06/11,31.84,True
2012/06/12,32.3,True
2012/06/13,31.7,True
2012/06/14,32.08,True
2012/06/15,33.37,True
2012/06/18,33.64,True
2012/06/19,34.64,True
2012/06/20,34.67,True
2012/06/21,33.05,True
2012/06/22,33.81,True
2012/06/25,32.81,True
2012/06/26,32.95,True
2012/06/27,33.55,True
2012/06/28,32.83,True
2012/06/29,34.99,True
2012/07/02,34.51,True
2012/07/03,34.7,True
2012/07/05,34.65,True
2012/07/06,32.31,True
2012/07/09,31.41,True
2012/07/10,30.65,True
2012/07/11,30.52,True
2012/07/12,31.26,True
2012/07/13,31.72,True
2012/07/16,31.39,True
2012/07/17,31.93,True
2012/07/18,32.21,True
2012/07/19,33.445,True
2012/07/20,32.16,True
2012/07/23,31.79,True
2012/07/24,31.325,True
2012/07/25,31.94,True
2012/07/26,33.485,True
2012/07/27,34.6,True
2012/07/30,34.12,True
2012/07/31,33.92,True
2012/08/01,34.04,True
2012/08/02,33.78,True
2012/08/03,34.98,True
2012/08/06,34.69,True
2012/08/07,35.25,True
2012/08/08,35.31,True
2012/08/09,35.17,True
2012/08/10,35.01,True
2012/08/13,34.68,True
2012/08/14,34.16,True
2012/08/15,34.48,True
2012/08/16,34.67,True
2012/08/17,34.97,True
2012/08/20,33.96,True
2012/08/21,34.6,True
2012/08/22,35.49,True
2012/08/23,35.71,True
2012/08/24,30.13,True
2012/08/27,30.51,True
2012/08/28,31.23,True
2012/08/29,30.92,True
2012/08/30,30.41,True
2012/08/31,31.05,True
2012/09/04,31.41,True
2012/09/05,31.3,True
2012/09/06,32.7691,True
2012/09/07,32.22,True
2012/09/10,31.97,True
2012/09/11,32.19,True
2012/09/12,32.58,True
2012/09/13,32.735,True
2012/09/14,33.47,True
2012/09/17,33.59,True
2012/09/18,33.47,True
2012/09/19,33.56,True
2012/09/20,33.61,True
2012/09/21,33.68,True
2012/09/24,33.48,True
2012/09/25,32.93,True
2012/09/26,32.4,True
2012/09/27,33.3,True
2012/09/28,33.35,True
2012/10/01,33.38,True
2012/10/02,33.41,True
2012/10/03,33.78,True
2012/10/04,33.18,True
2012/10/05,33.1,True
2012/10/08,32.45,True
2012/10/09,31.47,True
2012/10/10,31.03,True
2012/10/11,31.01,True
2012/10/12,31.2,True
2012/10/15,31.9,True
2012/10/16,32.68,True
2012/10/17,32.2,True
2012/10/18,31.59,True
2012/10/19,30.47,True
2012/10/22,30.95,True
2012/10/23,31.37,True
2012/10/24,31.46,True
2012/10/25,32.1,True
2012/10/26,32.31,True
2012/10/31,31.851999999999997,True
2012/11/01,32.39,True
2012/11/02,32.14,True
2012/11/05,31.9811,True
2012/11/06,32.41,True
2012/11/07,31.57,True
2012/11/08,30.73,True
2012/11/09,30.94,True
2012/11/12,31.0,True
2012/11/13,30.64,True
2012/11/14,30.44,True
2012/11/15,30.5,True
2012/11/16,31.4807,True
2012/11/19,31.32,True
2012/11/20,30.87,True
2012/11/21,31.34,True
2012/11/23,31.8,True
2012/11/26,32.24,True
2012/11/27,31.92,True
2012/11/28,33.1,True
2012/11/29,33.51,True
2012/11/30,33.13,True
2012/12/03,32.99,True
2012/12/04,33.08,True
2012/12/05,33.6,True
2012/12/06,33.8,True
2012/12/07,33.76,True
2012/12/10,33.96,True
2012/12/11,34.62,True
2012/12/12,34.29,True
2012/12/13,33.88,True
2012/12/14,34.21,True
2012/12/17,34.88,True
2012/12/18,35.73,True
2012/12/19,36.0,True
2012/12/20,35.9,True
2012/12/21,35.49,True
2012/12/24,35.68,True
2012/12/26,35.15,True
2012/12/27,35.12,True
2012/12/28,34.99,True
2012/12/31,35.35,True
2013/01/01,35.40013915037134,False
2013/01/02,35.44055378622632,False
2013/01/03,35.447012381827335,False
2013/01/04,35.48518154642676,False
2013/01/07,35.49146200123149,False
2013/01/08,35.50349259321241,False
2013/01/09,35.50646332527656,False
2013/01/10,35.523696709819305,False
2013/01/11,35.541544390764486,False
2013/01/14,35.56082378906781,False
2013/01/15,35.57867578931404,False
2013/01/16,35.59765327445835,False
2013/01/17,35.615989261197214,False
2013/01/18,35.63425522037355,False
2013/01/21,35.651906807290665,False
2013/01/22,35.669588817906806,False
2013/01/23,35.687257060885266,False
2013/01/24,35.705016278102605,False
2013/01/25,35.72276127020309,False
2013/01/28,35.74055452912595,False
2013/01/29,35.7583604921302,False
2013/01/30,35.776185397086905,False
2013/01/31,35.79400175824125,False
2013/02/01,35.811814144909384,False
2013/02/04,35.82962044228325,False
2013/02/05,35.84742590548824,False
2013/02/06,35.86522910515944,False
2013/02/07,35.88303217470535,False
2013/02/08,35.90083521071875,False
2013/02/11,35.91863905655432,False
2013/02/12,35.936443253298435,False
2013/02/13,35.954247718067556,False
2013/02/14,35.97205217036382,False
2013/02/15,35.98985662486074,False
2013/02/18,36.007660993751315,False
2013/02/19,36.025465274937915,False
2013/02/20,36.04326948525285,False
2013/02/21,36.061073637571624,False
2013/02/22,36.07887775958195,False
2013/02/25,36.09668186330641,False
2013/02/26,36.11448594392042,False
2013/02/27,36.13229000997236,False
2013/02/28,36.15009404590423,False
2013/03/01,36.16789806337426,False
2013/03/04,36.18570205740794,False
2013/03/05,36.20350601705676,False
2013/03/06,36.22130995667861,False
2013/03/07,36.23911386029451,False
2013/03/08,36.25691774775261,False
2013/03/11,36.27472161591557,False
