date,PRC,is_prediction
2012/01/03,32.76,True
2012/01/04,32.75,True
2012/01/05,32.73,True
2012/01/06,32.09,True
2012/01/09,32.08,True
2012/01/10,32.29,True
2012/01/11,32.35,True
2012/01/12,32.34,True
2012/01/13,32.33,True
2012/01/17,32.38,True
2012/01/18,32.11,True
2012/01/19,31.56,True
2012/01/20,31.64,True
2012/01/23,31.83,True
2012/01/24,31.26,True
2012/01/25,31.92,True
2012/01/26,31.92,True
2012/01/27,31.61,True
2012/01/30,31.47,True
2012/01/31,31.64,True
2012/02/01,31.7,True
2012/02/02,31.58,True
2012/02/03,31.77,True
2012/02/06,31.54,True
2012/02/07,31.75,True
2012/02/08,31.65,True
2012/02/09,31.54,True
2012/02/10,31.31,True
2012/02/13,31.2,True
2012/02/14,31.19,True
2012/02/15,31.09,True
2012/02/16,31.62,True
2012/02/17,31.9,True
2012/02/21,31.73,True
2012/02/22,31.84,True
2012/02/23,32.12,True
2012/02/24,32.24,True
2012/02/27,31.97,True
2012/02/28,31.93,True
2012/02/29,32.07,True
2012/03/01,32.14,True
2012/03/02,31.97,True
2012/03/05,32.24,True
2012/03/06,32.01,True
2012/03/07,31.88,True
2012/03/08,31.91,True
2012/03/09,31.92,True
2012/03/12,32.19,True
2012/03/13,32.2,True
2012/03/14,31.63,True
2012/03/15,31.64,True
2012/03/16,31.46,True
2012/03/19,31.24,True
2012/03/20,31.61,True
2012/03/21,31.72,True
2012/03/22,31.77,True
2012/03/23,31.77,True
2012/03/26,32.18,True
2012/03/27,32.47,True
2012/03/28,31.99,True
2012/03/29,32.14,True
2012/03/30,32.58,True
2012/04/02,32.5,True
2012/04/03,32.41,True
2012/04/04,32.32,True
2012/04/05,32.09,True
2012/04/09,31.92,True
2012/04/10,31.39,True
2012/04/11,31.47,True
2012/04/12,31.56,True
2012/04/13,31.47,True
2012/04/16,31.64,True
2012/04/17,31.86,True
2012/04/18,31.49,True
2012/04/19,31.29,True
2012/04/20,31.68,True
2012/04/23,31.43,True
2012/04/24,31.93,True
2012/04/25,32.29,True
2012/04/26,32.54,True
2012/04/27,32.76,True
2012/04/30,32.79,True
2012/05/01,33.0,True
2012/05/02,32.69,True
2012/05/03,32.43,True
2012/05/04,32.37,True
2012/05/07,32.19,True
2012/05/08,32.4,True
2012/05/09,32.53,True
2012/05/10,32.84,True
2012/05/11,32.5,True
2012/05/14,32.6,True
2012/05/15,32.22,True
2012/05/16,32.36,True
2012/05/17,32.07,True
2012/05/18,31.93,True
2012/05/21,32.18,True
2012/05/22,32.38,True
2012/05/23,31.96,True
2012/05/24,32.04,True
2012/05/25,32.06,True
2012/05/29,32.45,True
2012/05/30,32.05,True
2012/05/31,32.31,True
2012/06/01,32.04,True
2012/06/04,32.1,True
2012/06/05,32.3,True
2012/06/06,32.81,True
2012/06/07,33.11,True
2012/06/08,33.25,True
2012/06/11,33.11,True
2012/06/12,32.92,True
2012/06/13,32.9,True
2012/06/14,33.23,True
2012/06/15,33.61,True
2012/06/18,33.9,True
2012/06/19,33.65,True
2012/06/20,33.54,True
2012/06/21,33.05,True
2012/06/22,33.02,True
2012/06/25,32.79,True
2012/06/26,33.09,True
2012/06/27,33.34,True
2012/06/28,33.56,True
2012/06/29,33.54,True
2012/07/02,33.59,True
2012/07/03,33.58,True
2012/07/05,33.17,True
2012/07/06,33.42,True
2012/07/09,33.13,True
2012/07/10,33.21,True
2012/07/11,33.24,True
2012/07/12,33.23,True
2012/07/13,33.67,True
2012/07/16,33.63,True
2012/07/17,33.8,True
2012/07/18,33.74,True
2012/07/19,33.74,True
2012/07/20,33.83,True
2012/07/23,33.5,True
2012/07/24,33.33,True
2012/07/25,33.36,True
2012/07/26,33.84,True
2012/07/27,34.42,True
2012/07/30,34.68,True
2012/07/31,34.21,True
2012/08/01,33.93,True
2012/08/02,33.67,True
2012/08/03,34.34,True
2012/08/06,34.6,True
2012/08/07,34.42,True
2012/08/08,34.45,True
2012/08/09,34.43,True
2012/08/10,34.7,True
2012/08/13,34.71,True
2012/08/14,34.65,True
2012/08/15,34.34,True
2012/08/16,33.82,True
2012/08/17,33.58,True
2012/08/20,33.68,True
2012/08/21,33.5,True
2012/08/22,33.48,True
2012/08/23,33.16,True
2012/08/24,33.2,True
2012/08/27,33.18,True
2012/08/28,33.12,True
2012/08/29,33.0,True
2012/08/30,33.0,True
2012/08/31,32.72,True
2012/09/04,32.72,True
2012/09/05,33.03,True
2012/09/06,33.18,True
2012/09/07,33.12,True
2012/09/10,32.55,True
2012/09/11,32.5,True
2012/09/12,32.31,True
2012/09/13,32.84,True
2012/09/14,32.67,True
2012/09/17,32.59,True
2012/09/18,32.5,True
2012/09/19,32.58,True
2012/09/20,32.82,True
2012/09/21,32.64,True
2012/09/24,32.78,True
2012/09/25,32.77,True
2012/09/26,32.88,True
2012/09/27,32.61,True
2012/09/28,32.67,True
2012/10/01,32.5,True
2012/10/02,32.85,True
2012/10/03,32.92,True
2012/10/04,32.96,True
2012/10/05,32.88,True
2012/10/08,32.8,True
2012/10/09,32.81,True
2012/10/10,32.71,True
2012/10/11,32.8,True
2012/10/12,32.6,True
2012/10/15,32.66,True
2012/10/16,32.68,True
2012/10/17,33.03,True
2012/10/18,33.13,True
2012/10/19,32.96,True
2012/10/22,32.81,True
2012/10/23,32.48,True
2012/10/24,32.33,True
2012/10/25,32.59,True
2012/10/26,32.33,True
2012/10/31,32.88,True
2012/11/01,32.85,True
2012/11/02,32.68,True
2012/11/05,32.25,True
2012/11/06,32.1,True
2012/11/07,31.39,True
2012/11/08,31.5,True
2012/11/09,30.36,True
2012/11/12,29.86,True
2012/11/13,29.69,True
2012/11/14,29.4,True
2012/11/15,29.02,True
2012/11/16,29.36,True
2012/11/19,29.08,True
2012/11/20,28.89,True
2012/11/21,28.72,True
2012/11/23,28.55,True
2012/11/26,28.85,True
2012/11/27,28.75,True
2012/11/28,29.3,True
2012/11/29,29.61,True
2012/11/30,29.97,True
2012/12/03,29.58,True
2012/12/04,29.45,True
2012/12/05,29.96,True
2012/12/06,29.8,True
2012/12/07,29.74,True
2012/12/10,29.77,True
2012/12/11,29.76,True
2012/12/12,29.78,True
2012/12/13,29.73,True
2012/12/14,29.42,True
2012/12/17,29.98,True
2012/12/18,30.27,True
2012/12/19,30.05,True
2012/12/20,31.17,True
2012/12/21,31.05,True
2012/12/24,30.89,True
2012/12/26,30.71,True
2012/12/27,30.59,True
2012/12/28,30.32,True
2012/12/31,30.72,True
2013/01/01,30.774891225478758,False
2013/01/02,30.793963470041398,False
2013/01/03,30.775690683791762,False
2013/01/04,30.744232627279114,False
2013/01/07,30.678302372910558,False
2013/01/08,30.682553762036047,False
2013/01/09,30.698716518103968,False
2013/01/10,30.70075580783627,False
2013/01/11,30.698908680852476,False
2013/01/14,30.69141251469911,False
2013/01/15,30.675512361588765,False
2013/01/16,30.663179670276463,False
2013/01/17,30.65651819975101,False
2013/01/18,30.65035905009502,False
2013/01/21,30.6440909799026,False
2013/01/22,30.637359020274282,False
2013/01/23,30.62909175213764,False
2013/01/24,30.62023881321651,False
2013/01/25,30.61194870020739,False
2013/01/28,30.604059633684468,False
2013/01/29,30.596346187608887,False
2013/01/30,30.588721815699433,False
