date,PRC,is_prediction
2012/01/03,12.12,True
2012/01/04,12.03,True
2012/01/05,12.32,True
2012/01/06,12.23,True
2012/01/09,12.47,True
2012/01/10,12.7,True
2012/01/11,12.66,True
2012/01/12,12.55,True
2012/01/13,12.65,True
2012/01/17,12.88,True
2012/01/18,12.79,True
2012/01/19,12.92,True
2012/01/20,13.06,True
2012/01/23,12.94,True
2012/01/24,12.74,True
2012/01/25,13.11,True
2012/01/26,12.94,True
2012/01/27,12.81,True
2012/01/30,12.75,True
2012/01/31,12.76,True
2012/02/01,12.96,True
2012/02/02,13.01,True
2012/02/03,12.92,True
2012/02/06,12.78,True
2012/02/07,12.88,True
2012/02/08,12.94,True
2012/02/09,12.98,True
2012/02/10,12.88,True
2012/02/13,13.12,True
2012/02/14,13.48,True
2012/02/15,13.43,True
2012/02/16,13.78,True
2012/02/17,13.7,True
2012/02/21,13.78,True
2012/02/22,13.82,True
2012/02/23,13.77,True
2012/02/24,13.8,True
2012/02/27,13.7,True
2012/02/28,13.44,True
2012/02/29,13.56,True
2012/03/01,13.53,True
2012/03/02,13.49,True
2012/03/05,13.38,True
2012/03/06,12.98,True
2012/03/07,13.02,True
2012/03/08,13.18,True
2012/03/09,13.19,True
2012/03/12,13.27,True
2012/03/13,13.32,True
2012/03/14,13.0,True
2012/03/15,13.15,True
2012/03/16,13.17,True
2012/03/19,13.12,True
2012/03/20,13.15,True
2012/03/21,13.09,True
2012/03/22,12.86,True
2012/03/23,12.92,True
2012/03/26,13.11,True
2012/03/27,13.17,True
2012/03/28,13.02,True
2012/03/29,13.02,True
2012/03/30,13.07,True
2012/04/02,13.04,True
2012/04/03,13.25,True
2012/04/04,13.17,True
2012/04/05,12.92,True
2012/04/09,12.86,True
2012/04/10,12.5,True
2012/04/11,12.48,True
2012/04/12,12.66,True
2012/04/13,12.4,True
2012/04/16,12.44,True
2012/04/17,12.34,True
2012/04/18,12.25,True
2012/04/19,12.12,True
2012/04/20,12.26,True
2012/04/23,12.05,True
2012/04/24,12.14,True
2012/04/25,12.22,True
2012/04/26,12.42,True
2012/04/27,12.45,True
2012/04/30,12.52,True
2012/05/01,12.58,True
2012/05/02,12.31,True
2012/05/03,12.21,True
2012/05/04,12.08,True
2012/05/07,12.07,True
2012/05/08,12.01,True
2012/05/09,12.03,True
2012/05/10,12.37,True
2012/05/11,12.36,True
2012/05/14,12.22,True
2012/05/15,12.19,True
2012/05/16,12.13,True
2012/05/17,11.98,True
2012/05/18,11.95,True
2012/05/21,12.23,True
2012/05/22,12.42,True
2012/05/23,12.21,True
2012/05/24,12.38,True
2012/05/25,12.55,True
2012/05/29,12.61,True
2012/05/30,12.32,True
2012/05/31,12.09,True
2012/06/01,11.84,True
2012/06/04,11.82,True
2012/06/05,12.02,True
2012/06/06,12.45,True
2012/06/07,12.36,True
2012/06/08,12.55,True
2012/06/11,12.3,True
2012/06/12,12.33,True
2012/06/13,12.34,True
2012/06/14,12.62,True
