date,PRC,is_prediction
2012/01/03,42.4,True
2012/01/04,43.2,True
2012/01/05,43.63,True
2012/01/06,44.07,True
2012/01/09,44.14,True
2012/01/10,44.32,True
2012/01/11,44.19,True
2012/01/12,43.93,True
2012/01/13,43.7,True
2012/01/17,44.57,True
2012/01/18,44.91,True
2012/01/19,44.13,True
2012/01/20,43.74,True
2012/01/23,43.58,True
2012/01/24,42.77,True
2012/01/25,42.63,True
2012/01/26,42.61,True
2012/01/27,43.43,True
2012/01/30,44.02,True
2012/01/31,43.7,True
2012/02/01,45.07,True
2012/02/02,44.79,True
2012/02/03,44.11,True
2012/02/06,43.745,True
2012/02/07,44.71,True
2012/02/08,45.14,True
2012/02/09,45.8,True
2012/02/10,45.7,True
2012/02/13,46.26,True
2012/02/14,47.27,True
2012/02/15,47.18,True
2012/02/16,47.17,True
2012/02/17,47.08,True
2012/02/21,46.87,True
2012/02/22,47.14,True
2012/02/23,46.69,True
2012/02/24,46.89,True
2012/02/27,46.74,True
2012/02/28,46.64,True
2012/02/29,46.76,True
2012/03/01,47.22,True
2012/03/02,46.58,True
2012/03/05,46.79,True
2012/03/06,45.65,True
2012/03/07,45.72,True
2012/03/08,46.31,True
2012/03/09,46.86,True
2012/03/12,46.0,True
2012/03/13,45.86,True
2012/03/14,45.7,True
2012/03/15,45.96,True
2012/03/16,46.5,True
2012/03/19,46.73,True
2012/03/20,46.3,True
2012/03/21,46.52,True
2012/03/22,46.5,True
2012/03/23,45.6,True
2012/03/26,47.0,True
2012/03/27,47.0,True
2012/03/28,46.52,True
2012/03/29,49.56,True
2012/03/30,50.16,True
2012/04/02,50.23,True
2012/04/03,49.93,True
2012/04/04,49.64,True
2012/04/05,49.62,True
2012/04/09,48.77,True
2012/04/10,47.67,True
2012/04/11,47.69,True
2012/04/12,48.19,True
2012/04/13,47.82,True
2012/04/16,47.23,True
2012/04/17,47.77,True
2012/04/18,47.91,True
2012/04/19,49.07,True
2012/04/20,49.21,True
2012/04/23,48.93,True
2012/04/24,49.04,True
2012/04/25,49.36,True
2012/04/26,45.31,True
2012/04/27,43.52,True
2012/04/30,44.04,True
2012/05/01,44.45,True
2012/05/02,44.93,True
2012/05/03,44.01,True
2012/05/04,43.14,True
2012/05/07,42.98,True
2012/05/08,43.05,True
2012/05/09,42.08,True
2012/05/10,41.84,True
2012/05/11,41.24,True
2012/05/14,41.53,True
2012/05/15,40.83,True
2012/05/16,40.21,True
2012/05/17,39.62,True
2012/05/18,39.23,True
2012/05/21,40.78,True
2012/05/22,40.26,True
2012/05/23,40.34,True
2012/05/24,41.13,True
2012/05/25,41.2,True
2012/05/29,41.81,True
