date,PRC,is_prediction
2012/01/03,44.88,True
2012/01/04,44.57,True
2012/01/05,44.86,True
2012/01/06,44.24,True
2012/01/09,43.23,True
2012/01/10,43.87,True
2012/01/11,44.21,True
2012/01/12,44.07,True
2012/01/13,43.18,True
2012/01/17,43.76,True
2012/01/18,45.18,True
2012/01/19,47.13,True
2012/01/20,47.91,True
2012/01/23,48.05,True
2012/01/24,49.07,True
2012/01/25,49.16,True
2012/01/26,48.78,True
2012/01/27,49.04,True
2012/01/30,48.41,True
2012/01/31,48.23,True
2012/02/01,48.26,True
2012/02/02,48.48,True
2012/02/03,49.98,True
2012/02/06,49.6,True
2012/02/07,49.28,True
2012/02/08,49.37,True
2012/02/09,49.03,True
2012/02/10,48.33,True
2012/02/13,48.91,True
2012/02/14,48.56,True
2012/02/15,48.07,True
2012/02/16,48.18,True
2012/02/17,48.01,True
2012/02/21,47.91,True
2012/02/22,46.96,True
2012/02/23,47.24,True
2012/02/24,46.9,True
2012/02/27,46.7,True
2012/02/28,46.89,True
2012/02/29,47.25,True
2012/03/01,47.41,True
2012/03/02,47.08,True
2012/03/05,47.03,True
2012/03/06,45.22,True
2012/03/07,45.3,True
2012/03/08,44.76,True
2012/03/09,45.16,True
2012/03/12,44.73,True
2012/03/13,46.07,True
2012/03/14,46.21,True
2012/03/15,47.5,True
2012/03/16,46.87,True
2012/03/19,47.57,True
2012/03/20,47.56,True
2012/03/21,46.69,True
2012/03/22,45.6,True
2012/03/23,45.72,True
2012/03/26,46.86,True
2012/03/27,46.64,True
2012/03/28,46.51,True
2012/03/29,45.8,True
2012/03/30,45.99,True
2012/04/02,46.41,True
2012/04/03,45.84,True
2012/04/04,45.04,True
2012/04/05,44.8,True
2012/04/09,43.62,True
2012/04/10,42.22,True
2012/04/11,43.04,True
2012/04/12,44.21,True
2012/04/13,42.88,True
2012/04/16,42.8,True
2012/04/17,43.7,True
2012/04/18,42.8,True
2012/04/19,42.29,True
2012/04/20,41.62,True
2012/04/23,41.36,True
2012/04/24,42.0,True
2012/04/25,45.26,True
2012/04/26,45.02,True
2012/04/27,45.17,True
2012/04/30,45.04,True
2012/05/01,45.51,True
2012/05/02,45.01,True
2012/05/03,44.35,True
2012/05/04,43.48,True
2012/05/07,43.74,True
2012/05/08,43.59,True
2012/05/09,42.77,True
2012/05/10,43.09,True
2012/05/11,43.36,True
2012/05/14,42.73,True
2012/05/15,42.57,True
2012/05/16,41.61,True
2012/05/17,39.82,True
2012/05/18,39.07,True
2012/05/21,39.73,True
2012/05/22,40.11,True
2012/05/23,39.84,True
2012/05/24,39.68,True
2012/05/25,39.22,True
2012/05/29,40.25,True
2012/05/30,39.66,True
2012/05/31,40.08,True
2012/06/01,38.65,True
2012/06/04,38.45,True
2012/06/05,38.89,True
2012/06/06,40.53,True
2012/06/07,40.9,True
2012/06/08,40.64,True
2012/06/11,40.0,True
2012/06/12,40.64,True
2012/06/13,40.28,True
2012/06/14,41.63,True
2012/06/15,41.98,True
2012/06/18,41.37,True
2012/06/19,42.23,True
2012/06/20,42.39,True
2012/06/21,41.07,True
2012/06/22,41.11,True
2012/06/25,39.67,True
2012/06/26,40.22,True
2012/06/27,40.74,True
2012/06/28,41.0,True
2012/06/29,42.59,True
2012/07/02,42.83,True
2012/07/03,43.37,True
2012/07/05,42.95,True
2012/07/06,42.63,True
2012/07/09,42.56,True
2012/07/10,42.29,True
2012/07/11,42.96,True
2012/07/12,42.44,True
2012/07/13,43.6,True
2012/07/16,43.2,True
2012/07/17,43.61,True
2012/07/18,43.9,True
2012/07/19,44.04,True
2012/07/20,43.28,True
2012/07/23,42.41,True
2012/07/24,42.02,True
2012/07/25,41.29,True
2012/07/26,41.48,True
2012/07/27,43.49,True
2012/07/30,43.84,True
2012/07/31,43.78,True
2012/08/01,43.8,True
2012/08/02,43.14,True
2012/08/03,44.58,True
2012/08/06,44.94,True
2012/08/07,45.55,True
2012/08/08,45.78,True
2012/08/09,45.7,True
2012/08/10,45.86,True
2012/08/13,45.56,True
2012/08/14,45.23,True
2012/08/15,45.64,True
2012/08/16,45.9,True
2012/08/17,46.12,True
2012/08/20,46.1,True
2012/08/21,46.51,True
2012/08/22,46.09,True
2012/08/23,45.71,True
2012/08/24,46.18,True
2012/08/27,46.15,True
2012/08/28,46.19,True
2012/08/29,46.33,True
2012/08/30,46.02,True
2012/08/31,46.18,True
2012/09/04,46.5,True
2012/09/05,45.88,True
2012/09/06,47.41,True
2012/09/07,48.29,True
2012/09/10,48.0,True
2012/09/11,48.62,True
2012/09/12,48.54,True
2012/09/13,49.34,True
2012/09/14,49.66,True
2012/09/17,49.27,True
2012/09/18,48.69,True
2012/09/19,48.6,True
2012/09/20,48.65,True
2012/09/21,48.18,True
2012/09/24,48.31,True
2012/09/25,47.56,True
2012/09/26,46.65,True
2012/09/27,47.72,True
2012/09/28,47.88,True
2012/10/01,47.6,True
2012/10/02,47.56,True
2012/10/03,47.53,True
2012/10/04,48.43,True
2012/10/05,48.61,True
2012/10/08,48.67,True
2012/10/09,48.06,True
2012/10/10,47.61,True
2012/10/11,48.29,True
2012/10/12,48.14,True
2012/10/15,48.78,True
2012/10/16,49.41,True
2012/10/17,50.28,True
2012/10/18,50.11,True
