date,PRC,is_prediction
2012/01/03,32.93,True
2012/01/04,32.44,True
2012/01/05,32.43,True
2012/01/06,32.76,True
2012/01/09,32.61,True
2012/01/10,33.14,True
2012/01/11,34.0,True
2012/01/12,33.57,True
2012/01/13,32.22,True
2012/01/17,32.13,True
2012/01/18,32.41,True
2012/01/19,32.69,True
2012/01/20,32.04,True
2012/01/23,31.72,True
2012/01/24,31.39,True
2012/01/25,31.87,True
2012/01/26,31.43,True
2012/01/27,32.01,True
2012/01/30,32.04,True
2012/01/31,32.23,True
2012/02/01,32.01,True
2012/02/02,32.33,True
2012/02/03,33.64,True
2012/02/06,33.37,True
2012/02/07,33.65,True
2012/02/08,34.44,True
2012/02/09,38.06,True
2012/02/10,38.43,True
2012/02/13,38.57,True
2012/02/14,38.48,True
2012/02/15,38.06,True
2012/02/16,38.42,True
2012/02/17,37.8,True
2012/02/21,37.43,True
2012/02/22,36.61,True
2012/02/23,36.52,True
2012/02/24,37.21,True
2012/02/27,37.07,True
2012/02/28,36.69,True
2012/02/29,36.0,True
2012/03/01,35.9,True
2012/03/02,36.3,True
2012/03/05,35.77,True
2012/03/06,34.87,True
2012/03/07,35.55,True
2012/03/08,36.12,True
2012/03/09,36.84,True
2012/03/12,36.63,True
2012/03/13,37.47,True
2012/03/14,36.66,True
2012/03/15,37.35,True
2012/03/16,37.36,True
2012/03/19,37.04,True
2012/03/20,36.75,True
2012/03/21,36.94,True
2012/03/22,36.46,True
2012/03/23,36.62,True
2012/03/26,37.77,True
2012/03/27,37.68,True
2012/03/28,36.88,True
2012/03/29,36.92,True
2012/03/30,36.7,True
2012/04/02,36.73,True
2012/04/03,36.38,True
2012/04/04,36.48,True
2012/04/05,36.33,True
2012/04/09,35.69,True
2012/04/10,35.12,True
2012/04/11,35.98,True
2012/04/12,36.54,True
2012/04/13,36.76,True
2012/04/16,36.73,True
2012/04/17,37.63,True
2012/04/18,38.41,True
2012/04/19,37.86,True
2012/04/20,37.4,True
2012/04/23,38.1,True
2012/04/24,37.74,True
2012/04/25,38.75,True
2012/04/26,33.15,True
2012/04/27,33.18,True
2012/04/30,32.59,True
2012/05/01,33.61,True
2012/05/02,34.09,True
2012/05/03,33.28,True
2012/05/04,32.56,True
2012/05/07,32.28,True
2012/05/08,32.28,True
2012/05/09,31.93,True
2012/05/10,31.37,True
2012/05/11,31.17,True
2012/05/14,29.66,True
2012/05/15,30.19,True
2012/05/16,29.17,True
2012/05/17,29.29,True
2012/05/18,28.45,True
2012/05/21,29.3,True
2012/05/22,29.18,True
2012/05/23,29.68,True
2012/05/24,29.4,True
2012/05/25,29.31,True
2012/05/29,29.98,True
2012/05/30,29.21,True
2012/05/31,29.34,True
2012/06/01,28.2,True
2012/06/04,28.36,True
2012/06/05,27.44,True
2012/06/06,28.99,True
2012/06/07,29.07,True
2012/06/08,30.12,True
2012/06/11,29.75,True
2012/06/12,30.26,True
2012/06/13,29.56,True
2012/06/14,29.95,True
2012/06/15,31.14,True
2012/06/18,31.33,True
2012/06/19,31.87,True
2012/06/20,31.69,True
2012/06/21,30.27,True
2012/06/22,30.81,True
2012/06/25,30.08,True
2012/06/26,30.39,True
2012/06/27,30.65,True
2012/06/28,30.43,True
2012/06/29,31.75,True
2012/07/02,31.54,True
2012/07/03,32.16,True
2012/07/05,32.22,True
2012/07/06,31.28,True
2012/07/09,29.99,True
2012/07/10,29.71,True
2012/07/11,29.37,True
2012/07/12,29.41,True
2012/07/13,30.08,True
2012/07/16,30.01,True
2012/07/17,30.23,True
2012/07/18,29.92,True
2012/07/19,30.49,True
2012/07/20,29.91,True
2012/07/23,28.66,True
2012/07/24,28.385,True
2012/07/25,28.25,True
2012/07/26,35.04,True
2012/07/27,35.86,True
2012/07/30,35.82,True
2012/07/31,35.18,True
2012/08/01,35.13,True
2012/08/02,34.69,True
2012/08/03,35.48,True
2012/08/06,35.82,True
2012/08/07,36.34,True
2012/08/08,36.18,True
2012/08/09,36.21,True
2012/08/10,35.97,True
2012/08/13,35.74,True
2012/08/14,35.44,True
2012/08/15,36.8,True
2012/08/16,37.81,True
2012/08/17,37.55,True
2012/08/20,37.05,True
2012/08/21,37.43,True
2012/08/22,37.96,True
2012/08/23,37.13,True
2012/08/24,37.1,True
2012/08/27,37.24,True
2012/08/28,37.31,True
2012/08/29,37.68,True
2012/08/30,37.31,True
2012/08/31,37.51,True
2012/09/04,37.67,True
2012/09/05,37.71,True
2012/09/06,39.208,True
2012/09/07,38.73,True
2012/09/10,38.485,True
2012/09/11,38.12,True
2012/09/12,37.89,True
2012/09/13,38.175,True
2012/09/14,39.03,True
2012/09/17,38.84,True
2012/09/18,38.65,True
2012/09/19,38.96,True
2012/09/20,38.68,True
2012/09/21,38.81,True
2012/09/24,38.36,True
2012/09/25,38.455,True
2012/09/26,37.925,True
2012/09/27,38.49,True
2012/09/28,38.26,True
2012/10/01,38.205,True
2012/10/02,38.43,True
2012/10/03,39.04,True
2012/10/04,39.425,True
2012/10/05,39.41,True
2012/10/08,39.6,True
2012/10/09,38.36,True
2012/10/10,37.83,True
2012/10/11,37.89,True
2012/10/12,37.58,True
2012/10/15,37.9,True
2012/10/16,38.73,True
2012/10/17,37.9804,True
2012/10/18,37.28,True
2012/10/19,36.37,True
2012/10/22,36.57,True
2012/10/23,36.49,True
2012/10/24,36.11,True
2012/10/25,38.54,True
2012/10/26,38.39,True
2012/10/31,37.99,True
2012/11/01,38.57,True
2012/11/02,38.28,True
2012/11/05,38.96,True
2012/11/06,38.8711,True
2012/11/07,37.57,True
2012/11/08,37.07,True
2012/11/09,36.4,True
2012/11/12,36.57,True
2012/11/13,36.31,True
2012/11/14,35.38,True
2012/11/15,36.23,True
2012/11/16,36.1,True
2012/11/19,35.87,True
2012/11/20,35.63,True
2012/11/21,35.83,True
2012/11/23,35.97,True
2012/11/26,35.73,True
2012/11/27,34.57,True
2012/11/28,35.88,True
2012/11/29,36.24,True
2012/11/30,36.62,True
2012/12/03,36.1,True
2012/12/04,36.0,True
2012/12/05,35.5,True
2012/12/06,39.06,True
2012/12/07,38.82,True
2012/12/10,39.2,True
2012/12/11,39.6,True
2012/12/12,39.97,True
2012/12/13,39.09,True
2012/12/14,38.96,True
2012/12/17,39.46,True
2012/12/18,40.94,True
2012/12/19,41.41,True
2012/12/20,41.86,True
2012/12/21,41.76,True
2012/12/24,41.39,True
2012/12/26,41.25,True
2012/12/27,41.03,True
2012/12/28,40.4,True
2012/12/31,40.91,True
2013/01/01,40.934343462560676,False
2013/01/02,41.11748269213216,False
2013/01/03,41.07152083309258,False
2013/01/04,41.08931493531767,False
2013/01/07,41.12818683118216,False
2013/01/08,41.183385111864965,False
2013/01/09,41.2113490912607,False
2013/01/10,41.238205139347706,False
2013/01/11,41.26247479390392,False
2013/01/14,41.29811858097611,False
2013/01/15,41.33245018467531,False
2013/01/16,41.36576734399943,False
2013/01/17,41.39689526030126,False
2013/01/18,41.42883065556766,False
2013/01/21,41.46139930827326,False
2013/01/22,41.49424122862471,False
2013/01/23,41.5266286427017,False
2013/01/24,41.55887476196021,False
2013/01/25,41.59114534463381,False
2013/01/28,41.62356721413532,False
2013/01/29,41.655996215625144,False
2013/01/30,41.68838700814003,False
2013/01/31,41.7207442312012,False
2013/02/01,41.75311394461163,False
2013/02/04,41.78549890949496,False
2013/02/05,41.81788786736363,False
2013/02/06,41.8502693604885,False
2013/02/07,41.882647236297174,False
2013/02/08,41.91502612459535,False
2013/02/11,41.94740757378179,False
2013/02/12,41.9797893303603,False
2013/02/13,42.01217021836522,False
2013/02/14,42.044550508034476,False
2013/02/15,42.076931005270296,False
2013/02/18,42.10931180786331,False
2013/02/19,42.14169269155607,False
2013/02/20,42.17407345637631,False
2013/02/21,42.20645414599535,False
2013/02/22,42.23883483534189,False
2013/02/25,42.271215569410636,False
2013/02/26,42.303596305597324,False
2013/02/27,42.33597703438541,False
2013/02/28,42.368357754200545,False
2013/03/01,42.40073848125001,False
2013/03/04,42.4331192063968,False
2013/03/05,42.46549991620261,False
2013/03/06,42.497880633608254,False
2013/03/07,42.530261347465675,False
2013/03/08,42.56264206563182,False
2013/03/11,42.59502277540594,False
