date,PRC,is_prediction
2012/01/03,52.73,True
2012/01/04,53.5,True
2012/01/05,53.58,True
2012/01/06,53.47,True
2012/01/09,53.43,True
2012/01/10,55.09,True
2012/01/11,55.37,True
2012/01/12,57.49,True
2012/01/13,56.8,True
2012/01/17,57.34,True
2012/01/18,58.51,True
2012/01/19,60.09,True
2012/01/20,59.64,True
2012/01/23,60.09,True
2012/01/24,62.66,True
2012/01/25,62.09,True
2012/01/26,63.02,True
2012/01/27,63.25,True
2012/01/30,63.42,True
2012/01/31,64.31,True
2012/02/01,66.4,True
2012/02/02,65.67,True
2012/02/03,66.99,True
2012/02/06,67.5,True
2012/02/07,66.9,True
2012/02/08,66.73,True
2012/02/09,66.51,True
2012/02/10,65.23,True
2012/02/13,66.14,True
2012/02/14,65.25,True
2012/02/15,64.71,True
2012/02/16,66.38,True
2012/02/17,66.28,True
2012/02/21,65.77,True
2012/02/22,66.19,True
2012/02/23,66.58,True
2012/02/24,66.14,True
2012/02/27,66.89,True
2012/02/28,66.73,True
2012/02/29,66.52,True
2012/03/01,67.7,True
2012/03/02,65.92,True
2012/03/05,62.4,True
2012/03/06,60.05,True
2012/03/07,61.5,True
2012/03/08,62.93,True
2012/03/09,63.05,True
2012/03/12,62.75,True
2012/03/13,63.66,True
2012/03/14,63.91,True
2012/03/15,64.6,True
2012/03/16,64.37,True
2012/03/19,64.38,True
2012/03/20,64.02,True
2012/03/21,64.28,True
2012/03/22,63.43,True
2012/03/23,62.67,True
2012/03/26,64.39,True
2012/03/27,64.63,True
2012/03/28,63.16,True
2012/03/29,63.69,True
2012/03/30,63.92,True
2012/04/02,65.18,True
2012/04/03,64.42,True
2012/04/04,63.64,True
2012/04/05,63.02,True
2012/04/09,63.03,True
2012/04/10,61.31,True
2012/04/11,61.98,True
2012/04/12,63.72,True
2012/04/13,62.85,True
2012/04/16,63.37,True
2012/04/17,64.12,True
2012/04/18,65.25,True
2012/04/19,63.73,True
2012/04/20,65.44,True
2012/04/23,64.41,True
2012/04/24,63.23,True
2012/04/25,64.56,True
2012/04/26,65.13,True
2012/04/27,66.23,True
2012/04/30,65.3,True
2012/05/01,66.07,True
2012/05/02,66.06,True
2012/05/03,65.5,True
2012/05/04,63.66,True
2012/05/07,64.25,True
2012/05/08,63.25,True
2012/05/09,62.61,True
2012/05/10,62.9,True
2012/05/11,63.28,True
2012/05/14,60.97,True
2012/05/15,61.85,True
2012/05/16,62.81,True
2012/05/17,59.98,True
2012/05/18,59.3,True
2012/05/21,61.69,True
2012/05/22,59.57,True
2012/05/23,60.1,True
2012/05/24,60.49,True
2012/05/25,61.43,True
2012/05/29,63.68,True
2012/05/30,60.78,True
2012/05/31,60.7,True
2012/06/01,56.9,True
2012/06/04,57.26,True
2012/06/05,59.38,True
2012/06/06,60.51,True
2012/06/07,60.34,True
2012/06/08,60.83,True
2012/06/11,58.67,True
2012/06/12,59.7,True
2012/06/13,57.74,True
2012/06/14,57.93,True
2012/06/15,59.28,True
2012/06/18,60.32,True
2012/06/19,61.75,True
2012/06/20,61.82,True
2012/06/21,59.05,True
2012/06/22,58.74,True
2012/06/25,57.7,True
2012/06/26,58.47,True
2012/06/27,57.75,True
2012/06/28,57.89,True
2012/06/29,59.64,True
2012/07/02,60.19,True
2012/07/03,61.9,True
2012/07/05,61.57,True
2012/07/06,59.99,True
2012/07/09,59.45,True
2012/07/10,58.88,True
2012/07/11,57.3,True
2012/07/12,56.53,True
2012/07/13,57.94,True
2012/07/16,57.32,True
2012/07/17,57.23,True
2012/07/18,55.61,True
2012/07/19,57.53,True
2012/07/20,57.07,True
2012/07/23,56.7,True
2012/07/24,54.84,True
2012/07/25,55.14,True
2012/07/26,56.37,True
2012/07/27,58.12,True
2012/07/30,58.22,True
2012/07/31,58.22,True
2012/08/01,57.75,True
2012/08/02,56.53,True
2012/08/03,58.53,True
2012/08/06,59.11,True
2012/08/07,60.23,True
2012/08/08,60.18,True
2012/08/09,60.87,True
2012/08/10,60.99,True
2012/08/13,61.07,True
2012/08/14,60.44,True
2012/08/15,60.87,True
2012/08/16,61.2,True
2012/08/17,61.31,True
2012/08/20,61.16,True
2012/08/21,58.86,True
2012/08/22,57.95,True
2012/08/23,56.7,True
2012/08/24,56.4,True
2012/08/27,55.31,True
2012/08/28,54.52,True
2012/08/29,54.73,True
2012/08/30,54.4,True
2012/08/31,54.73,True
2012/09/04,54.08,True
2012/09/05,54.06,True
2012/09/06,55.75,True
2012/09/07,56.92,True
2012/09/10,56.75,True
2012/09/11,56.78,True
2012/09/12,54.68,True
2012/09/13,53.48,True
2012/09/14,53.89,True
2012/09/17,53.46,True
2012/09/18,52.68,True
2012/09/19,54.27,True
2012/09/20,53.58,True
2012/09/21,53.21,True
2012/09/24,52.87,True
2012/09/25,51.65,True
2012/09/26,51.56,True
2012/09/27,52.41,True
2012/09/28,52.68,True
2012/10/01,52.7,True
2012/10/02,53.0,True
2012/10/03,53.01,True
2012/10/04,53.75,True
2012/10/05,54.35,True
2012/10/08,53.59,True
2012/10/09,52.68,True
2012/10/10,51.84,True
2012/10/11,52.33,True
2012/10/12,52.01,True
2012/10/15,52.35,True
2012/10/16,53.8,True
2012/10/17,54.28,True
2012/10/18,55.72,True
2012/10/19,55.33,True
2012/10/22,56.18,True
2012/10/23,55.43,True
2012/10/24,55.01,True
2012/10/25,55.09,True
2012/10/26,55.29,True
2012/10/31,55.11,True
2012/11/01,56.79,True
2012/11/02,56.23,True
2012/11/05,56.81,True
2012/11/06,57.02,True
2012/11/07,55.51,True
2012/11/08,54.49,True
2012/11/09,54.21,True
2012/11/12,55.11,True
2012/11/13,55.65,True
2012/11/14,54.34,True
2012/11/15,54.08,True
2012/11/16,54.31,True
2012/11/19,56.38,True
2012/11/20,56.41,True
2012/11/21,56.41,True
2012/11/23,57.54,True
2012/11/26,57.49,True
2012/11/27,57.91,True
2012/11/28,59.19,True
2012/11/29,60.17,True
2012/11/30,59.79,True
2012/12/03,58.83,True
2012/12/04,58.96,True
2012/12/05,59.14,True
2012/12/06,59.18,True
2012/12/07,59.2,True
2012/12/10,59.76,True
2012/12/11,59.9,True
2012/12/12,59.39,True
2012/12/13,59.27,True
2012/12/14,59.37,True
2012/12/17,60.19,True
2012/12/18,61.79,True
2012/12/19,62.02,True
2012/12/20,62.05,True
2012/12/21,61.66,True
2012/12/24,61.93,True
2012/12/26,61.67,True
2012/12/27,61.7,True
2012/12/28,60.89,True
2012/12/31,62.12,True
2013/01/01,62.16654703296956,False
2013/01/02,62.233201670101124,False
2013/01/03,62.25088432486852,False
2013/01/04,62.27570793051775,False
2013/01/07,62.20504834350691,False
2013/01/08,62.313287611080696,False
2013/01/09,62.30738743624648,False
2013/01/10,62.34865688415558,False
2013/01/11,62.38941874400299,False
2013/01/14,62.430183704111855,False
2013/01/15,62.46101475147663,False
2013/01/16,62.50601506289708,False
2013/01/17,62.5375445981238,False
2013/01/18,62.57507496942724,False
2013/01/21,62.6112691315386,False
2013/01/22,62.647592145817846,False
2013/01/23,62.68330953772544,False
2013/01/24,62.72043747189596,False
2013/01/25,62.75626938532204,False
2013/01/28,62.79288133236709,False
2013/01/29,62.82922999910964,False
2013/01/30,62.86561182578322,False
2013/01/31,62.90193504724811,False
2013/02/01,62.93837416715655,False
2013/02/04,62.97468132202912,False
2013/02/05,63.011078665671114,False
2013/02/06,63.04743800584976,False
2013/02/07,63.08380751183271,False
2013/02/08,63.12017202988602,False
2013/02/11,63.15654676572103,False
2013/02/12,63.19290874962853,False
2013/02/13,63.22928052587183,False
2013/02/14,63.26564707633122,False
2013/02/15,63.302015283361314,False
2013/02/18,63.338382760701165,False
2013/02/19,63.3747510883276,False
2013/02/20,63.4111181758237,False
2013/02/21,63.44748624949006,False
2013/02/22,63.483853651566406,False
2013/02/25,63.520221273289884,False
2013/02/26,63.55658876560892,False
2013/02/27,63.59295627599989,False
2013/02/28,63.62932362656204,False
2013/03/01,63.66569102494275,False
2013/03/04,63.70205830242045,False
2013/03/05,63.73842557460861,False
2013/03/06,63.774792765364936,False
2013/03/07,63.81115992676622,False
2013/03/08,63.847527031165775,False
2013/03/11,63.88389410791667,False
