date,PRC,is_prediction
2012/01/03,23.95,True
2012/01/04,24.41,True
2012/01/05,24.19,True
2012/01/06,23.71,True
2012/01/09,22.67,True
2012/01/10,23.33,True
2012/01/11,23.95,True
2012/01/12,24.71,True
2012/01/13,24.08,True
2012/01/17,24.91,True
2012/01/18,24.79,True
2012/01/19,25.24,True
2012/01/20,25.2,True
2012/01/23,25.0,True
2012/01/24,24.91,True
2012/01/25,24.8,True
2012/01/26,24.95,True
2012/01/27,25.55,True
2012/01/30,25.38,True
2012/01/31,23.56,True
2012/02/01,24.38,True
2012/02/02,24.75,True
2012/02/03,25.43,True
2012/02/06,25.86,True
2012/02/07,25.92,True
2012/02/08,27.08,True
2012/02/09,26.06,True
2012/02/10,26.02,True
2012/02/13,26.43,True
2012/02/14,26.47,True
2012/02/15,26.36,True
2012/02/16,27.07,True
2012/02/17,27.22,True
2012/02/21,26.83,True
2012/02/22,26.53,True
2012/02/23,26.5,True
2012/02/24,26.62,True
2012/02/27,27.12,True
2012/02/28,26.74,True
2012/02/29,25.61,True
2012/03/01,26.18,True
2012/03/02,25.99,True
2012/03/05,25.89,True
2012/03/06,25.35,True
2012/03/07,25.77,True
2012/03/08,26.5,True
2012/03/09,26.6,True
2012/03/12,26.04,True
2012/03/13,27.09,True
2012/03/14,26.85,True
2012/03/15,27.19,True
2012/03/16,27.07,True
2012/03/19,26.74,True
2012/03/20,26.4,True
2012/03/21,26.79,True
2012/03/22,26.13,True
2012/03/23,26.8,True
2012/03/26,28.24,True
2012/03/27,28.13,True
2012/03/28,27.91,True
2012/03/29,27.25,True
2012/03/30,27.55,True
2012/04/02,28.7,True
2012/04/03,28.67,True
2012/04/04,27.68,True
2012/04/05,27.74,True
2012/04/09,27.25,True
2012/04/10,26.33,True
2012/04/11,26.75,True
2012/04/12,27.27,True
2012/04/13,26.73,True
2012/04/16,26.81,True
2012/04/17,27.85,True
2012/04/18,28.3,True
2012/04/19,28.11,True
2012/04/20,27.94,True
2012/04/23,27.44,True
2012/04/24,31.76,True
2012/04/25,31.83,True
2012/04/26,31.45,True
2012/04/27,31.96,True
2012/04/30,31.71,True
2012/05/01,32.1,True
2012/05/02,32.43,True
2012/05/03,32.31,True
2012/05/04,31.48,True
2012/05/07,31.6,True
2012/05/08,31.46,True
2012/05/09,31.44,True
2012/05/10,31.13,True
2012/05/11,30.8,True
2012/05/14,30.59,True
2012/05/15,31.25,True
2012/05/16,30.89,True
2012/05/17,30.32,True
2012/05/18,29.72,True
2012/05/21,31.21,True
2012/05/22,31.21,True
2012/05/23,31.23,True
2012/05/24,31.51,True
2012/05/25,31.85,True
2012/05/29,32.26,True
2012/05/30,31.4,True
2012/05/31,31.23,True
2012/06/01,29.57,True
2012/06/04,28.87,True
2012/06/05,30.1,True
2012/06/06,31.22,True
2012/06/07,30.32,True
2012/06/08,30.86,True
2012/06/11,30.21,True
2012/06/12,30.51,True
2012/06/13,31.1,True
2012/06/14,31.17,True
2012/06/15,31.74,True
2012/06/18,33.25,True
2012/06/19,34.73,True
2012/06/20,34.39,True
2012/06/21,32.81,True
2012/06/22,32.8,True
2012/06/25,31.93,True
2012/06/26,32.39,True
2012/06/27,32.41,True
2012/06/28,31.9,True
2012/06/29,33.46,True
2012/07/02,35.22,True
2012/07/03,35.04,True
2012/07/05,34.94,True
2012/07/06,34.2,True
2012/07/09,34.64,True
2012/07/10,33.59,True
2012/07/11,32.77,True
2012/07/12,31.58,True
2012/07/13,31.66,True
2012/07/16,30.98,True
2012/07/17,30.89,True
2012/07/18,30.86,True
2012/07/19,31.7,True
2012/07/20,34.18,True
2012/07/23,33.65,True
2012/07/24,33.16,True
2012/07/25,34.26,True
2012/07/26,35.0,True
2012/07/27,35.82,True
2012/07/30,34.34,True
2012/07/31,33.96,True
2012/08/01,33.57,True
2012/08/02,33.56,True
2012/08/03,34.3,True
2012/08/06,34.26,True
2012/08/07,35.29,True
2012/08/08,34.59,True
2012/08/09,34.72,True
2012/08/10,34.44,True
2012/08/13,34.04,True
