date,PRC,is_prediction
2012/01/03,73.95,True
2012/01/04,74.43,True
2012/01/05,75.24,True
2012/01/06,73.86,True
2012/01/09,74.76,True
2012/01/10,73.9,True
2012/01/11,72.85,True
2012/01/12,72.16,True
2012/01/13,72.51,True
2012/01/17,72.36,True
2012/01/18,73.41,True
2012/01/19,74.02,True
2012/01/20,73.52,True
2012/01/23,73.72,True
2012/01/24,74.26,True
2012/01/25,75.44,True
2012/01/26,72.71,True
2012/01/27,74.56,True
2012/01/30,74.55,True
2012/01/31,76.13,True
2012/02/01,77.68,True
2012/02/02,77.43,True
2012/02/03,78.37,True
2012/02/06,77.43,True
2012/02/07,76.83,True
2012/02/08,75.72,True
2012/02/09,76.03,True
2012/02/10,74.5,True
2012/02/13,75.75,True
2012/02/14,76.0,True
2012/02/15,74.75,True
2012/02/16,77.07,True
2012/02/17,76.38,True
2012/02/21,72.47,True
2012/02/22,70.08,True
2012/02/23,69.22,True
2012/02/24,67.86,True
2012/02/27,69.2,True
2012/02/28,69.51,True
2012/02/29,68.57,True
2012/03/01,69.52,True
2012/03/02,69.11,True
2012/03/05,68.51,True
2012/03/06,68.36,True
2012/03/07,68.38,True
2012/03/08,68.67,True
2012/03/09,69.48,True
2012/03/12,68.77,True
2012/03/13,70.02,True
2012/03/14,69.24,True
2012/03/15,71.96,True
2012/03/16,69.79,True
2012/03/19,35.16,True
2012/03/20,35.3,True
2012/03/21,35.15,True
2012/03/22,34.6,True
2012/03/23,34.69,True
2012/03/26,35.99,True
2012/03/27,35.5,True
2012/03/28,36.07,True
2012/03/29,36.24,True
2012/03/30,35.82,True
2012/04/02,35.64,True
2012/04/03,36.1,True
2012/04/04,36.33,True
2012/04/05,36.08,True
2012/04/09,35.26,True
2012/04/10,34.25,True
2012/04/11,34.46,True
2012/04/12,35.27,True
2012/04/13,34.76,True
2012/04/16,34.9,True
2012/04/17,35.23,True
2012/04/18,34.97,True
2012/04/19,34.69,True
2012/04/20,34.51,True
