date,PRC,is_prediction
2012/01/03,70.57,True
2012/01/04,70.29,True
2012/01/05,72.41,True
2012/01/06,74.45,True
2012/01/09,74.27,True
2012/01/10,74.68,True
2012/01/11,73.64,True
2012/01/12,74.32,True
2012/01/13,74.62,True
2012/01/17,77.11,True
2012/01/18,76.99,True
2012/01/19,75.69,True
2012/01/20,73.58,True
2012/01/23,74.33,True
2012/01/24,73.98,True
2012/01/25,74.94,True
2012/01/26,74.95,True
2012/01/27,75.4,True
2012/01/30,75.01,True
2012/01/31,76.76,True
2012/02/01,77.35,True
2012/02/02,77.78,True
2012/02/03,78.875,True
2012/02/06,79.75,True
2012/02/07,78.81,True
2012/02/08,76.69,True
2012/02/09,80.41,True
2012/02/10,83.445,True
2012/02/13,84.35,True
2012/02/14,83.39,True
2012/02/15,83.005,True
2012/02/16,83.0,True
2012/02/17,81.0,True
2012/02/21,81.81,True
2012/02/22,83.46,True
2012/02/23,85.91,True
2012/02/24,84.63,True
2012/02/27,83.76,True
2012/02/28,84.85,True
2012/02/29,83.73,True
2012/03/01,84.54,True
2012/03/02,85.26,True
2012/03/05,84.2,True
2012/03/06,83.28,True
2012/03/07,83.85,True
2012/03/08,84.91,True
2012/03/09,84.73,True
2012/03/12,87.87,True
2012/03/13,89.51,True
2012/03/14,89.17,True
2012/03/15,89.52,True
2012/03/16,89.01,True
2012/03/19,89.81,True
2012/03/20,90.02,True
2012/03/21,92.8,True
2012/03/22,94.02,True
2012/03/23,93.82,True
2012/03/26,94.31,True
2012/03/27,93.28,True
2012/03/28,90.22,True
2012/03/29,91.26,True
2012/03/30,92.86,True
2012/04/02,93.05,True
2012/04/03,93.87,True
2012/04/04,92.83,True
2012/04/05,93.67,True
2012/04/09,91.88,True
2012/04/10,89.22,True
2012/04/11,89.81,True
2012/04/12,90.1,True
2012/04/13,89.02,True
2012/04/16,88.67,True
2012/04/17,89.71,True
2012/04/18,90.36,True
2012/04/19,90.97,True
2012/04/20,91.76,True
2012/04/23,91.94,True
2012/04/24,88.9,True
2012/04/25,90.46,True
2012/04/26,89.38,True
2012/04/27,90.56,True
2012/04/30,90.32,True
2012/05/01,91.73,True
2012/05/02,92.26,True
2012/05/03,90.99,True
2012/05/04,87.28,True
2012/05/07,86.39,True
2012/05/08,85.75,True
2012/05/09,84.34,True
2012/05/10,86.22,True
2012/05/11,86.29,True
2012/05/14,86.02,True
2012/05/15,86.73,True
2012/05/16,86.99,True
2012/05/17,84.35,True
2012/05/18,84.26,True
2012/05/21,88.76,True
2012/05/22,92.54,True
2012/05/23,90.57,True
2012/05/24,93.1,True
2012/05/25,92.42,True
2012/05/29,92.07,True
2012/05/30,91.69,True
2012/05/31,90.57,True
2012/06/01,87.6,True
2012/06/04,88.39,True
2012/06/05,89.8,True
2012/06/06,90.84,True
2012/06/07,90.38,True
2012/06/08,92.43,True
2012/06/11,90.45,True
2012/06/12,93.72,True
2012/06/13,91.66,True
2012/06/14,92.96,True
2012/06/15,93.31,True
2012/06/18,94.06,True
2012/06/19,98.7,True
2012/06/20,97.82,True
2012/06/21,94.99,True
2012/06/22,95.95,True
2012/06/25,95.9,True
2012/06/26,97.38,True
2012/06/27,99.46,True
2012/06/28,96.49,True
2012/06/29,99.3,True
2012/07/02,103.83,True
2012/07/03,103.74,True
2012/07/05,103.39,True
2012/07/06,101.25,True
2012/07/09,100.43,True
2012/07/10,98.11,True
2012/07/11,96.68,True
2012/07/12,97.19,True
2012/07/13,97.35,True
2012/07/16,97.5,True
2012/07/17,98.97,True
2012/07/18,100.11,True
2012/07/19,100.32,True
2012/07/20,99.35,True
2012/07/23,98.44,True
2012/07/24,97.62,True
2012/07/25,105.13,True
2012/07/26,106.14,True
2012/07/27,108.97,True
2012/07/30,104.59,True
2012/07/31,104.85,True
2012/08/01,102.72,True
2012/08/02,102.3,True
2012/08/03,106.96,True
2012/08/06,106.13,True
2012/08/07,105.1,True
2012/08/08,104.72,True
2012/08/09,103.63,True
2012/08/10,103.42,True
2012/08/13,103.68,True
2012/08/14,104.03,True
2012/08/15,105.35,True
2012/08/16,103.61,True
2012/08/17,102.31,True
2012/08/20,101.59,True
2012/08/21,101.65,True
2012/08/22,104.23,True
2012/08/23,103.7,True
2012/08/24,106.74,True
2012/08/27,106.94,True
2012/08/28,107.54,True
2012/08/29,106.57,True
2012/08/30,105.6,True
2012/08/31,107.21,True
2012/09/04,108.4,True
2012/09/05,106.81,True
2012/09/06,109.03,True
2012/09/07,110.61,True
2012/09/10,110.07,True
2012/09/11,109.65,True
2012/09/12,109.06,True
2012/09/13,110.46,True
2012/09/14,110.47,True
2012/09/17,111.73,True
2012/09/18,113.08,True
2012/09/19,113.97,True
2012/09/20,113.73,True
2012/09/21,114.21,True
2012/09/24,112.92,True
2012/09/25,113.9,True
2012/09/26,111.96,True
2012/09/27,113.25,True
2012/09/28,114.4,True
2012/10/01,116.0,True
2012/10/02,116.63,True
2012/10/03,117.82,True
2012/10/04,117.72,True
2012/10/05,118.15,True
2012/10/08,115.24,True
2012/10/09,111.3,True
2012/10/10,111.41,True
2012/10/11,112.16,True
2012/10/12,111.19,True
2012/10/15,111.42,True
2012/10/16,111.74,True
2012/10/17,114.59,True
2012/10/18,113.67,True
2012/10/19,107.62,True
2012/10/22,104.03,True
2012/10/23,100.94,True
2012/10/24,93.56,True
2012/10/25,96.45,True
2012/10/26,95.26,True
2012/10/31,90.38,True
2012/11/01,92.4,True
2012/11/02,89.09,True
2012/11/05,90.59,True
2012/11/06,90.32,True
2012/11/07,87.97,True
2012/11/08,88.69,True
2012/11/09,90.8,True
2012/11/12,91.98,True
2012/11/13,91.37,True
2012/11/14,89.44,True
2012/11/15,88.25,True
2012/11/16,90.91,True
2012/11/19,92.47,True
2012/11/20,94.06,True
2012/11/21,93.46,True
2012/11/23,94.71,True
2012/11/26,94.0661,True
2012/11/27,93.91,True
2012/11/28,96.02,True
2012/11/29,95.65,True
2012/11/30,96.02,True
2012/12/03,95.19,True
2012/12/04,95.16,True
2012/12/05,94.11,True
2012/12/06,93.59,True
2012/12/07,91.5,True
2012/12/10,92.65,True
2012/12/11,95.23,True
2012/12/12,95.09,True
2012/12/13,94.12,True
2012/12/14,93.4,True
2012/12/17,95.19,True
2012/12/18,97.29,True
2012/12/19,95.05,True
2012/12/20,95.86,True
2012/12/21,93.88,True
2012/12/24,95.39,True
2012/12/26,93.77,True
2012/12/27,93.62,True
2012/12/28,92.36,True
2012/12/31,93.74,True
2013/01/01,93.99510791673833,False
2013/01/02,94.16457737180305,False
2013/01/03,94.29731005040229,False
2013/01/04,94.22124515287818,False
2013/01/07,94.25825594165549,False
2013/01/08,94.37208967674322,False
2013/01/09,94.48627961860669,False
2013/01/10,94.60177832155512,False
2013/01/11,94.69938948660491,False
2013/01/14,94.78316924906846,False
2013/01/15,94.86912217339044,False
2013/01/16,94.95935585041519,False
2013/01/17,95.05267516675862,False
2013/01/18,95.14714964783758,False
2013/01/21,95.24054849786165,False
2013/01/22,95.33278626083258,False
2013/01/23,95.42464564210212,False
2013/01/24,95.51662501211415,False
2013/01/25,95.60891023759035,False
2013/01/28,95.70138407230985,False
2013/01/29,95.79385617452805,False
2013/01/30,95.88625189438615,False
2013/01/31,95.97858698476546,False
2013/02/01,96.07090648396576,False
2013/02/04,96.16324208065649,False
2013/02/05,96.25559685345728,False
2013/02/06,96.34795924722852,False
2013/02/07,96.44031951596263,False
2013/02/08,96.5326745107226,False
2013/02/11,96.62502630298225,False
2013/02/12,96.71737789905633,False
2013/02/13,96.80973078970369,False
2013/02/14,96.90208463287608,False
2013/02/15,96.99443877608347,False
2013/02/18,97.08679258926932,False
2013/02/19,97.17914598445557,False
2013/02/20,97.27149928428172,False
2013/02/21,97.36385262593757,False
2013/02/22,97.45620597363366,False
2013/02/25,97.54855946631164,False
2013/02/26,97.64091282898023,False
2013/02/27,97.73326606516656,False
2013/02/28,97.82561935600637,False
2013/03/01,97.91797251151723,False
2013/03/04,98.01032564623294,False
2013/03/05,98.10267884597727,False
2013/03/06,98.19503199077218,False
2013/03/07,98.28738513027129,False
2013/03/08,98.37973822796069,False
2013/03/11,98.47209127839118,False
