date,PRC,is_prediction
2012/01/03,10.7,True
2012/01/04,10.76,True
2012/01/05,10.83,True
2012/01/06,11.01,True
2012/01/09,11.34,True
2012/01/10,11.6,True
2012/01/11,11.71,True
2012/01/12,11.8,True
2012/01/13,11.5,True
2012/01/17,11.775,True
2012/01/18,12.12,True
2012/01/19,12.31,True
2012/01/20,12.47,True
2012/01/23,12.22,True
2012/01/24,12.305,True
2012/01/25,12.36,True
2012/01/26,12.4,True
2012/01/27,12.23,True
2012/01/30,12.06,True
2012/01/31,12.275,True
2012/02/01,12.57,True
2012/02/02,12.64,True
2012/02/03,12.79,True
2012/02/06,12.61,True
2012/02/07,12.74,True
2012/02/08,13.0,True
2012/02/09,13.11,True
2012/02/10,12.95,True
2012/02/13,12.93,True
2012/02/14,12.87,True
2012/02/15,12.9,True
2012/02/16,13.21,True
2012/02/17,12.99,True
2012/02/21,12.71,True
2012/02/22,12.9,True
2012/02/23,12.74,True
2012/02/24,12.63,True
2012/02/27,12.53,True
2012/02/28,12.56,True
2012/02/29,12.25,True
2012/03/01,12.24,True
2012/03/02,12.22,True
2012/03/05,12.03,True
2012/03/06,12.005,True
2012/03/07,12.1,True
2012/03/08,12.185,True
2012/03/09,12.37,True
2012/03/12,12.375,True
2012/03/13,12.5,True
2012/03/14,12.54,True
2012/03/15,12.79,True
2012/03/16,12.82,True
2012/03/19,12.83,True
2012/03/20,12.71,True
2012/03/21,12.72,True
2012/03/22,12.65,True
2012/03/23,12.69,True
2012/03/26,12.96,True
2012/03/27,12.82,True
2012/03/28,12.46,True
2012/03/29,12.48,True
2012/03/30,12.445,True
2012/04/02,12.5,True
2012/04/03,12.24,True
2012/04/04,12.06,True
2012/04/05,12.03,True
2012/04/09,11.86,True
2012/04/10,11.75,True
2012/04/11,11.915,True
2012/04/12,12.065,True
2012/04/13,11.8,True
2012/04/16,11.86,True
2012/04/17,12.03,True
2012/04/18,11.85,True
2012/04/19,11.865,True
2012/04/20,11.77,True
2012/04/23,11.58,True
2012/04/24,11.49,True
2012/04/25,11.635,True
2012/04/26,11.94,True
2012/04/27,12.03,True
2012/04/30,11.99,True
2012/05/01,11.86,True
2012/05/02,11.805,True
2012/05/03,11.53,True
2012/05/04,11.28,True
2012/05/07,11.19,True
2012/05/08,11.16,True
2012/05/09,11.08,True
2012/05/10,11.06,True
2012/05/11,10.98,True
2012/05/14,10.95,True
2012/05/15,10.81,True
2012/05/16,10.66,True
2012/05/17,10.48,True
2012/05/18,10.36,True
2012/05/21,10.66,True
2012/05/22,10.54,True
2012/05/23,10.67,True
2012/05/24,10.38,True
2012/05/25,10.54,True
2012/05/29,10.71,True
2012/05/30,10.46,True
2012/05/31,10.33,True
2012/06/01,10.005,True
2012/06/04,10.1,True
2012/06/05,10.285,True
2012/06/06,10.645,True
2012/06/07,10.61,True
2012/06/08,10.76,True
2012/06/11,10.585,True
2012/06/12,10.83,True
2012/06/13,10.76,True
2012/06/14,10.78,True
2012/06/15,10.99,True
2012/06/18,11.0,True
2012/06/19,11.175,True
2012/06/20,11.55,True
2012/06/21,11.17,True
2012/06/22,11.235,True
2012/06/25,10.935,True
2012/06/26,10.985,True
2012/06/27,11.13,True
2012/06/28,11.09,True
2012/06/29,11.445,True
2012/07/02,11.28,True
2012/07/03,11.47,True
2012/07/05,11.32,True
2012/07/06,11.04,True
2012/07/09,11.01,True
2012/07/10,10.71,True
2012/07/11,10.57,True
2012/07/12,10.37,True
2012/07/13,10.48,True
2012/07/16,10.375,True
2012/07/17,10.39,True
2012/07/18,10.68,True
2012/07/19,10.695,True
2012/07/20,10.51,True
2012/07/23,10.49,True
2012/07/24,10.38,True
2012/07/25,10.47,True
2012/07/26,10.64,True
2012/07/27,10.895,True
2012/07/30,10.82,True
2012/07/31,10.89,True
2012/08/01,10.92,True
2012/08/02,10.92,True
2012/08/03,11.22,True
2012/08/06,11.28,True
2012/08/07,11.87,True
2012/08/08,11.92,True
2012/08/09,11.89,True
2012/08/10,11.95,True
2012/08/13,11.81,True
2012/08/14,11.71,True
2012/08/15,11.8,True
2012/08/16,11.98,True
2012/08/17,12.0,True
2012/08/20,11.97,True
2012/08/21,11.78,True
2012/08/22,11.78,True
2012/08/23,11.795,True
2012/08/24,11.77,True
2012/08/27,11.62,True
2012/08/28,11.63,True
2012/08/29,11.7,True
2012/08/30,11.47,True
2012/08/31,11.69,True
2012/09/04,11.74,True
2012/09/05,11.72,True
2012/09/06,11.905,True
2012/09/07,11.86,True
2012/09/10,11.685,True
2012/09/11,11.65,True
2012/09/12,11.6,True
2012/09/13,11.845,True
2012/09/14,12.045,True
2012/09/17,11.94,True
2012/09/18,11.71,True
2012/09/19,11.5,True
2012/09/20,11.44,True
2012/09/21,11.445,True
2012/09/24,11.355,True
2012/09/25,11.15,True
2012/09/26,11.135,True
2012/09/27,11.285,True
2012/09/28,11.165,True
2012/10/01,11.125,True
2012/10/02,11.17,True
2012/10/03,11.16,True
2012/10/04,11.1,True
2012/10/05,11.13,True
2012/10/08,11.01,True
2012/10/09,10.9,True
2012/10/10,10.9,True
2012/10/11,10.95,True
2012/10/12,10.9,True
2012/10/15,10.96,True
2012/10/16,11.2,True
2012/10/17,11.16,True
2012/10/18,11.19,True
2012/10/19,10.84,True
2012/10/22,10.86,True
2012/10/23,10.8,True
2012/10/24,10.69,True
2012/10/25,10.68,True
2012/10/26,10.65,True
2012/10/31,10.6,True
2012/11/01,10.95,True
2012/11/02,10.81,True
2012/11/05,11.09,True
2012/11/06,11.46,True
2012/11/07,10.95,True
2012/11/08,10.5,True
2012/11/09,10.67,True
2012/11/12,10.63,True
2012/11/13,10.48,True
2012/11/14,10.36,True
2012/11/15,10.3003,True
2012/11/16,10.15,True
2012/11/19,10.36,True
2012/11/20,10.385,True
2012/11/21,10.43,True
2012/11/23,10.4,True
2012/11/26,10.465,True
2012/11/27,10.36,True
2012/11/28,10.6,True
2012/11/29,10.74,True
2012/11/30,10.73,True
2012/12/03,10.66,True
2012/12/04,10.875,True
2012/12/05,10.8,True
2012/12/06,10.89,True
2012/12/07,10.965,True
2012/12/10,11.05,True
2012/12/11,11.08,True
2012/12/12,11.09,True
2012/12/13,11.11,True
2012/12/14,11.08,True
2012/12/17,11.105,True
2012/12/18,11.18,True
2012/12/19,11.34,True
2012/12/20,11.38,True
2012/12/21,11.5,True
2012/12/24,11.37,True
2012/12/26,11.39,True
2012/12/27,11.35,True
2012/12/28,11.26,True
2012/12/31,11.44,True
2013/01/01,11.449582791810046,False
2013/01/02,11.452088439477656,False
2013/01/03,11.457930811596697,False
2013/01/04,11.440492248741773,False
2013/01/07,11.44892405762183,False
2013/01/08,11.459558156011871,False
2013/01/09,11.469874149123793,False
2013/01/10,11.475692921217002,False
2013/01/11,11.477646997142736,False
2013/01/14,11.48005173280128,False
2013/01/15,11.483144771984172,False
2013/01/16,11.487596973168833,False
2013/01/17,11.492130072500524,False
2013/01/18,11.496092354573873,False
2013/01/21,11.499651320347319,False
2013/01/22,11.503027206937487,False
2013/01/23,11.506536334433239,False
2013/01/24,11.510193564075605,False
2013/01/25,11.513896476116923,False
2013/01/28,11.517558016154139,False
2013/01/29,11.521152911181234,False
2013/01/30,11.52471953162731,False
2013/01/31,11.528292561606023,False
2013/02/01,11.531884485275215,False
2013/02/04,11.535486672637953,False
2013/02/05,11.53908590987699,False
2013/02/06,11.542677550754,False
2013/02/07,11.546264098777979,False
2013/02/08,11.549850396985516,False
2013/02/11,11.553438861693218,False
2013/02/12,11.55702898874217,False
2013/02/13,11.560619259731947,False
2013/02/14,11.564208710826929,False
2013/02/15,11.567797453338617,False
2013/02/18,11.571386042932884,False
2013/02/19,11.57497487924962,False
2013/02/20,11.578564000529347,False
2013/02/21,11.582153233652791,False
2013/02/22,11.585742423658083,False
2013/02/25,11.58933156777677,False
2013/02/26,11.592920716965772,False
2013/02/27,11.596509926037504,False
2013/02/28,11.600099215511321,False
2013/03/01,11.603688562540617,False
2013/03/04,11.607277943697927,False
2013/03/05,11.610867362374693,False
2013/03/06,11.61445680744294,False
2013/03/07,11.618046303730647,False
2013/03/08,11.621635849271795,False
2013/03/11,11.625225438341184,False
