date,PRC,is_prediction
2012/01/03,5.48,True
2012/01/04,5.46,True
2012/01/05,5.46,True
2012/01/06,5.43,True
2012/01/09,5.59,True
2012/01/10,5.71,True
2012/01/11,5.81,True
2012/01/12,5.82,True
2012/01/13,5.66,True
2012/01/17,5.73,True
2012/01/18,5.97,True
2012/01/19,6.22,True
2012/01/20,6.42,True
2012/01/23,6.52,True
2012/01/24,6.53,True
2012/01/25,6.73,True
2012/01/26,6.77,True
2012/01/27,6.82,True
2012/01/30,6.74,True
2012/01/31,6.71,True
2012/02/01,6.9,True
2012/02/02,6.93,True
2012/02/03,7.08,True
2012/02/06,6.92,True
2012/02/07,7.13,True
2012/02/08,7.25,True
2012/02/09,7.24,True
2012/02/10,7.05,True
2012/02/13,7.29,True
2012/02/14,7.32,True
2012/02/15,7.3,True
2012/02/16,7.59,True
2012/02/17,7.42,True
2012/02/21,7.28,True
2012/02/22,7.14,True
2012/02/23,7.29,True
2012/02/24,7.46,True
2012/02/27,7.47,True
2012/02/28,7.52,True
2012/02/29,7.35,True
2012/03/01,7.51,True
2012/03/02,7.46,True
2012/03/05,7.07,True
2012/03/06,6.9,True
2012/03/07,7.17,True
2012/03/08,7.47,True
2012/03/09,7.58,True
2012/03/12,7.5,True
2012/03/13,7.76,True
2012/03/14,7.76,True
2012/03/15,8.25,True
2012/03/16,8.2,True
2012/03/19,8.18,True
2012/03/20,8.06,True
2012/03/21,8.04,True
2012/03/22,8.03,True
2012/03/23,8.09,True
2012/03/26,8.24,True
2012/03/27,8.19,True
2012/03/28,8.08,True
2012/03/29,8.12,True
2012/03/30,8.02,True
2012/04/02,8.2,True
2012/04/03,7.98,True
2012/04/04,7.81,True
2012/04/05,7.87,True
2012/04/09,7.75,True
2012/04/10,7.53,True
2012/04/11,7.64,True
2012/04/12,7.92,True
2012/04/13,7.73,True
2012/04/16,7.7,True
2012/04/17,7.94,True
2012/04/18,7.97,True
2012/04/19,7.97,True
2012/04/20,7.76,True
2012/04/23,7.39,True
2012/04/24,7.31,True
2012/04/25,7.39,True
2012/04/26,7.45,True
2012/04/27,7.33,True
2012/04/30,7.36,True
2012/05/01,7.59,True
2012/05/02,7.63,True
2012/05/03,7.41,True
2012/05/04,7.18,True
2012/05/07,7.18,True
2012/05/08,7.03,True
2012/05/09,6.86,True
2012/05/10,6.78,True
2012/05/11,6.78,True
2012/05/14,6.75,True
2012/05/15,6.6,True
2012/05/16,6.39,True
2012/05/17,6.13,True
2012/05/18,6.01,True
2012/05/21,6.3,True
2012/05/22,6.16,True
2012/05/23,6.08,True
2012/05/24,6.02,True
2012/05/25,6.22,True
2012/05/29,6.46,True
2012/05/30,6.15,True
2012/05/31,6.08,True
2012/06/01,5.73,True
2012/06/04,5.63,True
2012/06/05,5.825,True
2012/06/06,6.02,True
2012/06/07,5.76,True
2012/06/08,5.91,True
2012/06/11,5.69,True
2012/06/12,5.91,True
2012/06/13,5.76,True
2012/06/14,5.76,True
2012/06/15,5.87,True
2012/06/18,5.93,True
2012/06/19,5.81,True
2012/06/20,6.06,True
2012/06/21,5.72,True
2012/06/22,5.73,True
2012/06/25,5.41,True
2012/06/26,5.44,True
2012/06/27,5.5,True
2012/06/28,5.41,True
2012/06/29,5.73,True
2012/07/02,5.75,True
2012/07/03,6.03,True
2012/07/05,5.88,True
2012/07/06,5.75,True
2012/07/09,5.62,True
2012/07/10,4.99,True
2012/07/11,4.89,True
2012/07/12,4.88,True
2012/07/13,4.9,True
2012/07/16,4.83,True
2012/07/17,4.87,True
2012/07/18,4.89,True
2012/07/19,4.86,True
2012/07/20,4.22,True
2012/07/23,4.15,True
2012/07/24,4.06,True
2012/07/25,4.01,True
2012/07/26,4.04,True
2012/07/27,4.09,True
2012/07/30,4.1,True
2012/07/31,4.06,True
2012/08/01,4.05,True
2012/08/02,3.97,True
2012/08/03,4.09,True
2012/08/06,4.01,True
2012/08/07,4.02,True
2012/08/08,4.4,True
2012/08/09,4.37,True
2012/08/10,4.34,True
2012/08/13,4.26,True
2012/08/14,4.12,True
2012/08/15,4.19,True
2012/08/16,4.17,True
2012/08/17,4.1,True
2012/08/20,4.09,True
2012/08/21,4.07,True
2012/08/22,4.01,True
2012/08/23,3.9,True
2012/08/24,3.94,True
2012/08/27,3.85,True
2012/08/28,3.79,True
2012/08/29,3.77,True
2012/08/30,3.7,True
2012/08/31,3.72,True
2012/09/04,3.64,True
2012/09/05,3.51,True
2012/09/06,3.66,True
2012/09/07,3.45,True
2012/09/10,3.47,True
2012/09/11,3.75,True
2012/09/12,3.89,True
2012/09/13,3.92,True
2012/09/14,3.9,True
2012/09/17,4.01,True
2012/09/18,3.62,True
2012/09/19,3.66,True
2012/09/20,3.59,True
2012/09/21,3.6,True
2012/09/24,3.46,True
2012/09/25,3.28,True
2012/09/26,3.32,True
2012/09/27,3.43,True
2012/09/28,3.37,True
2012/10/01,3.28,True
2012/10/02,3.27,True
2012/10/03,3.12,True
2012/10/04,3.22,True
2012/10/05,3.22,True
2012/10/08,3.19,True
2012/10/09,3.25,True
2012/10/10,3.15,True
2012/10/11,3.2,True
2012/10/12,2.74,True
2012/10/15,2.75,True
2012/10/16,2.68,True
2012/10/17,2.77,True
2012/10/18,2.62,True
2012/10/19,2.18,True
2012/10/22,2.1,True
2012/10/23,2.14,True
2012/10/24,2.08,True
2012/10/25,2.12,True
2012/10/26,2.07,True
2012/10/31,2.05,True
2012/11/01,2.14,True
2012/11/02,2.1,True
2012/11/05,2.11,True
2012/11/06,2.07,True
2012/11/07,2.01,True
2012/11/08,1.98,True
2012/11/09,2.03,True
2012/11/12,1.99,True
2012/11/13,2.09,True
2012/11/14,1.93,True
2012/11/15,1.87,True
2012/11/16,1.86,True
2012/11/19,1.92,True
2012/11/20,1.88,True
2012/11/21,1.87,True
2012/11/23,1.95,True
2012/11/26,1.87,True
2012/11/27,1.88,True
2012/11/28,1.96,True
2012/11/29,2.04,True
2012/11/30,2.2,True
2012/12/03,2.36,True
2012/12/04,2.26,True
2012/12/05,2.29,True
2012/12/06,2.34,True
2012/12/07,2.36,True
2012/12/10,2.32,True
2012/12/11,2.33,True
2012/12/12,2.37,True
2012/12/13,2.41,True
2012/12/14,2.3904,True
2012/12/17,2.46,True
