date,PRC,is_prediction
2012/01/03,42.25,True
2012/01/04,42.83,True
2012/01/05,43.54,True
2012/01/06,43.02,True
2012/01/09,43.03,True
2012/01/10,44.03,True
2012/01/11,44.32,True
2012/01/12,45.72,True
2012/01/13,46.02,True
2012/01/17,45.5,True
2012/01/18,45.24,True
2012/01/19,46.14,True
2012/01/20,45.67,True
2012/01/23,46.1,True
2012/01/24,46.32,True
2012/01/25,46.83,True
2012/01/26,47.07,True
2012/01/27,46.55,True
2012/01/30,47.09,True
2012/01/31,47.0,True
2012/02/01,48.18,True
2012/02/02,47.3,True
2012/02/03,48.2,True
2012/02/06,48.22,True
2012/02/07,48.26,True
2012/02/08,48.19,True
2012/02/09,48.52,True
2012/02/10,47.77,True
2012/02/13,48.4,True
2012/02/14,48.6,True
2012/02/15,47.95,True
2012/02/16,49.08,True
2012/02/17,48.73,True
2012/02/21,48.63,True
2012/02/22,48.36,True
2012/02/23,48.41,True
2012/02/24,48.25,True
2012/02/27,47.67,True
2012/02/28,47.69,True
2012/02/29,47.6,True
2012/03/01,48.13,True
2012/03/02,47.49,True
2012/03/05,47.37,True
2012/03/06,46.49,True
2012/03/07,47.01,True
2012/03/08,47.51,True
2012/03/09,48.12,True
2012/03/12,48.19,True
2012/03/13,48.93,True
2012/03/14,48.68,True
2012/03/15,48.71,True
2012/03/16,48.65,True
2012/03/19,48.6,True
2012/03/20,48.13,True
2012/03/21,48.21,True
2012/03/22,47.68,True
2012/03/23,47.76,True
2012/03/26,48.52,True
2012/03/27,48.58,True
2012/03/28,48.21,True
2012/03/29,48.34,True
2012/03/30,48.51,True
2012/04/02,49.01,True
2012/04/03,49.16,True
2012/04/04,48.44,True
2012/04/05,48.35,True
2012/04/09,47.68,True
2012/04/10,47.01,True
2012/04/11,47.42,True
2012/04/12,48.25,True
2012/04/13,47.65,True
2012/04/16,47.64,True
2012/04/17,48.84,True
2012/04/18,49.03,True
2012/04/19,48.81,True
2012/04/20,48.99,True
2012/04/23,48.36,True
2012/04/24,48.51,True
2012/04/25,49.22,True
2012/04/26,50.14,True
2012/04/27,50.62,True
2012/04/30,50.33,True
2012/05/01,51.07,True
2012/05/02,51.13,True
2012/05/03,50.53,True
2012/05/04,50.14,True
2012/05/07,50.04,True
2012/05/08,50.88,True
2012/05/09,50.16,True
2012/05/10,50.18,True
2012/05/11,50.28,True
2012/05/14,49.76,True
2012/05/15,49.49,True
2012/05/16,49.43,True
2012/05/17,48.18,True
2012/05/18,48.3,True
2012/05/21,48.99,True
2012/05/22,49.18,True
2012/05/23,49.6,True
2012/05/24,49.66,True
2012/05/25,49.22,True
2012/05/29,50.35,True
2012/05/30,50.39,True
2012/05/31,50.71,True
2012/06/01,48.72,True
2012/06/04,48.74,True
2012/06/05,49.19,True
2012/06/06,51.0,True
2012/06/07,51.38,True
2012/06/08,51.87,True
2012/06/11,51.11,True
2012/06/12,51.98,True
2012/06/13,50.44,True
2012/06/14,50.74,True
2012/06/15,51.42,True
2012/06/18,51.82,True
2012/06/19,52.48,True
2012/06/20,52.01,True
2012/06/21,50.43,True
2012/06/22,50.31,True
2012/06/25,49.06,True
2012/06/26,49.47,True
2012/06/27,49.35,True
2012/06/28,48.04,True
2012/06/29,49.91,True
2012/07/02,33.51,True
2012/07/03,34.12,True
2012/07/05,34.38,True
2012/07/06,33.91,True
2012/07/09,33.66,True
2012/07/10,33.33,True
2012/07/11,33.07,True
2012/07/12,32.73,True
2012/07/13,33.25,True
2012/07/16,33.21,True
2012/07/17,33.33,True
2012/07/18,34.12,True
2012/07/19,34.24,True
2012/07/20,33.79,True
2012/07/23,33.32,True
2012/07/24,31.49,True
2012/07/25,31.09,True
2012/07/26,30.74,True
2012/07/27,31.69,True
2012/07/30,31.03,True
2012/07/31,31.0,True
2012/08/01,30.56,True
2012/08/02,30.4,True
2012/08/03,31.17,True
2012/08/06,31.42,True
2012/08/07,32.2,True
2012/08/08,32.25,True
2012/08/09,32.21,True
2012/08/10,32.55,True
2012/08/13,32.58,True
2012/08/14,32.71,True
2012/08/15,33.12,True
2012/08/16,33.69,True
2012/08/17,34.1,True
2012/08/20,34.17,True
2012/08/21,34.47,True
2012/08/22,34.35,True
2012/08/23,34.26,True
2012/08/24,34.46,True
2012/08/27,34.58,True
2012/08/28,34.41,True
2012/08/29,34.5,True
2012/08/30,34.19,True
2012/08/31,34.31,True
2012/09/04,34.5,True
2012/09/05,34.11,True
2012/09/06,35.23,True
2012/09/07,35.48,True
2012/09/10,35.48,True
2012/09/11,35.22,True
2012/09/12,35.45,True
2012/09/13,35.53,True
2012/09/14,36.14,True
2012/09/17,35.85,True
2012/09/18,35.88,True
2012/09/19,36.05,True
2012/09/20,36.22,True
2012/09/21,36.24,True
2012/09/24,35.47,True
2012/09/25,35.34,True
2012/09/26,35.28,True
2012/09/27,35.78,True
2012/09/28,35.45,True
2012/10/01,34.73,True
2012/10/02,34.57,True
2012/10/03,33.99,True
2012/10/04,35.52,True
2012/10/05,35.09,True
2012/10/08,35.19,True
2012/10/09,34.82,True
2012/10/10,34.63,True
2012/10/11,34.58,True
2012/10/12,34.11,True
2012/10/15,34.82,True
2012/10/16,35.44,True
2012/10/17,35.55,True
2012/10/18,35.37,True
2012/10/19,34.04,True
2012/10/22,33.95,True
2012/10/23,34.64,True
2012/10/24,35.29,True
2012/10/25,35.5,True
2012/10/26,35.82,True
2012/10/31,35.55,True
2012/11/01,37.11,True
2012/11/02,36.6,True
2012/11/05,36.66,True
2012/11/06,36.58,True
2012/11/07,36.1,True
2012/11/08,36.01,True
2012/11/09,36.04,True
2012/11/12,36.06,True
2012/11/13,36.01,True
2012/11/14,35.59,True
2012/11/15,35.02,True
2012/11/16,35.25,True
2012/11/19,36.31,True
2012/11/20,36.75,True
2012/11/21,36.73,True
2012/11/23,37.26,True
2012/11/26,37.25,True
2012/11/27,36.65,True
2012/11/28,37.05,True
2012/11/29,37.15,True
2012/11/30,37.33,True
2012/12/03,37.33,True
2012/12/04,37.29,True
2012/12/05,37.71,True
2012/12/06,37.54,True
2012/12/07,37.73,True
2012/12/10,38.02,True
2012/12/11,37.52,True
2012/12/12,37.75,True
2012/12/13,37.47,True
2012/12/14,37.32,True
2012/12/17,37.44,True
2012/12/18,37.73,True
2012/12/19,37.54,True
2012/12/20,37.65,True
2012/12/21,37.34,True
2012/12/24,37.45,True
2012/12/26,36.97,True
2012/12/27,37.31,True
2012/12/28,37.08,True
2012/12/31,37.57,True
2013/01/01,37.49088999469941,False
2013/01/02,37.44491097445601,False
2013/01/03,37.442948749229444,False
2013/01/04,37.38016101392904,False
2013/01/07,37.422581464273705,False
2013/01/08,37.409386455661554,False
2013/01/09,37.428499785790805,False
2013/01/10,37.402981540812945,False
2013/01/11,37.38282106319827,False
2013/01/14,37.368769010129235,False
2013/01/15,37.35117139227027,False
2013/01/16,37.34260648533571,False
2013/01/17,37.32707054234287,False
2013/01/18,37.312647889216,False
2013/01/21,37.295147556038856,False
2013/01/22,37.27840200621087,False
2013/01/23,37.26252568516298,False
2013/01/24,37.24633871255744,False
2013/01/25,37.23065759440156,False
2013/01/28,37.214174138116434,False
2013/01/29,37.19773121446741,False
2013/01/30,37.18112654012698,False
2013/01/31,37.16462355970368,False
2013/02/01,37.14820817109175,False
2013/02/04,37.131734994104285,False
2013/02/05,37.11526825939983,False
2013/02/06,37.098722770583464,False
2013/02/07,37.082185298727815,False
2013/02/08,37.065645335526035,False
2013/02/11,37.049115545293766,False
2013/02/12,37.03259034005928,False
2013/02/13,37.01605503879959,False
2013/02/14,36.99951739730495,False
2013/02/15,36.982973632208925,False
2013/02/18,36.96643177127141,False
2013/02/19,36.94989066087204,False
2013/02/20,36.93335012851973,False
2013/02/21,36.9168094608451,False
2013/02/22,36.900267545652405,False
2013/02/25,36.88372550065202,False
2013/02/26,36.86718324474813,False
2013/02/27,36.8506413998983,False
2013/02/28,36.83409982656993,False
2013/03/01,36.81755836662309,False
2013/03/04,36.80101696841084,False
2013/03/05,36.784475595874454,False
2013/03/06,36.76793439076924,False
2013/03/07,36.75139332840997,False
2013/03/08,36.73485242836934,False
2013/03/11,36.71831174729449,False
