date,PRC,is_prediction
2012/01/03,97.51,True
2012/01/04,97.8,True
2012/01/05,98.23,True
2012/01/06,98.02,True
2012/01/09,99.99,True
2012/01/10,102.48,True
2012/01/11,101.04,True
2012/01/12,99.93,True
2012/01/13,98.64,True
2012/01/17,98.03,True
2012/01/18,99.17,True
2012/01/19,101.2,True
2012/01/20,101.14,True
2012/01/23,100.78,True
2012/01/24,101.45,True
2012/01/25,101.69,True
2012/01/26,102.61,True
2012/01/27,102.17,True
2012/01/30,100.56,True
2012/01/31,100.51,True
2012/02/01,103.41,True
2012/02/02,103.85,True
2012/02/03,107.69,True
2012/02/06,106.59,True
2012/02/07,107.6,True
2012/02/08,107.43,True
2012/02/09,106.74,True
2012/02/10,105.6,True
2012/02/13,106.38,True
2012/02/14,105.12,True
2012/02/15,104.51,True
2012/02/16,106.95,True
2012/02/17,107.23,True
2012/02/21,106.68,True
2012/02/22,104.97,True
2012/02/23,106.16,True
2012/02/24,107.07,True
2012/02/27,107.38,True
2012/02/28,106.73,True
2012/02/29,106.39,True
2012/03/01,107.99,True
2012/03/02,107.63,True
2012/03/05,107.12,True
2012/03/06,104.43,True
2012/03/07,106.13,True
2012/03/08,107.06,True
2012/03/09,109.35,True
2012/03/12,107.85,True
2012/03/13,112.07,True
2012/03/14,111.6,True
2012/03/15,112.72,True
2012/03/16,112.13,True
2012/03/19,113.07,True
2012/03/20,111.59,True
2012/03/21,112.19,True
2012/03/22,110.48,True
2012/03/23,110.77,True
2012/03/26,113.22,True
2012/03/27,112.61,True
2012/03/28,112.28,True
2012/03/29,110.96,True
2012/03/30,111.81,True
2012/04/02,113.53,True
2012/04/03,115.19,True
2012/04/04,113.28,True
2012/04/05,113.18,True
2012/04/09,110.62,True
2012/04/10,106.91,True
2012/04/11,107.57,True
2012/04/12,110.74,True
2012/04/13,108.29,True
2012/04/16,108.11,True
2012/04/17,110.51,True
2012/04/18,112.76,True
2012/04/19,112.01,True
2012/04/20,111.54,True
2012/04/23,110.39,True
2012/04/24,110.92,True
2012/04/25,113.46,True
2012/04/26,113.9,True
2012/04/27,114.34,True
2012/04/30,113.62,True
2012/05/01,112.77,True
2012/05/02,111.42,True
2012/05/03,108.98,True
2012/05/04,107.24,True
2012/05/07,106.87,True
2012/05/08,105.49,True
2012/05/09,105.6,True
2012/05/10,105.5,True
2012/05/11,106.75,True
2012/05/14,105.83,True
2012/05/15,104.09,True
2012/05/16,104.84,True
2012/05/17,101.93,True
2012/05/18,100.17,True
2012/05/21,102.77,True
2012/05/22,103.39,True
2012/05/23,103.28,True
2012/05/24,103.8,True
2012/05/25,103.47,True
2012/05/29,107.18,True
2012/05/30,103.07,True
2012/05/31,103.07,True
2012/06/01,97.87,True
2012/06/04,96.0,True
2012/06/05,98.45,True
2012/06/06,101.68,True
2012/06/07,103.23,True
2012/06/08,103.76,True
2012/06/11,101.71,True
2012/06/12,102.52,True
2012/06/13,101.35,True
2012/06/14,102.49,True
2012/06/15,104.03,True
2012/06/18,103.79,True
2012/06/19,106.59,True
2012/06/20,106.37,True
2012/06/21,102.73,True
2012/06/22,103.82,True
2012/06/25,101.06,True
2012/06/26,102.78,True
2012/06/27,104.34,True
2012/06/28,105.5,True
2012/06/29,109.45,True
2012/07/02,110.57,True
2012/07/03,111.45,True
2012/07/05,110.95,True
2012/07/06,108.98,True
2012/07/09,107.99,True
2012/07/10,107.44,True
2012/07/11,107.82,True
2012/07/12,106.26,True
2012/07/13,110.08,True
2012/07/16,109.29,True
2012/07/17,109.62,True
2012/07/18,110.43,True
2012/07/19,110.05,True
2012/07/20,107.63,True
2012/07/23,105.98,True
2012/07/24,103.84,True
2012/07/25,103.33,True
2012/07/26,105.31,True
2012/07/27,108.77,True
2012/07/30,108.86,True
2012/07/31,111.59,True
2012/08/01,111.26,True
2012/08/02,110.46,True
2012/08/03,112.99,True
2012/08/06,113.85,True
2012/08/07,116.63,True
2012/08/08,116.6,True
2012/08/09,116.51,True
2012/08/10,115.5,True
2012/08/13,115.62,True
2012/08/14,116.07,True
2012/08/15,116.97,True
2012/08/16,119.01,True
2012/08/17,119.14,True
2012/08/20,117.97,True
2012/08/21,117.82,True
2012/08/22,118.09,True
2012/08/23,117.66,True
2012/08/24,118.56,True
2012/08/27,118.04,True
2012/08/28,118.66,True
2012/08/29,118.43,True
2012/08/30,117.18,True
2012/08/31,117.62,True
2012/09/04,118.64,True
2012/09/05,117.57,True
2012/09/06,119.99,True
2012/09/07,121.65,True
2012/09/10,121.36,True
2012/09/11,121.25,True
2012/09/12,121.87,True
2012/09/13,124.85,True
2012/09/14,127.59,True
2012/09/17,126.65,True
2012/09/18,126.28,True
2012/09/19,126.27,True
2012/09/20,125.1,True
2012/09/21,124.23,True
2012/09/24,124.07,True
2012/09/25,121.59,True
2012/09/26,121.57,True
2012/09/27,123.14,True
2012/09/28,123.0,True
2012/10/01,122.49,True
2012/10/02,121.98,True
2012/10/03,122.38,True
2012/10/04,123.54,True
2012/10/05,124.31,True
2012/10/08,123.25,True
