date,PRC,is_prediction
2012/01/03,64.11,True
2012/01/04,63.76,True
2012/01/05,64.41,True
2012/01/06,64.76,True
2012/01/09,64.2,True
2012/01/10,65.67,True
2012/01/11,66.4,True
2012/01/12,67.54,True
2012/01/13,67.6,True
2012/01/17,68.07,True
2012/01/18,69.22,True
2012/01/19,69.14,True
2012/01/20,69.57,True
2012/01/23,67.78,True
2012/01/24,68.19,True
2012/01/25,69.21,True
2012/01/26,68.08,True
2012/01/27,68.34,True
2012/01/30,68.33,True
2012/01/31,67.93,True
2012/02/01,69.84,True
2012/02/02,69.62,True
2012/02/03,69.28,True
2012/02/06,69.12,True
2012/02/07,69.17,True
2012/02/08,68.06,True
2012/02/09,66.84,True
2012/02/10,67.36,True
2012/02/13,68.2,True
2012/02/14,67.84,True
2012/02/15,67.9,True
2012/02/16,68.89,True
2012/02/17,67.78,True
2012/02/21,66.69,True
2012/02/22,66.79,True
2012/02/23,67.34,True
2012/02/24,67.73,True
2012/02/27,67.44,True
2012/02/28,68.15,True
2012/02/29,68.01,True
2012/03/01,67.59,True
2012/03/02,67.73,True
2012/03/05,67.23,True
2012/03/06,66.54,True
2012/03/07,66.95,True
2012/03/08,67.8,True
2012/03/09,68.01,True
2012/03/12,68.03,True
2012/03/13,68.91,True
2012/03/14,68.26,True
2012/03/15,68.26,True
2012/03/16,67.38,True
2012/03/19,68.05,True
2012/03/20,67.58,True
2012/03/21,67.05,True
2012/03/22,66.62,True
2012/03/23,66.66,True
2012/03/26,67.52,True
2012/03/27,67.81,True
2012/03/28,67.68,True
2012/03/29,67.32,True
2012/03/30,67.97,True
2012/04/02,68.11,True
2012/04/03,67.93,True
2012/04/04,67.85,True
2012/04/05,68.02,True
2012/04/09,67.02,True
2012/04/10,66.19,True
2012/04/11,66.73,True
2012/04/12,66.92,True
2012/04/13,65.59,True
2012/04/16,66.26,True
2012/04/17,67.35,True
2012/04/18,67.15,True
2012/04/19,67.13,True
2012/04/20,68.47,True
2012/04/23,68.29,True
2012/04/24,68.63,True
2012/04/25,70.19,True
2012/04/26,70.79,True
2012/04/27,71.64,True
2012/04/30,71.11,True
2012/05/01,70.69,True
2012/05/02,71.17,True
2012/05/03,70.91,True
2012/05/04,69.77,True
2012/05/07,69.61,True
2012/05/08,70.7,True
2012/05/09,69.62,True
2012/05/10,70.09,True
2012/05/11,70.78,True
2012/05/14,70.2,True
2012/05/15,70.68,True
2012/05/16,70.98,True
2012/05/17,70.54,True
2012/05/18,69.15,True
2012/05/21,69.32,True
2012/05/22,68.91,True
2012/05/23,68.38,True
2012/05/24,69.1,True
2012/05/25,69.05,True
2012/05/29,69.28,True
2012/05/30,69.59,True
2012/05/31,69.52,True
2012/06/01,67.75,True
2012/06/04,68.7,True
2012/06/05,68.445,True
2012/06/06,69.98,True
2012/06/07,69.1,True
2012/06/08,68.87,True
2012/06/11,67.79,True
2012/06/12,68.62,True
2012/06/13,68.82,True
2012/06/14,70.42,True
2012/06/15,71.29,True
2012/06/18,72.02,True
2012/06/19,73.02,True
2012/06/20,72.79,True
2012/06/21,71.65,True
2012/06/22,72.46,True
2012/06/25,71.385,True
2012/06/26,71.46,True
2012/06/27,72.37,True
2012/06/28,71.42,True
2012/06/29,72.91,True
2012/07/02,74.36,True
2012/07/03,75.16,True
2012/07/05,74.33,True
2012/07/06,73.85,True
2012/07/09,74.8,True
2012/07/10,74.93,True
2012/07/11,76.09,True
2012/07/12,75.81,True
2012/07/13,76.96,True
2012/07/16,77.265,True
2012/07/17,78.76,True
2012/07/18,79.62,True
2012/07/19,79.635,True
2012/07/20,77.77,True
2012/07/23,77.53,True
2012/07/24,76.375,True
2012/07/25,77.96,True
2012/07/26,79.295,True
2012/07/27,83.92,True
2012/07/30,83.46,True
2012/07/31,82.6,True
2012/08/01,81.82,True
2012/08/02,81.04,True
2012/08/03,82.21,True
2012/08/06,82.43,True
2012/08/07,81.57,True
2012/08/08,81.37,True
2012/08/09,81.97,True
2012/08/10,82.73,True
2012/08/13,82.23,True
2012/08/14,83.54,True
2012/08/15,83.65,True
2012/08/16,83.1,True
2012/08/17,83.38,True
2012/08/20,83.24,True
2012/08/21,83.11,True
2012/08/22,83.87,True
2012/08/23,83.66,True
2012/08/24,84.59,True
2012/08/27,84.43,True
2012/08/28,84.01,True
2012/08/29,83.72,True
2012/08/30,83.15,True
2012/08/31,83.92,True
2012/09/04,84.33,True
2012/09/05,84.08,True
2012/09/06,84.805,True
2012/09/07,83.96,True
2012/09/10,84.05,True
2012/09/11,83.94,True
2012/09/12,83.15,True
2012/09/13,83.325,True
2012/09/14,81.36,True
2012/09/17,82.09,True
2012/09/18,82.04,True
2012/09/19,81.71,True
2012/09/20,82.3,True
2012/09/21,82.03,True
2012/09/24,82.91,True
2012/09/25,83.81,True
2012/09/26,83.455,True
2012/09/27,84.24,True
2012/09/28,84.29,True
2012/10/01,85.08,True
2012/10/02,86.35,True
2012/10/03,86.8,True
2012/10/04,86.39,True
2012/10/05,86.94,True
2012/10/08,86.04,True
2012/10/09,85.43,True
2012/10/10,84.65,True
2012/10/11,84.61,True
2012/10/12,84.0,True
2012/10/15,86.22,True
2012/10/16,88.035,True
2012/10/17,89.2,True
2012/10/18,89.79,True
2012/10/19,87.16,True
2012/10/22,87.8,True
2012/10/23,87.32,True
2012/10/24,87.5,True
2012/10/25,88.05,True
2012/10/26,87.63,True
2012/10/31,86.49,True
2012/11/01,87.21,True
2012/11/02,86.45,True
2012/11/05,86.35,True
2012/11/06,87.29,True
2012/11/07,85.34,True
2012/11/08,84.74,True
2012/11/09,85.17,True
2012/11/12,85.52,True
2012/11/13,85.77,True
2012/11/14,84.02,True
2012/11/15,84.15,True
2012/11/16,84.54,True
2012/11/19,85.4,True
2012/11/20,86.57,True
2012/11/21,86.65,True
2012/11/23,87.6,True
2012/11/26,87.285,True
2012/11/27,86.98,True
2012/11/28,87.04,True
2012/11/29,88.61,True
2012/11/30,88.8,True
2012/12/03,88.4,True
2012/12/04,88.331,True
2012/12/05,89.01,True
2012/12/06,88.54,True
2012/12/07,88.32,True
2012/12/10,89.74,True
2012/12/11,89.95,True
2012/12/12,90.17,True
2012/12/13,89.15,True
2012/12/14,89.2,True
2012/12/17,89.5,True
2012/12/18,89.29,True
2012/12/19,88.49,True
2012/12/20,88.4128,True
2012/12/21,87.16,True
2012/12/24,87.4,True
2012/12/26,86.89,True
2012/12/27,86.15,True
2012/12/28,85.24,True
2012/12/31,86.2,True
2013/01/01,86.41541163052611,False
2013/01/02,86.71003620761127,False
2013/01/03,86.91740057275625,False
2013/01/04,86.9434358803593,False
2013/01/07,86.95579181240521,False
2013/01/08,87.01406051523094,False
2013/01/09,87.0744555689688,False
2013/01/10,87.17050151794827,False
2013/01/11,87.2749612477666,False
2013/01/14,87.3739392036796,False
2013/01/15,87.46896890996945,False
2013/01/16,87.55889368769571,False
2013/01/17,87.64567623160691,False
2013/01/18,87.73307322563608,False
2013/01/21,87.8214088019883,False
2013/01/22,87.91076702026916,False
2013/01/23,88.00082082216542,False
2013/01/24,88.09092344875704,False
2013/01/25,88.18082594535939,False
2013/01/28,88.27051952187351,False
2013/01/29,88.36005799620527,False
2013/01/30,88.44955978154337,False
2013/01/31,88.53909385834055,False
2013/02/01,88.62867218654394,False
2013/02/04,88.71828432394908,False
2013/02/05,88.8079088420749,False
2013/02/06,88.89752927545105,False
2013/02/07,88.98714079053296,False
2013/02/08,89.07674483368582,False
2013/02/11,89.16634547578263,False
2013/02/12,89.25594630085116,False
2013/02/13,89.34554881144835,False
2013/02/14,89.4351529248213,False
2013/02/15,89.52475788271309,False
2013/02/18,89.61436292698322,False
2013/02/19,89.70396765056422,False
2013/02/20,89.79357203309971,False
2013/02/21,89.88317618086616,False
2013/02/22,89.97278027564926,False
2013/02/25,90.06238441850755,False
2013/02/26,90.1519886083496,False
2013/02/27,90.24159284105723,False
2013/02/28,90.33119706837276,False
2013/03/01,90.42080128271431,False
2013/03/04,90.51040546599837,False
2013/03/05,90.60000962339217,False
2013/03/06,90.68961378829427,False
2013/03/07,90.77921793323542,False
2013/03/08,90.86882206881994,False
2013/03/11,90.9584262025069,False
