date,PRC,is_prediction
2012/01/03,51.45,True
2012/01/04,50.81,True
2012/01/05,51.24,True
2012/01/06,51.09,True
2012/01/09,51.1,True
2012/01/10,51.9,True
2012/01/11,51.75,True
2012/01/12,51.91,True
2012/01/13,51.4,True
2012/01/17,51.59,True
2012/01/18,52.5,True
2012/01/19,53.65,True
2012/01/20,54.68,True
2012/01/23,54.75,True
2012/01/24,54.23,True
2012/01/25,54.28,True
2012/01/26,54.68,True
2012/01/27,53.67,True
2012/01/30,53.28,True
2012/01/31,53.55,True
2012/02/01,54.78,True
2012/02/02,50.38,True
2012/02/03,53.65,True
2012/02/06,54.33,True
2012/02/07,54.92,True
2012/02/08,54.62,True
2012/02/09,54.1,True
2012/02/10,54.19,True
2012/02/13,55.04,True
2012/02/14,55.32,True
2012/02/15,54.86,True
2012/02/16,55.71,True
2012/02/17,56.54,True
2012/02/21,56.19,True
2012/02/22,55.84,True
2012/02/23,56.5,True
2012/02/24,56.41,True
2012/02/27,56.2,True
2012/02/28,56.18,True
2012/02/29,55.76,True
2012/03/01,56.17,True
2012/03/02,55.84,True
2012/03/05,55.54,True
2012/03/06,54.17,True
2012/03/07,54.55,True
2012/03/08,55.32,True
2012/03/09,56.08,True
2012/03/12,55.85,True
2012/03/13,57.6,True
2012/03/14,56.75,True
2012/03/15,58.02,True
2012/03/16,57.72,True
2012/03/19,58.09,True
2012/03/20,57.27,True
2012/03/21,57.39,True
2012/03/22,56.49,True
2012/03/23,57.1,True
2012/03/26,58.25,True
2012/03/27,57.7,True
2012/03/28,57.82,True
2012/03/29,56.43,True
2012/03/30,57.13,True
2012/04/02,57.76,True
2012/04/03,56.96,True
2012/04/04,56.07,True
2012/04/05,55.53,True
2012/04/09,54.46,True
2012/04/10,53.22,True
2012/04/11,53.85,True
2012/04/12,54.73,True
2012/04/13,53.13,True
2012/04/16,53.64,True
2012/04/17,55.17,True
2012/04/18,53.96,True
2012/04/19,53.56,True
2012/04/20,53.45,True
2012/04/23,52.84,True
2012/04/24,52.45,True
2012/04/25,53.6,True
2012/04/26,54.25,True
2012/04/27,54.08,True
2012/04/30,54.21,True
2012/05/01,54.26,True
2012/05/02,53.41,True
2012/05/03,52.8,True
2012/05/04,52.0,True
2012/05/07,52.07,True
2012/05/08,51.51,True
2012/05/09,50.6,True
2012/05/10,50.78,True
2012/05/11,50.47,True
2012/05/14,49.66,True
2012/05/15,49.18,True
2012/05/16,47.85,True
2012/05/17,47.2,True
2012/05/18,46.41,True
2012/05/21,47.5,True
2012/05/22,47.31,True
2012/05/23,47.32,True
2012/05/24,47.9,True
2012/05/25,47.78,True
2012/05/29,48.4,True
2012/05/30,47.92,True
2012/05/31,47.92,True
2012/06/01,45.81,True
2012/06/04,45.46,True
2012/06/05,46.57,True
2012/06/06,48.37,True
2012/06/07,48.26,True
2012/06/08,48.53,True
2012/06/11,47.57,True
2012/06/12,48.33,True
2012/06/13,47.24,True
2012/06/14,47.92,True
2012/06/15,49.75,True
2012/06/18,49.65,True
2012/06/19,50.7,True
2012/06/20,51.14,True
2012/06/21,49.63,True
2012/06/22,50.82,True
2012/06/25,49.44,True
2012/06/26,49.79,True
2012/06/27,50.7,True
2012/06/28,50.8,True
2012/06/29,52.26,True
2012/07/02,51.99,True
2012/07/03,52.34,True
2012/07/05,51.43,True
2012/07/06,50.96,True
2012/07/09,50.39,True
2012/07/10,50.23,True
2012/07/11,50.45,True
2012/07/12,49.61,True
2012/07/13,51.11,True
2012/07/16,50.58,True
2012/07/17,51.26,True
2012/07/18,52.15,True
2012/07/19,51.91,True
2012/07/20,50.3,True
2012/07/23,49.16,True
2012/07/24,48.47,True
2012/07/25,47.98,True
2012/07/26,50.76,True
2012/07/27,52.53,True
2012/07/30,52.23,True
2012/07/31,51.72,True
2012/08/01,51.32,True
2012/08/02,50.81,True
2012/08/03,52.63,True
2012/08/06,52.88,True
2012/08/07,54.25,True
2012/08/08,54.5,True
2012/08/09,54.37,True
2012/08/10,54.5,True
2012/08/13,54.32,True
2012/08/14,54.34,True
2012/08/15,54.39,True
2012/08/16,54.94,True
2012/08/17,55.3,True
2012/08/20,55.0,True
2012/08/21,54.87,True
2012/08/22,54.82,True
2012/08/23,54.4,True
2012/08/24,55.18,True
2012/08/27,54.15,True
2012/08/28,54.47,True
2012/08/29,54.45,True
2012/08/30,54.55,True
2012/08/31,54.91,True
2012/09/04,54.61,True
2012/09/05,54.38,True
2012/09/06,56.01,True
2012/09/07,56.47,True
2012/09/10,55.88,True
2012/09/11,56.15,True
2012/09/12,56.66,True
2012/09/13,58.12,True
2012/09/14,59.2,True
2012/09/17,58.34,True
2012/09/18,58.19,True
2012/09/19,57.81,True
2012/09/20,57.45,True
2012/09/21,57.6,True
2012/09/24,57.41,True
2012/09/25,55.91,True
2012/09/26,56.08,True
2012/09/27,56.94,True
2012/09/28,56.69,True
2012/10/01,56.68,True
2012/10/02,56.43,True
2012/10/03,56.48,True
2012/10/04,57.77,True
2012/10/05,57.83,True
2012/10/08,57.69,True
2012/10/09,57.3,True
2012/10/10,56.78,True
2012/10/11,56.83,True
2012/10/12,55.96,True
2012/10/15,56.19,True
2012/10/16,57.89,True
2012/10/17,58.99,True
2012/10/18,58.92,True
2012/10/19,57.8,True
2012/10/22,58.27,True
2012/10/23,57.12,True
2012/10/24,57.07,True
2012/10/25,59.0,True
2012/10/26,59.3,True
2012/10/31,58.37,True
2012/11/01,59.68,True
2012/11/02,60.12,True
2012/11/05,60.12,True
2012/11/06,60.45,True
2012/11/07,58.6,True
2012/11/08,58.01,True
2012/11/09,58.05,True
2012/11/12,58.39,True
2012/11/13,58.55,True
2012/11/14,57.58,True
2012/11/15,58.06,True
2012/11/16,58.38,True
2012/11/19,59.74,True
2012/11/20,59.77,True
2012/11/21,60.17,True
2012/11/23,61.0,True
2012/11/26,60.5,True
2012/11/27,60.15,True
2012/11/28,60.69,True
2012/11/29,61.46,True
2012/11/30,60.67,True
2012/12/03,61.1,True
2012/12/04,60.61,True
2012/12/05,61.12,True
2012/12/06,61.78,True
2012/12/07,62.35,True
2012/12/10,61.29,True
2012/12/11,61.51,True
2012/12/12,61.9,True
2012/12/13,61.38,True
2012/12/14,61.22,True
2012/12/17,62.49,True
2012/12/18,63.52,True
2012/12/19,62.91,True
2012/12/20,63.51,True
2012/12/21,62.67,True
2012/12/24,62.89,True
2012/12/26,62.47,True
2012/12/27,62.57,True
2012/12/28,62.19,True
2012/12/31,62.63,True
2013/01/01,62.68133051436733,False
2013/01/02,62.747723610742106,False
2013/01/03,62.79389040649621,False
2013/01/04,62.821731118252224,False
2013/01/07,62.81694405637122,False
2013/01/08,62.86309666843354,False
2013/01/09,62.92453193654815,False
2013/01/10,62.97450740152948,False
2013/01/11,63.026224869762004,False
2013/01/14,63.073722632558315,False
2013/01/15,63.11412821098935,False
2013/01/16,63.155595682335345,False
2013/01/17,63.20087725368129,False
2013/01/18,63.24668101516538,False
2013/01/21,63.292952778903086,False
2013/01/22,63.33936964634301,False
2013/01/23,63.38482027917727,False
2013/01/24,63.42968543227626,False
2013/01/25,63.4747140399627,False
2013/01/28,63.5199204642823,False
2013/01/29,63.56526465856776,False
2013/01/30,63.61075011452008,False
2013/01/31,63.65621380158755,False
2013/02/01,63.701573859931095,False
2013/02/04,63.74688803654012,False
2013/02/05,63.792197440114535,False
2013/02/06,63.83751685072462,False
2013/02/07,63.882861463707144,False
2013/02/08,63.92822253396404,False
2013/02/11,63.97358063625699,False
2013/02/12,64.01893053253787,False
2013/02/13,64.06427480966626,False
2013/02/14,64.10961629821746,False
2013/02/15,64.15495890323412,False
2013/02/18,64.2003045479174,False
2013/02/19,64.24565190801361,False
2013/02/20,64.29099933087016,False
2013/02/21,64.3363461333965,False
2013/02/22,64.38169214060984,False
2013/02/25,64.42703775557756,False
2013/02/26,64.47238344023764,False
2013/02/27,64.51772944189706,False
2013/02/28,64.56307566288886,False
2013/03/01,64.60842194004823,False
2013/03/04,64.6537681790919,False
2013/03/05,64.69911433125009,False
2013/03/06,64.7444604297697,False
2013/03/07,64.78980653701355,False
2013/03/08,64.83515268823103,False
2013/03/11,64.88049886651233,False
