date,PRC,is_prediction
2012/01/03,57.39,True
2012/01/04,56.4,True
2012/01/05,57.3,True
2012/01/06,56.94,True
2012/01/09,56.68,True
2012/01/10,56.73,True
2012/01/11,56.83,True
2012/01/12,57.44,True
2012/01/13,57.35,True
2012/01/17,57.23,True
2012/01/18,58.88,True
2012/01/19,60.56,True
2012/01/20,60.81,True
2012/01/23,60.57,True
2012/01/24,61.34,True
2012/01/25,61.26,True
2012/01/26,61.51,True
2012/01/27,61.46,True
2012/01/30,60.46,True
2012/01/31,60.49,True
2012/02/01,63.0,True
2012/02/02,62.88,True
2012/02/03,63.75,True
2012/02/06,63.48,True
2012/02/07,63.76,True
2012/02/08,63.61,True
2012/02/09,64.27,True
2012/02/10,63.65,True
2012/02/13,64.2,True
2012/02/14,64.31,True
2012/02/15,64.05,True
2012/02/16,65.1,True
2012/02/17,64.89,True
2012/02/21,64.99,True
2012/02/22,66.01,True
2012/02/23,63.08,True
2012/02/24,63.83,True
2012/02/27,63.67,True
2012/02/28,63.98,True
2012/02/29,63.18,True
2012/03/01,63.62,True
2012/03/02,63.57,True
2012/03/05,63.28,True
2012/03/06,61.62,True
2012/03/07,62.34,True
2012/03/08,62.67,True
2012/03/09,63.42,True
2012/03/12,63.21,True
2012/03/13,64.77,True
2012/03/14,64.7,True
2012/03/15,65.52,True
2012/03/16,65.55,True
2012/03/19,65.41,True
2012/03/20,64.66,True
2012/03/21,65.14,True
2012/03/22,64.83,True
2012/03/23,64.83,True
2012/03/26,66.03,True
2012/03/27,66.13,True
2012/03/28,65.3,True
2012/03/29,65.21,True
2012/03/30,65.02,True
2012/04/02,65.75,True
2012/04/03,66.26,True
2012/04/04,64.41,True
2012/04/05,64.28,True
2012/04/09,63.57,True
2012/04/10,62.24,True
2012/04/11,62.89,True
2012/04/12,63.54,True
2012/04/13,64.26,True
2012/04/16,64.15,True
2012/04/17,65.08,True
2012/04/18,66.08,True
2012/04/19,66.1,True
2012/04/20,66.12,True
2012/04/23,65.0,True
2012/04/24,63.97,True
2012/04/25,65.62,True
2012/04/26,67.0,True
2012/04/27,67.33,True
2012/04/30,67.07,True
2012/05/01,67.95,True
2012/05/02,68.54,True
2012/05/03,62.216,True
2012/05/04,62.41,True
2012/05/07,61.91,True
2012/05/08,61.16,True
2012/05/09,61.51,True
2012/05/10,60.93,True
2012/05/11,61.79,True
2012/05/14,62.5,True
2012/05/15,61.68,True
2012/05/16,62.32,True
2012/05/17,61.11,True
2012/05/18,59.8,True
2012/05/21,61.0,True
2012/05/22,61.75,True
2012/05/23,62.12,True
2012/05/24,61.69,True
2012/05/25,62.09,True
2012/05/29,63.06,True
2012/05/30,61.65,True
2012/05/31,61.875,True
2012/06/01,59.93,True
2012/06/04,61.8,True
2012/06/05,62.94,True
2012/06/06,65.1,True
2012/06/07,64.45,True
2012/06/08,64.59,True
2012/06/11,63.03,True
2012/06/12,63.58,True
2012/06/13,62.95,True
2012/06/14,62.53,True
2012/06/15,64.19,True
2012/06/18,65.51,True
2012/06/19,66.09,True
2012/06/20,65.39,True
2012/06/21,63.06,True
2012/06/22,63.61,True
2012/06/25,62.17,True
2012/06/26,62.47,True
2012/06/27,62.62,True
2012/06/28,60.97,True
2012/06/29,63.11,True
2012/07/02,63.17,True
2012/07/03,64.22,True
2012/07/05,64.47,True
