date,PRC,is_prediction
2012/01/03,78.65,True
2012/01/04,79.77,True
2012/01/05,80.8,True
2012/01/06,80.27,True
2012/01/09,80.77,True
2012/01/10,80.88,True
2012/01/11,79.72,True
2012/01/12,78.74,True
2012/01/13,78.01,True
2012/01/17,79.2,True
2012/01/18,80.24,True
2012/01/19,79.79,True
2012/01/20,79.02,True
2012/01/23,79.5,True
2012/01/24,78.99,True
2012/01/25,81.08,True
2012/01/26,79.31,True
2012/01/27,79.32,True
2012/01/30,80.03,True
2012/01/31,80.72,True
2012/02/01,80.51,True
2012/02/02,82.16,True
2012/02/03,84.34,True
2012/02/06,82.87,True
2012/02/07,87.21,True
2012/02/08,86.82,True
2012/02/09,87.46,True
2012/02/10,87.04,True
2012/02/13,87.34,True
2012/02/14,87.05,True
2012/02/15,87.51,True
2012/02/16,87.75,True
2012/02/17,88.05,True
2012/02/21,85.74,True
2012/02/22,87.32,True
2012/02/23,87.5,True
2012/02/24,87.3,True
2012/02/27,86.52,True
2012/02/28,85.89,True
2012/02/29,84.12,True
2012/03/01,85.81,True
2012/03/02,82.55,True
2012/03/05,83.16,True
2012/03/06,81.87,True
2012/03/07,82.76,True
2012/03/08,83.61,True
2012/03/09,85.25,True
2012/03/12,84.76,True
2012/03/13,83.64,True
2012/03/14,83.09,True
2012/03/15,83.9,True
2012/03/16,84.68,True
2012/03/19,84.25,True
2012/03/20,82.03,True
2012/03/21,81.04,True
2012/03/22,78.23,True
2012/03/23,79.41,True
2012/03/26,79.46,True
2012/03/27,78.33,True
2012/03/28,77.38,True
2012/03/29,77.33,True
2012/03/30,78.34,True
2012/04/02,79.11,True
2012/04/03,79.21,True
2012/04/04,78.12,True
2012/04/05,78.26,True
2012/04/09,75.83,True
2012/04/10,74.63,True
2012/04/11,74.37,True
2012/04/12,76.59,True
2012/04/13,74.96,True
2012/04/16,73.37,True
2012/04/17,73.75,True
2012/04/18,72.54,True
2012/04/19,72.29,True
2012/04/20,71.73,True
2012/04/23,71.0,True
2012/04/24,72.09,True
2012/04/25,72.77,True
2012/04/26,74.14,True
2012/04/27,73.79,True
2012/04/30,73.21,True
2012/05/01,75.06,True
2012/05/02,72.9,True
2012/05/03,71.44,True
2012/05/04,69.01,True
2012/05/07,68.97,True
2012/05/08,69.1,True
2012/05/09,68.62,True
2012/05/10,69.27,True
2012/05/11,68.31,True
2012/05/14,66.75,True
2012/05/15,66.38,True
2012/05/16,65.08,True
2012/05/17,63.63,True
2012/05/18,62.88,True
2012/05/21,64.74,True
2012/05/22,64.11,True
2012/05/23,63.96,True
2012/05/24,63.65,True
2012/05/25,63.08,True
2012/05/29,64.45,True
2012/05/30,62.24,True
2012/05/31,61.0,True
2012/06/01,58.13,True
2012/06/04,57.12,True
2012/06/05,58.86,True
2012/06/06,62.16,True
2012/06/07,63.2,True
2012/06/08,63.84,True
2012/06/11,61.81,True
2012/06/12,63.59,True
2012/06/13,63.0,True
2012/06/14,63.96,True
2012/06/15,65.37,True
2012/06/18,64.63,True
2012/06/19,65.8,True
2012/06/20,64.21,True
2012/06/21,60.56,True
2012/06/22,61.93,True
2012/06/25,60.07,True
2012/06/26,60.45,True
2012/06/27,62.2,True
2012/06/28,63.25,True
2012/06/29,66.2,True
2012/07/02,65.66,True
2012/07/03,69.05,True
2012/07/05,67.13,True
2012/07/06,65.51,True
2012/07/09,66.33,True
2012/07/10,64.77,True
2012/07/11,66.58,True
2012/07/12,68.12,True
2012/07/13,68.81,True
2012/07/16,70.68,True
2012/07/17,71.82,True
2012/07/18,72.63,True
2012/07/19,72.59,True
2012/07/20,72.06,True
2012/07/23,70.29,True
2012/07/24,68.91,True
2012/07/25,69.52,True
2012/07/26,71.16,True
2012/07/27,71.41,True
2012/07/30,71.75,True
2012/07/31,69.44,True
2012/08/01,68.63,True
2012/08/02,66.22,True
2012/08/03,68.41,True
2012/08/06,68.22,True
2012/08/07,70.53,True
2012/08/08,69.78,True
2012/08/09,69.66,True
2012/08/10,69.68,True
2012/08/13,68.5,True
2012/08/14,69.04,True
2012/08/15,69.06,True
2012/08/16,70.97,True
2012/08/17,70.34,True
2012/08/20,69.6,True
2012/08/21,69.55,True
2012/08/22,69.93,True
2012/08/23,68.92,True
