date,PRC,is_prediction
2012/01/03,86.35,True
2012/01/04,87.09,True
2012/01/05,86.5,True
2012/01/06,86.32,True
2012/01/09,86.32,True
2012/01/10,87.31,True
2012/01/11,87.94,True
2012/01/12,90.13,True
2012/01/13,89.91,True
2012/01/17,90.44,True
2012/01/18,91.56,True
2012/01/19,91.84,True
2012/01/20,90.65,True
2012/01/23,89.92,True
2012/01/24,87.58,True
2012/01/25,87.74,True
2012/01/26,88.16,True
2012/01/27,88.19,True
2012/01/30,88.33,True
2012/01/31,88.03,True
2012/02/01,89.36,True
2012/02/02,88.55,True
2012/02/03,90.4,True
2012/02/06,89.93,True
2012/02/07,90.04,True
2012/02/08,90.74,True
2012/02/09,91.05,True
2012/02/10,90.4,True
2012/02/13,90.52,True
2012/02/14,90.78,True
2012/02/15,90.73,True
2012/02/16,91.89,True
2012/02/17,92.06,True
2012/02/21,91.75,True
2012/02/22,90.85,True
2012/02/23,91.91,True
2012/02/24,91.94,True
2012/02/27,92.01,True
2012/02/28,91.24,True
2012/02/29,90.24,True
2012/03/01,91.87,True
2012/03/02,91.88,True
2012/03/05,90.9,True
2012/03/06,88.55,True
2012/03/07,88.89,True
2012/03/08,90.01,True
2012/03/09,89.44,True
2012/03/12,89.33,True
2012/03/13,90.74,True
2012/03/14,91.14,True
2012/03/15,91.62,True
2012/03/16,91.71,True
2012/03/19,92.01,True
2012/03/20,91.17,True
2012/03/21,90.92,True
2012/03/22,89.6,True
2012/03/23,90.2,True
2012/03/26,91.33,True
2012/03/27,91.71,True
2012/03/28,91.13,True
2012/03/29,91.65,True
2012/03/30,91.8,True
2012/04/02,92.68,True
2012/04/03,91.76,True
2012/04/04,90.58,True
2012/04/05,90.81,True
2012/04/09,88.95,True
2012/04/10,86.97,True
2012/04/11,87.34,True
2012/04/12,89.49,True
2012/04/13,88.26,True
2012/04/16,89.15,True
2012/04/17,90.12,True
2012/04/18,88.43,True
2012/04/19,89.26,True
2012/04/20,89.75,True
2012/04/23,88.73,True
2012/04/24,84.72,True
2012/04/25,85.47,True
2012/04/26,86.29,True
2012/04/27,85.56,True
2012/04/30,85.49,True
2012/05/01,86.12,True
2012/05/02,86.18,True
2012/05/03,86.31,True
2012/05/04,85.52,True
2012/05/07,85.76,True
2012/05/08,85.24,True
2012/05/09,83.48,True
2012/05/10,83.04,True
2012/05/11,83.17,True
2012/05/14,82.88,True
2012/05/15,81.92,True
2012/05/16,81.03,True
2012/05/17,79.34,True
2012/05/18,77.81,True
2012/05/21,80.06,True
2012/05/22,79.9,True
2012/05/23,79.54,True
2012/05/24,80.45,True
2012/05/25,79.94,True
2012/05/29,81.11,True
2012/05/30,79.08,True
2012/05/31,79.04,True
2012/06/01,76.88,True
2012/06/04,77.48,True
2012/06/05,77.66,True
2012/06/06,78.75,True
2012/06/07,80.02,True
2012/06/08,79.62,True
2012/06/11,79.13,True
2012/06/12,79.34,True
2012/06/13,78.26,True
2012/06/14,78.45,True
2012/06/15,79.48,True
2012/06/18,79.6,True
2012/06/19,81.58,True
2012/06/20,80.03,True
2012/06/21,77.86,True
2012/06/22,77.98,True
2012/06/25,76.88,True
2012/06/26,77.19,True
2012/06/27,77.2,True
2012/06/28,78.05,True
2012/06/29,80.73,True
2012/07/02,79.62,True
2012/07/03,80.23,True
2012/07/05,80.06,True
2012/07/06,79.82,True
2012/07/09,79.63,True
2012/07/10,78.63,True
2012/07/11,78.61,True
2012/07/12,77.72,True
2012/07/13,79.84,True
2012/07/16,79.45,True
2012/07/17,80.28,True
2012/07/18,81.54,True
2012/07/19,81.5,True
2012/07/20,80.43,True
2012/07/23,79.58,True
2012/07/24,78.88,True
2012/07/25,78.91,True
2012/07/26,79.88,True
2012/07/27,81.26,True
2012/07/30,81.34,True
2012/07/31,80.43,True
2012/08/01,81.24,True
2012/08/02,80.4,True
2012/08/03,82.24,True
2012/08/06,82.72,True
2012/08/07,83.23,True
2012/08/08,83.93,True
2012/08/09,84.04,True
2012/08/10,83.73,True
2012/08/13,83.63,True
2012/08/14,83.5,True
2012/08/15,83.57,True
2012/08/16,84.67,True
2012/08/17,84.42,True
2012/08/20,84.57,True
2012/08/21,84.44,True
2012/08/22,85.0,True
2012/08/23,83.51,True
2012/08/24,83.33,True
2012/08/27,82.54,True
2012/08/28,82.26,True
2012/08/29,82.03,True
2012/08/30,81.76,True
2012/08/31,82.58,True
2012/09/04,81.49,True
2012/09/05,82.11,True
2012/09/06,83.52,True
2012/09/07,83.61,True
2012/09/10,83.23,True
2012/09/11,83.99,True
2012/09/12,83.39,True
2012/09/13,84.29,True
2012/09/14,85.49,True
2012/09/17,85.62,True
2012/09/18,85.33,True
2012/09/19,85.24,True
2012/09/20,85.05,True
2012/09/21,84.51,True
2012/09/24,83.94,True
2012/09/25,83.35,True
2012/09/26,83.18,True
2012/09/27,82.65,True
2012/09/28,82.7,True
2012/10/01,82.85,True
2012/10/02,82.67,True
2012/10/03,82.73,True
2012/10/04,83.39,True
2012/10/05,83.9,True
2012/10/08,83.88,True
2012/10/09,82.96,True
2012/10/10,82.02,True
2012/10/11,81.97,True
2012/10/12,82.0,True
2012/10/15,82.29,True
2012/10/16,84.61,True
2012/10/17,84.95,True
2012/10/18,85.35,True
2012/10/19,79.99,True
2012/10/22,78.96,True
2012/10/23,77.28,True
2012/10/24,77.09,True
2012/10/25,77.73,True
2012/10/26,77.92,True
2012/10/31,77.53,True
2012/11/01,78.19,True
2012/11/02,78.15,True
2012/11/05,78.75,True
2012/11/06,79.75,True
2012/11/07,79.46,True
2012/11/08,79.15,True
2012/11/09,79.73,True
2012/11/12,79.95,True
2012/11/13,80.54,True
2012/11/14,80.23,True
2012/11/15,79.85,True
2012/11/16,80.0,True
2012/11/19,80.87,True
2012/11/20,81.61,True
2012/11/21,81.94,True
2012/11/23,83.04,True
2012/11/26,83.34,True
2012/11/27,82.87,True
2012/11/28,82.45,True
2012/11/29,82.35,True
2012/11/30,82.94,True
2012/12/03,81.57,True
2012/12/04,81.7,True
2012/12/05,81.99,True
2012/12/06,82.15,True
2012/12/07,83.06,True
2012/12/10,83.11,True
2012/12/11,83.24,True
2012/12/12,82.56,True
2012/12/13,82.95,True
2012/12/14,82.55,True
2012/12/17,83.36,True
2012/12/18,84.47,True
2012/12/19,83.77,True
2012/12/20,85.05,True
2012/12/21,84.28,True
2012/12/24,85.26,True
2012/12/26,85.75,True
2012/12/27,84.8,True
2012/12/28,82.93,True
2012/12/31,84.02,True
2013/01/01,84.00025868643768,False
2013/01/02,84.03898142979433,False
2013/01/03,84.18651434316251,False
2013/01/04,84.38092468743844,False
2013/01/07,84.39109461945688,False
2013/01/08,84.254906259423,False
2013/01/09,84.22331333057267,False
2013/01/10,84.17485297294351,False
2013/01/11,84.1370791589762,False
2013/01/14,84.12283074219961,False
2013/01/15,84.13353426105394,False
