date,PRC,is_prediction
2012/01/03,45.96,True
2012/01/04,45.82,True
2012/01/05,46.21,True
2012/01/06,46.23,True
2012/01/09,47.02,True
2012/01/10,47.98,True
2012/01/11,47.83,True
2012/01/12,48.21,True
2012/01/13,48.15,True
2012/01/17,48.27,True
2012/01/18,53.56,True
2012/01/19,54.89,True
2012/01/20,55.36,True
2012/01/23,55.08,True
2012/01/24,54.75,True
2012/01/25,54.7,True
2012/01/26,54.71,True
2012/01/27,54.41,True
2012/01/30,54.19,True
2012/01/31,54.43,True
2012/02/01,54.8,True
2012/02/02,54.24,True
2012/02/03,55.07,True
2012/02/06,54.85,True
2012/02/07,54.87,True
2012/02/08,54.66,True
2012/02/09,55.3,True
2012/02/10,54.82,True
2012/02/13,55.15,True
2012/02/14,55.06,True
2012/02/15,54.87,True
2012/02/16,56.35,True
2012/02/17,56.31,True
2012/02/21,56.41,True
2012/02/22,56.17,True
2012/02/23,56.09,True
2012/02/24,56.3,True
2012/02/27,56.14,True
2012/02/28,56.51,True
2012/02/29,55.96,True
2012/03/01,56.45,True
2012/03/02,56.23,True
2012/03/05,55.79,True
2012/03/06,55.09,True
2012/03/07,56.01,True
2012/03/08,56.35,True
2012/03/09,56.83,True
2012/03/12,56.71,True
2012/03/13,58.0,True
2012/03/14,57.32,True
2012/03/15,57.73,True
2012/03/16,57.73,True
2012/03/19,57.6,True
2012/03/20,56.62,True
2012/03/21,56.87,True
2012/03/22,56.85,True
2012/03/23,56.8,True
2012/03/26,57.93,True
2012/03/27,59.06,True
2012/03/28,58.61,True
2012/03/29,59.05,True
2012/03/30,59.77,True
2012/04/02,61.33,True
2012/04/03,60.7,True
2012/04/04,59.64,True
2012/04/05,59.33,True
2012/04/09,58.51,True
2012/04/10,57.15,True
2012/04/11,57.64,True
2012/04/12,59.11,True
2012/04/13,58.79,True
2012/04/16,59.07,True
2012/04/17,59.95,True
2012/04/18,58.09,True
2012/04/19,57.63,True
2012/04/20,57.68,True
2012/04/23,56.76,True
2012/04/24,56.52,True
2012/04/25,57.32,True
2012/04/26,58.49,True
2012/04/27,58.68,True
2012/04/30,58.14,True
2012/05/01,57.9,True
2012/05/02,57.96,True
2012/05/03,56.7,True
2012/05/04,55.35,True
2012/05/07,54.81,True
2012/05/08,54.53,True
2012/05/09,54.75,True
2012/05/10,54.22,True
2012/05/11,54.04,True
2012/05/14,53.46,True
2012/05/15,53.18,True
2012/05/16,52.69,True
2012/05/17,52.26,True
2012/05/18,51.19,True
2012/05/21,52.46,True
2012/05/22,52.98,True
2012/05/23,53.44,True
2012/05/24,53.26,True
2012/05/25,53.22,True
2012/05/29,54.07,True
2012/05/30,53.27,True
2012/05/31,53.19,True
2012/06/01,51.6,True
2012/06/04,52.22,True
2012/06/05,53.27,True
2012/06/06,54.15,True
2012/06/07,54.55,True
2012/06/08,54.86,True
2012/06/11,54.0,True
2012/06/12,54.69,True
2012/06/13,54.92,True
2012/06/14,54.41,True
2012/06/15,55.72,True
2012/06/18,56.44,True
2012/06/19,57.33,True
2012/06/20,56.73,True
2012/06/21,54.8,True
2012/06/22,55.11,True
2012/06/25,53.52,True
2012/06/26,53.46,True
2012/06/27,53.75,True
2012/06/28,53.23,True
2012/06/29,54.92,True
2012/07/02,54.69,True
2012/07/03,55.19,True
2012/07/05,55.13,True
2012/07/06,53.52,True
2012/07/09,53.25,True
2012/07/10,52.48,True
2012/07/11,51.83,True
2012/07/12,51.47,True
2012/07/13,52.08,True
2012/07/16,51.72,True
2012/07/17,51.36,True
2012/07/18,58.94,True
2012/07/19,59.01,True
2012/07/20,58.18,True
2012/07/23,58.1,True
2012/07/24,57.7,True
2012/07/25,58.66,True
2012/07/26,59.93,True
2012/07/27,59.99,True
2012/07/30,59.68,True
2012/07/31,58.88,True
2012/08/01,58.76,True
2012/08/02,58.06,True
2012/08/03,59.79,True
2012/08/06,60.34,True
2012/08/07,61.36,True
2012/08/08,60.97,True
2012/08/09,60.87,True
2012/08/10,61.04,True
2012/08/13,61.81,True
2012/08/14,61.88,True
2012/08/15,61.71,True
2012/08/16,62.33,True
2012/08/17,62.39,True
2012/08/20,62.16,True
2012/08/21,61.94,True
2012/08/22,60.96,True
2012/08/23,60.95,True
2012/08/24,61.66,True
2012/08/27,61.63,True
2012/08/28,60.78,True
2012/08/29,60.8,True
2012/08/30,60.32,True
2012/08/31,60.87,True
2012/09/04,61.36,True
2012/09/05,60.38,True
2012/09/06,61.75,True
2012/09/07,62.03,True
2012/09/10,61.53,True
2012/09/11,61.42,True
2012/09/12,61.27,True
2012/09/13,62.43,True
2012/09/14,63.18,True
2012/09/17,63.09,True
2012/09/18,62.62,True
2012/09/19,62.41,True
2012/09/20,61.89,True
2012/09/21,61.89,True
2012/09/24,60.71,True
2012/09/25,60.18,True
2012/09/26,59.2,True
2012/09/27,59.28,True
2012/09/28,58.88,True
2012/10/01,57.77,True
2012/10/02,57.97,True
2012/10/03,58.23,True
2012/10/04,57.95,True
2012/10/05,58.76,True
2012/10/08,58.32,True
2012/10/09,58.5,True
2012/10/10,58.35,True
2012/10/11,58.5,True
2012/10/12,58.57,True
2012/10/15,59.0,True
2012/10/16,60.17,True
2012/10/17,61.53,True
2012/10/18,61.77,True
2012/10/19,61.11,True
2012/10/22,61.56,True
2012/10/23,61.0,True
2012/10/24,59.92,True
2012/10/25,60.1,True
2012/10/26,60.13,True
2012/10/31,60.13,True
2012/11/01,61.05,True
2012/11/02,60.83,True
2012/11/05,61.75,True
2012/11/06,62.1,True
2012/11/07,60.9,True
2012/11/08,60.35,True
2012/11/09,61.04,True
2012/11/12,61.39,True
2012/11/13,60.63,True
2012/11/14,59.23,True
2012/11/15,58.72,True
2012/11/16,59.12,True
2012/11/19,60.5,True
2012/11/20,60.42,True
2012/11/21,60.75,True
2012/11/23,61.52,True
2012/11/26,61.79,True
2012/11/27,61.06,True
2012/11/28,61.56,True
2012/11/29,62.0,True
2012/11/30,61.92,True
2012/12/03,61.05,True
2012/12/04,60.96,True
2012/12/05,60.97,True
2012/12/06,61.11,True
2012/12/07,61.63,True
2012/12/10,61.9,True
2012/12/11,62.81,True
2012/12/12,62.89,True
2012/12/13,62.61,True
2012/12/14,62.54,True
2012/12/17,63.76,True
2012/12/18,64.69,True
2012/12/19,64.85,True
2012/12/20,65.01,True
2012/12/21,64.95,True
2012/12/24,64.71,True
2012/12/26,64.52,True
2012/12/27,64.6,True
2012/12/28,63.59,True
2012/12/31,64.7,True
2013/01/01,64.94966838968054,False
2013/01/02,64.97327578428649,False
2013/01/03,65.18282511741107,False
2013/01/04,65.16856775741603,False
2013/01/07,65.23672403721527,False
2013/01/08,65.33252504609435,False
2013/01/09,65.35495749667373,False
2013/01/10,65.43012063227533,False
2013/01/11,65.50770897653226,False
2013/01/14,65.57801541334533,False
2013/01/15,65.6615380631704,False
2013/01/16,65.73730730861209,False
2013/01/17,65.81231902522266,False
2013/01/18,65.88974445641064,False
2013/01/21,65.96404530555462,False
2013/01/22,66.03891293148509,False
2013/01/23,66.11402461305778,False
2013/01/24,66.1885846167989,False
2013/01/25,66.26371438867449,False
2013/01/28,66.3388243562087,False
2013/01/29,66.41386649004949,False
2013/01/30,66.48906058305153,False
2013/01/31,66.56418226691886,False
2013/02/01,66.63929664194757,False
2013/02/04,66.71442738622453,False
2013/02/05,66.78952385338872,False
2013/02/06,66.8646269659049,False
2013/02/07,66.93973193767623,False
2013/02/08,67.01483128183055,False
2013/02/11,67.08993645820347,False
2013/02/12,67.1650415362007,False
2013/02/13,67.24014627675591,False
2013/02/14,67.3152526072498,False
2013/02/15,67.39035813331792,False
2013/02/18,67.46546355705946,False
2013/02/19,67.5405690654087,False
2013/02/20,67.61567417087433,False
2013/02/21,67.69077932072642,False
2013/02/22,67.76588442995431,False
2013/02/25,67.84098946032493,False
2013/02/26,67.9160945316177,False
2013/02/27,67.99119957587048,False
2013/02/28,68.06630458077385,False
2013/03/01,68.14140957319127,False
2013/03/04,68.21651453555458,False
2013/03/05,68.29161946274843,False
2013/03/06,68.36672437784115,False
2013/03/07,68.44182925258215,False
2013/03/08,68.51693407508537,False
2013/03/11,68.59203887951418,False
