date,PRC,is_prediction
2012/01/03,12.2,True
2012/01/04,12.105,True
2012/01/05,12.11,True
2012/01/06,12.24,True
2012/01/09,12.2,True
2012/01/10,12.45,True
2012/01/11,12.61,True
2012/01/12,12.56,True
2012/01/13,12.24,True
2012/01/17,11.99,True
2012/01/18,12.21,True
2012/01/19,12.34,True
2012/01/20,12.22,True
2012/01/23,12.07,True
2012/01/24,12.28,True
2012/01/25,11.95,True
2012/01/26,11.95,True
2012/01/27,12.15,True
2012/01/30,12.17,True
2012/01/31,12.34,True
2012/02/01,12.16,True
2012/02/02,12.18,True
2012/02/03,12.28,True
2012/02/06,12.32,True
2012/02/07,12.44,True
2012/02/08,12.55,True
2012/02/09,12.66,True
2012/02/10,12.325,True
2012/02/13,12.25,True
2012/02/14,12.48,True
2012/02/15,12.4,True
2012/02/16,12.52,True
2012/02/17,12.23,True
2012/02/21,12.02,True
2012/02/22,12.1,True
2012/02/23,12.165,True
2012/02/24,12.115,True
2012/02/27,11.91,True
2012/02/28,12.06,True
2012/02/29,11.95,True
2012/03/01,11.68,True
2012/03/02,11.67,True
2012/03/05,11.71,True
2012/03/06,11.73,True
2012/03/07,11.8,True
2012/03/08,12.005,True
2012/03/09,11.91,True
2012/03/12,11.94,True
2012/03/13,12.02,True
2012/03/14,12.33,True
2012/03/15,12.46,True
2012/03/16,12.65,True
2012/03/19,12.52,True
2012/03/20,12.52,True
2012/03/21,12.53,True
2012/03/22,12.73,True
2012/03/23,12.705,True
2012/03/26,12.77,True
2012/03/27,12.86,True
2012/03/28,12.69,True
2012/03/29,12.77,True
2012/03/30,12.82,True
2012/04/02,12.82,True
2012/04/03,12.83,True
2012/04/04,12.81,True
2012/04/05,12.69,True
2012/04/09,12.72,True
2012/04/10,12.37,True
2012/04/11,12.37,True
2012/04/12,12.48,True
2012/04/13,12.42,True
2012/04/16,12.26,True
2012/04/17,12.27,True
2012/04/18,12.25,True
2012/04/19,12.25,True
2012/04/20,12.2,True
2012/04/23,12.36,True
2012/04/24,12.44,True
2012/04/25,12.57,True
2012/04/26,12.76,True
2012/04/27,12.83,True
2012/04/30,12.875,True
2012/05/01,12.82,True
2012/05/02,12.84,True
2012/05/03,12.66,True
2012/05/04,12.36,True
2012/05/07,12.29,True
2012/05/08,12.4,True
2012/05/09,12.4,True
2012/05/10,12.74,True
2012/05/11,12.645,True
2012/05/14,12.64,True
2012/05/15,12.78,True
2012/05/16,12.38,True
2012/05/17,12.09,True
2012/05/18,11.97,True
2012/05/21,12.2,True
2012/05/22,12.0,True
2012/05/23,12.33,True
2012/05/24,12.1,True
2012/05/25,12.24,True
2012/05/29,11.96,True
2012/05/30,11.91,True
2012/05/31,11.74,True
2012/06/01,11.65,True
2012/06/04,11.65,True
2012/06/05,11.605,True
2012/06/06,12.095,True
2012/06/07,11.78,True
2012/06/08,11.83,True
2012/06/11,11.595,True
2012/06/12,11.69,True
2012/06/13,11.66,True
2012/06/14,11.53,True
2012/06/15,11.44,True
2012/06/18,11.64,True
2012/06/19,11.67,True
2012/06/20,11.62,True
2012/06/21,11.44,True
2012/06/22,11.79,True
2012/06/25,11.375,True
2012/06/26,11.59,True
2012/06/27,11.66,True
2012/06/28,11.49,True
2012/06/29,11.99,True
2012/07/02,11.945,True
2012/07/03,12.46,True
2012/07/05,12.13,True
2012/07/06,12.04,True
2012/07/09,12.08,True
2012/07/10,12.1,True
2012/07/11,11.96,True
2012/07/12,11.9,True
2012/07/13,12.1,True
2012/07/16,12.11,True
2012/07/17,12.08,True
2012/07/18,12.5,True
2012/07/19,12.345,True
2012/07/20,12.005,True
2012/07/23,11.94,True
2012/07/24,11.6,True
2012/07/25,11.74,True
2012/07/26,11.815,True
2012/07/27,11.98,True
2012/07/30,12.03,True
2012/07/31,12.03,True
2012/08/01,11.82,True
2012/08/02,11.77,True
2012/08/03,11.12,True
2012/08/06,11.42,True
2012/08/07,11.52,True
2012/08/08,11.65,True
2012/08/09,11.65,True
2012/08/10,11.64,True
2012/08/13,11.52,True
2012/08/14,11.53,True
2012/08/15,11.62,True
2012/08/16,11.88,True
2012/08/17,12.1,True
2012/08/20,11.98,True
2012/08/21,11.9,True
2012/08/22,11.8,True
2012/08/23,11.725,True
2012/08/24,11.75,True
2012/08/27,11.71,True
2012/08/28,11.75,True
2012/08/29,11.79,True
2012/08/30,11.67,True
2012/08/31,11.76,True
2012/09/04,11.68,True
2012/09/05,11.82,True
2012/09/06,12.23,True
2012/09/07,12.02,True
2012/09/10,11.98,True
2012/09/11,11.99,True
2012/09/12,11.91,True
2012/09/13,12.0,True
2012/09/14,12.11,True
2012/09/17,11.98,True
2012/09/18,11.855,True
2012/09/19,11.88,True
2012/09/20,11.9,True
2012/09/21,12.08,True
2012/09/24,12.06,True
2012/09/25,11.645,True
2012/09/26,11.68,True
2012/09/27,11.37,True
2012/09/28,11.275,True
2012/10/01,11.11,True
2012/10/02,11.11,True
2012/10/03,11.23,True
2012/10/04,11.415,True
2012/10/05,11.3,True
2012/10/08,11.3,True
2012/10/09,11.095,True
2012/10/10,11.09,True
2012/10/11,11.2,True
2012/10/12,11.16,True
2012/10/15,11.31,True
2012/10/16,11.24,True
2012/10/17,11.305,True
2012/10/18,11.3,True
2012/10/19,11.18,True
2012/10/22,11.14,True
2012/10/23,11.08,True
2012/10/24,11.08,True
2012/10/25,11.06,True
2012/10/26,10.79,True
2012/10/31,10.885,True
2012/11/01,11.23,True
2012/11/02,11.1596,True
2012/11/05,11.25,True
2012/11/06,11.34,True
2012/11/07,11.13,True
2012/11/08,11.0,True
2012/11/09,10.66,True
2012/11/12,10.77,True
2012/11/13,10.7202,True
2012/11/14,10.685,True
2012/11/15,10.56,True
2012/11/16,11.050999999999998,True
2012/11/19,11.2399,True
2012/11/20,11.24,True
2012/11/21,11.35,True
2012/11/23,11.24,True
2012/11/26,11.34,True
2012/11/27,11.33,True
2012/11/28,11.54,True
2012/11/29,11.46,True
2012/11/30,11.455,True
2012/12/03,11.31,True
2012/12/04,11.275,True
2012/12/05,11.23,True
2012/12/06,11.36,True
2012/12/07,11.34,True
2012/12/10,11.43,True
2012/12/11,11.58,True
2012/12/12,11.5,True
2012/12/13,11.49,True
2012/12/14,11.41,True
2012/12/17,11.125,True
2012/12/18,11.11,True
2012/12/19,10.8494,True
2012/12/20,10.78,True
2012/12/21,10.65,True
2012/12/24,10.68,True
2012/12/26,10.67,True
2012/12/27,10.59,True
2012/12/28,10.56,True
2012/12/31,10.62,True
2013/01/01,10.614087150794857,False
2013/01/02,10.61451690780368,False
2013/01/03,10.612259917545064,False
2013/01/04,10.603210341730655,False
2013/01/07,10.58897660465892,False
2013/01/08,10.576378905735847,False
2013/01/09,10.572503802947429,False
2013/01/10,10.565807771747421,False
2013/01/11,10.561409488851105,False
2013/01/14,10.556334427047256,False
2013/01/15,10.550401244155312,False
2013/01/16,10.54361123577155,False
2013/01/17,10.53636847000503,False
2013/01/18,10.529722233992013,False
2013/01/21,10.522957770316333,False
2013/01/22,10.516618815110954,False
2013/01/23,10.510328399088184,False
2013/01/24,10.504035211008082,False
2013/01/25,10.497659036617016,False
2013/01/28,10.491178316059516,False
2013/01/29,10.484699866481902,False
2013/01/30,10.478186899712224,False
2013/01/31,10.471716447624223,False
2013/02/01,10.465263194883612,False
2013/02/04,10.458827011716304,False
2013/02/05,10.452393075922236,False
2013/02/06,10.445949967641898,False
2013/02/07,10.439502852641333,False
2013/02/08,10.433047305682944,False
2013/02/11,10.4265925583774,False
2013/02/12,10.42013847056315,False
2013/02/13,10.413687129193223,False
2013/02/14,10.407237619141869,False
2013/02/15,10.400788367842402,False
2013/02/18,10.394339124989337,False
2013/02/19,10.387888807263357,False
2013/02/20,10.381438109114669,False
2013/02/21,10.374987048569423,False
2013/02/22,10.368536106984372,False
2013/02/25,10.362085391436441,False
2013/02/26,10.355634825973642,False
2013/02/27,10.349184384150197,False
2013/02/28,10.342733897275066,False
2013/03/01,10.336283362455857,False
2013/03/04,10.329832753186185,False
2013/03/05,10.323382105547262,False
2013/03/06,10.316931452026791,False
2013/03/07,10.310480838974525,False
2013/03/08,10.304030210370694,False
2013/03/11,10.297579592858451,False
