date,PRC,is_prediction
2012/01/03,29.31,True
2012/01/04,29.43,True
2012/01/05,29.23,True
2012/01/06,29.59,True
2012/01/09,29.46,True
2012/01/10,29.65,True
2012/01/11,29.8,True
2012/01/12,29.74,True
2012/01/13,28.8,True
2012/01/17,28.42,True
2012/01/18,28.9,True
2012/01/19,29.34,True
2012/01/20,29.22,True
2012/01/23,28.93,True
2012/01/24,28.61,True
2012/01/25,28.7,True
2012/01/26,29.24,True
2012/01/27,28.78,True
2012/01/30,28.7,True
2012/01/31,27.15,True
2012/02/01,28.53,True
2012/02/02,28.79,True
2012/02/03,28.56,True
2012/02/06,28.84,True
2012/02/07,29.44,True
2012/02/08,29.77,True
2012/02/09,29.75,True
2012/02/10,29.2,True
2012/02/13,29.89,True
2012/02/14,29.35,True
2012/02/15,29.18,True
2012/02/16,29.84,True
2012/02/17,30.24,True
2012/02/21,30.33,True
2012/02/22,30.36,True
2012/02/23,30.85,True
2012/02/24,30.8,True
2012/02/27,31.03,True
2012/02/28,30.86,True
2012/02/29,30.5,True
2012/03/01,29.91,True
2012/03/02,29.97,True
2012/03/05,29.49,True
2012/03/06,28.5,True
2012/03/07,28.31,True
2012/03/08,28.77,True
2012/03/09,29.15,True
2012/03/12,29.06,True
2012/03/13,29.62,True
2012/03/14,29.39,True
2012/03/15,29.81,True
2012/03/16,29.91,True
2012/03/19,29.9,True
2012/03/20,29.41,True
2012/03/21,29.27,True
2012/03/22,28.68,True
2012/03/23,29.11,True
2012/03/26,29.81,True
2012/03/27,30.36,True
2012/03/28,30.14,True
2012/03/29,30.17,True
2012/03/30,30.13,True
2012/04/02,30.02,True
2012/04/03,29.89,True
2012/04/04,29.77,True
2012/04/05,29.86,True
2012/04/09,29.68,True
2012/04/10,28.8,True
2012/04/11,29.68,True
2012/04/12,30.64,True
2012/04/13,30.32,True
2012/04/16,30.39,True
2012/04/17,31.17,True
2012/04/18,31.14,True
2012/04/19,30.89,True
2012/04/20,31.07,True
2012/04/23,30.87,True
2012/04/24,31.28,True
2012/04/25,31.53,True
2012/04/26,32.35,True
2012/04/27,32.39,True
2012/04/30,31.98,True
2012/05/01,32.36,True
2012/05/02,32.42,True
2012/05/03,32.27,True
2012/05/04,31.45,True
2012/05/07,31.29,True
2012/05/08,31.0,True
2012/05/09,30.78,True
2012/05/10,30.68,True
2012/05/11,30.73,True
2012/05/14,30.2,True
2012/05/15,29.89,True
2012/05/16,29.51,True
2012/05/17,28.91,True
2012/05/18,28.68,True
2012/05/21,29.09,True
2012/05/22,29.0,True
2012/05/23,29.41,True
2012/05/24,29.33,True
2012/05/25,29.45,True
2012/05/29,30.43,True
2012/05/30,29.2,True
2012/05/31,29.11,True
2012/06/01,28.12,True
2012/06/04,27.36,True
2012/06/05,27.37,True
2012/06/06,28.21,True
2012/06/07,28.09,True
2012/06/08,28.32,True
2012/06/11,27.82,True
2012/06/12,27.7,True
2012/06/13,27.02,True
2012/06/14,27.06,True
2012/06/15,27.81,True
2012/06/18,27.76,True
2012/06/19,28.39,True
2012/06/20,28.06,True
2012/06/21,27.4,True
2012/06/22,27.51,True
2012/06/25,26.55,True
2012/06/26,26.38,True
2012/06/27,26.63,True
2012/06/28,26.73,True
2012/06/29,27.34,True
2012/07/02,27.22,True
2012/07/03,27.77,True
2012/07/05,27.41,True
2012/07/06,27.37,True
2012/07/09,27.43,True
2012/07/10,27.51,True
2012/07/11,27.8,True
2012/07/12,27.37,True
2012/07/13,28.02,True
2012/07/16,28.14,True
2012/07/17,28.59,True
2012/07/18,29.12,True
2012/07/19,29.31,True
2012/07/20,28.74,True
2012/07/23,28.24,True
2012/07/24,30.31,True
2012/07/25,29.91,True
2012/07/26,30.31,True
2012/07/27,30.87,True
2012/07/30,31.32,True
2012/07/31,30.79,True
2012/08/01,30.72,True
2012/08/02,30.54,True
2012/08/03,31.12,True
2012/08/06,31.23,True
2012/08/07,31.48,True
2012/08/08,31.62,True
2012/08/09,31.57,True
2012/08/10,31.77,True
2012/08/13,31.56,True
2012/08/14,31.46,True
2012/08/15,31.29,True
2012/08/16,31.84,True
2012/08/17,32.04,True
2012/08/20,31.96,True
2012/08/21,31.89,True
2012/08/22,31.61,True
2012/08/23,31.33,True
2012/08/24,31.5,True
2012/08/27,31.02,True
2012/08/28,31.07,True
2012/08/29,31.37,True
2012/08/30,31.0,True
2012/08/31,31.23,True
2012/09/04,29.6,True
2012/09/05,29.86,True
2012/09/06,30.81,True
2012/09/07,30.76,True
2012/09/10,30.61,True
2012/09/11,30.69,True
2012/09/12,30.64,True
2012/09/13,30.95,True
2012/09/14,31.84,True
2012/09/17,31.44,True
2012/09/18,31.17,True
2012/09/19,31.28,True
2012/09/20,30.85,True
2012/09/21,31.16,True
2012/09/24,31.28,True
2012/09/25,31.2,True
2012/09/26,31.26,True
2012/09/27,31.67,True
2012/09/28,31.82,True
2012/10/01,31.89,True
2012/10/02,31.81,True
2012/10/03,31.45,True
2012/10/04,30.07,True
2012/10/05,30.05,True
2012/10/08,30.02,True
2012/10/09,29.9,True
2012/10/10,29.88,True
2012/10/11,30.04,True
2012/10/12,29.55,True
2012/10/15,30.08,True
2012/10/16,30.41,True
2012/10/17,31.12,True
2012/10/18,30.84,True
2012/10/19,30.34,True
2012/10/22,30.08,True
2012/10/23,29.75,True
2012/10/24,32.25,True
2012/10/25,32.46,True
2012/10/26,32.25,True
2012/10/31,32.38,True
2012/11/01,32.86,True
2012/11/02,33.2,True
2012/11/05,33.71,True
2012/11/06,34.06,True
2012/11/07,33.33,True
2012/11/08,32.98,True
2012/11/09,32.98,True
2012/11/12,32.8,True
2012/11/13,32.55,True
2012/11/14,32.23,True
2012/11/15,31.76,True
2012/11/16,31.99,True
2012/11/19,32.37,True
2012/11/20,33.06,True
2012/11/21,33.23,True
2012/11/23,33.79,True
2012/11/26,33.85,True
2012/11/27,33.65,True
2012/11/28,33.7,True
2012/11/29,33.63,True
2012/11/30,33.45,True
2012/12/03,33.1,True
2012/12/04,33.29,True
2012/12/05,33.25,True
2012/12/06,33.48,True
2012/12/07,33.55,True
2012/12/10,33.88,True
2012/12/11,34.09,True
2012/12/12,34.02,True
2012/12/13,33.92,True
2012/12/14,34.0,True
2012/12/17,34.09,True
2012/12/18,34.76,True
2012/12/19,34.73,True
2012/12/20,34.97,True
2012/12/21,34.77,True
2012/12/24,34.76,True
2012/12/26,34.76,True
2012/12/27,34.89,True
2012/12/28,34.4,True
2012/12/31,34.92,True
2013/01/01,34.95365539740223,False
2013/01/02,34.96767121991653,False
2013/01/03,34.981064226437766,False
2013/01/04,34.999644938975734,False
2013/01/07,35.005355819684766,False
2013/01/08,35.02603403771905,False
2013/01/09,35.05517964199943,False
2013/01/10,35.07887978703143,False
2013/01/11,35.10165172145791,False
2013/01/14,35.124128056254946,False
2013/01/15,35.14610698270153,False
2013/01/16,35.16805667803395,False
2013/01/17,35.19044835647637,False
2013/01/18,35.212956601028345,False
2013/01/21,35.23541110413354,False
2013/01/22,35.25784450279324,False
2013/01/23,35.280253003441686,False
2013/01/24,35.30264204717091,False
2013/01/25,35.325034230481506,False
2013/01/28,35.34743614999161,False
2013/01/29,35.369841267858654,False
2013/01/30,35.392246578412276,False
2013/01/31,35.41465136714521,False
2013/02/01,35.43705516299803,False
2013/02/04,35.45945838271765,False
2013/02/05,35.48186165663116,False
2013/02/06,35.504265138859054,False
2013/02/07,35.52666872942669,False
2013/02/08,35.54907235905898,False
2013/02/11,35.571475973310015,False
2013/02/12,35.59387956132508,False
2013/02/13,35.61628312500036,False
2013/02/14,35.63868668617227,False
2013/02/15,35.661090248519336,False
2013/02/18,35.68349382704736,False
2013/02/19,35.70589739862311,False
2013/02/20,35.72830096180128,False
2013/02/21,35.75070451729115,False
2013/02/22,35.773108077566086,False
2013/02/25,35.795511640247334,False
2013/02/26,35.81791520121854,False
2013/02/27,35.84031876113126,False
2013/02/28,35.86272232133735,False
2013/03/01,35.885125885456006,False
2013/03/04,35.907529436778454,False
2013/03/05,35.92993299004104,False
2013/03/06,35.952336552729136,False
2013/03/07,35.974740105912836,False
2013/03/08,35.99714365478748,False
2013/03/11,36.01954720136069,False
