date,PRC,is_prediction
2012/01/03,74.22,True
2012/01/04,74.33,True
2012/01/05,73.53,True
2012/01/06,73.98,True
2012/01/09,74.53,True
2012/01/10,75.0,True
2012/01/11,74.74,True
2012/01/12,75.51,True
2012/01/13,74.6,True
2012/01/17,75.24,True
2012/01/18,75.06,True
2012/01/19,75.56,True
2012/01/20,75.52,True
2012/01/23,75.51,True
2012/01/24,75.36,True
2012/01/25,75.82,True
2012/01/26,75.31,True
2012/01/27,74.55,True
2012/01/30,74.16,True
2012/01/31,74.18,True
2012/02/01,75.37,True
2012/02/02,75.22,True
2012/02/03,76.34,True
2012/02/06,75.46,True
2012/02/07,75.2,True
2012/02/08,75.46,True
2012/02/09,75.9,True
2012/02/10,74.95,True
2012/02/13,74.85,True
2012/02/14,75.56,True
2012/02/15,75.21,True
2012/02/16,75.27,True
2012/02/17,75.35,True
2012/02/21,75.72,True
2012/02/22,76.06,True
2012/02/23,75.85,True
2012/02/24,76.06,True
2012/02/27,75.21,True
2012/02/28,75.16,True
2012/02/29,74.95,True
2012/03/01,75.08,True
2012/03/02,74.9,True
2012/03/05,74.13,True
2012/03/06,72.56,True
2012/03/07,73.52,True
2012/03/08,74.17,True
2012/03/09,73.29,True
2012/03/12,73.6,True
2012/03/13,74.31,True
2012/03/14,75.23,True
2012/03/15,75.43,True
2012/03/16,75.2,True
2012/03/19,75.4,True
2012/03/20,75.14,True
2012/03/21,75.01,True
2012/03/22,73.92,True
2012/03/23,73.97,True
2012/03/26,75.18,True
2012/03/27,74.81,True
2012/03/28,74.33,True
2012/03/29,74.08,True
2012/03/30,74.37,True
2012/04/02,75.17,True
2012/04/03,74.65,True
2012/04/04,73.67,True
2012/04/05,73.59,True
2012/04/09,72.43,True
2012/04/10,70.6,True
2012/04/11,71.77,True
2012/04/12,73.5,True
2012/04/13,72.92,True
2012/04/16,72.68,True
2012/04/17,74.09,True
2012/04/18,73.71,True
2012/04/19,73.1,True
2012/04/20,73.55,True
2012/04/23,72.86,True
2012/04/24,73.21,True
2012/04/25,77.08,True
2012/04/26,76.99,True
2012/04/27,77.27,True
2012/04/30,76.8,True
2012/05/01,77.25,True
2012/05/02,77.26,True
2012/05/03,76.83,True
2012/05/04,75.84,True
2012/05/07,75.96,True
2012/05/08,75.4,True
2012/05/09,74.05,True
2012/05/10,73.8,True
2012/05/11,73.56,True
2012/05/14,73.12,True
2012/05/15,72.58,True
2012/05/16,72.35,True
2012/05/17,69.73,True
2012/05/18,69.15,True
2012/05/21,71.78,True
2012/05/22,71.48,True
2012/05/23,71.57,True
2012/05/24,71.39,True
2012/05/25,70.0,True
2012/05/29,70.4,True
2012/05/30,69.39,True
2012/05/31,69.61,True
2012/06/01,67.24,True
2012/06/04,67.5,True
2012/06/05,67.58,True
2012/06/06,69.02,True
2012/06/07,69.95,True
