date,PRC,is_prediction
2012/01/03,50.54,True
2012/01/04,49.66,True
2012/01/05,49.66,True
2012/01/06,50.14,True
2012/01/09,49.74,True
2012/01/10,50.18,True
2012/01/11,50.86,True
2012/01/12,51.79,True
2012/01/13,51.3,True
2012/01/17,51.94,True
2012/01/18,51.75,True
2012/01/19,52.62,True
2012/01/20,52.68,True
2012/01/23,52.78,True
2012/01/24,53.61,True
2012/01/25,54.37,True
2012/01/26,55.65,True
2012/01/27,55.87,True
2012/01/30,55.3,True
2012/01/31,55.48,True
2012/02/01,56.35,True
2012/02/02,56.54,True
2012/02/03,57.04,True
2012/02/06,57.11,True
2012/02/07,57.02,True
2012/02/08,57.07,True
2012/02/09,56.8,True
2012/02/10,56.84,True
2012/02/13,57.04,True
2012/02/14,56.99,True
2012/02/15,56.84,True
2012/02/16,56.78,True
2012/02/17,56.97,True
2012/02/21,56.64,True
2012/02/22,56.64,True
2012/02/23,56.59,True
2012/02/24,57.64,True
2012/02/27,57.95,True
2012/02/28,58.22,True
2012/02/29,58.13,True
2012/03/01,58.3,True
2012/03/02,57.98,True
2012/03/05,57.84,True
2012/03/06,57.48,True
2012/03/07,57.46,True
2012/03/08,59.0,True
2012/03/09,58.89,True
2012/03/12,58.66,True
2012/03/13,59.74,True
2012/03/14,59.59,True
2012/03/15,59.78,True
2012/03/16,59.81,True
2012/03/19,59.55,True
2012/03/20,59.52,True
2012/03/21,59.4,True
2012/03/22,59.24,True
2012/03/23,59.31,True
2012/03/26,59.95,True
2012/03/27,60.26,True
2012/03/28,59.59,True
2012/03/29,59.52,True
2012/03/30,59.78,True
2012/04/02,60.25,True
2012/04/03,60.27,True
2012/04/04,59.76,True
2012/04/05,59.57,True
2012/04/09,58.47,True
2012/04/10,57.67,True
2012/04/11,58.13,True
2012/04/12,58.71,True
2012/04/13,58.03,True
2012/04/16,54.1,True
2012/04/17,54.64,True
2012/04/18,54.39,True
2012/04/19,54.18,True
2012/04/20,54.17,True
2012/04/23,54.12,True
2012/04/24,54.76,True
2012/04/25,54.95,True
2012/04/26,54.69,True
2012/04/27,55.09,True
2012/04/30,55.41,True
2012/05/01,55.68,True
