date,PRC,is_prediction
2012/01/03,23.68,True
2012/01/04,23.23,True
2012/01/05,23.44,True
2012/01/06,24.22,True
2012/01/09,24.62,True
2012/01/10,24.72,True
2012/01/11,24.81,True
2012/01/12,24.76,True
2012/01/13,24.29,True
2012/01/17,24.46,True
2012/01/18,25.17,True
2012/01/19,25.1,True
2012/01/20,25.0,True
2012/01/23,25.69,True
2012/01/24,25.36,True
2012/01/25,25.71,True
2012/01/26,25.02,True
2012/01/27,25.44,True
2012/01/30,25.38,True
2012/01/31,23.95,True
2012/02/01,24.18,True
2012/02/02,24.3,True
2012/02/03,23.86,True
2012/02/06,24.67,True
2012/02/07,25.38,True
2012/02/08,25.4,True
2012/02/09,25.35,True
2012/02/10,25.08,True
2012/02/13,25.21,True
2012/02/14,25.49,True
2012/02/15,25.35,True
2012/02/16,25.87,True
2012/02/17,25.71,True
2012/02/21,25.91,True
2012/02/22,25.08,True
2012/02/23,25.19,True
2012/02/24,24.99,True
2012/02/27,25.01,True
2012/02/28,25.54,True
2012/02/29,24.7,True
2012/03/01,24.7,True
2012/03/02,24.31,True
2012/03/05,24.64,True
2012/03/06,24.06,True
2012/03/07,24.39,True
2012/03/08,24.55,True
2012/03/09,24.77,True
2012/03/12,24.56,True
2012/03/13,24.59,True
2012/03/14,23.92,True
2012/03/15,25.2,True
2012/03/16,25.52,True
2012/03/19,26.12,True
2012/03/20,26.29,True
2012/03/21,27.14,True
2012/03/22,26.96,True
2012/03/23,27.51,True
2012/03/26,27.37,True
2012/03/27,26.93,True
2012/03/28,26.62,True
2012/03/29,24.77,True
2012/03/30,23.68,True
2012/04/02,23.64,True
2012/04/03,23.55,True
2012/04/04,22.95,True
2012/04/05,22.65,True
2012/04/09,22.65,True
2012/04/10,21.32,True
2012/04/11,21.96,True
2012/04/12,22.24,True
2012/04/13,22.04,True
2012/04/16,21.85,True
2012/04/17,21.92,True
2012/04/18,22.06,True
2012/04/19,22.0,True
2012/04/20,21.47,True
2012/04/23,21.75,True
2012/04/24,21.7,True
2012/04/25,22.08,True
2012/04/26,22.11,True
2012/04/27,22.33,True
2012/04/30,22.07,True
2012/05/01,22.45,True
2012/05/02,22.1,True
2012/05/03,21.59,True
2012/05/04,20.82,True
2012/05/07,20.62,True
2012/05/08,20.12,True
2012/05/09,20.1,True
2012/05/10,19.94,True
2012/05/11,19.28,True
2012/05/14,19.56,True
2012/05/15,19.12,True
2012/05/16,18.92,True
2012/05/17,18.44,True
2012/05/18,18.02,True
2012/05/21,18.17,True
2012/05/22,18.46,True
2012/05/23,18.57,True
2012/05/24,18.82,True
2012/05/25,19.17,True
2012/05/29,19.28,True
2012/05/30,19.2,True
2012/05/31,18.72,True
2012/06/01,18.3,True
2012/06/04,18.22,True
2012/06/05,19.17,True
2012/06/06,19.89,True
2012/06/07,19.7,True
2012/06/08,19.98,True
2012/06/11,19.5,True
2012/06/12,20.04,True
2012/06/13,19.4,True
2012/06/14,19.81,True
2012/06/15,20.03,True
2012/06/18,19.8,True
