date,PRC,is_prediction
2012/01/03,74.45,True
2012/01/04,73.18,True
2012/01/05,72.69,True
2012/01/06,73.03,True
2012/01/09,73.35,True
2012/01/10,74.22,True
2012/01/11,74.74,True
2012/01/12,74.69,True
2012/01/13,74.91,True
2012/01/17,75.25,True
2012/01/18,76.48,True
2012/01/19,77.91,True
2012/01/20,78.15,True
2012/01/23,77.59,True
2012/01/24,78.29,True
2012/01/25,79.25,True
2012/01/26,79.37,True
2012/01/27,79.09,True
2012/01/30,78.99,True
2012/01/31,78.41,True
2012/02/01,79.5,True
2012/02/02,79.38,True
2012/02/03,79.91,True
2012/02/06,80.53,True
2012/02/07,77.51,True
2012/02/08,76.81,True
2012/02/09,76.85,True
2012/02/10,76.42,True
2012/02/13,76.86,True
2012/02/14,76.7,True
2012/02/15,77.26,True
2012/02/16,77.61,True
2012/02/17,77.4,True
2012/02/21,77.11,True
2012/02/22,76.83,True
2012/02/23,76.45,True
2012/02/24,77.28,True
2012/02/27,77.12,True
2012/02/28,77.22,True
2012/02/29,76.22,True
2012/03/01,76.38,True
2012/03/02,76.67,True
2012/03/05,76.01,True
2012/03/06,75.44,True
2012/03/07,75.45,True
2012/03/08,76.6,True
2012/03/09,76.82,True
2012/03/12,76.71,True
2012/03/13,77.8,True
2012/03/14,77.6,True
2012/03/15,78.09,True
2012/03/16,78.11,True
2012/03/19,77.85,True
2012/03/20,77.09,True
2012/03/21,76.83,True
2012/03/22,76.88,True
2012/03/23,76.4,True
2012/03/26,77.67,True
2012/03/27,77.76,True
2012/03/28,77.54,True
2012/03/29,77.1,True
2012/03/30,77.65,True
2012/04/02,77.91,True
2012/04/03,78.13,True
2012/04/04,77.76,True
2012/04/05,77.65,True
2012/04/09,76.69,True
2012/04/10,76.01,True
2012/04/11,76.05,True
2012/04/12,76.28,True
2012/04/13,74.79,True
2012/04/16,75.02,True
2012/04/17,76.59,True
2012/04/18,76.27,True
2012/04/19,76.2,True
2012/04/20,76.43,True
2012/04/23,75.65,True
2012/04/24,76.06,True
2012/04/25,76.89,True
2012/04/26,77.32,True
2012/04/27,77.97,True
2012/04/30,78.45,True
2012/05/01,77.49,True
2012/05/02,77.5,True
2012/05/03,77.65,True
2012/05/04,76.69,True
2012/05/07,76.72,True
2012/05/08,76.73,True
2012/05/09,76.02,True
2012/05/10,76.62,True
2012/05/11,76.76,True
2012/05/14,76.48,True
2012/05/15,75.99,True
2012/05/16,75.96,True
2012/05/17,74.79,True
2012/05/18,74.19,True
2012/05/21,75.39,True
2012/05/22,74.78,True
2012/05/23,74.41,True
2012/05/24,74.72,True
2012/05/25,74.42,True
2012/05/29,74.29,True
2012/05/30,73.44,True
2012/05/31,73.13,True
2012/06/01,72.2,True
2012/06/04,72.18,True
2012/06/05,72.59,True
2012/06/06,72.73,True
2012/06/07,72.9,True
2012/06/08,73.26,True
2012/06/11,72.53,True
2012/06/12,72.84,True
2012/06/13,72.99,True
2012/06/14,73.14,True
2012/06/15,73.59,True
2012/06/18,73.43,True
2012/06/19,74.75,True
2012/06/20,74.67,True
2012/06/21,73.73,True
2012/06/22,73.99,True
2012/06/25,73.04,True
2012/06/26,72.77,True
2012/06/27,73.48,True
2012/06/28,73.14,True
2012/06/29,74.75,True
2012/07/02,75.37,True
2012/07/03,75.69,True
2012/07/05,75.34,True
2012/07/06,75.14,True
2012/07/09,74.96,True
2012/07/10,74.81,True
2012/07/11,75.01,True
2012/07/12,74.35,True
2012/07/13,74.42,True
2012/07/16,74.49,True
2012/07/17,75.21,True
2012/07/18,75.42,True
2012/07/19,75.95,True
2012/07/20,74.79,True
2012/07/23,74.03,True
2012/07/24,73.17,True
2012/07/25,73.72,True
2012/07/26,74.49,True
2012/07/27,75.94,True
2012/07/30,76.21,True
2012/07/31,75.71,True
2012/08/01,75.18,True
2012/08/02,74.42,True
2012/08/03,74.35,True
2012/08/06,74.77,True
2012/08/07,75.47,True
2012/08/08,75.55,True
2012/08/09,75.5,True
2012/08/10,75.89,True
2012/08/13,76.21,True
2012/08/14,76.06,True
2012/08/15,76.17,True
2012/08/16,75.89,True
2012/08/17,76.55,True
2012/08/20,76.58,True
2012/08/21,76.16,True
2012/08/22,75.99,True
2012/08/23,75.27,True
2012/08/24,75.93,True
2012/08/27,75.81,True
2012/08/28,75.65,True
2012/08/29,75.52,True
2012/08/30,75.81,True
2012/08/31,75.98,True
2012/09/04,76.58,True
2012/09/05,76.49,True
2012/09/06,77.2,True
2012/09/07,77.88,True
2012/09/10,77.66,True
2012/09/11,78.25,True
2012/09/12,78.01,True
2012/09/13,78.62,True
2012/09/14,79.16,True
2012/09/17,79.41,True
2012/09/18,79.49,True
2012/09/19,79.19,True
2012/09/20,79.22,True
2012/09/21,79.32,True
2012/09/24,79.11,True
2012/09/25,79.0,True
2012/09/26,78.34,True
2012/09/27,78.74,True
2012/09/28,78.56,True
2012/10/01,78.95,True
2012/10/02,79.2,True
2012/10/03,78.77,True
2012/10/04,79.2,True
2012/10/05,79.45,True
2012/10/08,79.46,True
2012/10/09,77.23,True
2012/10/10,76.4,True
2012/10/11,77.03,True
2012/10/12,76.62,True
2012/10/15,76.51,True
2012/10/16,77.26,True
2012/10/17,77.08,True
2012/10/18,76.89,True
2012/10/19,75.65,True
2012/10/22,75.9,True
2012/10/23,75.4,True
2012/10/24,75.26,True
2012/10/25,75.29,True
2012/10/26,75.34,True
2012/10/31,75.68,True
2012/11/01,76.28,True
2012/11/02,75.67,True
2012/11/05,76.59,True
2012/11/06,78.47,True
2012/11/07,75.53,True
2012/11/08,75.08,True
2012/11/09,75.23,True
2012/11/12,74.63,True
2012/11/13,74.88,True
2012/11/14,74.63,True
2012/11/15,75.45,True
2012/11/16,75.59,True
2012/11/19,75.79,True
2012/11/20,76.18,True
2012/11/21,76.82,True
2012/11/23,77.73,True
2012/11/26,77.76,True
2012/11/27,77.15,True
2012/11/28,77.61,True
2012/11/29,76.97,True
2012/11/30,76.67,True
2012/12/03,76.24,True
2012/12/04,76.97,True
2012/12/05,77.39,True
2012/12/06,77.1,True
2012/12/07,77.63,True
2012/12/10,77.48,True
2012/12/11,78.22,True
2012/12/12,78.61,True
2012/12/13,78.47,True
2012/12/14,77.72,True
2012/12/17,78.73,True
2012/12/18,78.84,True
2012/12/19,78.53,True
2012/12/20,79.13,True
2012/12/21,78.86,True
2012/12/24,78.56,True
2012/12/26,78.02,True
2012/12/27,78.28,True
2012/12/28,77.34,True
2012/12/31,78.19,True
2013/01/01,78.48982141171487,False
2013/01/02,78.3326908055247,False
2013/01/03,78.55200499246155,False
2013/01/04,78.44482786851309,False
2013/01/07,78.40814601260377,False
2013/01/08,78.39852525418826,False
2013/01/09,78.39889356360074,False
2013/01/10,78.45191013388217,False
2013/01/11,78.46564579850154,False
2013/01/14,78.49698208345829,False
2013/01/15,78.51758152789326,False
2013/01/16,78.52513582648817,False
2013/01/17,78.54132686748923,False
2013/01/18,78.55404422604322,False
2013/01/21,78.57041200175573,False
2013/01/22,78.58806259586734,False
2013/01/23,78.60503330197808,False
2013/01/24,78.62270378516268,False
2013/01/25,78.63903122541377,False
2013/01/28,78.65539397106309,False
2013/01/29,78.67173503347891,False
2013/01/30,78.68795826027448,False
2013/01/31,78.70449792820465,False
2013/02/01,78.72102096366609,False
2013/02/04,78.73759547646323,False
2013/02/05,78.75416031676129,False
2013/02/06,78.77066507259084,False
2013/02/07,78.78717322220933,False
2013/02/08,78.8036588139113,False
2013/02/11,78.82015371662878,False
2013/02/12,78.83665977600369,False
2013/02/13,78.8531669359475,False
2013/02/14,78.86968004397409,False
2013/02/15,78.88619016347742,False
2013/02/18,78.9026985894289,False
2013/02/19,78.91920591683045,False
2013/02/20,78.9357119653538,False
2013/02/21,78.9522188434745,False
2013/02/22,78.96872599145156,False
2013/02/25,78.98523362198671,False
2013/02/26,79.00174153661743,False
2013/02/27,79.01824932061575,False
2013/02/28,79.0347570736426,False
2013/03/01,79.05126470182121,False
2013/03/04,79.06777230628373,False
2013/03/05,79.08427997287396,False
2013/03/06,79.10078767851722,False
2013/03/07,79.11729543151034,False
2013/03/08,79.13380323043002,False
2013/03/11,79.15031104075712,False
