date,PRC,is_prediction
2012/01/03,36.32,True
2012/01/04,36.25,True
2012/01/05,36.27,True
2012/01/06,37.12,True
2012/01/09,36.83,True
2012/01/10,36.86,True
2012/01/11,36.91,True
2012/01/12,37.82,True
2012/01/13,37.64,True
2012/01/17,37.14,True
2012/01/18,37.69,True
2012/01/19,38.15,True
2012/01/20,37.91,True
2012/01/23,37.79,True
2012/01/24,37.75,True
2012/01/25,37.7,True
2012/01/26,39.36,True
2012/01/27,39.44,True
2012/01/30,39.18,True
2012/01/31,39.26,True
2012/02/01,40.32,True
2012/02/02,39.7,True
2012/02/03,39.8,True
2012/02/06,40.0,True
2012/02/07,39.8,True
2012/02/08,39.85,True
2012/02/09,40.04,True
2012/02/10,39.81,True
2012/02/13,39.96,True
2012/02/14,39.87,True
2012/02/15,39.73,True
2012/02/16,40.32,True
2012/02/17,40.11,True
2012/02/21,40.24,True
2012/02/22,39.7,True
2012/02/23,39.85,True
2012/02/24,39.78,True
2012/02/27,39.9,True
2012/02/28,40.07,True
2012/02/29,40.08,True
2012/03/01,39.98,True
2012/03/02,39.81,True
2012/03/05,39.69,True
2012/03/06,39.28,True
2012/03/07,39.46,True
2012/03/08,39.87,True
2012/03/09,39.72,True
2012/03/12,39.69,True
2012/03/13,40.38,True
2012/03/14,40.3,True
2012/03/15,40.63,True
2012/03/16,41.39,True
2012/03/19,41.39,True
2012/03/20,41.27,True
2012/03/21,41.08,True
2012/03/22,40.83,True
2012/03/23,41.09,True
2012/03/26,41.53,True
2012/03/27,42.35,True
2012/03/28,42.44,True
2012/03/29,42.75,True
2012/03/30,42.88,True
2012/04/02,43.1,True
2012/04/03,43.55,True
2012/04/04,43.62,True
2012/04/05,43.57,True
2012/04/09,43.43,True
2012/04/10,42.45,True
2012/04/11,42.73,True
2012/04/12,42.81,True
2012/04/13,42.77,True
2012/04/16,42.78,True
2012/04/17,43.15,True
2012/04/18,43.03,True
2012/04/19,43.3,True
2012/04/20,43.52,True
2012/04/23,42.87,True
2012/04/24,42.96,True
2012/04/25,43.0,True
2012/04/26,41.63,True
2012/04/27,41.78,True
2012/04/30,41.76,True
2012/05/01,41.83,True
2012/05/02,41.47,True
2012/05/03,41.45,True
2012/05/04,40.76,True
2012/05/07,40.92,True
2012/05/08,40.92,True
2012/05/09,40.91,True
2012/05/10,41.26,True
2012/05/11,40.96,True
2012/05/14,40.48,True
2012/05/15,40.34,True
2012/05/16,39.9,True
2012/05/17,38.89,True
2012/05/18,38.66,True
2012/05/21,39.27,True
2012/05/22,39.06,True
2012/05/23,39.53,True
2012/05/24,39.86,True
2012/05/25,39.88,True
2012/05/29,40.36,True
2012/05/30,40.0,True
2012/05/31,39.97,True
2012/06/01,39.33,True
2012/06/04,39.54,True
2012/06/05,39.69,True
2012/06/06,40.56,True
2012/06/07,40.34,True
2012/06/08,41.15,True
2012/06/11,40.76,True
2012/06/12,41.17,True
2012/06/13,41.1,True
2012/06/14,41.56,True
2012/06/15,42.75,True
2012/06/18,42.49,True
2012/06/19,42.71,True
2012/06/20,42.44,True
2012/06/21,41.48,True
2012/06/22,41.64,True
2012/06/25,40.41,True
2012/06/26,40.03,True
2012/06/27,40.16,True
2012/06/28,40.57,True
2012/06/29,41.05,True
2012/07/02,40.52,True
2012/07/03,41.05,True
2012/07/05,40.81,True
2012/07/06,40.58,True
2012/07/09,40.48,True
2012/07/10,40.78,True
2012/07/11,40.38,True
2012/07/12,40.05,True
2012/07/13,41.23,True
2012/07/16,41.0,True
2012/07/17,41.38,True
2012/07/18,41.51,True
2012/07/19,42.31,True
2012/07/20,41.77,True
2012/07/23,41.34,True
2012/07/24,40.83,True
2012/07/25,40.53,True
2012/07/26,40.96,True
2012/07/27,41.89,True
2012/07/30,41.9,True
2012/07/31,41.56,True
2012/08/01,40.44,True
2012/08/02,39.6,True
2012/08/03,41.1,True
2012/08/06,41.26,True
2012/08/07,41.54,True
2012/08/08,41.42,True
2012/08/09,41.73,True
2012/08/10,42.01,True
2012/08/13,42.02,True
2012/08/14,42.01,True
2012/08/15,42.65,True
2012/08/16,43.14,True
2012/08/17,43.06,True
2012/08/20,42.91,True
2012/08/21,42.43,True
2012/08/22,42.76,True
2012/08/23,42.17,True
2012/08/24,42.13,True
2012/08/27,41.95,True
2012/08/28,41.88,True
2012/08/29,41.88,True
2012/08/30,41.81,True
2012/08/31,42.17,True
2012/09/04,41.78,True
2012/09/05,42.18,True
2012/09/06,42.69,True
2012/09/07,42.78,True
2012/09/10,42.69,True
2012/09/11,42.95,True
2012/09/12,43.03,True
2012/09/13,43.54,True
2012/09/14,43.28,True
2012/09/17,43.15,True
2012/09/18,43.12,True
2012/09/19,42.97,True
2012/09/20,42.68,True
2012/09/21,42.51,True
2012/09/24,42.6,True
2012/09/25,42.22,True
2012/09/26,42.3,True
2012/09/27,42.35,True
2012/09/28,42.31,True
2012/10/01,42.47,True
2012/10/02,42.19,True
2012/10/03,42.56,True
2012/10/04,42.75,True
2012/10/05,42.79,True
2012/10/08,42.67,True
2012/10/09,42.26,True
2012/10/10,41.55,True
2012/10/11,41.51,True
2012/10/12,41.31,True
2012/10/15,41.77,True
2012/10/16,42.39,True
2012/10/17,43.03,True
2012/10/18,42.95,True
2012/10/19,42.66,True
2012/10/22,42.69,True
2012/10/23,42.0,True
2012/10/24,41.93,True
2012/10/25,42.5,True
2012/10/26,42.81,True
2012/10/31,42.83,True
2012/11/01,43.43,True
2012/11/02,43.38,True
2012/11/05,43.21,True
2012/11/06,44.03,True
2012/11/07,43.96,True
2012/11/08,43.53,True
2012/11/09,43.85,True
2012/11/12,43.7,True
2012/11/13,43.37,True
2012/11/14,43.0,True
2012/11/15,43.24,True
2012/11/16,43.34,True
2012/11/19,44.65,True
2012/11/20,44.75,True
2012/11/21,44.61,True
2012/11/23,45.07,True
2012/11/26,44.78,True
2012/11/27,44.63,True
2012/11/28,44.74,True
2012/11/29,44.74,True
2012/11/30,44.69,True
2012/12/03,43.94,True
2012/12/04,43.7,True
2012/12/05,43.61,True
2012/12/06,44.19,True
2012/12/07,44.15,True
2012/12/10,44.54,True
2012/12/11,44.75,True
2012/12/12,44.47,True
2012/12/13,44.55,True
2012/12/14,44.25,True
2012/12/17,44.2,True
2012/12/18,44.2,True
2012/12/19,44.57,True
2012/12/20,45.46,True
2012/12/21,44.8,True
2012/12/24,45.02,True
2012/12/26,44.91,True
2012/12/27,44.64,True
2012/12/28,44.29,True
2012/12/31,44.75,True
2013/01/01,44.79537569144189,False
2013/01/02,44.86351681092793,False
2013/01/03,44.96282577997975,False
2013/01/04,44.99027824022032,False
2013/01/07,44.9655852609505,False
2013/01/08,44.98669795528209,False
2013/01/09,45.02082449538035,False
2013/01/10,45.04983526276292,False
2013/01/11,45.09166262959071,False
2013/01/14,45.1347129837805,False
2013/01/15,45.16946608721005,False
2013/01/16,45.20205678089409,False
2013/01/17,45.23510990891348,False
2013/01/18,45.26709579523235,False
2013/01/21,45.29977221842596,False
2013/01/22,45.3338837432027,False
2013/01/23,45.36818579946872,False
2013/01/24,45.40231229879283,False
2013/01/25,45.436407536408545,False
2013/01/28,45.47028514771114,False
2013/01/29,45.503968470271396,False
2013/01/30,45.53767496889769,False
2013/01/31,45.571444613916576,False
2013/02/01,45.60524686334592,False
2013/02/04,45.639087299247336,False
2013/02/05,45.67294327609762,False
2013/02/06,45.70678320176533,False
2013/02/07,45.74060755249201,False
2013/02/08,45.77442518084245,False
2013/02/11,45.808239155992496,False
2013/02/12,45.84205435649012,False
2013/02/13,45.87587404431622,False
2013/02/14,45.909696458536374,False
2013/02/15,45.94351945361351,False
2013/02/18,45.97734219129001,False
2013/02/19,46.01116410278815,False
2013/02/20,46.044985144333836,False
2013/02/21,46.07880590801044,False
2013/02/22,46.11262675243134,False
2013/02/25,46.14644779638538,False
