date,PRC,is_prediction
2012/01/03,65.43,True
2012/01/04,66.02,True
2012/01/05,66.1,True
2012/01/06,65.12,True
2012/01/09,64.36,True
2012/01/10,72.25,True
2012/01/11,72.53,True
2012/01/12,73.97,True
2012/01/13,73.7,True
2012/01/17,73.55,True
2012/01/18,74.86,True
2012/01/19,75.3,True
2012/01/20,74.88,True
2012/01/23,75.16,True
2012/01/24,75.99,True
2012/01/25,76.53,True
2012/01/26,75.38,True
2012/01/27,74.72,True
2012/01/30,75.26,True
2012/01/31,74.63,True
2012/02/01,75.46,True
2012/02/02,75.87,True
2012/02/03,79.51,True
2012/02/06,79.26,True
2012/02/07,78.18,True
2012/02/08,77.0,True
2012/02/09,77.43,True
2012/02/10,77.05,True
2012/02/13,78.85,True
2012/02/14,79.41,True
2012/02/15,80.58,True
2012/02/16,81.91,True
2012/02/17,81.21,True
2012/02/21,80.31,True
2012/02/22,80.22,True
2012/02/23,80.75,True
2012/02/24,82.43,True
2012/02/27,82.64,True
2012/02/28,83.26,True
2012/02/29,82.84,True
2012/03/01,84.19,True
2012/03/02,85.42,True
2012/03/05,82.91,True
2012/03/06,79.55,True
2012/03/07,79.76,True
2012/03/08,82.34,True
2012/03/09,83.85,True
2012/03/12,83.03,True
2012/03/13,85.47,True
2012/03/14,86.66,True
2012/03/15,87.05,True
2012/03/16,85.74,True
2012/03/19,84.87,True
2012/03/20,83.43,True
2012/03/21,84.46,True
2012/03/22,83.33,True
2012/03/23,83.84,True
2012/03/26,85.31,True
2012/03/27,85.99,True
2012/03/28,83.98,True
2012/03/29,83.97,True
2012/03/30,84.34,True
2012/04/02,85.46,True
2012/04/03,85.07,True
2012/04/04,84.14,True
2012/04/05,84.35,True
2012/04/09,81.81,True
2012/04/10,79.58,True
2012/04/11,81.42,True
2012/04/12,83.68,True
2012/04/13,81.8,True
2012/04/16,82.6,True
2012/04/17,83.59,True
2012/04/18,83.83,True
2012/04/19,81.45,True
2012/04/20,80.59,True
2012/04/23,80.06,True
2012/04/24,79.59,True
2012/04/25,82.51,True
2012/04/26,79.99,True
2012/04/27,79.72,True
2012/04/30,79.04,True
2012/05/01,80.25,True
2012/05/02,81.75,True
2012/05/03,79.71,True
2012/05/04,77.98,True
2012/05/07,78.84,True
2012/05/08,77.74,True
2012/05/09,77.25,True
2012/05/10,77.29,True
2012/05/11,77.58,True
2012/05/14,76.32,True
2012/05/15,75.11,True
2012/05/16,75.21,True
2012/05/17,73.7,True
2012/05/18,73.3,True
2012/05/21,76.31,True
2012/05/22,76.41,True
2012/05/23,76.93,True
2012/05/24,75.78,True
2012/05/25,74.33,True
2012/05/29,76.29,True
2012/05/30,72.74,True
2012/05/31,71.75,True
2012/06/01,66.59,True
2012/06/04,64.78,True
2012/06/05,65.85,True
2012/06/06,67.37,True
2012/06/07,67.26,True
2012/06/08,68.13,True
2012/06/11,65.66,True
2012/06/12,66.01,True
2012/06/13,64.56,True
2012/06/14,63.17,True
2012/06/15,65.19,True
2012/06/18,65.94,True
2012/06/19,68.59,True
2012/06/20,67.94,True
2012/06/21,65.45,True
2012/06/22,65.5,True
2012/06/25,64.1,True
2012/06/26,64.13,True
2012/06/27,64.2,True
2012/06/28,64.51,True
2012/06/29,65.59,True
2012/07/02,65.23,True
2012/07/03,66.26,True
2012/07/05,67.17,True
2012/07/06,65.26,True
2012/07/09,64.26,True
2012/07/10,63.59,True
2012/07/11,63.42,True
2012/07/12,63.19,True
2012/07/13,64.7,True
2012/07/16,63.54,True
2012/07/17,63.98,True
2012/07/18,64.5,True
2012/07/19,65.3,True
2012/07/20,63.99,True
2012/07/23,62.78,True
2012/07/24,60.54,True
2012/07/25,62.13,True
2012/07/26,62.99,True
2012/07/27,67.32,True
2012/07/30,67.15,True
2012/07/31,67.1,True
2012/08/01,65.94,True
2012/08/02,63.73,True
2012/08/03,65.93,True
2012/08/06,67.8,True
2012/08/07,70.04,True
2012/08/08,69.35,True
2012/08/09,69.98,True
2012/08/10,71.32,True
2012/08/13,71.81,True
2012/08/14,70.4,True
2012/08/15,70.73,True
2012/08/16,71.36,True
2012/08/17,71.25,True
2012/08/20,70.45,True
2012/08/21,69.88,True
2012/08/22,69.82,True
2012/08/23,69.04,True
2012/08/24,68.43,True
2012/08/27,68.63,True
2012/08/28,68.26,True
2012/08/29,69.12,True
2012/08/30,67.63,True
2012/08/31,68.78,True
2012/09/04,67.29,True
2012/09/05,66.93,True
2012/09/06,69.67,True
2012/09/07,72.38,True
2012/09/10,71.62,True
2012/09/11,73.36,True
2012/09/12,73.97,True
2012/09/13,75.96,True
2012/09/14,78.08,True
2012/09/17,76.04,True
2012/09/18,75.64,True
2012/09/19,76.08,True
2012/09/20,74.12,True
2012/09/21,72.29,True
2012/09/24,72.48,True
2012/09/25,69.86,True
2012/09/26,68.99,True
2012/09/27,69.38,True
2012/09/28,69.11,True
2012/10/01,71.14,True
2012/10/02,71.67,True
2012/10/03,70.93,True
2012/10/04,73.16,True
2012/10/05,73.7,True
2012/10/08,72.59,True
2012/10/09,69.45,True
2012/10/10,66.81,True
2012/10/11,66.86,True
2012/10/12,66.57,True
2012/10/15,66.85,True
2012/10/16,67.23,True
2012/10/17,67.02,True
2012/10/18,66.91,True
