date,PRC,is_prediction
2012/01/03,28.33,True
2012/01/04,28.17,True
2012/01/05,28.51,True
2012/01/06,28.55,True
2012/01/09,29.08,True
2012/01/10,30.0,True
2012/01/11,31.27,True
2012/01/12,31.6,True
2012/01/13,30.74,True
2012/01/17,28.215,True
2012/01/18,29.03,True
2012/01/19,29.33,True
2012/01/20,29.64,True
2012/01/23,29.85,True
2012/01/24,29.9,True
2012/01/25,29.96,True
2012/01/26,30.38,True
2012/01/27,30.87,True
2012/01/30,30.23,True
2012/01/31,30.72,True
2012/02/01,31.6,True
2012/02/02,31.99,True
2012/02/03,33.54,True
2012/02/06,33.3,True
2012/02/07,33.07,True
2012/02/08,34.23,True
2012/02/09,33.66,True
2012/02/10,32.925,True
2012/02/13,32.88,True
2012/02/14,32.08,True
2012/02/15,31.72,True
2012/02/16,32.71,True
2012/02/17,32.92,True
2012/02/21,33.36,True
2012/02/22,32.36,True
2012/02/23,32.71,True
2012/02/24,32.35,True
2012/02/27,32.93,True
2012/02/28,33.48,True
2012/02/29,33.32,True
2012/03/01,34.13,True
2012/03/02,34.1,True
2012/03/05,33.68,True
2012/03/06,32.12,True
2012/03/07,33.24,True
2012/03/08,34.0,True
2012/03/09,34.2,True
2012/03/12,34.29,True
2012/03/13,36.45,True
2012/03/14,35.21,True
2012/03/15,36.27,True
2012/03/16,36.69,True
2012/03/19,37.17,True
2012/03/20,38.08,True
2012/03/21,37.8,True
2012/03/22,36.9,True
2012/03/23,37.135,True
2012/03/26,37.43,True
2012/03/27,36.78,True
2012/03/28,37.06,True
2012/03/29,36.51,True
2012/03/30,36.55,True
2012/04/02,36.87,True
2012/04/03,36.37,True
2012/04/04,35.04,True
2012/04/05,34.79,True
2012/04/09,33.97,True
2012/04/10,32.86,True
2012/04/11,33.585,True
2012/04/12,34.625,True
2012/04/13,33.41,True
2012/04/16,34.0,True
2012/04/17,35.08,True
2012/04/18,35.08,True
2012/04/19,34.85,True
2012/04/20,33.89,True
2012/04/23,33.25,True
2012/04/24,33.42,True
2012/04/25,33.68,True
2012/04/26,33.88,True
2012/04/27,33.5,True
2012/04/30,33.045,True
2012/05/01,33.6,True
2012/05/02,32.7,True
2012/05/03,32.48,True
2012/05/04,31.6,True
2012/05/07,31.67,True
2012/05/08,31.32,True
2012/05/09,30.45,True
2012/05/10,30.65,True
2012/05/11,29.35,True
2012/05/14,28.14,True
2012/05/15,27.79,True
2012/05/16,26.92,True
2012/05/17,26.41,True
2012/05/18,26.01,True
2012/05/21,26.25,True
2012/05/22,26.92,True
2012/05/23,27.15,True
2012/05/24,26.66,True
2012/05/25,26.47,True
2012/05/29,27.02,True
2012/05/30,26.0,True
2012/05/31,26.51,True
2012/06/01,25.39,True
2012/06/04,24.82,True
2012/06/05,25.75,True
2012/06/06,27.14,True
2012/06/07,26.91,True
2012/06/08,27.77,True
2012/06/11,26.48,True
2012/06/12,27.62,True
2012/06/13,27.67,True
2012/06/14,27.91,True
2012/06/15,28.31,True
2012/06/18,27.55,True
2012/06/19,28.5,True
2012/06/20,28.86,True
2012/06/21,27.83,True
2012/06/22,27.99,True
2012/06/25,26.75,True
2012/06/26,26.73,True
2012/06/27,27.1,True
2012/06/28,26.39,True
2012/06/29,27.41,True
2012/07/02,27.46,True
2012/07/03,27.65,True
2012/07/05,26.84,True
2012/07/06,26.36,True
2012/07/09,26.11,True
2012/07/10,25.88,True
2012/07/11,25.87,True
2012/07/12,25.28,True
2012/07/13,26.65,True
2012/07/16,26.81,True
2012/07/17,27.38,True
2012/07/18,27.1,True
2012/07/19,26.59,True
2012/07/20,25.87,True
2012/07/23,25.34,True
