date,PRC,is_prediction
2012/01/03,26.29,True
2012/01/04,26.51,True
2012/01/05,26.49,True
2012/01/06,26.42,True
2012/01/09,26.52,True
2012/01/10,26.97,True
2012/01/11,26.88,True
2012/01/12,26.99,True
2012/01/13,26.85,True
2012/01/17,26.9,True
2012/01/18,27.12,True
2012/01/19,27.18,True
2012/01/20,27.06,True
2012/01/23,27.0,True
2012/01/24,27.01,True
2012/01/25,27.17,True
2012/01/26,27.04,True
2012/01/27,26.71,True
2012/01/30,26.62,True
2012/01/31,26.67,True
2012/02/01,26.77,True
2012/02/02,26.91,True
2012/02/03,26.8,True
2012/02/06,26.78,True
2012/02/07,26.61,True
2012/02/08,26.56,True
2012/02/09,26.7,True
2012/02/10,26.65,True
2012/02/13,26.74,True
2012/02/14,26.76,True
2012/02/15,26.97,True
2012/02/16,26.73,True
2012/02/17,26.48,True
2012/02/21,26.39,True
2012/02/22,26.11,True
2012/02/23,26.82,True
2012/02/24,26.84,True
2012/02/27,26.61,True
2012/02/28,26.41,True
2012/02/29,26.25,True
2012/03/01,26.18,True
2012/03/02,26.14,True
2012/03/05,26.36,True
2012/03/06,26.02,True
2012/03/07,26.1,True
2012/03/08,26.22,True
2012/03/09,26.17,True
2012/03/12,26.26,True
2012/03/13,26.37,True
2012/03/14,26.3,True
2012/03/15,26.58,True
2012/03/16,26.43,True
2012/03/19,26.36,True
2012/03/20,26.31,True
2012/03/21,26.36,True
2012/03/22,26.21,True
2012/03/23,26.05,True
2012/03/26,26.08,True
2012/03/27,26.2,True
2012/03/28,26.28,True
2012/03/29,26.27,True
2012/03/30,26.26,True
2012/04/02,26.55,True
2012/04/03,26.75,True
2012/04/04,26.58,True
2012/04/05,26.44,True
2012/04/09,26.05,True
2012/04/10,25.85,True
2012/04/11,25.8,True
2012/04/12,25.94,True
2012/04/13,25.77,True
2012/04/16,25.87,True
2012/04/17,26.12,True
2012/04/18,26.04,True
2012/04/19,26.07,True
2012/04/20,26.25,True
2012/04/23,25.77,True
2012/04/24,25.87,True
2012/04/25,25.87,True
2012/04/26,25.9,True
2012/04/27,25.92,True
2012/04/30,25.82,True
2012/05/01,25.86,True
2012/05/02,25.79,True
2012/05/03,25.77,True
2012/05/04,25.75,True
2012/05/07,25.7,True
2012/05/08,25.6,True
2012/05/09,25.54,True
2012/05/10,25.66,True
2012/05/11,25.74,True
2012/05/14,25.61,True
2012/05/15,25.57,True
2012/05/16,25.7,True
2012/05/17,25.38,True
2012/05/18,25.11,True
