date,PRC,is_prediction
2012/01/03,93.98,True
2012/01/04,94.85,True
2012/01/05,95.52,True
2012/01/06,95.76,True
2012/01/09,97.1,True
2012/01/10,99.96,True
2012/01/11,99.64,True
2012/01/12,101.94,True
2012/01/13,102.48,True
2012/01/17,103.37,True
2012/01/18,104.26,True
2012/01/19,105.75,True
2012/01/20,105.64,True
2012/01/23,106.37,True
2012/01/24,106.29,True
2012/01/25,109.05,True
2012/01/26,111.31,True
2012/01/27,111.28,True
2012/01/30,110.41,True
2012/01/31,109.12,True
2012/02/01,110.52,True
2012/02/02,110.33,True
2012/02/03,113.94,True
2012/02/06,113.78,True
2012/02/07,113.81,True
2012/02/08,114.04,True
2012/02/09,112.83,True
2012/02/10,111.75,True
2012/02/13,113.7,True
2012/02/14,114.45,True
2012/02/15,112.53,True
2012/02/16,113.96,True
2012/02/17,113.95,True
2012/02/21,115.0,True
2012/02/22,115.81,True
2012/02/23,116.2,True
2012/02/24,116.0,True
2012/02/27,115.63,True
2012/02/28,115.76,True
2012/02/29,114.21,True
2012/03/01,113.39,True
2012/03/02,112.49,True
2012/03/05,110.09,True
2012/03/06,105.93,True
2012/03/07,108.28,True
2012/03/08,110.28,True
2012/03/09,110.22,True
2012/03/12,108.94,True
2012/03/13,113.3,True
2012/03/14,112.27,True
2012/03/15,113.45,True
2012/03/16,113.58,True
2012/03/19,113.73,True
2012/03/20,110.76,True
2012/03/21,109.0,True
2012/03/22,106.43,True
2012/03/23,107.83,True
2012/03/26,108.75,True
2012/03/27,108.06,True
2012/03/28,104.26,True
2012/03/29,106.02,True
2012/03/30,106.52,True
2012/04/02,107.25,True
2012/04/03,106.21,True
2012/04/04,106.26,True
2012/04/05,105.87,True
2012/04/09,103.57,True
2012/04/10,100.43,True
2012/04/11,101.75,True
2012/04/12,106.44,True
2012/04/13,105.89,True
2012/04/16,106.74,True
2012/04/17,108.41,True
2012/04/18,109.21,True
2012/04/19,107.36,True
2012/04/20,107.73,True
2012/04/23,106.9,True
2012/04/24,108.4,True
2012/04/25,103.44,True
2012/04/26,104.39,True
2012/04/27,104.56,True
2012/04/30,102.77,True
2012/05/01,102.11,True
2012/05/02,102.63,True
2012/05/03,100.67,True
2012/05/04,98.44,True
2012/05/07,97.19,True
2012/05/08,96.49,True
2012/05/09,95.99,True
2012/05/10,95.44,True
2012/05/11,95.5,True
2012/05/14,93.6,True
2012/05/15,92.68,True
2012/05/16,91.86,True
2012/05/17,87.8,True
2012/05/18,88.68,True
2012/05/21,91.98,True
2012/05/22,91.49,True
2012/05/23,92.47,True
2012/05/24,91.42,True
2012/05/25,89.94,True
2012/05/29,92.52,True
2012/05/30,90.18,True
2012/05/31,87.62,True
2012/06/01,85.52,True
2012/06/04,83.26,True
2012/06/05,83.65,True
2012/06/06,86.66,True
2012/06/07,87.14,True
2012/06/08,87.6,True
2012/06/11,85.19,True
2012/06/12,87.05,True
2012/06/13,85.29,True
2012/06/14,85.89,True
2012/06/15,86.93,True
2012/06/18,86.74,True
2012/06/19,88.84,True
2012/06/20,87.17,True
2012/06/21,84.98,True
2012/06/22,84.96,True
2012/06/25,82.89,True
2012/06/26,82.73,True
2012/06/27,82.25,True
2012/06/28,82.63,True
2012/06/29,84.91,True
2012/07/02,83.68,True
2012/07/03,86.46,True
2012/07/05,86.79,True
2012/07/06,84.61,True
2012/07/09,83.14,True
2012/07/10,80.27,True
2012/07/11,79.74,True
2012/07/12,79.64,True
2012/07/13,82.07,True
2012/07/16,81.15,True
2012/07/17,81.91,True
2012/07/18,82.52,True
2012/07/19,82.63,True
2012/07/20,80.95,True
2012/07/23,81.58,True
2012/07/24,81.43,True
2012/07/25,82.6,True
2012/07/26,83.3,True
2012/07/27,86.16,True
2012/07/30,85.69,True
2012/07/31,84.21,True
2012/08/01,82.65,True
2012/08/02,83.12,True
2012/08/03,85.02,True
2012/08/06,86.35,True
2012/08/07,87.22,True
2012/08/08,87.22,True
2012/08/09,88.4,True
2012/08/10,88.94,True
2012/08/13,88.61,True
2012/08/14,87.87,True
2012/08/15,87.61,True
2012/08/16,88.59,True
2012/08/17,90.01,True
2012/08/20,90.44,True
2012/08/21,90.29,True
2012/08/22,88.72,True
2012/08/23,87.63,True
2012/08/24,87.47,True
2012/08/27,86.63,True
2012/08/28,86.01,True
2012/08/29,86.09,True
2012/08/30,84.47,True
2012/08/31,85.33,True
2012/09/04,82.66,True
2012/09/05,82.75,True
2012/09/06,84.79,True
2012/09/07,88.1,True
2012/09/10,87.1,True
2012/09/11,88.6,True
2012/09/12,89.12,True
2012/09/13,90.68,True
2012/09/14,93.17,True
2012/09/17,91.99,True
2012/09/18,93.07,True
2012/09/19,93.94,True
2012/09/20,92.54,True
2012/09/21,91.72,True
2012/09/24,90.87,True
2012/09/25,87.01,True
2012/09/26,86.95,True
2012/09/27,86.92,True
2012/09/28,86.04,True
2012/10/01,85.47,True
2012/10/02,85.47,True
2012/10/03,85.28,True
2012/10/04,85.96,True
2012/10/05,85.43,True
2012/10/08,85.44,True
2012/10/09,84.75,True
2012/10/10,83.16,True
2012/10/11,82.85,True
2012/10/12,82.82,True
2012/10/15,82.81,True
2012/10/16,84.96,True
2012/10/17,86.63,True
2012/10/18,86.62,True
2012/10/19,83.86,True
2012/10/22,85.08,True
2012/10/23,83.58,True
2012/10/24,82.73,True
2012/10/25,83.53,True
2012/10/26,84.25,True
2012/10/31,84.81,True
2012/11/01,87.65,True
2012/11/02,85.79,True
2012/11/05,86.77,True
2012/11/06,88.08,True
2012/11/07,85.02,True
2012/11/08,83.66,True
2012/11/09,84.95,True
2012/11/12,85.18,True
2012/11/13,83.26,True
2012/11/14,81.1,True
2012/11/15,81.3,True
2012/11/16,81.93,True
2012/11/19,83.62,True
2012/11/20,83.33,True
2012/11/21,83.05,True
2012/11/23,84.16,True
2012/11/26,84.65,True
2012/11/27,84.01,True
2012/11/28,84.94,True
2012/11/29,86.25,True
2012/11/30,85.24,True
2012/12/03,84.49,True
2012/12/04,84.16,True
2012/12/05,86.05,True
2012/12/06,85.95,True
2012/12/07,86.99,True
2012/12/10,87.23,True
2012/12/11,87.33,True
2012/12/12,87.95,True
2012/12/13,88.36,True
2012/12/14,89.0,True
2012/12/17,89.64,True
2012/12/18,90.77,True
2012/12/19,90.79,True
2012/12/20,89.5,True
2012/12/21,87.9,True
2012/12/24,87.48,True
2012/12/26,87.67,True
2012/12/27,87.66,True
2012/12/28,86.81,True
2012/12/31,89.6085,True
2013/01/01,89.8359200444102,False
2013/01/02,89.81280752047346,False
2013/01/03,89.83041567097808,False
2013/01/04,89.92345051902981,False
2013/01/07,89.57599747957161,False
2013/01/08,89.68898846388173,False
2013/01/09,89.52634513836111,False
2013/01/10,89.47340936913952,False
2013/01/11,89.44146571905495,False
2013/01/14,89.45918402572816,False
2013/01/15,89.40327521808004,False
2013/01/16,89.42047406959843,False
2013/01/17,89.39214586668245,False
2013/01/18,89.37895904886233,False
2013/01/21,89.35654644517196,False
2013/01/22,89.34253370346572,False
2013/01/23,89.31464854829281,False
2013/01/24,89.29851560951725,False
2013/01/25,89.27522053323085,False
2013/01/28,89.2556465961012,False
2013/01/29,89.23415899270587,False
2013/01/30,89.2149685772142,False
2013/01/31,89.1935079971882,False
2013/02/01,89.17403235384079,False
2013/02/04,89.15328505455058,False
2013/02/05,89.1332336105614,False
2013/02/06,89.11268477230331,False
2013/02/07,89.09256606014834,False
2013/02/08,89.07201989390595,False
2013/02/11,89.05180677182909,False
2013/02/12,89.03136763353756,False
2013/02/13,89.01107081661712,False
2013/02/14,88.99067436057373,False
2013/02/15,88.97036595808984,False
2013/02/18,88.94998211714359,False
2013/02/19,88.92965783290074,False
2013/02/20,88.9092924231467,False
2013/02/21,88.88895426813487,False
2013/02/22,88.86859546015026,False
2013/02/25,88.84825309550845,False
2013/02/26,88.82789661934149,False
2013/02/27,88.80755051066365,False
2013/02/28,88.78719673242603,False
2013/03/01,88.76684806657009,False
2013/03/04,88.74649527886977,False
2013/03/05,88.72614551583543,False
2013/03/06,88.70579307889753,False
2013/03/07,88.68544234758603,False
2013/03/08,88.66509009616787,False
2013/03/11,88.64473865632468,False
