date,PRC,is_prediction
2012/01/03,70.13,True
2012/01/04,68.9,True
2012/01/05,69.74,True
2012/01/06,69.28,True
2012/01/09,69.6,True
2012/01/10,69.31,True
2012/01/11,69.25,True
2012/01/12,69.1,True
2012/01/13,69.09,True
2012/01/17,69.8,True
2012/01/18,70.24,True
2012/01/19,70.3,True
2012/01/20,70.97,True
2012/01/23,71.01,True
2012/01/24,70.06,True
2012/01/25,70.42,True
2012/01/26,70.35,True
2012/01/27,67.42,True
2012/01/30,66.9,True
2012/01/31,67.41,True
2012/02/01,67.68,True
2012/02/02,67.81,True
2012/02/03,68.58,True
2012/02/06,67.81,True
2012/02/07,68.94,True
2012/02/08,68.79,True
2012/02/09,68.89,True
2012/02/10,68.8,True
2012/02/13,69.15,True
2012/02/14,69.32,True
2012/02/15,68.75,True
2012/02/16,68.8,True
2012/02/17,69.09,True
2012/02/21,68.93,True
2012/02/22,67.95,True
2012/02/23,68.63,True
2012/02/24,68.6,True
2012/02/27,69.15,True
2012/02/28,68.45,True
2012/02/29,67.96,True
2012/03/01,67.63,True
2012/03/02,67.37,True
2012/03/05,67.9,True
2012/03/06,67.14,True
2012/03/07,67.25,True
2012/03/08,67.35,True
2012/03/09,67.23,True
2012/03/12,67.77,True
2012/03/13,69.17,True
2012/03/14,68.65,True
2012/03/15,68.65,True
2012/03/16,68.39,True
2012/03/19,69.17,True
2012/03/20,69.29,True
2012/03/21,69.04,True
2012/03/22,67.88,True
2012/03/23,67.76,True
2012/03/26,68.6,True
2012/03/27,68.76,True
2012/03/28,68.9,True
2012/03/29,68.87,True
2012/03/30,69.11,True
2012/04/02,69.8,True
2012/04/03,70.08,True
2012/04/04,70.19,True
2012/04/05,70.16,True
2012/04/09,69.5,True
2012/04/10,68.82,True
2012/04/11,69.61,True
2012/04/12,70.51,True
2012/04/13,69.66,True
2012/04/16,71.0,True
2012/04/17,71.2,True
2012/04/18,70.67,True
2012/04/19,72.19,True
2012/04/20,71.92,True
2012/04/23,71.5,True
2012/04/24,71.99,True
2012/04/25,72.79,True
2012/04/26,73.57,True
2012/04/27,73.24,True
2012/04/30,73.07,True
2012/05/01,73.32,True
2012/05/02,73.57,True
2012/05/03,73.73,True
2012/05/04,73.39,True
2012/05/07,74.28,True
2012/05/08,73.56,True
2012/05/09,72.89,True
2012/05/10,73.68,True
2012/05/11,73.42,True
2012/05/14,73.26,True
2012/05/15,73.14,True
2012/05/16,72.98,True
2012/05/17,71.36,True
2012/05/18,70.8,True
2012/05/21,71.24,True
2012/05/22,71.34,True
2012/05/23,71.66,True
2012/05/24,72.1,True
2012/05/25,71.75,True
2012/05/29,72.3,True
2012/05/30,71.12,True
2012/05/31,72.07,True
2012/06/01,69.99,True
2012/06/04,69.64,True
2012/06/05,70.09,True
2012/06/06,71.41,True
2012/06/07,71.03,True
2012/06/08,71.54,True
2012/06/11,70.69,True
2012/06/12,71.05,True
2012/06/13,70.41,True
2012/06/14,71.33,True
2012/06/15,71.52,True
2012/06/18,71.32,True
2012/06/19,72.08,True
2012/06/20,72.04,True
2012/06/21,70.9,True
2012/06/22,71.33,True
2012/06/25,70.09,True
2012/06/26,70.07,True
2012/06/27,70.72,True
2012/06/28,71.51,True
2012/06/29,72.82,True
2012/07/02,73.06,True
2012/07/03,73.55,True
2012/07/05,73.37,True
2012/07/06,72.23,True
2012/07/09,72.02,True
2012/07/10,71.64,True
2012/07/11,70.82,True
2012/07/12,70.61,True
2012/07/13,71.81,True
2012/07/16,71.11,True
2012/07/17,71.84,True
2012/07/18,72.25,True
2012/07/19,71.65,True
2012/07/20,70.59,True
2012/07/23,69.79,True
2012/07/24,68.83,True
2012/07/25,69.03,True
2012/07/26,69.55,True
2012/07/27,72.32,True
2012/07/30,72.89,True
2012/07/31,72.69,True
2012/08/01,72.6,True
2012/08/02,72.75,True
2012/08/03,72.88,True
2012/08/06,72.51,True
2012/08/07,72.46,True
2012/08/08,72.78,True
2012/08/09,72.34,True
2012/08/10,72.45,True
2012/08/13,72.13,True
2012/08/14,72.15,True
2012/08/15,72.18,True
2012/08/16,72.57,True
2012/08/17,73.42,True
2012/08/20,73.68,True
2012/08/21,73.62,True
2012/08/22,73.51,True
2012/08/23,73.11,True
2012/08/24,73.66,True
2012/08/27,73.75,True
2012/08/28,73.61,True
2012/08/29,73.5,True
2012/08/30,73.5,True
2012/08/31,73.89,True
2012/09/04,74.05,True
2012/09/05,73.89,True
2012/09/06,75.09,True
2012/09/07,74.91,True
2012/09/10,74.76,True
2012/09/11,75.22,True
2012/09/12,75.8,True
2012/09/13,76.76,True
2012/09/14,76.08,True
2012/09/17,75.99,True
2012/09/18,76.23,True
2012/09/19,75.82,True
2012/09/20,75.72,True
2012/09/21,75.43,True
2012/09/24,76.13,True
2012/09/25,76.0,True
2012/09/26,75.52,True
2012/09/27,76.15,True
2012/09/28,76.28,True
2012/10/01,77.29,True
2012/10/02,77.28,True
2012/10/03,77.34,True
2012/10/04,77.84,True
2012/10/05,78.18,True
2012/10/08,77.91,True
2012/10/09,77.31,True
2012/10/10,77.59,True
2012/10/11,77.72,True
2012/10/12,76.99,True
2012/10/15,77.59,True
2012/10/16,78.23,True
2012/10/17,78.87,True
2012/10/18,81.19,True
2012/10/19,80.3,True
2012/10/22,80.6,True
2012/10/23,80.06,True
2012/10/24,79.82,True
2012/10/25,79.39,True
2012/10/26,77.96,True
2012/10/31,76.98,True
2012/11/01,75.87,True
2012/11/02,74.48,True
2012/11/05,74.54,True
2012/11/06,75.61,True
2012/11/07,74.55,True
2012/11/08,74.46,True
2012/11/09,74.75,True
2012/11/12,74.17,True
2012/11/13,74.53,True
2012/11/14,73.83,True
2012/11/15,74.37,True
2012/11/16,75.41,True
2012/11/19,76.14,True
2012/11/20,76.66,True
2012/11/21,76.6,True
2012/11/23,77.23,True
2012/11/26,76.72,True
2012/11/27,76.28,True
2012/11/28,76.58,True
2012/11/29,76.7,True
2012/11/30,76.99,True
2012/12/03,76.48,True
2012/12/04,76.2,True
2012/12/05,78.18,True
2012/12/06,77.44,True
2012/12/07,77.54,True
2012/12/10,77.2,True
2012/12/11,76.81,True
2012/12/12,77.44,True
2012/12/13,76.94,True
2012/12/14,76.12,True
2012/12/17,76.77,True
2012/12/18,77.17,True
2012/12/19,75.49,True
2012/12/20,76.05,True
2012/12/21,75.41,True
2012/12/24,75.03,True
2012/12/26,74.93,True
2012/12/27,74.74,True
2012/12/28,74.4,True
2012/12/31,75.32,True
2013/01/01,75.31889026118307,False
2013/01/02,75.46157232073767,False
2013/01/03,75.61978338447986,False
2013/01/04,75.6164802272785,False
2013/01/07,75.59111612339773,False
2013/01/08,75.5983519382732,False
2013/01/09,75.49503115757291,False
2013/01/10,75.50500830501433,False
2013/01/11,75.51281799658085,False
2013/01/14,75.52425164409172,False
2013/01/15,75.56571390540552,False
2013/01/16,75.60770930436006,False
2013/01/17,75.64029518882069,False
2013/01/18,75.67993234355967,False
2013/01/21,75.70340307723292,False
2013/01/22,75.72405311203057,False
2013/01/23,75.74371116813326,False
2013/01/24,75.759840016741,False
2013/01/25,75.77730036242465,False
2013/01/28,75.79736112016388,False
2013/01/29,75.81774552719145,False
2013/01/30,75.84058611212305,False
2013/01/31,75.8640297207877,False
2013/02/01,75.88738267951511,False
2013/02/04,75.91082176206514,False
2013/02/05,75.93370401127257,False
2013/02/06,75.95597027183301,False
2013/02/07,75.97803015156077,False
2013/02/08,75.9997716229801,False
2013/02/11,76.02148935248567,False
2013/02/12,76.04332643486201,False
2013/02/13,76.06525811763014,False
2013/02/14,76.08733661081348,False
2013/02/15,76.10953090055288,False
2013/02/18,76.13175605134337,False
2013/02/19,76.15399970658027,False
2013/02/20,76.17621755821673,False
2013/02/21,76.19839150216569,False
2013/02/22,76.22053320167072,False
2013/02/25,76.24264712944624,False
2013/02/26,76.26474657462593,False
2013/02/27,76.28684815355383,False
2013/02/28,76.30895614235467,False
2013/03/01,76.33107508901655,False
2013/03/04,76.35320493972178,False
2013/03/05,76.37534119014263,False
2013/03/06,76.39748068284663,False
2013/03/07,76.41962025321612,False
2013/03/08,76.44175714899949,False
2013/03/11,76.46389111124633,False
