date,PRC,is_prediction
2012/01/03,16.03,True
2012/01/04,16.05,True
2012/01/05,16.22,True
2012/01/06,15.96,True
2012/01/09,15.92,True
2012/01/10,16.57,True
2012/01/11,17.55,True
2012/01/12,17.43,True
2012/01/13,17.02,True
2012/01/17,16.86,True
2012/01/18,17.05,True
2012/01/19,17.61,True
2012/01/20,17.86,True
2012/01/23,18.0,True
2012/01/24,17.88,True
2012/01/25,18.15,True
2012/01/26,19.01,True
2012/01/27,19.07,True
2012/01/30,18.26,True
2012/01/31,19.3,True
2012/02/01,19.0,True
2012/02/02,18.93,True
2012/02/03,19.61,True
2012/02/06,19.6,True
2012/02/07,19.26,True
2012/02/08,18.1,True
2012/02/09,18.33,True
2012/02/10,17.87,True
2012/02/13,18.11,True
2012/02/14,18.3,True
2012/02/15,18.66,True
2012/02/16,19.08,True
2012/02/17,19.07,True
2012/02/21,18.78,True
2012/02/22,18.45,True
2012/02/23,18.57,True
2012/02/24,18.51,True
2012/02/27,18.5,True
2012/02/28,18.15,True
2012/02/29,18.33,True
2012/03/01,18.71,True
2012/03/02,18.67,True
2012/03/05,18.64,True
2012/03/06,17.93,True
2012/03/07,17.7,True
2012/03/08,18.49,True
2012/03/09,19.19,True
2012/03/12,19.18,True
2012/03/13,20.58,True
2012/03/14,20.46,True
2012/03/15,20.68,True
2012/03/16,20.83,True
2012/03/19,20.86,True
2012/03/20,20.77,True
2012/03/21,20.75,True
2012/03/22,20.4,True
2012/03/23,20.48,True
2012/03/26,20.57,True
2012/03/27,20.42,True
2012/03/28,19.99,True
2012/03/29,19.79,True
2012/03/30,19.96,True
2012/04/02,20.17,True
2012/04/03,19.5,True
2012/04/04,19.03,True
2012/04/05,18.6,True
2012/04/09,18.2,True
2012/04/10,17.72,True
2012/04/11,18.27,True
2012/04/12,18.86,True
2012/04/13,18.21,True
2012/04/16,18.36,True
2012/04/17,18.84,True
2012/04/18,18.34,True
2012/04/19,18.46,True
2012/04/20,18.37,True
2012/04/23,18.23,True
2012/04/24,18.39,True
2012/04/25,18.67,True
2012/04/26,19.07,True
2012/04/27,19.13,True
2012/04/30,18.81,True
2012/05/01,19.36,True
2012/05/02,19.18,True
2012/05/03,18.61,True
2012/05/04,17.93,True
2012/05/07,17.67,True
2012/05/08,17.55,True
2012/05/09,17.33,True
2012/05/10,17.24,True
2012/05/11,17.27,True
2012/05/14,17.01,True
2012/05/15,16.68,True
2012/05/16,16.19,True
2012/05/17,15.76,True
2012/05/18,15.84,True
2012/05/21,16.42,True
2012/05/22,16.45,True
2012/05/23,16.65,True
2012/05/24,16.39,True
2012/05/25,16.38,True
2012/05/29,17.01,True
2012/05/30,16.25,True
2012/05/31,16.45,True
