date,PRC,is_prediction
2012/01/03,25.97,True
2012/01/04,25.58,True
2012/01/05,25.35,True
2012/01/06,25.07,True
2012/01/09,25.02,True
2012/01/10,25.1,True
2012/01/11,25.32,True
2012/01/12,25.3,True
2012/01/13,25.7,True
2012/01/17,25.39,True
2012/01/18,25.43,True
2012/01/19,25.67,True
2012/01/20,25.63,True
2012/01/23,25.77,True
2012/01/24,25.64,True
2012/01/25,25.53,True
2012/01/26,25.62,True
2012/01/27,25.58,True
2012/01/30,25.52,True
2012/01/31,25.59,True
2012/02/01,25.71,True
2012/02/02,26.23,True
2012/02/03,26.54,True
2012/02/06,26.6,True
2012/02/07,26.73,True
2012/02/08,26.3,True
2012/02/09,26.47,True
2012/02/10,28.07,True
2012/02/13,27.8,True
2012/02/14,27.35,True
2012/02/15,27.34,True
2012/02/16,27.56,True
2012/02/17,27.5,True
2012/02/21,27.28,True
2012/02/22,27.36,True
2012/02/23,27.9,True
2012/02/24,27.65,True
2012/02/27,27.8,True
2012/02/28,27.9,True
2012/02/29,27.57,True
2012/03/01,27.88,True
2012/03/02,27.62,True
2012/03/05,27.56,True
2012/03/06,27.04,True
2012/03/07,27.17,True
2012/03/08,27.36,True
2012/03/09,27.37,True
2012/03/12,27.61,True
2012/03/13,27.65,True
2012/03/14,27.91,True
2012/03/15,28.02,True
2012/03/16,28.02,True
2012/03/19,28.28,True
2012/03/20,28.6,True
2012/03/21,29.01,True
2012/03/22,29.02,True
2012/03/23,29.51,True
2012/03/26,29.56,True
2012/03/27,28.72,True
2012/03/28,28.85,True
2012/03/29,28.57,True
2012/03/30,28.42,True
2012/04/02,28.13,True
2012/04/03,28.14,True
2012/04/04,27.97,True
2012/04/05,27.71,True
2012/04/09,27.39,True
2012/04/10,27.0,True
2012/04/11,26.9,True
2012/04/12,26.98,True
2012/04/13,26.63,True
2012/04/16,26.62,True
2012/04/17,26.63,True
2012/04/18,26.45,True
2012/04/19,26.39,True
2012/04/20,26.29,True
2012/04/23,26.1,True
2012/04/24,26.09,True
2012/04/25,26.38,True
2012/04/26,26.69,True
2012/04/27,26.76,True
2012/04/30,26.44,True
2012/05/01,26.64,True
2012/05/02,25.91,True
2012/05/03,26.04,True
2012/05/04,25.88,True
2012/05/07,25.4,True
2012/05/08,25.33,True
2012/05/09,25.48,True
2012/05/10,25.33,True
2012/05/11,25.3,True
2012/05/14,25.0,True
2012/05/15,25.31,True
2012/05/16,24.96,True
2012/05/17,24.56,True
2012/05/18,24.92,True
2012/05/21,24.96,True
2012/05/22,25.06,True
2012/05/23,25.19,True
2012/05/24,25.39,True
2012/05/25,25.24,True
2012/05/29,25.63,True
2012/05/30,25.04,True
2012/05/31,25.25,True
2012/06/01,25.1,True
2012/06/04,25.43,True
2012/06/05,25.9,True
2012/06/06,26.59,True
2012/06/07,26.6,True
2012/06/08,26.7,True
2012/06/11,26.69,True
2012/06/12,26.94,True
2012/06/13,26.93,True
2012/06/14,27.33,True
2012/06/15,27.24,True
2012/06/18,27.98,True
2012/06/19,27.74,True
2012/06/20,27.56,True
2012/06/21,27.23,True
2012/06/22,26.98,True
2012/06/25,26.96,True
2012/06/26,27.1,True
2012/06/27,27.22,True
2012/06/28,27.58,True
2012/06/29,27.68,True
2012/07/02,27.9,True
2012/07/03,27.92,True
2012/07/05,27.99,True
2012/07/06,27.75,True
2012/07/09,27.75,True
2012/07/10,27.68,True
2012/07/11,27.63,True
2012/07/12,27.71,True
2012/07/13,28.18,True
2012/07/16,28.17,True
2012/07/17,28.19,True
2012/07/18,28.4,True
2012/07/19,28.26,True
2012/07/20,28.13,True
2012/07/23,28.31,True
2012/07/24,28.03,True
2012/07/25,28.31,True
2012/07/26,28.65,True
2012/07/27,28.67,True
2012/07/30,28.54,True
2012/07/31,28.5,True
2012/08/01,28.4,True
2012/08/02,27.98,True
2012/08/03,28.19,True
2012/08/06,28.56,True
2012/08/07,29.02,True
2012/08/08,29.04,True
2012/08/09,28.93,True
2012/08/10,28.93,True
2012/08/13,29.01,True
2012/08/14,29.04,True
2012/08/15,28.98,True
2012/08/16,28.99,True
2012/08/17,28.87,True
2012/08/20,28.83,True
2012/08/21,28.78,True
2012/08/22,28.73,True
2012/08/23,28.72,True
2012/08/24,28.79,True
2012/08/27,28.75,True
2012/08/28,28.9,True
2012/08/29,28.73,True
2012/08/30,28.59,True
2012/08/31,28.44,True
2012/09/04,28.93,True
2012/09/05,28.67,True
2012/09/06,28.71,True
2012/09/07,28.85,True
2012/09/10,28.66,True
2012/09/11,28.69,True
2012/09/12,28.8,True
2012/09/13,29.0,True
2012/09/14,29.3,True
2012/09/17,29.62,True
2012/09/18,29.81,True
2012/09/19,30.21,True
2012/09/20,30.27,True
2012/09/21,30.24,True
2012/09/24,30.24,True
2012/09/25,29.72,True
2012/09/26,29.32,True
2012/09/27,29.68,True
2012/09/28,29.4,True
2012/10/01,29.56,True
2012/10/02,29.43,True
2012/10/03,29.51,True
2012/10/04,29.67,True
2012/10/05,29.7,True
2012/10/08,29.6,True
2012/10/09,29.61,True
2012/10/10,29.51,True
2012/10/11,29.46,True
2012/10/12,29.29,True
2012/10/15,29.34,True
2012/10/16,29.4651,True
2012/10/17,29.58,True
2012/10/18,29.47,True
2012/10/19,28.97,True
2012/10/22,28.96,True
2012/10/23,28.75,True
2012/10/24,28.95,True
2012/10/25,29.04,True
2012/10/26,29.15,True
2012/10/31,29.47,True
2012/11/01,30.66,True
2012/11/02,30.2,True
2012/11/05,30.46,True
2012/11/06,30.61,True
2012/11/07,30.38,True
2012/11/08,30.17,True
2012/11/09,30.05,True
2012/11/12,30.0,True
2012/11/13,29.69,True
2012/11/14,29.41,True
2012/11/15,29.32,True
2012/11/16,29.59,True
2012/11/19,29.48,True
2012/11/20,29.41,True
2012/11/21,29.47,True
2012/11/23,29.56,True
2012/11/26,29.49,True
2012/11/27,29.53,True
2012/11/28,29.72,True
2012/11/29,29.75,True
2012/11/30,29.98,True
2012/12/03,29.73,True
2012/12/04,29.83,True
2012/12/05,29.85,True
2012/12/06,30.13,True
2012/12/07,29.99,True
2012/12/10,29.92,True
2012/12/11,29.91,True
2012/12/12,30.1,True
2012/12/13,30.0,True
2012/12/14,29.88,True
2012/12/17,29.88,True
2012/12/18,30.17,True
2012/12/19,29.51,True
2012/12/20,30.68,True
2012/12/21,30.14,True
2012/12/24,29.88,True
2012/12/26,29.58,True
2012/12/27,29.33,True
2012/12/28,29.37,True
2012/12/31,29.46,True
2013/01/01,29.418781539787634,False
2013/01/02,29.503340081153823,False
2013/01/03,29.553541381413577,False
2013/01/04,29.586123422049475,False
2013/01/07,29.614450581413173,False
2013/01/08,29.63294448240591,False
2013/01/09,29.63955887114009,False
2013/01/10,29.65523021779301,False
2013/01/11,29.663511315437034,False
2013/01/14,29.674787295058103,False
2013/01/15,29.68772910192082,False
2013/01/16,29.701643842568856,False
2013/01/17,29.71574256317011,False
2013/01/18,29.731146418915866,False
2013/01/21,29.745832515597666,False
2013/01/22,29.760921996082637,False
2013/01/23,29.775736687205182,False
2013/01/24,29.79043444201353,False
2013/01/25,29.80498312712354,False
2013/01/28,29.819552415376737,False
2013/01/29,29.834005483291413,False
2013/01/30,29.84851973509041,False
2013/01/31,29.863012679587268,False
2013/02/01,29.877533992648964,False
2013/02/04,29.8920621557267,False
2013/02/05,29.9066080956564,False
2013/02/06,29.92114993098611,False
2013/02/07,29.935701264872524,False
2013/02/08,29.95024702390071,False
2013/02/11,29.96479392947503,False
2013/02/12,29.979337791226037,False
2013/02/13,29.993881393369332,False
2013/02/14,30.008423171742503,False
2013/02/15,30.022965505548857,False
2013/02/18,30.03750711926234,False
2013/02/19,30.052049301939192,False
2013/02/20,30.06659143948843,False
2013/02/21,30.081133924073264,False
2013/02/22,30.095676426688158,False
2013/02/25,30.11021912427803,False
2013/02/26,30.124761780121144,False
2013/02/27,30.139304509765036,False
2013/02/28,30.153847202554974,False
2013/03/01,30.168389919576168,False
2013/03/04,30.182932621251794,False
2013/03/05,30.19747534359299,False
2013/03/06,30.212018069011354,False
2013/03/07,30.226560819325442,False
2013/03/08,30.241103582562545,False
2013/03/11,30.255646368600974,False
