date,PRC,is_prediction
2012/01/03,44.92,True
2012/01/04,45.02,True
2012/01/05,44.98,True
2012/01/06,45.05,True
2012/01/09,45.63,True
2012/01/10,46.13,True
2012/01/11,46.24,True
2012/01/12,46.25,True
2012/01/13,46.0,True
2012/01/17,45.83,True
2012/01/18,45.84,True
2012/01/19,46.4,True
2012/01/20,46.22,True
2012/01/23,46.05,True
2012/01/24,45.94,True
2012/01/25,46.7,True
2012/01/26,46.33,True
2012/01/27,48.72,True
2012/01/30,48.41,True
2012/01/31,48.48,True
2012/02/01,48.65,True
2012/02/02,48.99,True
2012/02/03,49.22,True
2012/02/06,49.28,True
2012/02/07,49.11,True
2012/02/08,49.26,True
2012/02/09,49.31,True
2012/02/10,49.31,True
2012/02/13,49.4,True
2012/02/14,49.42,True
2012/02/15,50.65,True
2012/02/16,50.81,True
2012/02/17,51.37,True
2012/02/21,51.47,True
2012/02/22,51.42,True
2012/02/23,52.01,True
2012/02/24,52.55,True
2012/02/27,51.8,True
2012/02/28,52.09,True
2012/02/29,51.81,True
2012/03/01,52.84,True
2012/03/02,53.15,True
2012/03/05,53.12,True
2012/03/06,52.39,True
2012/03/07,52.59,True
2012/03/08,53.74,True
2012/03/09,54.43,True
2012/03/12,54.95,True
2012/03/13,53.98,True
2012/03/14,52.44,True
2012/03/15,52.55,True
2012/03/16,52.23,True
2012/03/19,53.09,True
2012/03/20,52.75,True
2012/03/21,53.12,True
2012/03/22,53.02,True
2012/03/23,53.2,True
2012/03/26,53.58,True
2012/03/27,53.14,True
2012/03/28,52.99,True
2012/03/29,53.0,True
2012/03/30,53.34,True
2012/04/02,53.37,True
2012/04/03,53.06,True
2012/04/04,52.85,True
2012/04/05,53.4,True
2012/04/09,53.03,True
2012/04/10,52.6,True
2012/04/11,53.89,True
2012/04/12,54.38,True
2012/04/13,53.86,True
2012/04/16,54.26,True
2012/04/17,54.99,True
2012/04/18,54.93,True
2012/04/19,54.79,True
2012/04/20,54.9,True
2012/04/23,54.7,True
2012/04/24,55.0,True
2012/04/25,56.09,True
2012/04/26,56.26,True
2012/04/27,56.61,True
2012/04/30,56.61,True
2012/05/01,56.38,True
2012/05/02,56.41,True
2012/05/03,56.52,True
2012/05/04,55.8,True
2012/05/07,56.05,True
2012/05/08,55.75,True
2012/05/09,55.37,True
2012/05/10,55.56,True
2012/05/11,55.64,True
2012/05/14,54.38,True
2012/05/15,54.28,True
2012/05/16,54.27,True
2012/05/17,53.1,True
2012/05/18,52.86,True
2012/05/21,53.45,True
2012/05/22,53.6,True
2012/05/23,53.81,True
2012/05/24,54.31,True
2012/05/25,54.17,True
2012/05/29,54.85,True
2012/05/30,54.23,True
2012/05/31,54.6,True
2012/06/01,53.08,True
2012/06/04,53.55,True
2012/06/05,53.81,True
2012/06/06,54.7,True
2012/06/07,55.13,True
2012/06/08,55.89,True
2012/06/11,56.0,True
2012/06/12,56.62,True
2012/06/13,56.87,True
2012/06/14,57.5,True
2012/06/15,57.75,True
2012/06/18,58.8,True
2012/06/19,57.76,True
2012/06/20,57.65,True
2012/06/21,56.28,True
2012/06/22,56.65,True
2012/06/25,56.46,True
2012/06/26,57.5,True
2012/06/27,58.36,True
2012/06/28,57.98,True
2012/06/29,58.66,True
2012/07/02,60.01,True
2012/07/03,60.33,True
2012/07/05,59.6,True
2012/07/06,59.42,True
2012/07/09,59.84,True
2012/07/10,59.36,True
2012/07/11,59.17,True
2012/07/12,59.67,True
2012/07/13,60.66,True
2012/07/16,59.77,True
2012/07/17,60.26,True
2012/07/18,58.82,True
2012/07/19,59.1,True
2012/07/20,59.0,True
2012/07/23,58.68,True
2012/07/24,57.92,True
2012/07/25,57.76,True
2012/07/26,60.69,True
2012/07/27,61.69,True
2012/07/30,62.53,True
2012/07/31,61.88,True
2012/08/01,61.84,True
2012/08/02,62.0,True
2012/08/03,62.52,True
2012/08/06,62.33,True
2012/08/07,62.04,True
2012/08/08,61.91,True
2012/08/09,61.88,True
2012/08/10,62.42,True
2012/08/13,62.5,True
2012/08/14,62.87,True
2012/08/15,63.3,True
2012/08/16,62.61,True
2012/08/17,62.49,True
2012/08/20,62.1,True
2012/08/21,61.93,True
2012/08/22,61.92,True
2012/08/23,61.64,True
2012/08/24,61.89,True
2012/08/27,62.05,True
2012/08/28,62.44,True
2012/08/29,62.82,True
2012/08/30,63.15,True
2012/08/31,63.46,True
2012/09/04,63.21,True
