date,PRC,is_prediction
2012/01/03,10.34,True
2012/01/04,10.06,True
2012/01/05,10.37,True
2012/01/06,10.19,True
2012/01/09,10.05,True
2012/01/10,10.15,True
2012/01/11,10.22,True
2012/01/12,10.17,True
2012/01/13,9.92,True
2012/01/17,9.96,True
2012/01/18,10.37,True
2012/01/19,10.76,True
2012/01/20,10.62,True
2012/01/23,10.53,True
2012/01/24,10.73,True
2012/01/25,10.69,True
2012/01/26,10.7,True
2012/01/27,10.67,True
2012/01/30,10.55,True
2012/01/31,10.56,True
2012/02/01,10.8,True
2012/02/02,11.64,True
2012/02/03,11.73,True
2012/02/06,11.62,True
2012/02/07,11.74,True
2012/02/08,11.76,True
2012/02/09,12.0,True
2012/02/10,11.77,True
2012/02/13,11.7,True
2012/02/14,11.825,True
2012/02/15,11.94,True
2012/02/16,12.03,True
2012/02/17,11.94,True
2012/02/21,11.98,True
2012/02/22,11.8,True
2012/02/23,11.9,True
2012/02/24,11.81,True
2012/02/27,11.82,True
2012/02/28,11.75,True
2012/02/29,11.77,True
2012/03/01,11.92,True
2012/03/02,11.63,True
2012/03/05,11.51,True
2012/03/06,11.32,True
2012/03/07,11.5,True
2012/03/08,11.96,True
2012/03/09,12.01,True
2012/03/12,11.95,True
2012/03/13,12.28,True
2012/03/14,12.15,True
2012/03/15,12.4,True
2012/03/16,12.33,True
2012/03/19,12.42,True
2012/03/20,12.19,True
2012/03/21,12.18,True
2012/03/22,12.12,True
2012/03/23,12.02,True
2012/03/26,12.125,True
2012/03/27,12.14,True
2012/03/28,12.09,True
2012/03/29,11.89,True
2012/03/30,11.84,True
2012/04/02,11.89,True
2012/04/03,11.89,True
2012/04/04,11.76,True
2012/04/05,11.79,True
2012/04/09,11.57,True
2012/04/10,11.24,True
2012/04/11,11.38,True
2012/04/12,11.6,True
2012/04/13,11.51,True
2012/04/16,11.49,True
2012/04/17,11.78,True
2012/04/18,11.745,True
2012/04/19,11.56,True
2012/04/20,11.52,True
2012/04/23,11.35,True
2012/04/24,11.28,True
2012/04/25,11.67,True
2012/04/26,11.88,True
2012/04/27,11.86,True
2012/04/30,11.67,True
2012/05/01,11.68,True
2012/05/02,11.61,True
2012/05/03,11.46,True
2012/05/04,11.2,True
2012/05/07,11.08,True
2012/05/08,11.15,True
2012/05/09,11.13,True
2012/05/10,10.87,True
2012/05/11,10.91,True
2012/05/14,10.8,True
2012/05/15,10.79,True
2012/05/16,10.46,True
2012/05/17,10.11,True
2012/05/18,9.91,True
2012/05/21,10.24,True
2012/05/22,10.17,True
2012/05/23,10.33,True
2012/05/24,10.41,True
2012/05/25,10.29,True
2012/05/29,10.51,True
2012/05/30,10.25,True
2012/05/31,10.2,True
2012/06/01,9.79,True
2012/06/04,9.86,True
2012/06/05,10.09,True
2012/06/06,10.54,True
2012/06/07,10.47,True
2012/06/08,10.54,True
2012/06/11,10.405,True
2012/06/12,10.48,True
2012/06/13,10.325,True
2012/06/14,10.5,True
2012/06/15,10.83,True
2012/06/18,10.79,True
2012/06/19,10.91,True
2012/06/20,10.79,True
2012/06/21,10.535,True
2012/06/22,10.68,True
2012/06/25,10.41,True
2012/06/26,10.565,True
2012/06/27,10.5,True
2012/06/28,10.49,True
2012/06/29,10.99,True
2012/07/02,11.225,True
2012/07/03,11.52,True
2012/07/05,11.71,True
2012/07/06,11.42,True
2012/07/09,11.18,True
2012/07/10,11.015,True
2012/07/11,11.04,True
2012/07/12,10.86,True
2012/07/13,11.05,True
2012/07/16,11.17,True
2012/07/17,11.23,True
2012/07/18,11.5,True
2012/07/19,11.71,True
2012/07/20,11.565,True
2012/07/23,11.47,True
2012/07/24,11.225,True
2012/07/25,11.42,True
2012/07/26,12.015,True
2012/07/27,12.39,True
2012/07/30,12.24,True
2012/07/31,12.22,True
2012/08/01,12.21,True
2012/08/02,12.24,True
2012/08/03,12.43,True
2012/08/06,12.39,True
2012/08/07,12.39,True
2012/08/08,12.44,True
2012/08/09,12.58,True
2012/08/10,12.56,True
2012/08/13,12.53,True
2012/08/14,12.38,True
2012/08/15,12.54,True
2012/08/16,12.65,True
2012/08/17,12.78,True
2012/08/20,12.76,True
2012/08/21,12.84,True
2012/08/22,12.87,True
2012/08/23,12.895,True
2012/08/24,12.73,True
2012/08/27,12.77,True
2012/08/28,13.07,True
2012/08/29,13.02,True
2012/08/30,12.84,True
2012/08/31,13.2,True
2012/09/04,13.39,True
2012/09/05,13.42,True
2012/09/06,13.48,True
2012/09/07,13.54,True
2012/09/10,13.65,True
2012/09/11,13.49,True
2012/09/12,13.61,True
2012/09/13,13.61,True
2012/09/14,13.54,True
2012/09/17,13.49,True
2012/09/18,13.395,True
2012/09/19,13.43,True
2012/09/20,13.33,True
2012/09/21,13.32,True
2012/09/24,13.13,True
2012/09/25,12.855,True
2012/09/26,12.8,True
2012/09/27,12.9,True
2012/09/28,12.865,True
2012/10/01,12.675,True
2012/10/02,12.795,True
2012/10/03,12.89,True
2012/10/04,13.0,True
2012/10/05,12.84,True
2012/10/08,12.67,True
2012/10/09,12.58,True
2012/10/10,12.49,True
2012/10/11,12.6,True
2012/10/12,12.51,True
2012/10/15,12.56,True
2012/10/16,12.97,True
2012/10/17,12.82,True
2012/10/18,12.715,True
2012/10/19,12.61,True
2012/10/22,12.39,True
2012/10/23,12.42,True
2012/10/24,12.71,True
2012/10/25,12.73,True
2012/10/26,12.8,True
2012/10/31,12.65,True
2012/11/01,13.095,True
2012/11/02,12.9901,True
2012/11/05,12.83,True
2012/11/06,13.1,True
2012/11/07,12.77,True
2012/11/08,12.62,True
2012/11/09,12.61,True
2012/11/12,12.53,True
2012/11/13,12.56,True
2012/11/14,12.425,True
2012/11/15,12.26,True
2012/11/16,12.41,True
2012/11/19,12.665,True
2012/11/20,12.65,True
2012/11/21,12.9,True
2012/11/23,13.0,True
2012/11/26,12.95,True
2012/11/27,12.79,True
2012/11/28,12.97,True
2012/11/29,12.9,True
2012/11/30,12.75,True
2012/12/03,12.6997,True
2012/12/04,12.74,True
2012/12/05,12.8,True
2012/12/06,12.88,True
2012/12/07,12.955,True
2012/12/10,13.09,True
2012/12/11,13.14,True
2012/12/12,13.09,True
2012/12/13,13.01,True
2012/12/14,13.18,True
2012/12/17,13.345,True
2012/12/18,13.41,True
2012/12/19,13.36,True
2012/12/20,13.5,True
2012/12/21,13.47,True
2012/12/24,13.57,True
2012/12/26,13.35,True
2012/12/27,13.43,True
2012/12/28,13.44,True
2012/12/31,13.51,True
2013/01/01,13.540603407347627,False
2013/01/02,13.537981651632837,False
2013/01/03,13.560632137494512,False
2013/01/04,13.570162241390204,False
2013/01/07,13.580869916543623,False
2013/01/08,13.590039116427135,False
2013/01/09,13.599786306782022,False
2013/01/10,13.613950383179004,False
2013/01/11,13.627100463907023,False
