date,PRC,is_prediction
2012/01/03,68.66,True
2012/01/04,67.92,True
2012/01/05,68.51,True
2012/01/06,67.22,True
2012/01/09,68.23,True
2012/01/10,70.26,True
2012/01/11,72.07,True
2012/01/12,73.2,True
2012/01/13,72.63,True
2012/01/17,73.11,True
2012/01/18,72.74,True
2012/01/19,72.21,True
2012/01/20,73.84,True
2012/01/23,73.43,True
2012/01/24,74.02,True
2012/01/25,73.79,True
2012/01/26,72.66,True
2012/01/27,73.37,True
2012/01/30,72.72,True
2012/01/31,72.69,True
2012/02/01,73.92,True
2012/02/02,74.16,True
2012/02/03,73.21,True
2012/02/06,73.525,True
2012/02/07,73.41,True
2012/02/08,72.86,True
2012/02/09,72.0,True
2012/02/10,71.74,True
2012/02/13,73.16,True
2012/02/14,74.145,True
2012/02/15,74.6,True
2012/02/16,75.5,True
2012/02/17,74.66,True
2012/02/21,74.03,True
2012/02/22,74.64,True
2012/02/23,74.91,True
2012/02/24,74.89,True
2012/02/27,74.08,True
2012/02/28,73.76,True
2012/02/29,73.325,True
2012/03/01,73.92,True
2012/03/02,73.73,True
2012/03/05,73.07,True
2012/03/06,72.28,True
2012/03/07,72.56,True
2012/03/08,74.24,True
2012/03/09,75.18,True
2012/03/12,74.41,True
2012/03/13,76.14,True
2012/03/14,76.01,True
2012/03/15,76.13,True
2012/03/16,75.6,True
2012/03/19,75.53,True
2012/03/20,75.53,True
2012/03/21,75.59,True
2012/03/22,76.17,True
2012/03/23,76.83,True
2012/03/26,78.5,True
2012/03/27,78.04,True
2012/03/28,77.935,True
2012/03/29,77.52,True
2012/03/30,77.52,True
2012/04/02,78.2,True
2012/04/03,80.29,True
2012/04/04,79.22,True
2012/04/05,79.65,True
2012/04/09,79.25,True
2012/04/10,79.2,True
2012/04/11,78.52,True
2012/04/12,78.58,True
2012/04/13,78.32,True
2012/04/16,78.16,True
2012/04/17,79.17,True
2012/04/18,78.88,True
2012/04/19,78.59,True
2012/04/20,79.1,True
2012/04/23,77.43,True
2012/04/24,77.35,True
2012/04/25,77.91,True
2012/04/26,72.92,True
2012/04/27,73.38,True
2012/04/30,72.925,True
2012/05/01,72.58,True
2012/05/02,71.97,True
2012/05/03,71.4,True
2012/05/04,69.81,True
2012/05/07,70.14,True
2012/05/08,70.77,True
2012/05/09,70.42,True
2012/05/10,70.65,True
2012/05/11,70.79,True
2012/05/14,71.11,True
2012/05/15,71.2,True
2012/05/16,70.72,True
2012/05/17,69.07,True
2012/05/18,68.1,True
2012/05/21,69.42,True
2012/05/22,69.65,True
2012/05/23,69.08,True
2012/05/24,69.91,True
2012/05/25,68.9,True
2012/05/29,68.75,True
2012/05/30,68.9,True
2012/05/31,68.25,True
2012/06/01,65.33,True
2012/06/04,64.89,True
2012/06/05,64.45,True
2012/06/06,65.305,True
2012/06/07,65.09,True
2012/06/08,65.04,True
2012/06/11,63.7,True
2012/06/12,63.07,True
2012/06/13,63.59,True
2012/06/14,65.91,True
2012/06/15,66.16,True
2012/06/18,65.93,True
2012/06/19,67.62,True
2012/06/20,67.16,True
2012/06/21,59.445,True
2012/06/22,61.63,True
2012/06/25,61.23,True
2012/06/26,63.25,True
2012/06/27,63.49,True
2012/06/28,62.05,True
2012/06/29,64.16,True
2012/07/02,64.88,True
2012/07/03,65.76,True
2012/07/05,65.31,True
2012/07/06,64.77,True
2012/07/09,64.95,True
2012/07/10,64.08,True
2012/07/11,63.32,True
2012/07/12,62.95,True
2012/07/13,65.27,True
2012/07/16,66.15,True
2012/07/17,66.82,True
2012/07/18,67.34100000000001,True
2012/07/19,67.98,True
2012/07/20,66.42,True
2012/07/23,65.78,True
2012/07/24,64.0,True
2012/07/25,65.28,True
2012/07/26,67.49,True
2012/07/27,70.6,True
2012/07/30,69.4,True
2012/07/31,68.46,True
2012/08/01,68.15,True
2012/08/02,68.21,True
2012/08/03,69.3,True
2012/08/06,71.07,True
2012/08/07,71.44,True
2012/08/08,71.77,True
2012/08/09,71.25,True
2012/08/10,71.94,True
2012/08/13,71.85,True
2012/08/14,71.12,True
2012/08/15,70.91,True
2012/08/16,70.24,True
2012/08/17,69.11,True
2012/08/20,70.81,True
2012/08/21,71.33,True
2012/08/22,71.6,True
2012/08/23,71.47,True
2012/08/24,72.04,True
2012/08/27,71.69,True
2012/08/28,72.02,True
2012/08/29,71.63,True
2012/08/30,70.83,True
2012/08/31,72.04,True
2012/09/04,72.07,True
2012/09/05,70.96,True
2012/09/06,74.49,True
2012/09/07,75.44,True
2012/09/10,73.58,True
2012/09/11,73.62,True
2012/09/12,73.99,True
2012/09/13,75.085,True
2012/09/14,76.27,True
2012/09/17,76.81,True
2012/09/18,76.92,True
2012/09/19,76.99,True
2012/09/20,77.08,True
2012/09/21,77.27,True
2012/09/24,76.91,True
2012/09/25,76.14,True
2012/09/26,76.08,True
2012/09/27,76.74,True
2012/09/28,76.4,True
2012/10/01,76.78,True
2012/10/02,78.42,True
2012/10/03,78.99,True
2012/10/04,79.58,True
2012/10/05,80.29,True
2012/10/08,80.285,True
2012/10/09,79.91,True
2012/10/10,77.36,True
2012/10/11,77.72,True
2012/10/12,78.42,True
2012/10/15,77.97,True
2012/10/16,78.2,True
2012/10/17,78.81,True
2012/10/18,78.48,True
2012/10/19,75.16,True
2012/10/22,75.0,True
2012/10/23,74.05,True
2012/10/24,74.06,True
2012/10/25,74.32,True
2012/10/26,75.2,True
2012/10/31,73.35,True
2012/11/01,74.81,True
2012/11/02,73.04,True
2012/11/05,73.3,True
2012/11/06,74.06,True
2012/11/07,72.56,True
2012/11/08,71.3,True
2012/11/09,71.5,True
2012/11/12,75.66,True
2012/11/13,74.4,True
2012/11/14,74.75,True
2012/11/15,73.54,True
2012/11/16,74.33,True
2012/11/19,75.18,True
2012/11/20,77.12,True
2012/11/21,77.86,True
2012/11/23,78.51,True
2012/11/26,78.785,True
2012/11/27,78.14,True
2012/11/28,78.89,True
2012/11/29,79.39,True
2012/11/30,78.59,True
2012/12/03,78.66,True
2012/12/04,79.44,True
2012/12/05,79.4,True
2012/12/06,79.08,True
2012/12/07,78.68,True
2012/12/10,80.5,True
2012/12/11,82.08,True
2012/12/12,81.19,True
2012/12/13,79.84,True
2012/12/14,79.36,True
2012/12/17,80.44,True
2012/12/18,80.03,True
2012/12/19,79.7,True
2012/12/20,80.02,True
2012/12/21,79.7,True
2012/12/24,79.27,True
2012/12/26,78.71,True
2012/12/27,78.58,True
2012/12/28,77.73,True
2012/12/31,78.47,True
2013/01/01,78.6418535770448,False
2013/01/02,78.70377169927052,False
2013/01/03,78.73173078402002,False
2013/01/04,78.73749861569294,False
2013/01/07,78.7093231837919,False
2013/01/08,78.76614638355832,False
2013/01/09,78.82309525460505,False
2013/01/10,78.87146702058006,False
2013/01/11,78.91547965461758,False
2013/01/14,78.95453455553397,False
2013/01/15,78.98991208972052,False
2013/01/16,79.0293408446709,False
2013/01/17,79.07052448256223,False
2013/01/18,79.11185839451574,False
2013/01/21,79.15302776678352,False
2013/01/22,79.19372586003577,False
2013/01/23,79.23399019595706,False
2013/01/24,79.27434460428613,False
2013/01/25,79.31485533059015,False
2013/01/28,79.3554433018585,False
2013/01/29,79.39605671221832,False
2013/01/30,79.43664652475155,False
2013/01/31,79.47719683656486,False
2013/02/01,79.51773648681026,False
2013/02/04,79.55828210008241,False
2013/02/05,79.59883553330826,False
2013/02/06,79.6393942797253,False
2013/02/07,79.67995367849215,False
2013/02/08,79.72051062835139,False
2013/02/11,79.7610658293433,False
2013/02/12,79.80162067140255,False
2013/02/13,79.84217590264981,False
2013/02/14,79.8827316988422,False
2013/02/15,79.92328779269057,False
2013/02/18,79.96384387101983,False
2013/02/19,80.00439982576063,False
2013/02/20,80.044955738172,False
2013/02/21,80.08551166609796,False
2013/02/22,80.1260676393397,False
2013/02/25,80.16662368207767,False
2013/02/26,80.20717972846322,False
2013/02/27,80.24773582858033,False
2013/02/28,80.288291946941,False
2013/03/01,80.32884809000427,False
2013/03/04,80.36940429926541,False
2013/03/05,80.40996052365115,False
2013/03/06,80.45051676688922,False
2013/03/07,80.49107302529303,False
2013/03/08,80.53162931288836,False
2013/03/11,80.57218563366406,False
