date,PRC,is_prediction
2012/01/03,62.55,True
2012/01/04,61.715,True
2012/01/05,62.43,True
2012/01/06,63.47,True
2012/01/09,63.15,True
2012/01/10,62.69,True
2012/01/11,63.0,True
2012/01/12,62.0,True
2012/01/13,61.56,True
2012/01/17,60.84,True
2012/01/18,60.99,True
2012/01/19,61.51,True
2012/01/20,61.03,True
2012/01/23,59.99,True
2012/01/24,60.37,True
2012/01/25,60.62,True
2012/01/26,59.78,True
2012/01/27,60.49,True
2012/01/30,60.87,True
2012/01/31,60.89,True
2012/02/01,61.41,True
2012/02/02,61.66,True
2012/02/03,63.09,True
2012/02/06,62.78,True
2012/02/07,62.57,True
2012/02/08,70.88,True
2012/02/09,69.39,True
2012/02/10,69.27,True
2012/02/13,70.26,True
2012/02/14,70.64,True
2012/02/15,70.22,True
2012/02/16,71.99,True
2012/02/17,70.99,True
2012/02/21,71.81,True
2012/02/22,72.46,True
2012/02/23,73.15,True
2012/02/24,73.76,True
2012/02/27,74.28,True
2012/02/28,74.82,True
2012/02/29,73.83,True
2012/03/01,74.73,True
2012/03/02,75.35,True
2012/03/05,75.69,True
2012/03/06,74.55,True
2012/03/07,75.54,True
2012/03/08,76.07,True
2012/03/09,76.86,True
2012/03/12,75.72,True
2012/03/13,76.83,True
2012/03/14,76.16,True
2012/03/15,77.38,True
2012/03/16,76.93,True
2012/03/19,76.86,True
2012/03/20,76.26,True
2012/03/21,76.3,True
2012/03/22,76.61,True
2012/03/23,76.71,True
2012/03/26,78.13,True
2012/03/27,76.16,True
2012/03/28,75.79,True
2012/03/29,76.15,True
2012/03/30,76.16,True
2012/04/02,76.87,True
2012/04/03,76.59,True
2012/04/04,75.42,True
2012/04/05,75.87,True
2012/04/09,74.47,True
2012/04/10,72.81,True
2012/04/11,73.91,True
2012/04/12,73.55,True
2012/04/13,72.93,True
2012/04/16,73.24,True
2012/04/17,73.8,True
2012/04/18,74.38,True
2012/04/19,74.07,True
2012/04/20,74.5,True
2012/04/23,73.38,True
2012/04/24,72.26,True
2012/04/25,72.76,True
2012/04/26,73.82,True
2012/04/27,77.51,True
2012/04/30,81.11,True
2012/05/01,82.8,True
2012/05/02,83.0,True
2012/05/03,82.07,True
2012/05/04,80.48,True
2012/05/07,81.4,True
2012/05/08,81.41,True
2012/05/09,78.9,True
2012/05/10,79.12,True
2012/05/11,79.92,True
2012/05/14,79.23,True
2012/05/15,79.95,True
2012/05/16,79.22,True
2012/05/17,78.01,True
2012/05/18,76.48,True
2012/05/21,78.22,True
2012/05/22,79.11,True
2012/05/23,79.84,True
2012/05/24,79.37,True
2012/05/25,79.01,True
2012/05/29,79.68,True
2012/05/30,79.7,True
2012/05/31,77.96,True
2012/06/01,76.37,True
2012/06/04,76.47,True
2012/06/05,76.73,True
2012/06/06,78.22,True
2012/06/07,78.36,True
2012/06/08,78.95,True
2012/06/11,77.88,True
2012/06/12,80.35,True
2012/06/13,79.92,True
2012/06/14,81.53,True
2012/06/15,82.64,True
2012/06/18,85.96,True
2012/06/19,86.91,True
2012/06/20,83.51,True
2012/06/21,79.7,True
2012/06/22,80.8,True
2012/06/25,78.25,True
2012/06/26,77.98,True
2012/06/27,77.66,True
2012/06/28,78.03,True
2012/06/29,82.66,True
2012/07/02,82.72,True
2012/07/03,83.56,True
2012/07/05,82.97,True
2012/07/06,82.02,True
2012/07/09,82.81,True
2012/07/10,81.82,True
2012/07/11,80.58,True
2012/07/12,79.88,True
2012/07/13,80.29,True
2012/07/16,77.59,True
2012/07/17,78.07,True
2012/07/18,78.56,True
2012/07/19,78.14,True
2012/07/20,77.02,True
2012/07/23,76.44,True
2012/07/24,75.48,True
2012/07/25,75.6,True
2012/07/26,78.04,True
2012/07/27,73.71,True
2012/07/30,73.83,True
2012/07/31,73.92,True
2012/08/01,72.65,True
2012/08/02,72.48,True
2012/08/03,73.68,True
2012/08/06,72.5,True
2012/08/07,72.59,True
2012/08/08,72.35,True
2012/08/09,71.7,True
2012/08/10,71.12,True
2012/08/13,71.21,True
2012/08/14,71.49,True
2012/08/15,73.49,True
2012/08/16,73.75,True
2012/08/17,72.56,True
2012/08/20,71.11,True
2012/08/21,71.13,True
2012/08/22,71.82,True
2012/08/23,71.03,True
2012/08/24,71.27,True
2012/08/27,71.18,True
2012/08/28,71.66,True
2012/08/29,73.26,True
