date,PRC,is_prediction
2012/01/03,23.6,True
2012/01/04,23.86,True
2012/01/05,23.62,True
2012/01/06,23.98,True
2012/01/09,23.56,True
2012/01/10,23.28,True
2012/01/11,22.58,True
2012/01/12,22.17,True
2012/01/13,21.41,True
2012/01/17,20.81,True
2012/01/18,21.45,True
2012/01/19,20.68,True
2012/01/20,20.96,True
2012/01/23,22.28,True
2012/01/24,22.49,True
2012/01/25,23.38,True
2012/01/26,21.9,True
2012/01/27,22.05,True
2012/01/30,21.69,True
2012/01/31,21.13,True
2012/02/01,20.97,True
2012/02/02,22.12,True
2012/02/03,22.31,True
2012/02/06,22.65,True
2012/02/07,22.18,True
2012/02/08,22.11,True
2012/02/09,22.34,True
2012/02/10,22.13,True
2012/02/13,22.66,True
2012/02/14,22.71,True
2012/02/15,23.02,True
2012/02/16,23.77,True
2012/02/17,24.71,True
2012/02/21,24.62,True
2012/02/22,24.03,True
2012/02/23,24.98,True
2012/02/24,25.45,True
2012/02/27,25.11,True
2012/02/28,25.05,True
2012/02/29,25.0,True
2012/03/01,24.93,True
2012/03/02,24.33,True
2012/03/05,24.23,True
2012/03/06,23.56,True
2012/03/07,24.08,True
2012/03/08,24.58,True
2012/03/09,24.55,True
2012/03/12,24.21,True
2012/03/13,24.7,True
2012/03/14,24.24,True
2012/03/15,24.44,True
2012/03/16,25.06,True
2012/03/19,25.46,True
2012/03/20,25.58,True
2012/03/21,25.19,True
2012/03/22,24.43,True
2012/03/23,24.66,True
2012/03/26,24.21,True
2012/03/27,24.24,True
2012/03/28,23.25,True
2012/03/29,23.21,True
2012/03/30,23.17,True
2012/04/02,23.31,True
2012/04/03,22.72,True
2012/04/04,22.23,True
2012/04/05,22.15,True
2012/04/09,21.47,True
2012/04/10,20.69,True
2012/04/11,20.08,True
2012/04/12,20.66,True
2012/04/13,19.95,True
2012/04/16,19.19,True
2012/04/17,19.12,True
2012/04/18,18.06,True
2012/04/19,18.0,True
2012/04/20,17.44,True
2012/04/23,18.0,True
2012/04/24,17.77,True
2012/04/25,18.13,True
2012/04/26,17.56,True
2012/04/27,17.72,True
2012/04/30,18.44,True
2012/05/01,19.6,True
2012/05/02,16.74,True
2012/05/03,17.19,True
2012/05/04,17.39,True
2012/05/07,17.13,True
2012/05/08,16.93,True
2012/05/09,17.48,True
2012/05/10,17.18,True
2012/05/11,14.81,True
2012/05/14,15.52,True
2012/05/15,14.65,True
2012/05/16,14.04,True
2012/05/17,13.55,True
2012/05/18,14.36,True
2012/05/21,14.91,True
2012/05/22,14.92,True
2012/05/23,15.09,True
2012/05/24,15.58,True
2012/05/25,15.81,True
2012/05/29,16.35,True
2012/05/30,16.44,True
2012/05/31,16.9,True
2012/06/01,15.58,True
2012/06/04,16.52,True
2012/06/05,17.0,True
2012/06/06,18.21,True
2012/06/07,17.85,True
2012/06/08,18.36,True
2012/06/11,17.61,True
2012/06/12,17.47,True
2012/06/13,16.93,True
2012/06/14,17.33,True
2012/06/15,18.1,True
2012/06/18,17.67,True
2012/06/19,18.71,True
2012/06/20,19.04,True
2012/06/21,18.12,True
2012/06/22,18.61,True
2012/06/25,17.03,True
2012/06/26,17.05,True
2012/06/27,17.93,True
