date,PRC,is_prediction
2012/01/03,69.84,True
2012/01/04,68.72,True
2012/01/05,67.81,True
2012/01/06,67.98,True
2012/01/09,67.58,True
2012/01/10,67.37,True
2012/01/11,66.52,True
2012/01/12,66.34,True
2012/01/13,66.73,True
2012/01/17,66.47,True
2012/01/18,67.29,True
2012/01/19,68.87,True
2012/01/20,67.66,True
2012/01/23,68.05,True
2012/01/24,67.63,True
2012/01/25,68.11,True
2012/01/26,69.47,True
2012/01/27,68.52,True
2012/01/30,67.93,True
2012/01/31,68.84,True
2012/02/01,64.01,True
2012/02/02,64.0,True
2012/02/03,64.415,True
2012/02/06,64.035,True
2012/02/07,64.09,True
2012/02/08,63.6,True
2012/02/09,63.645,True
2012/02/10,63.5,True
2012/02/13,64.75,True
2012/02/14,65.48,True
2012/02/15,63.59,True
2012/02/16,66.2,True
2012/02/17,66.11,True
2012/02/21,66.12,True
2012/02/22,66.24,True
2012/02/23,67.5,True
2012/02/24,67.21,True
2012/02/27,66.93,True
2012/02/28,66.94,True
2012/02/29,66.17,True
2012/03/01,66.85,True
2012/03/02,66.22,True
2012/03/05,65.725,True
2012/03/06,64.9,True
2012/03/07,65.06,True
2012/03/08,65.76,True
2012/03/09,66.35,True
2012/03/12,65.94,True
2012/03/13,66.4,True
2012/03/14,65.35,True
2012/03/15,65.35,True
2012/03/16,65.67,True
2012/03/19,65.62,True
2012/03/20,64.5,True
2012/03/21,65.0,True
2012/03/22,64.5,True
2012/03/23,64.42,True
2012/03/26,65.19,True
2012/03/27,65.35,True
2012/03/28,65.11,True
2012/03/29,64.76,True
2012/03/30,65.49,True
2012/04/02,65.91,True
2012/04/03,65.71,True
2012/04/04,65.52,True
2012/04/05,65.12,True
2012/04/09,64.0,True
2012/04/10,63.34,True
2012/04/11,64.0,True
2012/04/12,64.53,True
2012/04/13,64.13,True
2012/04/16,64.81,True
2012/04/17,66.11,True
2012/04/18,66.86,True
2012/04/19,66.14,True
2012/04/20,66.52,True
2012/04/23,65.53,True
2012/04/24,65.83,True
2012/04/25,60.91,True
2012/04/26,59.23,True
2012/04/27,59.02,True
2012/04/30,59.74,True
2012/05/01,60.8,True
2012/05/02,62.3,True
2012/05/03,61.42,True
2012/05/04,60.62,True
2012/05/07,60.86,True
2012/05/08,61.32,True
2012/05/09,60.67,True
2012/05/10,60.52,True
2012/05/11,60.81,True
2012/05/14,60.45,True
2012/05/15,60.77,True
2012/05/16,60.62,True
2012/05/17,59.64,True
2012/05/18,58.88,True
2012/05/21,59.78,True
2012/05/22,59.85,True
2012/05/23,60.32,True
2012/05/24,59.82,True
2012/05/25,59.69,True
2012/05/29,60.77,True
2012/05/30,59.08,True
2012/05/31,58.26,True
2012/06/01,56.89,True
2012/06/04,56.69,True
2012/06/05,56.62,True
2012/06/06,58.04,True
2012/06/07,57.57,True
2012/06/08,57.92,True
2012/06/11,57.45,True
2012/06/12,57.92,True
2012/06/13,57.29,True
2012/06/14,58.02,True
2012/06/15,58.56,True
2012/06/18,59.01,True
2012/06/19,59.81,True
2012/06/20,59.31,True
2012/06/21,57.83,True
2012/06/22,57.37,True
2012/06/25,56.34,True
2012/06/26,56.26,True
2012/06/27,56.84,True
2012/06/28,56.66,True
2012/06/29,58.53,True
2012/07/02,60.85,True
2012/07/03,61.86,True
2012/07/05,61.44,True
2012/07/06,60.51,True
2012/07/09,60.24,True
2012/07/10,59.91,True
2012/07/11,59.6,True
2012/07/12,58.95,True
2012/07/13,60.3,True
2012/07/16,58.92,True
2012/07/17,57.95,True
2012/07/18,59.24,True
2012/07/19,59.53,True
2012/07/20,56.96,True
2012/07/23,56.58,True
2012/07/24,56.25,True
2012/07/25,52.23,True
2012/07/26,52.24,True
2012/07/27,53.35,True
2012/07/30,53.25,True
2012/07/31,52.85,True
2012/08/01,52.85,True
2012/08/02,53.14,True
2012/08/03,53.6,True
2012/08/06,53.63,True
2012/08/07,53.74,True
2012/08/08,53.9,True
2012/08/09,53.8,True
2012/08/10,54.23,True
2012/08/13,54.61,True
2012/08/14,55.22,True
2012/08/15,55.9,True
2012/08/16,56.67,True
2012/08/17,57.04,True
2012/08/20,57.44,True
2012/08/21,57.41,True
2012/08/22,57.26,True
2012/08/23,56.81,True
2012/08/24,57.16,True
2012/08/27,56.53,True
2012/08/28,56.1,True
2012/08/29,57.0,True
2012/08/30,56.24,True
2012/08/31,56.61,True
2012/09/04,56.63,True
2012/09/05,56.37,True
2012/09/06,57.06,True
2012/09/07,57.45,True
2012/09/10,57.34,True
2012/09/11,57.47,True
2012/09/12,57.46,True
2012/09/13,57.245,True
2012/09/14,57.27,True
2012/09/17,56.74,True
2012/09/18,56.515,True
2012/09/19,57.4,True
2012/09/20,57.55,True
2012/09/21,57.62,True
2012/09/24,58.57,True
2012/09/25,59.045,True
2012/09/26,59.06,True
2012/09/27,59.27,True
2012/09/28,58.58,True
2012/10/01,59.1,True
2012/10/02,58.6,True
2012/10/03,59.865,True
2012/10/04,59.9,True
2012/10/05,60.31,True
2012/10/08,59.99,True
2012/10/09,59.37,True
2012/10/10,59.0,True
2012/10/11,58.9,True
2012/10/12,59.94,True
2012/10/15,60.36,True
2012/10/16,60.9005,True
2012/10/17,61.69,True
2012/10/18,61.4,True
2012/10/19,60.725,True
2012/10/22,59.85,True
2012/10/23,60.98,True
2012/10/24,57.5509,True
2012/10/25,59.1,True
2012/10/26,59.41,True
2012/10/31,60.31,True
2012/11/01,61.57,True
2012/11/02,61.48,True
2012/11/05,62.03,True
2012/11/06,62.92,True
2012/11/07,62.22,True
2012/11/08,61.5,True
2012/11/09,61.48,True
2012/11/12,61.38,True
2012/11/13,61.39,True
2012/11/14,59.87,True
2012/11/15,59.53,True
2012/11/16,59.16,True
2012/11/19,59.81,True
2012/11/20,60.07,True
2012/11/21,60.22,True
2012/11/23,60.98,True
2012/11/26,61.48,True
2012/11/27,60.83,True
2012/11/28,61.73,True
2012/11/29,61.97,True
2012/11/30,61.74,True
2012/12/03,61.0,True
2012/12/04,61.02,True
2012/12/05,61.91,True
2012/12/06,60.64,True
2012/12/07,60.6,True
2012/12/10,61.94,True
2012/12/11,62.26,True
2012/12/12,61.91,True
2012/12/13,61.64,True
2012/12/14,61.52,True
2012/12/17,62.19,True
2012/12/18,63.55,True
2012/12/19,63.63,True
2012/12/20,63.76,True
2012/12/21,63.6,True
2012/12/24,63.32,True
2012/12/26,62.99,True
2012/12/27,62.8,True
2012/12/28,62.15,True
2012/12/31,63.22,True
2013/01/01,63.22615618667537,False
2013/01/02,63.23690728762791,False
2013/01/03,63.388426073622455,False
2013/01/04,63.39954344420566,False
2013/01/07,63.22541939724106,False
2013/01/08,63.18885101064131,False
2013/01/09,63.08606952560353,False
2013/01/10,63.01970029401681,False
2013/01/11,62.99370210078937,False
2013/01/14,62.98107635150293,False
2013/01/15,62.96889398671735,False
2013/01/16,62.97063897374528,False
2013/01/17,62.9586760721909,False
2013/01/18,62.940846091234,False
2013/01/21,62.91783675182516,False
2013/01/22,62.89006390696507,False
2013/01/23,62.86017769258803,False
2013/01/24,62.83223627934657,False
