date,PRC,is_prediction
2012/01/03,30.6,True
2012/01/04,30.45,True
2012/01/05,30.88,True
2012/01/06,30.67,True
2012/01/09,30.95,True
2012/01/10,31.32,True
2012/01/11,31.44,True
2012/01/12,31.47,True
2012/01/13,31.25,True
2012/01/17,31.32,True
2012/01/18,31.87,True
2012/01/19,32.02,True
2012/01/20,32.55,True
2012/01/23,32.5,True
2012/01/24,32.43,True
2012/01/25,32.73,True
2012/01/26,33.08,True
2012/01/27,32.93,True
2012/01/30,32.67,True
2012/01/31,32.68,True
2012/02/01,33.21,True
2012/02/02,33.05,True
2012/02/03,33.41,True
2012/02/06,33.1,True
2012/02/07,33.45,True
2012/02/08,33.45,True
2012/02/09,34.29,True
2012/02/10,34.445,True
2012/02/13,34.64,True
2012/02/14,34.825,True
2012/02/15,34.79,True
2012/02/16,35.46,True
2012/02/17,35.72,True
2012/02/21,36.0,True
2012/02/22,35.59,True
2012/02/23,35.86,True
2012/02/24,35.76,True
2012/02/27,35.67,True
2012/02/28,35.43,True
2012/02/29,35.17,True
2012/03/01,35.02,True
2012/03/02,34.5,True
2012/03/05,35.28,True
2012/03/06,34.52,True
2012/03/07,34.74,True
2012/03/08,34.94,True
2012/03/09,35.04,True
2012/03/12,35.11,True
2012/03/13,35.89,True
2012/03/14,35.55,True
2012/03/15,35.98,True
2012/03/16,35.54,True
2012/03/19,35.11,True
2012/03/20,35.19,True
2012/03/21,35.1,True
2012/03/22,34.76,True
2012/03/23,34.78,True
2012/03/26,35.31,True
2012/03/27,35.24,True
2012/03/28,35.125,True
2012/03/29,34.76,True
2012/03/30,34.51,True
2012/04/02,34.8,True
2012/04/03,34.93,True
2012/04/04,34.45,True
2012/04/05,34.23,True
2012/04/09,33.62,True
2012/04/10,33.07,True
2012/04/11,33.49,True
2012/04/12,34.03,True
2012/04/13,33.87,True
2012/04/16,34.26,True
2012/04/17,34.62,True
2012/04/18,34.38,True
2012/04/19,34.36,True
2012/04/20,34.63,True
2012/04/23,34.21,True
2012/04/24,34.68,True
2012/04/25,35.37,True
2012/04/26,35.74,True
2012/04/27,35.8,True
2012/04/30,35.65,True
2012/05/01,35.99,True
2012/05/02,35.96,True
2012/05/03,36.37,True
2012/05/04,36.15,True
2012/05/07,36.05,True
2012/05/08,36.05,True
2012/05/09,35.74,True
2012/05/10,36.16,True
2012/05/11,36.08,True
2012/05/14,35.56,True
2012/05/15,35.53,True
2012/05/16,35.25,True
2012/05/17,34.64,True
2012/05/18,34.22,True
2012/05/21,34.7,True
2012/05/22,35.02,True
2012/05/23,35.38,True
2012/05/24,35.64,True
2012/05/25,35.66,True
2012/05/29,36.03,True
2012/05/30,35.56,True
2012/05/31,36.08,True
2012/06/01,35.15,True
2012/06/04,34.99,True
2012/06/05,35.26,True
2012/06/06,36.19,True
2012/06/07,36.32,True
2012/06/08,36.71,True
2012/06/11,36.185,True
2012/06/12,36.63,True
2012/06/13,36.19,True
2012/06/14,36.44,True
2012/06/15,36.635,True
2012/06/18,36.82,True
2012/06/19,37.44,True
2012/06/20,37.29,True
2012/06/21,36.57,True
2012/06/22,36.9,True
2012/06/25,36.59,True
2012/06/26,37.02,True
2012/06/27,36.98,True
2012/06/28,37.1,True
2012/06/29,38.07,True
2012/07/02,38.34,True
2012/07/03,38.42,True
2012/07/05,38.08,True
2012/07/06,38.13,True
2012/07/09,38.03,True
2012/07/10,37.98,True
2012/07/11,38.01,True
2012/07/12,37.73,True
2012/07/13,38.12,True
2012/07/16,37.7,True
2012/07/17,37.72,True
2012/07/18,37.71,True
2012/07/19,37.66,True
2012/07/20,37.23,True
2012/07/23,37.18,True
2012/07/24,37.1,True
2012/07/25,37.1,True
2012/07/26,37.57,True
2012/07/27,38.05,True
2012/07/30,38.33,True
2012/07/31,37.84,True
2012/08/01,37.5,True
2012/08/02,37.5,True
2012/08/03,38.24,True
2012/08/06,37.93,True
2012/08/07,38.09,True
2012/08/08,38.21,True
2012/08/09,38.18,True
2012/08/10,38.29,True
2012/08/13,38.31,True
2012/08/14,38.44,True
2012/08/15,38.61,True
2012/08/16,39.26,True
2012/08/17,39.53,True
2012/08/20,39.59,True
2012/08/21,39.09,True
2012/08/22,39.07,True
2012/08/23,38.86,True
2012/08/24,39.1,True
2012/08/27,38.81,True
2012/08/28,38.84,True
2012/08/29,38.55,True
2012/08/30,38.53,True
2012/08/31,38.66,True
2012/09/04,38.81,True
2012/09/05,38.72,True
2012/09/06,39.14,True
2012/09/07,38.71,True
2012/09/10,38.63,True
2012/09/11,39.13,True
2012/09/12,39.22,True
2012/09/13,39.84,True
2012/09/14,39.89,True
2012/09/17,39.55,True
2012/09/18,39.535,True
2012/09/19,39.275,True
2012/09/20,39.05,True
2012/09/21,39.08,True
2012/09/24,38.78,True
2012/09/25,38.32,True
2012/09/26,37.8,True
2012/09/27,37.97,True
2012/09/28,37.87,True
2012/10/01,37.8411,True
