date,PRC,is_prediction
2012/01/03,26.72,True
2012/01/04,26.8,True
2012/01/05,27.38,True
2012/01/06,27.92,True
2012/01/09,28.36,True
2012/01/10,28.49,True
2012/01/11,28.72,True
2012/01/12,29.26,True
2012/01/13,29.44,True
2012/01/17,29.35,True
2012/01/18,29.41,True
2012/01/19,28.68,True
2012/01/20,29.58,True
2012/01/23,29.5,True
2012/01/24,29.6,True
2012/01/25,29.19,True
2012/01/26,27.89,True
2012/01/27,28.02,True
2012/01/30,27.83,True
2012/01/31,27.67,True
2012/02/01,28.09,True
2012/02/02,28.3,True
2012/02/03,30.08,True
2012/02/06,29.78,True
2012/02/07,30.09,True
2012/02/08,30.48,True
2012/02/09,30.43,True
2012/02/10,30.14,True
2012/02/13,30.15,True
2012/02/14,30.0,True
2012/02/15,29.67,True
2012/02/16,30.48,True
2012/02/17,31.15,True
2012/02/21,30.75,True
2012/02/22,29.49,True
2012/02/23,29.69,True
2012/02/24,29.32,True
2012/02/27,29.47,True
2012/02/28,29.45,True
2012/02/29,29.69,True
2012/03/01,30.17,True
2012/03/02,29.57,True
2012/03/05,29.1,True
2012/03/06,28.55,True
2012/03/07,29.44,True
2012/03/08,30.04,True
2012/03/09,30.44,True
2012/03/12,30.46,True
2012/03/13,31.76,True
2012/03/14,32.1,True
2012/03/15,33.57,True
2012/03/16,33.2,True
2012/03/19,33.3,True
2012/03/20,33.2,True
2012/03/21,32.69,True
2012/03/22,32.19,True
2012/03/23,32.29,True
2012/03/26,32.76,True
2012/03/27,32.33,True
2012/03/28,32.58,True
2012/03/29,32.33,True
2012/03/30,32.36,True
2012/04/02,32.29,True
2012/04/03,32.55,True
2012/04/04,32.02,True
2012/04/05,31.7,True
2012/04/09,31.17,True
2012/04/10,30.39,True
2012/04/11,30.66,True
2012/04/12,31.35,True
2012/04/13,30.55,True
2012/04/16,30.86,True
2012/04/17,31.95,True
2012/04/18,31.49,True
2012/04/19,31.64,True
2012/04/20,31.6,True
2012/04/23,31.41,True
2012/04/24,31.87,True
2012/04/25,32.04,True
2012/04/26,32.39,True
2012/04/27,32.51,True
2012/04/30,32.02,True
2012/05/01,32.58,True
2012/05/02,32.47,True
2012/05/03,32.33,True
2012/05/04,31.77,True
2012/05/07,31.84,True
2012/05/08,31.42,True
2012/05/09,31.37,True
2012/05/10,31.6,True
2012/05/11,31.51,True
2012/05/14,30.52,True
2012/05/15,30.17,True
2012/05/16,30.02,True
2012/05/17,29.81,True
2012/05/18,29.25,True
2012/05/21,29.41,True
2012/05/22,29.66,True
2012/05/23,29.91,True
2012/05/24,30.23,True
2012/05/25,30.4,True
2012/05/29,31.04,True
2012/05/30,30.06,True
2012/05/31,30.42,True
2012/06/01,28.68,True
2012/06/04,27.98,True
2012/06/05,28.19,True
2012/06/06,28.6,True
2012/06/07,28.94,True
