date,PRC,is_prediction
2012/01/03,21.82,True
2012/01/04,21.65,True
2012/01/05,21.83,True
2012/01/06,21.63,True
2012/01/09,21.73,True
2012/01/10,21.75,True
2012/01/11,21.65,True
2012/01/12,21.71,True
2012/01/13,21.91,True
2012/01/17,21.75,True
2012/01/18,21.77,True
2012/01/19,21.45,True
2012/01/20,21.48,True
2012/01/23,21.7,True
2012/01/24,21.61,True
2012/01/25,22.17,True
2012/01/26,22.31,True
2012/01/27,22.09,True
2012/01/30,21.79,True
2012/01/31,21.83,True
2012/02/01,22.03,True
2012/02/02,22.04,True
2012/02/03,22.03,True
2012/02/06,21.8,True
2012/02/07,21.91,True
2012/02/08,21.76,True
2012/02/09,21.75,True
2012/02/10,21.63,True
2012/02/13,21.55,True
2012/02/14,21.61,True
2012/02/15,21.56,True
2012/02/16,21.67,True
2012/02/17,21.54,True
2012/02/21,21.55,True
2012/02/22,21.52,True
2012/02/23,21.47,True
2012/02/24,21.68,True
2012/02/27,21.62,True
2012/02/28,21.45,True
2012/02/29,21.41,True
2012/03/01,21.33,True
2012/03/02,21.41,True
2012/03/05,21.56,True
2012/03/06,21.41,True
2012/03/07,21.58,True
2012/03/08,21.69,True
2012/03/09,21.89,True
2012/03/12,22.15,True
2012/03/13,22.14,True
2012/03/14,21.83,True
2012/03/15,21.85,True
2012/03/16,21.65,True
2012/03/19,21.62,True
2012/03/20,21.79,True
2012/03/21,21.81,True
2012/03/22,21.82,True
2012/03/23,21.91,True
2012/03/26,22.03,True
2012/03/27,21.98,True
2012/03/28,21.85,True
2012/03/29,21.91,True
2012/03/30,22.0,True
2012/04/02,22.3,True
2012/04/03,22.38,True
2012/04/04,22.21,True
2012/04/05,22.14,True
2012/04/09,22.1,True
2012/04/10,21.62,True
2012/04/11,21.52,True
2012/04/12,21.53,True
2012/04/13,21.54,True
2012/04/16,21.89,True
2012/04/17,21.98,True
2012/04/18,22.06,True
2012/04/19,22.04,True
2012/04/20,22.3,True
2012/04/23,22.11,True
2012/04/24,22.24,True
2012/04/25,22.32,True
2012/04/26,22.69,True
2012/04/27,22.83,True
2012/04/30,22.99,True
2012/05/01,23.24,True
2012/05/02,22.61,True
2012/05/03,22.59,True
2012/05/04,22.47,True
2012/05/07,22.44,True
2012/05/08,22.62,True
2012/05/09,22.47,True
2012/05/10,22.9,True
2012/05/11,22.84,True
2012/05/14,22.76,True
2012/05/15,22.51,True
2012/05/16,22.78,True
2012/05/17,22.7,True
2012/05/18,22.68,True
2012/05/21,22.82,True
2012/05/22,23.05,True
2012/05/23,22.89,True
2012/05/24,23.07,True
2012/05/25,23.12,True
2012/05/29,23.28,True
2012/05/30,22.97,True
2012/05/31,23.3,True
2012/06/01,23.07,True
2012/06/04,23.1,True
2012/06/05,23.26,True
2012/06/06,23.28,True
2012/06/07,23.37,True
2012/06/08,23.56,True
2012/06/11,23.48,True
2012/06/12,23.42,True
2012/06/13,23.48,True
2012/06/14,23.66,True
2012/06/15,23.74,True
2012/06/18,23.87,True
2012/06/19,23.75,True
2012/06/20,23.5,True
2012/06/21,23.27,True
2012/06/22,23.24,True
2012/06/25,23.12,True
2012/06/26,23.16,True
2012/06/27,23.34,True
2012/06/28,23.33,True
