date,PRC,is_prediction
2012/01/03,40.01,True
2012/01/04,39.35,True
2012/01/05,41.1,True
2012/01/06,42.36,True
2012/01/09,43.6,True
2012/01/10,43.6,True
2012/01/11,43.89,True
2012/01/12,44.06,True
2012/01/13,43.87,True
2012/01/17,44.49,True
2012/01/18,44.57,True
2012/01/19,44.36,True
2012/01/20,43.87,True
2012/01/23,43.37,True
2012/01/24,44.03,True
2012/01/25,43.66,True
2012/01/26,43.01,True
2012/01/27,44.28,True
2012/01/30,43.75,True
2012/01/31,45.2,True
2012/02/01,46.34,True
2012/02/02,46.64,True
2012/02/03,46.28,True
2012/02/06,45.6,True
2012/02/07,45.77,True
2012/02/08,47.66,True
2012/02/09,47.08,True
2012/02/10,47.32,True
2012/02/13,49.07,True
2012/02/14,48.67,True
2012/02/15,48.7,True
2012/02/16,49.75,True
2012/02/17,49.74,True
2012/02/21,49.77,True
2012/02/22,48.51,True
2012/02/23,48.48,True
2012/02/24,48.9,True
2012/02/27,48.59,True
2012/02/28,49.24,True
2012/02/29,48.8,True
2012/03/01,49.04,True
2012/03/02,46.59,True
2012/03/05,46.56,True
2012/03/06,45.48,True
2012/03/07,45.87,True
2012/03/08,46.06,True
2012/03/09,46.78,True
2012/03/12,45.61,True
2012/03/13,45.65,True
2012/03/14,45.48,True
2012/03/15,46.29,True
2012/03/16,45.46,True
2012/03/19,45.92,True
2012/03/20,44.76,True
2012/03/21,44.7,True
2012/03/22,44.4,True
2012/03/23,44.89,True
2012/03/26,47.9,True
2012/03/27,46.77,True
2012/03/28,47.73,True
2012/03/29,47.45,True
2012/03/30,48.97,True
2012/04/02,49.44,True
2012/04/03,50.07,True
2012/04/04,49.6,True
2012/04/05,50.8,True
2012/04/09,42.97,True
2012/04/10,41.27,True
2012/04/11,41.88,True
2012/04/12,43.7,True
2012/04/13,44.03,True
2012/04/16,43.07,True
2012/04/17,44.02,True
2012/04/18,43.9,True
2012/04/19,45.63,True
2012/04/20,46.4,True
2012/04/23,44.86,True
2012/04/24,42.2,True
2012/04/25,42.15,True
2012/04/26,42.17,True
2012/04/27,40.06,True
2012/04/30,39.59,True
2012/05/01,40.36,True
2012/05/02,40.35,True
2012/05/03,39.62,True
2012/05/04,38.02,True
2012/05/07,38.31,True
2012/05/08,38.08,True
2012/05/09,37.37,True
2012/05/10,37.67,True
2012/05/11,37.19,True
2012/05/14,36.43,True
2012/05/15,36.49,True
2012/05/16,35.76,True
2012/05/17,35.02,True
2012/05/18,34.52,True
2012/05/21,35.9,True
2012/05/22,34.99,True
2012/05/23,35.17,True
2012/05/24,36.11,True
2012/05/25,37.3,True
2012/05/29,37.02,True
2012/05/30,36.83,True
2012/05/31,36.14,True
2012/06/01,34.75,True
2012/06/04,34.61,True
2012/06/05,35.67,True
2012/06/06,37.33,True
2012/06/07,32.84,True
2012/06/08,35.47,True
2012/06/11,27.58,True
2012/06/12,26.9,True
2012/06/13,26.84,True
2012/06/14,28.2,True
2012/06/15,28.2,True
2012/06/18,28.35,True
2012/06/19,29.05,True
2012/06/20,29.9,True
2012/06/21,30.45,True
2012/06/22,30.65,True
2012/06/25,29.74,True
2012/06/26,30.31,True
2012/06/27,29.91,True
2012/06/28,30.59,True
2012/06/29,30.16,True
2012/07/02,29.89,True
2012/07/03,29.7,True
2012/07/05,29.74,True
2012/07/06,28.93,True
2012/07/09,34.76,True
2012/07/10,34.41,True
2012/07/11,34.74,True
2012/07/12,34.9,True
2012/07/13,35.92,True
2012/07/16,35.36,True
2012/07/17,36.39,True
2012/07/18,37.39,True
2012/07/19,37.58,True
2012/07/20,36.92,True
2012/07/23,34.64,True
2012/07/24,36.76,True
2012/07/25,37.04,True
2012/07/26,37.69,True
2012/07/27,39.8,True
2012/07/30,39.0,True
2012/07/31,38.04,True
2012/08/01,37.48,True
2012/08/02,37.04,True
2012/08/03,36.76,True
2012/08/06,37.62,True
2012/08/07,39.33,True
2012/08/08,39.94,True
2012/08/09,40.28,True
2012/08/10,39.76,True
2012/08/13,39.53,True
2012/08/14,39.09,True
2012/08/15,40.67,True
2012/08/16,41.04,True
2012/08/17,41.81,True
2012/08/20,39.9,True
2012/08/21,38.87,True
2012/08/22,40.22,True
2012/08/23,40.37,True
2012/08/24,40.02,True
2012/08/27,40.7,True
2012/08/28,40.76,True
2012/08/29,40.86,True
2012/08/30,40.65,True
2012/08/31,40.61,True
2012/09/04,41.42,True
2012/09/05,41.47,True
2012/09/06,41.85,True
2012/09/07,41.54,True
2012/09/10,40.48,True
2012/09/11,40.15,True
2012/09/12,37.34,True
2012/09/13,37.43,True
2012/09/14,37.3,True
2012/09/17,38.08,True
2012/09/18,37.65,True
2012/09/19,37.02,True
2012/09/20,36.19,True
2012/09/21,37.34,True
2012/09/24,36.99,True
2012/09/25,36.39,True
2012/09/26,36.51,True
2012/09/27,37.14,True
2012/09/28,37.41,True
2012/10/01,37.03,True
2012/10/02,36.4,True
2012/10/03,36.86,True
2012/10/04,36.6,True
2012/10/05,36.27,True
2012/10/08,36.14,True
2012/10/09,35.62,True
2012/10/10,35.69,True
2012/10/11,35.82,True
2012/10/12,35.59,True
2012/10/15,35.54,True
2012/10/16,34.98,True
2012/10/17,38.81,True
2012/10/18,38.85,True
2012/10/19,38.48,True
2012/10/22,38.41,True
2012/10/23,38.5,True
2012/10/24,38.53,True
2012/10/25,38.48,True
2012/10/26,38.28,True
2012/10/31,37.98,True
2012/11/01,38.78,True
2012/11/02,38.93,True
2012/11/05,39.25,True
2012/11/06,39.87,True
2012/11/07,43.88,True
2012/11/08,42.34,True
2012/11/09,42.49,True
2012/11/12,42.66,True
2012/11/13,42.56,True
2012/11/14,42.19,True
2012/11/15,42.25,True
2012/11/16,42.41,True
2012/11/19,42.95,True
2012/11/20,42.96,True
2012/11/21,43.1,True
2012/11/23,43.43,True
2012/11/26,43.21,True
2012/11/27,42.64,True
2012/11/28,42.93,True
2012/11/29,43.73,True
2012/11/30,43.91,True
2012/12/03,45.46,True
2012/12/04,45.38,True
2012/12/05,45.29,True
2012/12/06,44.84,True
2012/12/07,45.14,True
2012/12/10,45.7,True
2012/12/11,45.72,True
2012/12/12,45.49,True
2012/12/13,44.97,True
2012/12/14,40.72,True
2012/12/17,42.01,True
2012/12/18,41.37,True
2012/12/19,41.04,True
2012/12/20,41.14,True
2012/12/21,40.57,True
2012/12/24,40.06,True
2012/12/26,40.38,True
2012/12/27,40.34,True
2012/12/28,39.35,True
2012/12/31,41.0,True
2013/01/01,40.791152155465184,False
2013/01/02,40.94241850584728,False
2013/01/03,40.773125138262614,False
2013/01/04,40.840580370407324,False
2013/01/07,40.70821359800334,False
2013/01/08,40.76993166011699,False
2013/01/09,40.80230676387299,False
2013/01/10,40.822143817563166,False
2013/01/11,40.81849400152612,False
2013/01/14,40.820802965148125,False
2013/01/15,40.81615549568073,False
2013/01/16,40.81570676646944,False
2013/01/17,40.82094768576232,False
2013/01/18,40.826001152381224,False
2013/01/21,40.829601793457634,False
2013/01/22,40.832368038369566,False
2013/01/23,40.83483060945287,False
2013/01/24,40.83705766806807,False
2013/01/25,40.83975296716459,False
2013/01/28,40.842701139417905,False
2013/01/29,40.84566085048641,False
2013/01/30,40.84852573887355,False
2013/01/31,40.851336746289405,False
2013/02/01,40.85410168109484,False
2013/02/04,40.85687305957019,False
2013/02/05,40.85967338757378,False
2013/02/06,40.86249059116681,False
2013/02/07,40.865307660582666,False
2013/02/08,40.868119585475334,False
2013/02/11,40.87092592761792,False
2013/02/12,40.87372946167216,False
2013/02/13,40.876533994758034,False
2013/02/14,40.87934049552728,False
2013/02/15,40.88214811478725,False
2013/02/18,40.88495577814639,False
2013/02/19,40.88776303513031,False
2013/02/20,40.89056986202421,False
2013/02/21,40.893376508627426,False
2013/02/22,40.89618327949344,False
2013/02/25,40.898990165121084,False
2013/02/26,40.901797117770165,False
2013/02/27,40.90460407018382,False
2013/02/28,40.907411020306654,False
2013/03/01,40.91021789320237,False
2013/03/04,40.913024805551004,False
2013/03/05,40.91583170018777,False
2013/03/06,40.91863863335169,False
2013/03/07,40.92144554345548,False
2013/03/08,40.92425246317416,False
2013/03/11,40.927059368486105,False
