date,PRC,is_prediction
2012/01/03,76.8,True
2012/01/04,82.32,True
2012/01/05,82.71,True
2012/01/06,80.65,True
2012/01/09,79.66,True
2012/01/10,78.37,True
2012/01/11,69.62,True
2012/01/12,67.15,True
2012/01/13,67.13,True
2012/01/17,66.36,True
2012/01/18,67.45,True
2012/01/19,63.09,True
2012/01/20,61.12,True
2012/01/23,65.08,True
2012/01/24,64.04,True
2012/01/25,66.62,True
2012/01/26,32.44,True
2012/01/27,32.88,True
2012/01/30,32.46,True
2012/01/31,31.9,True
2012/02/01,32.58,True
2012/02/02,32.17,True
2012/02/03,32.45,True
2012/02/06,33.54,True
2012/02/07,34.05,True
2012/02/08,33.05,True
2012/02/09,32.55,True
2012/02/10,33.57,True
2012/02/13,34.04,True
2012/02/14,35.01,True
2012/02/15,34.67,True
2012/02/16,35.48,True
2012/02/17,36.64,True
2012/02/21,36.01,True
2012/02/22,35.04,True
2012/02/23,35.43,True
2012/02/24,35.69,True
2012/02/27,35.5,True
2012/02/28,35.44,True
2012/02/29,34.88,True
2012/03/01,35.97,True
2012/03/02,34.46,True
2012/03/05,34.35,True
2012/03/06,33.84,True
2012/03/07,34.49,True
2012/03/08,35.05,True
2012/03/09,34.91,True
2012/03/12,33.74,True
2012/03/13,33.92,True
2012/03/14,33.38,True
2012/03/15,33.04,True
2012/03/16,33.42,True
2012/03/19,34.01,True
2012/03/20,33.16,True
2012/03/21,33.56,True
2012/03/22,31.52,True
2012/03/23,32.52,True
2012/03/26,32.65,True
2012/03/27,32.05,True
2012/03/28,31.79,True
2012/03/29,30.25,True
2012/03/30,31.17,True
2012/04/02,32.04,True
2012/04/03,31.51,True
2012/04/04,31.26,True
2012/04/05,31.94,True
2012/04/09,31.38,True
2012/04/10,30.63,True
2012/04/11,29.81,True
2012/04/12,30.68,True
2012/04/13,30.6,True
2012/04/16,29.54,True
2012/04/17,30.57,True
2012/04/18,30.52,True
2012/04/19,30.98,True
2012/04/20,30.14,True
2012/04/23,29.96,True
2012/04/24,29.6,True
2012/04/25,30.78,True
2012/04/26,33.0,True
2012/04/27,33.79,True
2012/04/30,35.14,True
2012/05/01,35.93,True
2012/05/02,34.75,True
2012/05/03,34.58,True
2012/05/04,34.37,True
2012/05/07,33.85,True
2012/05/08,34.12,True
2012/05/09,35.98,True
2012/05/10,36.17,True
2012/05/11,35.51,True
2012/05/14,35.22,True
2012/05/15,34.0,True
2012/05/16,34.7,True
2012/05/17,33.69,True
2012/05/18,34.27,True
2012/05/21,35.57,True
2012/05/22,35.84,True
2012/05/23,36.34,True
2012/05/24,35.07,True
2012/05/25,34.77,True
2012/05/29,34.65,True
2012/05/30,32.82,True
2012/05/31,32.54,True
2012/06/01,31.15,True
2012/06/04,31.13,True
2012/06/05,32.0,True
2012/06/06,33.37,True
2012/06/07,32.8,True
2012/06/08,32.99,True
2012/06/11,32.03,True
2012/06/12,33.59,True
2012/06/13,32.26,True
2012/06/14,35.04,True
2012/06/15,36.2,True
2012/06/18,36.82,True
2012/06/19,36.29,True
2012/06/20,36.4,True
2012/06/21,34.84,True
2012/06/22,36.4,True
2012/06/25,36.89,True
2012/06/26,37.85,True
2012/06/27,41.24,True
2012/06/28,40.32,True
2012/06/29,39.4,True
2012/07/02,39.73,True
2012/07/03,40.14,True
2012/07/05,39.86,True
2012/07/06,39.51,True
2012/07/09,40.27,True
2012/07/10,39.07,True
2012/07/11,39.43,True
2012/07/12,38.97,True
2012/07/13,40.59,True
2012/07/16,40.3,True
2012/07/17,40.03,True
2012/07/18,39.91,True
2012/07/19,39.38,True
2012/07/20,40.2,True
2012/07/23,40.04,True
2012/07/24,39.5,True
2012/07/25,39.3,True
2012/07/26,41.78,True
2012/07/27,42.03,True
2012/07/30,42.99,True
2012/07/31,42.19,True
2012/08/01,42.01,True
2012/08/02,40.64,True
2012/08/03,41.18,True
2012/08/06,40.79,True
2012/08/07,42.88,True
2012/08/08,42.37,True
2012/08/09,43.48,True
2012/08/10,42.88,True
2012/08/13,42.04,True
2012/08/14,42.53,True
2012/08/15,42.17,True
2012/08/16,43.3,True
2012/08/17,42.99,True
2012/08/20,42.07,True
2012/08/21,41.76,True
2012/08/22,42.01,True
2012/08/23,40.64,True
2012/08/24,41.86,True
2012/08/27,42.24,True
2012/08/28,41.68,True
2012/08/29,41.12,True
2012/08/30,40.54,True
2012/08/31,41.41,True
2012/09/04,41.5,True
2012/09/05,40.58,True
2012/09/06,41.58,True
2012/09/07,42.17,True
2012/09/10,42.11,True
2012/09/11,44.51,True
2012/09/12,45.54,True
2012/09/13,45.75,True
2012/09/14,45.86,True
2012/09/17,45.08,True
2012/09/18,44.95,True
2012/09/19,44.64,True
2012/09/20,44.2,True
2012/09/21,45.05,True
2012/09/24,43.92,True
2012/09/25,43.65,True
2012/09/26,44.01,True
2012/09/27,45.02,True
2012/09/28,44.9,True
2012/10/01,45.7,True
2012/10/02,45.0,True
2012/10/03,43.82,True
2012/10/04,44.26,True
2012/10/05,44.28,True
2012/10/08,43.9,True
2012/10/09,44.15,True
2012/10/10,43.97,True
2012/10/11,44.35,True
2012/10/12,43.86,True
2012/10/15,44.29,True
2012/10/16,45.6,True
2012/10/17,45.76,True
2012/10/18,45.05,True
2012/10/19,44.48,True
2012/10/22,43.84,True
2012/10/23,43.73,True
2012/10/24,42.94,True
2012/10/25,43.15,True
2012/10/26,47.46,True
2012/10/31,46.98,True
2012/11/01,48.01,True
2012/11/02,47.55,True
2012/11/05,48.06,True
2012/11/06,48.79,True
2012/11/07,48.13,True
2012/11/08,47.6,True
2012/11/09,47.55,True
2012/11/12,47.82,True
2012/11/13,48.35,True
2012/11/14,47.99,True
2012/11/15,47.64,True
2012/11/16,47.97,True
2012/11/19,49.09,True
2012/11/20,49.25,True
2012/11/21,49.46,True
2012/11/23,49.88,True
2012/11/26,48.09,True
2012/11/27,47.8,True
2012/11/28,47.9,True
2012/11/29,47.75,True
2012/11/30,47.1,True
2012/12/03,48.1,True
2012/12/04,47.57,True
2012/12/05,47.64,True
2012/12/06,48.79,True
2012/12/07,48.84,True
