date,PRC,is_prediction
2012/01/03,74.17,True
2012/01/04,73.82,True
2012/01/05,73.23,True
2012/01/06,72.66,True
2012/01/09,72.94,True
2012/01/10,73.28,True
2012/01/11,72.01,True
2012/01/12,70.76,True
2012/01/13,70.34,True
2012/01/17,70.8,True
2012/01/18,71.5,True
2012/01/19,71.27,True
2012/01/20,71.2,True
2012/01/23,70.56,True
2012/01/24,70.61,True
2012/01/25,69.98,True
2012/01/26,69.53,True
2012/01/27,69.4,True
2012/01/30,68.72,True
2012/01/31,68.21,True
2012/02/01,69.32,True
2012/02/02,69.91,True
2012/02/03,70.46,True
2012/02/06,71.32,True
2012/02/07,71.92,True
2012/02/08,72.25,True
2012/02/09,71.55,True
2012/02/10,72.25,True
2012/02/13,72.81,True
2012/02/14,73.6,True
2012/02/15,73.45,True
2012/02/16,72.78,True
2012/02/17,73.36,True
2012/02/21,73.83,True
2012/02/22,74.13,True
2012/02/23,74.81,True
2012/02/24,75.95,True
2012/02/27,76.43,True
2012/02/28,77.27,True
2012/02/29,76.55,True
2012/03/01,78.22,True
2012/03/02,77.65,True
2012/03/05,77.56,True
2012/03/06,76.45,True
2012/03/07,77.02,True
2012/03/08,77.22,True
2012/03/09,77.16,True
2012/03/12,77.31,True
2012/03/13,77.76,True
2012/03/14,77.51,True
2012/03/15,76.63,True
2012/03/16,77.18,True
2012/03/19,78.07,True
2012/03/20,77.57,True
2012/03/21,77.29,True
2012/03/22,75.89,True
2012/03/23,76.51,True
2012/03/26,77.36,True
2012/03/27,76.84,True
2012/03/28,75.98,True
2012/03/29,75.8,True
2012/03/30,76.01,True
2012/04/02,76.87,True
2012/04/03,76.31,True
2012/04/04,76.18,True
2012/04/05,75.36,True
2012/04/09,75.05,True
2012/04/10,73.69,True
2012/04/11,73.55,True
2012/04/12,74.53,True
2012/04/13,73.63,True
2012/04/16,73.83,True
2012/04/17,74.26,True
2012/04/18,73.29,True
2012/04/19,72.89,True
2012/04/20,72.88,True
2012/04/23,72.33,True
2012/04/24,71.88,True
2012/04/25,71.02,True
2012/04/26,72.19,True
2012/04/27,71.98,True
2012/04/30,71.63,True
2012/05/01,56.51,True
2012/05/02,54.59,True
2012/05/03,54.26,True
2012/05/04,53.17,True
2012/05/07,53.35,True
2012/05/08,54.31,True
2012/05/09,53.47,True
2012/05/10,54.22,True
2012/05/11,53.5,True
2012/05/14,52.93,True
2012/05/15,52.53,True
2012/05/16,52.32,True
2012/05/17,51.19,True
2012/05/18,50.82,True
2012/05/21,51.77,True
2012/05/22,51.67,True
2012/05/23,52.09,True
2012/05/24,52.14,True
2012/05/25,52.11,True
2012/05/29,53.27,True
2012/05/30,52.04,True
2012/05/31,52.16,True
2012/06/01,51.19,True
2012/06/04,51.3,True
2012/06/05,51.87,True
2012/06/06,53.58,True
2012/06/07,53.81,True
2012/06/08,53.97,True
2012/06/11,53.88,True
2012/06/12,54.71,True
2012/06/13,54.1,True
2012/06/14,54.68,True
2012/06/15,55.46,True
2012/06/18,55.07,True
2012/06/19,55.64,True
2012/06/20,54.44,True
2012/06/21,52.76,True
2012/06/22,53.41,True
2012/06/25,52.96,True
2012/06/26,53.64,True
2012/06/27,54.45,True
2012/06/28,54.53,True
2012/06/29,55.88,True
2012/07/02,55.73,True
2012/07/03,56.41,True
2012/07/05,55.28,True
2012/07/06,54.75,True
