date,PRC,is_prediction
2012/01/03,84.6,True
2012/01/04,84.07,True
2012/01/05,83.26,True
2012/01/06,81.13,True
2012/01/09,79.01,True
2012/01/10,79.15,True
2012/01/11,79.99,True
2012/01/12,79.95,True
2012/01/13,80.61,True
2012/01/17,81.42,True
2012/01/18,81.76,True
2012/01/19,81.21,True
2012/01/20,81.41,True
2012/01/23,81.64,True
2012/01/24,81.73,True
2012/01/25,82.72,True
2012/01/26,82.05799999999999,True
2012/01/27,81.62,True
2012/01/30,81.44,True
2012/01/31,82.27,True
2012/02/01,83.22,True
2012/02/02,85.51,True
2012/02/03,85.36,True
2012/02/06,85.04,True
2012/02/07,84.56,True
2012/02/08,84.28,True
2012/02/09,84.53,True
2012/02/10,84.2,True
2012/02/13,83.87,True
2012/02/14,84.1,True
2012/02/15,83.24,True
2012/02/16,84.05,True
2012/02/17,84.47,True
2012/02/21,84.26,True
2012/02/22,84.31,True
2012/02/23,84.77,True
2012/02/24,84.4,True
2012/02/27,85.09,True
2012/02/28,85.27,True
2012/02/29,86.06,True
2012/03/01,86.16,True
2012/03/02,86.23,True
2012/03/05,87.63,True
2012/03/06,87.58,True
2012/03/07,87.89,True
2012/03/08,88.3,True
2012/03/09,89.34,True
2012/03/12,89.43,True
2012/03/13,89.98,True
2012/03/14,90.9,True
2012/03/15,91.46,True
2012/03/16,90.44,True
2012/03/19,90.02,True
2012/03/20,90.26,True
2012/03/21,90.64,True
2012/03/22,90.5,True
2012/03/23,90.27,True
2012/03/26,91.52,True
2012/03/27,91.28,True
2012/03/28,90.62,True
2012/03/29,89.84,True
2012/03/30,90.8,True
2012/04/02,91.84,True
2012/04/03,90.39,True
2012/04/04,89.04,True
2012/04/05,88.65,True
2012/04/09,87.88,True
2012/04/10,86.89,True
2012/04/11,87.32,True
2012/04/12,87.18,True
2012/04/13,86.32,True
2012/04/16,86.88,True
2012/04/17,87.67,True
2012/04/18,88.07,True
2012/04/19,87.12,True
2012/04/20,87.58,True
2012/04/23,86.62,True
2012/04/24,86.43,True
2012/04/25,87.28,True
2012/04/26,88.08,True
2012/04/27,88.69,True
2012/04/30,88.18,True
2012/05/01,86.97,True
2012/05/02,86.64,True
2012/05/03,84.24,True
2012/05/04,83.39,True
2012/05/07,83.15,True
2012/05/08,82.64,True
2012/05/09,82.62,True
2012/05/10,83.88,True
2012/05/11,84.6,True
2012/05/14,84.3,True
2012/05/15,84.58,True
2012/05/16,84.91,True
2012/05/17,83.47,True
2012/05/18,82.94,True
2012/05/21,83.73,True
2012/05/22,83.38,True
2012/05/23,83.31,True
2012/05/24,84.48,True
2012/05/25,84.48,True
2012/05/29,86.64,True
2012/05/30,85.81,True
2012/05/31,86.39,True
2012/06/01,85.49,True
2012/06/04,86.56,True
2012/06/05,86.77,True
2012/06/06,87.78,True
2012/06/07,88.13,True
2012/06/08,88.74,True
2012/06/11,87.91,True
2012/06/12,88.5,True
2012/06/13,87.43,True
2012/06/14,89.83,True
2012/06/15,91.44,True
2012/06/18,92.03,True
2012/06/19,91.86,True
2012/06/20,91.49,True
2012/06/21,90.4,True
2012/06/22,90.93,True
2012/06/25,90.87,True
2012/06/26,91.69,True
2012/06/27,91.32,True
2012/06/28,92.92,True
2012/06/29,95.0,True
2012/07/02,94.4,True
2012/07/03,94.42,True
2012/07/05,94.0,True
2012/07/06,93.68,True
2012/07/09,93.97,True
2012/07/10,93.8,True
2012/07/11,94.5,True
2012/07/12,94.02,True
2012/07/13,94.81,True
2012/07/16,95.15,True
2012/07/17,96.06,True
2012/07/18,95.96,True
2012/07/19,95.95,True
2012/07/20,95.61,True
2012/07/23,94.39,True
2012/07/24,94.08,True
2012/07/25,93.75,True
2012/07/26,95.91,True
2012/07/27,97.11,True
2012/07/30,96.46,True
2012/07/31,96.18,True
2012/08/01,95.94,True
2012/08/02,95.7,True
2012/08/03,97.21,True
2012/08/06,96.5,True
2012/08/07,95.8,True
2012/08/08,95.63,True
2012/08/09,95.37,True
2012/08/10,95.3,True
2012/08/13,95.63,True
2012/08/14,95.67,True
2012/08/15,96.47,True
2012/08/16,96.48,True
2012/08/17,96.14,True
2012/08/20,96.02,True
2012/08/21,95.29,True
2012/08/22,95.53,True
2012/08/23,94.74,True
2012/08/24,96.25,True
2012/08/27,96.64,True
2012/08/28,96.57,True
2012/08/29,97.11,True
2012/08/30,98.59,True
2012/08/31,97.87,True
2012/09/04,98.15,True
2012/09/05,98.22,True
2012/09/06,99.98,True
2012/09/07,99.72,True
2012/09/10,100.45,True
2012/09/11,99.52,True
2012/09/12,100.89,True
2012/09/13,102.75,True
2012/09/14,102.185,True
2012/09/17,102.25,True
2012/09/18,101.99,True
2012/09/19,101.88,True
2012/09/20,102.64,True
2012/09/21,102.36,True
2012/09/24,102.61,True
2012/09/25,101.44,True
2012/09/26,101.0,True
2012/09/27,100.3,True
2012/09/28,100.16,True
2012/10/01,100.51,True
2012/10/02,99.49,True
2012/10/03,99.62,True
2012/10/04,101.48,True
2012/10/05,101.79,True
2012/10/08,101.35,True
2012/10/09,99.6401,True
2012/10/10,101.55799999999999,True
2012/10/11,98.325,True
2012/10/12,97.55,True
2012/10/15,96.51,True
2012/10/16,97.0029,True
2012/10/17,96.78,True
2012/10/18,96.33,True
2012/10/19,94.78,True
2012/10/22,95.0,True
2012/10/23,95.18,True
2012/10/24,95.62,True
2012/10/25,96.62,True
2012/10/26,96.94,True
2012/10/31,98.43,True
2012/11/01,97.1306,True
2012/11/02,96.12,True
2012/11/05,97.73,True
2012/11/06,98.79,True
2012/11/07,97.3,True
2012/11/08,94.74,True
2012/11/09,95.46,True
2012/11/12,95.98,True
2012/11/13,95.69,True
2012/11/14,94.47,True
2012/11/15,95.7,True
2012/11/16,95.69,True
2012/11/19,96.5703,True
2012/11/20,97.12,True
2012/11/21,96.74,True
2012/11/23,97.92,True
2012/11/26,96.26,True
2012/11/27,96.51,True
2012/11/28,102.58,True
2012/11/29,101.88,True
2012/11/30,103.92,True
2012/12/03,104.59,True
2012/12/04,104.4,True
2012/12/05,105.9483,True
2012/12/06,98.47,True
2012/12/07,98.56,True
2012/12/10,98.95,True
2012/12/11,98.31,True
2012/12/12,97.72,True
2012/12/13,97.8492,True
2012/12/14,96.9173,True
2012/12/17,98.78,True
2012/12/18,99.8566,True
2012/12/19,98.68,True
2012/12/20,99.2,True
2012/12/21,99.49,True
2012/12/24,99.44,True
2012/12/26,98.68,True
2012/12/27,97.92,True
2012/12/28,96.97,True
2012/12/31,98.73,True
2013/01/01,98.67190501560917,False
2013/01/02,98.75465747978046,False
2013/01/03,98.97853025398676,False
2013/01/04,99.1831810829956,False
2013/01/07,99.49420744906669,False
2013/01/08,99.3799246209063,False
2013/01/09,99.27128549478962,False
2013/01/10,99.34597846339935,False
2013/01/11,99.3738046365244,False
2013/01/14,99.40659157574977,False
2013/01/15,99.42171233037695,False
2013/01/16,99.48663686381781,False
2013/01/17,99.59736693889415,False
2013/01/18,99.67517825692137,False
2013/01/21,99.74144246706342,False
2013/01/22,99.81052035391151,False
2013/01/23,99.88049325718362,False
2013/01/24,99.94598424395332,False
2013/01/25,99.99929992011587,False
2013/01/28,100.05335085887303,False
2013/01/29,100.11302289387179,False
2013/01/30,100.17355028967468,False
2013/01/31,100.23398323187456,False
2013/02/01,100.29490244967182,False
2013/02/04,100.35799006109607,False
2013/02/05,100.42216095164139,False
2013/02/06,100.4852694541242,False
2013/02/07,100.54761595923054,False
2013/02/08,100.60983711108702,False
2013/02/11,100.67198147999405,False
2013/02/12,100.73378800689294,False
2013/02/13,100.79523256045294,False
2013/02/14,100.85675526655723,False
2013/02/15,100.91852490096572,False
2013/02/18,100.98040308407776,False
2013/02/19,101.04231181044426,False
2013/02/20,101.10427317666279,False
2013/02/21,101.1663153740632,False
2013/02/22,101.2283761191526,False
2013/02/25,101.29038545744791,False
2013/02/26,101.35234990167503,False
2013/02/27,101.41429745706972,False
2013/02/28,101.47623509348584,False
2013/03/01,101.53815779658386,False
2013/03/04,101.60007174034388,False
2013/03/05,101.66199358037602,False
2013/03/06,101.72392886382454,False
2013/03/07,101.78587197427049,False
2013/03/08,101.84781848245929,False
2013/03/11,101.90976799188977,False
