date,PRC,is_prediction
2012/01/03,18.63,True
2012/01/04,18.99,True
2012/01/05,18.92,True
2012/01/06,18.85,True
2012/01/09,18.97,True
2012/01/10,18.83,True
2012/01/11,19.07,True
2012/01/12,19.15,True
2012/01/13,19.06,True
2012/01/17,19.305,True
2012/01/18,19.54,True
2012/01/19,19.79,True
2012/01/20,19.92,True
2012/01/23,19.83,True
2012/01/24,19.815,True
2012/01/25,19.83,True
2012/01/26,19.83,True
2012/01/27,19.56,True
2012/01/30,19.56,True
2012/01/31,19.645,True
2012/02/01,19.8,True
2012/02/02,19.8,True
2012/02/03,20.09,True
2012/02/06,20.19,True
2012/02/07,20.2,True
2012/02/08,20.43,True
2012/02/09,20.0,True
2012/02/10,19.895,True
2012/02/13,20.03,True
2012/02/14,20.07,True
2012/02/15,19.91,True
2012/02/16,20.19,True
2012/02/17,20.29,True
2012/02/21,20.36,True
2012/02/22,20.12,True
2012/02/23,20.23,True
2012/02/24,20.14,True
2012/02/27,20.17,True
2012/02/28,20.2,True
2012/02/29,19.88,True
2012/03/01,19.88,True
2012/03/02,19.76,True
2012/03/05,19.6,True
2012/03/06,19.48,True
2012/03/07,19.41,True
2012/03/08,19.68,True
2012/03/09,19.8,True
2012/03/12,19.83,True
2012/03/13,20.22,True
2012/03/14,20.195,True
2012/03/15,19.91,True
2012/03/16,20.03,True
2012/03/19,20.14,True
2012/03/20,20.57,True
2012/03/21,20.5,True
2012/03/22,20.38,True
2012/03/23,20.53,True
2012/03/26,20.84,True
2012/03/27,20.91,True
2012/03/28,21.08,True
2012/03/29,21.03,True
2012/03/30,21.15,True
2012/04/02,21.19,True
2012/04/03,20.82,True
2012/04/04,20.36,True
2012/04/05,20.22,True
2012/04/09,19.96,True
2012/04/10,19.55,True
2012/04/11,20.015,True
2012/04/12,20.06,True
2012/04/13,19.85,True
2012/04/16,19.725,True
2012/04/17,20.08,True
2012/04/18,20.06,True
2012/04/19,19.905,True
2012/04/20,19.91,True
2012/04/23,19.68,True
2012/04/24,19.42,True
2012/04/25,19.49,True
2012/04/26,19.6,True
2012/04/27,19.98,True
2012/04/30,20.155,True
2012/05/01,19.98,True
2012/05/02,19.84,True
2012/05/03,19.72,True
2012/05/04,19.12,True
2012/05/07,19.08,True
2012/05/08,18.71,True
2012/05/09,18.78,True
2012/05/10,16.81,True
2012/05/11,16.505,True
2012/05/14,16.705,True
2012/05/15,16.54,True
2012/05/16,16.69,True
2012/05/17,16.55,True
2012/05/18,16.47,True
2012/05/21,16.67,True
2012/05/22,16.73,True
2012/05/23,16.69,True
2012/05/24,16.39,True
2012/05/25,16.33,True
2012/05/29,16.59,True
2012/05/30,16.39,True
2012/05/31,16.33,True
2012/06/01,15.96,True
2012/06/04,16.11,True
2012/06/05,16.12,True
2012/06/06,16.685,True
2012/06/07,16.58,True
2012/06/08,16.73,True
2012/06/11,16.475,True
2012/06/12,16.79,True
2012/06/13,16.655,True
2012/06/14,16.92,True
2012/06/15,17.1,True
2012/06/18,17.14,True
2012/06/19,17.18,True
2012/06/20,17.51,True
2012/06/21,16.925,True
2012/06/22,17.13,True
2012/06/25,16.935,True
2012/06/26,16.815,True
2012/06/27,16.73,True
2012/06/28,16.48,True
2012/06/29,17.17,True
2012/07/02,17.08,True
2012/07/03,17.15,True
2012/07/05,16.94,True
2012/07/06,16.77,True
2012/07/09,16.65,True
