date,PRC,is_prediction
2012/01/03,22.04,True
2012/01/04,22.66,True
2012/01/05,22.76,True
2012/01/06,22.69,True
2012/01/09,23.03,True
2012/01/10,23.53,True
2012/01/11,23.48,True
2012/01/12,23.68,True
2012/01/13,22.94,True
2012/01/17,22.95,True
2012/01/18,22.86,True
2012/01/19,23.05,True
2012/01/20,22.82,True
2012/01/23,22.69,True
2012/01/24,21.85,True
2012/01/25,22.66,True
2012/01/26,22.98,True
2012/01/27,22.76,True
2012/01/30,22.67,True
2012/01/31,22.55,True
2012/02/01,22.65,True
2012/02/02,22.58,True
2012/02/03,23.17,True
2012/02/06,22.32,True
2012/02/07,22.15,True
2012/02/08,21.95,True
2012/02/09,22.28,True
2012/02/10,22.05,True
2012/02/13,21.94,True
2012/02/14,21.82,True
2012/02/15,21.19,True
2012/02/16,21.52,True
2012/02/17,21.59,True
2012/02/21,21.15,True
2012/02/22,21.33,True
2012/02/23,21.69,True
2012/02/24,21.66,True
2012/02/27,21.84,True
2012/02/28,21.52,True
2012/02/29,21.01,True
2012/03/01,21.09,True
2012/03/02,20.76,True
2012/03/05,20.46,True
2012/03/06,20.16,True
2012/03/07,20.25,True
2012/03/08,20.89,True
2012/03/09,20.9,True
2012/03/12,20.62,True
2012/03/13,20.81,True
2012/03/14,20.21,True
2012/03/15,21.92,True
2012/03/16,22.25,True
2012/03/19,22.07,True
2012/03/20,21.73,True
2012/03/21,21.76,True
2012/03/22,21.02,True
2012/03/23,21.17,True
2012/03/26,21.55,True
2012/03/27,22.06,True
2012/03/28,21.52,True
2012/03/29,21.59,True
2012/03/30,21.52,True
2012/04/02,22.12,True
2012/04/03,22.15,True
2012/04/04,22.49,True
2012/04/05,22.32,True
2012/04/09,21.68,True
2012/04/10,21.06,True
2012/04/11,21.31,True
2012/04/12,22.06,True
2012/04/13,21.92,True
2012/04/16,22.08,True
2012/04/17,22.44,True
2012/04/18,22.21,True
2012/04/19,21.56,True
2012/04/20,21.61,True
2012/04/23,21.49,True
2012/04/24,21.81,True
2012/04/25,22.16,True
2012/04/26,22.39,True
2012/04/27,22.39,True
2012/04/30,22.29,True
2012/05/01,22.68,True
2012/05/02,22.55,True
2012/05/03,22.46,True
2012/05/04,22.15,True
2012/05/07,21.99,True
2012/05/08,21.99,True
2012/05/09,21.66,True
2012/05/10,21.68,True
2012/05/11,21.66,True
2012/05/14,21.54,True
2012/05/15,21.51,True
2012/05/16,21.52,True
2012/05/17,21.02,True
2012/05/18,20.78,True
2012/05/21,21.33,True
2012/05/22,21.13,True
2012/05/23,21.47,True
2012/05/24,21.35,True
2012/05/25,21.37,True
2012/05/29,21.4,True
2012/05/30,20.88,True
2012/05/31,20.89,True
2012/06/01,20.32,True
2012/06/04,20.34,True
2012/06/05,20.33,True
2012/06/06,20.89,True
2012/06/07,20.99,True
2012/06/08,21.08,True
2012/06/11,20.98,True
2012/06/12,21.77,True
2012/06/13,21.74,True
2012/06/14,21.93,True
2012/06/15,22.3,True
2012/06/18,22.69,True
2012/06/19,22.65,True
2012/06/20,22.47,True
2012/06/21,22.1,True
2012/06/22,21.63,True
2012/06/25,21.3,True
2012/06/26,21.43,True
2012/06/27,21.84,True
2012/06/28,21.88,True
2012/06/29,22.36,True
2012/07/02,22.18,True
2012/07/03,22.22,True
2012/07/05,22.27,True
2012/07/06,22.41,True
2012/07/09,22.4,True
2012/07/10,22.22,True
2012/07/11,22.25,True
2012/07/12,22.12,True
2012/07/13,22.66,True
2012/07/16,22.59,True
2012/07/17,22.79,True
2012/07/18,22.63,True
2012/07/19,22.78,True
2012/07/20,22.37,True
2012/07/23,21.89,True
2012/07/24,21.65,True
2012/07/25,21.83,True
2012/07/26,22.25,True
2012/07/27,22.85,True
2012/07/30,22.89,True
2012/07/31,22.94,True
2012/08/01,22.51,True
2012/08/02,22.6,True
2012/08/03,23.11,True
2012/08/06,22.91,True
2012/08/07,22.84,True
2012/08/08,22.81,True
2012/08/09,22.65,True
2012/08/10,22.98,True
2012/08/13,22.88,True
2012/08/14,22.96,True
2012/08/15,23.0,True
2012/08/16,23.19,True
2012/08/17,23.39,True
2012/08/20,23.39,True
2012/08/21,23.26,True
2012/08/22,23.22,True
2012/08/23,22.84,True
2012/08/24,22.99,True
2012/08/27,22.78,True
2012/08/28,22.7,True
2012/08/29,22.6,True
2012/08/30,22.41,True
2012/08/31,22.46,True
2012/09/04,21.73,True
2012/09/05,21.4,True
2012/09/06,22.06,True
2012/09/07,22.31,True
2012/09/10,22.28,True
2012/09/11,22.66,True
2012/09/12,22.84,True
2012/09/13,23.04,True
2012/09/14,23.16,True
2012/09/17,23.26,True
2012/09/18,23.01,True
2012/09/19,22.79,True
2012/09/20,21.49,True
2012/09/21,21.13,True
2012/09/24,21.36,True
2012/09/25,21.17,True
2012/09/26,21.0,True
2012/09/27,21.11,True
2012/09/28,20.75,True
2012/10/01,20.81,True
2012/10/02,20.7,True
2012/10/03,21.18,True
2012/10/04,21.29,True
2012/10/05,21.42,True
2012/10/08,21.61,True
2012/10/09,21.21,True
2012/10/10,21.09,True
2012/10/11,21.16,True
2012/10/12,21.31,True
2012/10/15,21.45,True
2012/10/16,21.63,True
2012/10/17,21.19,True
2012/10/18,21.36,True
2012/10/19,21.1,True
2012/10/22,21.29,True
2012/10/23,21.31,True
2012/10/24,20.59,True
2012/10/25,20.58,True
2012/10/26,20.55,True
2012/10/31,20.47,True
2012/11/01,20.83,True
2012/11/02,20.66,True
2012/11/05,20.71,True
2012/11/06,20.86,True
2012/11/07,20.23,True
2012/11/08,20.04,True
2012/11/09,19.88,True
2012/11/12,19.96,True
2012/11/13,19.9,True
2012/11/14,19.59,True
2012/11/15,19.37,True
2012/11/16,19.01,True
2012/11/19,19.68,True
2012/11/20,19.52,True
2012/11/21,19.37,True
2012/11/23,19.71,True
2012/11/26,20.01,True
2012/11/27,20.01,True
2012/11/28,19.78,True
2012/11/29,19.84,True
2012/11/30,19.76,True
2012/12/03,19.57,True
2012/12/04,19.64,True
2012/12/05,20.16,True
2012/12/06,20.25,True
2012/12/07,19.91,True
2012/12/10,19.93,True
2012/12/11,19.59,True
2012/12/12,19.64,True
2012/12/13,19.74,True
2012/12/14,19.77,True
2012/12/17,19.91,True
2012/12/18,20.24,True
2012/12/19,20.01,True
2012/12/20,20.1,True
2012/12/21,19.95,True
2012/12/24,19.85,True
2012/12/26,19.7,True
2012/12/27,19.62,True
2012/12/28,19.43,True
2012/12/31,19.73,True
2013/01/01,19.73750487318419,False
2013/01/02,19.759996677229488,False
2013/01/03,19.731206786348398,False
2013/01/04,19.71446453577724,False
2013/01/07,19.670390103014277,False
2013/01/08,19.684082797290085,False
2013/01/09,19.651449522714504,False
2013/01/10,19.64656780489123,False
2013/01/11,19.634160945883302,False
2013/01/14,19.628300277511787,False
2013/01/15,19.6160446364976,False
2013/01/16,19.61052439552024,False
2013/01/17,19.596430855994893,False
2013/01/18,19.587652437548208,False
2013/01/21,19.575907567407803,False
2013/01/22,19.56586756608403,False
2013/01/23,19.554657678454475,False
2013/01/24,19.544807688142566,False
2013/01/25,19.53372064646504,False
2013/01/28,19.5237067185323,False
2013/01/29,19.512992763753036,False
2013/01/30,19.502675117265515,False
2013/01/31,19.492058506813137,False
2013/02/01,19.481675610943636,False
2013/02/04,19.47106726363565,False
2013/02/05,19.460652297529148,False
2013/02/06,19.450097325015314,False
2013/02/07,19.439638936863037,False
2013/02/08,19.429117892877283,False
2013/02/11,19.4186461185573,False
2013/02/12,19.408132641456092,False
2013/02/13,19.397654040422907,False
2013/02/14,19.387147284572343,False
2013/02/15,19.376660247414005,False
2013/02/18,19.366159175066294,False
2013/02/19,19.355668277386567,False
2013/02/20,19.34516928318762,False
2013/02/21,19.33467696507784,False
2013/02/22,19.324179289823274,False
2013/02/25,19.313685619121404,False
2013/02/26,19.303188977606453,False
2013/02/27,19.292694416293358,False
2013/02/28,19.28219817478585,False
2013/03/01,19.27170317962235,False
2013/03/04,19.26120710522859,False
2013/03/05,19.250711789822994,False
2013/03/06,19.240215834145012,False
2013/03/07,19.229720279556673,False
2013/03/08,19.219224352684403,False
2013/03/11,19.2087286408707,False
