date,PRC,is_prediction
2012/01/03,35.24,True
2012/01/04,36.405,True
2012/01/05,36.51,True
2012/01/06,37.31,True
2012/01/09,37.39,True
2012/01/10,38.04,True
2012/01/11,37.6,True
2012/01/12,37.42,True
2012/01/13,37.37,True
2012/01/17,37.56,True
2012/01/18,37.82,True
2012/01/19,37.92,True
2012/01/20,37.93,True
2012/01/23,37.53,True
2012/01/24,37.5,True
2012/01/25,37.45,True
2012/01/26,37.56,True
2012/01/27,37.47,True
2012/01/30,37.0,True
2012/01/31,37.09,True
2012/02/01,37.82,True
2012/02/02,37.33,True
2012/02/03,37.9,True
2012/02/06,37.94,True
2012/02/07,38.1,True
2012/02/08,38.05,True
2012/02/09,38.01,True
2012/02/10,37.68,True
2012/02/13,38.36,True
2012/02/14,38.205,True
2012/02/15,37.95,True
2012/02/16,38.53,True
2012/02/17,38.6,True
2012/02/21,38.7,True
2012/02/22,38.47,True
2012/02/23,38.56,True
2012/02/24,38.8,True
2012/02/27,38.72,True
2012/02/28,38.41,True
2012/02/29,38.56,True
2012/03/01,38.8,True
2012/03/02,38.31,True
2012/03/05,38.23,True
2012/03/06,37.56,True
2012/03/07,38.02,True
2012/03/08,39.26,True
2012/03/09,39.3,True
2012/03/12,39.42,True
2012/03/13,39.89,True
2012/03/14,39.5,True
2012/03/15,39.97,True
2012/03/16,40.21,True
2012/03/19,40.27,True
2012/03/20,40.47,True
2012/03/21,39.2,True
2012/03/22,39.6,True
2012/03/23,39.38,True
2012/03/26,39.81,True
2012/03/27,39.78,True
2012/03/28,39.35,True
2012/03/29,39.03,True
2012/03/30,39.12,True
2012/04/02,39.27,True
2012/04/03,39.27,True
2012/04/04,38.98,True
2012/04/05,38.96,True
2012/04/09,38.34,True
2012/04/10,37.75,True
2012/04/11,38.36,True
2012/04/12,38.68,True
2012/04/13,38.48,True
2012/04/16,38.49,True
2012/04/17,39.21,True
2012/04/18,39.4,True
2012/04/19,39.22,True
2012/04/20,39.25,True
2012/04/23,38.75,True
2012/04/24,38.92,True
2012/04/25,38.98,True
2012/04/26,39.15,True
2012/04/27,39.42,True
2012/04/30,39.17,True
2012/05/01,39.36,True
2012/05/02,39.47,True
2012/05/03,39.34,True
2012/05/04,39.19,True
2012/05/07,39.31,True
2012/05/08,39.3,True
2012/05/09,38.56,True
2012/05/10,38.55,True
2012/05/11,38.71,True
2012/05/14,38.41,True
2012/05/15,38.27,True
2012/05/16,37.85,True
2012/05/17,36.8,True
2012/05/18,36.5,True
2012/05/21,37.2,True
2012/05/22,37.41,True
2012/05/23,37.76,True
2012/05/24,37.72,True
2012/05/25,37.31,True
2012/05/29,37.61,True
2012/05/30,37.09,True
2012/05/31,36.9,True
2012/06/01,35.76,True
2012/06/04,35.81,True
2012/06/05,35.62,True
2012/06/06,36.0,True
2012/06/07,36.14,True
2012/06/08,36.38,True
2012/06/11,36.14,True
2012/06/12,36.68,True
2012/06/13,36.41,True
2012/06/14,36.68,True
2012/06/15,37.23,True
2012/06/18,37.22,True
2012/06/19,37.62,True
2012/06/20,37.37,True
2012/06/21,36.65,True
2012/06/22,36.8,True
2012/06/25,36.15,True
2012/06/26,36.24,True
2012/06/27,37.04,True
2012/06/28,37.4,True
2012/06/29,38.61,True
2012/07/02,39.31,True
2012/07/03,39.42,True
2012/07/05,39.53,True
2012/07/06,39.06,True
2012/07/09,39.17,True
2012/07/10,39.27,True
2012/07/11,39.28,True
2012/07/12,38.99,True
2012/07/13,39.87,True
2012/07/16,39.41,True
2012/07/17,38.0,True
2012/07/18,37.91,True
2012/07/19,38.04,True
2012/07/20,37.66,True
2012/07/23,37.57,True
2012/07/24,37.52,True
2012/07/25,37.59,True
2012/07/26,38.525,True
2012/07/27,39.29,True
2012/07/30,39.46,True
2012/07/31,39.63,True
2012/08/01,39.64,True
2012/08/02,39.92,True
2012/08/03,40.65,True
2012/08/06,40.77,True
2012/08/07,40.66,True
2012/08/08,40.84,True
2012/08/09,40.74,True
2012/08/10,40.93,True
2012/08/13,40.79,True
2012/08/14,40.74,True
2012/08/15,41.39,True
2012/08/16,41.2,True
2012/08/17,41.41,True
2012/08/20,41.36,True
2012/08/21,41.07,True
2012/08/22,40.86,True
2012/08/23,40.59,True
2012/08/24,40.86,True
2012/08/27,40.84,True
2012/08/28,40.46,True
2012/08/29,40.61,True
2012/08/30,40.3,True
2012/08/31,40.42,True
2012/09/04,40.27,True
2012/09/05,40.51,True
2012/09/06,41.4868,True
2012/09/07,41.41,True
2012/09/10,41.25,True
2012/09/11,41.34,True
2012/09/12,41.86,True
2012/09/13,42.22,True
2012/09/14,41.72,True
2012/09/17,41.22,True
2012/09/18,41.48,True
2012/09/19,41.26,True
2012/09/20,41.19,True
2012/09/21,40.65,True
2012/09/24,41.34,True
2012/09/25,41.38,True
2012/09/26,41.16,True
2012/09/27,41.59,True
2012/09/28,41.43,True
2012/10/01,41.69,True
2012/10/02,42.115,True
2012/10/03,42.2,True
2012/10/04,42.25,True
2012/10/05,42.2,True
2012/10/08,42.17,True
2012/10/09,42.51,True
2012/10/10,41.97,True
2012/10/11,41.8,True
2012/10/12,41.86,True
2012/10/15,42.0,True
2012/10/16,42.17,True
2012/10/17,42.35,True
