date,PRC,is_prediction
2012/01/03,65.72,True
2012/01/04,65.965,True
2012/01/05,67.29,True
2012/01/06,66.41,True
2012/01/09,66.64,True
2012/01/10,69.76,True
2012/01/11,70.28,True
2012/01/12,69.11,True
2012/01/13,68.34,True
2012/01/17,68.43,True
2012/01/18,69.35,True
2012/01/19,69.82,True
2012/01/20,70.17,True
2012/01/23,70.61,True
2012/01/24,71.18,True
2012/01/25,71.77,True
2012/01/26,71.23,True
2012/01/27,71.33,True
2012/01/30,70.99,True
2012/01/31,71.75,True
2012/02/01,72.975,True
2012/02/02,72.615,True
2012/02/03,73.35,True
2012/02/06,72.37,True
2012/02/07,72.01,True
2012/02/08,70.75,True
2012/02/09,70.68,True
2012/02/10,70.08,True
2012/02/13,70.65,True
2012/02/14,70.745,True
2012/02/15,70.72,True
2012/02/16,71.96,True
2012/02/17,71.08,True
2012/02/21,70.61,True
2012/02/22,71.14,True
2012/02/23,70.6,True
2012/02/24,72.18,True
2012/02/27,72.0,True
2012/02/28,71.55,True
2012/02/29,70.95,True
2012/03/01,71.37,True
2012/03/02,71.34,True
2012/03/05,71.44,True
2012/03/06,70.39,True
2012/03/07,71.09,True
2012/03/08,72.86,True
2012/03/09,72.7,True
2012/03/12,72.8,True
2012/03/13,75.63,True
2012/03/14,75.31,True
2012/03/15,76.26,True
2012/03/16,76.91,True
2012/03/19,76.19,True
2012/03/20,75.77,True
2012/03/21,76.94,True
2012/03/22,76.37,True
2012/03/23,76.38,True
2012/03/26,77.67,True
2012/03/27,77.41,True
2012/03/28,76.4,True
2012/03/29,76.3,True
2012/03/30,76.95,True
2012/04/02,77.01,True
2012/04/03,76.31,True
2012/04/04,76.28,True
2012/04/05,77.29,True
2012/04/09,75.91,True
2012/04/10,74.82,True
2012/04/11,75.37,True
2012/04/12,76.76,True
2012/04/13,73.8,True
2012/04/16,72.7,True
2012/04/17,74.25,True
2012/04/18,72.67,True
2012/04/19,71.9,True
2012/04/20,71.61,True
2012/04/23,71.77,True
2012/04/24,72.39,True
2012/04/25,72.11,True
2012/04/26,73.4,True
2012/04/27,73.98,True
2012/04/30,73.33,True
2012/05/01,73.38,True
2012/05/02,72.84,True
2012/05/03,71.09,True
2012/05/04,69.66,True
2012/05/07,56.301,True
2012/05/08,60.3,True
2012/05/09,60.59,True
2012/05/10,61.05,True
2012/05/11,61.29,True
2012/05/14,60.04,True
2012/05/15,61.2,True
2012/05/16,60.37,True
2012/05/17,59.45,True
2012/05/18,59.63,True
2012/05/21,61.08,True
2012/05/22,60.93,True
2012/05/23,61.27,True
2012/05/24,60.11,True
2012/05/25,60.0,True
2012/05/29,61.0,True
2012/05/30,58.86,True
2012/05/31,58.25,True
2012/06/01,56.9,True
2012/06/04,57.93,True
2012/06/05,58.36,True
2012/06/06,60.11,True
2012/06/07,59.33,True
2012/06/08,58.85,True
2012/06/11,58.06,True
2012/06/12,58.63,True
2012/06/13,58.61,True
2012/06/14,59.09,True
2012/06/15,60.5,True
2012/06/18,59.93,True
2012/06/19,60.39,True
2012/06/20,60.35,True
2012/06/21,57.965,True
2012/06/22,58.47,True
2012/06/25,57.9,True
2012/06/26,56.94,True
2012/06/27,57.61,True
2012/06/28,56.2,True
2012/06/29,60.0,True
2012/07/02,59.39,True
2012/07/03,59.75,True
2012/07/05,60.22,True
2012/07/06,57.66,True
2012/07/09,57.36,True
2012/07/10,56.19,True
2012/07/11,56.52,True
2012/07/12,55.35,True
2012/07/13,57.26,True
2012/07/16,58.26,True
2012/07/17,58.18,True
2012/07/18,59.31,True
2012/07/19,58.96,True
2012/07/20,57.32,True
2012/07/23,56.49,True
2012/07/24,55.65,True
2012/07/25,56.1,True
2012/07/26,56.96,True
2012/07/27,58.53,True
2012/07/30,57.31,True
2012/07/31,56.77,True
2012/08/01,56.26,True
2012/08/02,56.28,True
2012/08/03,57.86,True
2012/08/06,64.21,True
2012/08/07,63.8,True
2012/08/08,64.4,True
2012/08/09,64.44,True
2012/08/10,64.97,True
2012/08/13,64.94,True
2012/08/14,64.31,True
2012/08/15,63.73,True
2012/08/16,64.92,True
2012/08/17,64.48,True
2012/08/20,64.11,True
2012/08/21,64.44,True
2012/08/22,64.83,True
2012/08/23,64.99,True
2012/08/24,64.86,True
2012/08/27,64.55,True
2012/08/28,64.42,True
2012/08/29,64.73,True
2012/08/30,63.83,True
2012/08/31,64.28,True
2012/09/04,64.225,True
2012/09/05,63.87,True
2012/09/06,65.94,True
2012/09/07,67.2,True
2012/09/10,66.82,True
2012/09/11,67.26,True
2012/09/12,68.2,True
2012/09/13,70.045,True
2012/09/14,71.0,True
2012/09/17,69.05,True
2012/09/18,68.7,True
2012/09/19,68.61,True
2012/09/20,68.2502,True
