date,PRC,is_prediction
2012/01/03,41.52,True
2012/01/04,41.8,True
2012/01/05,41.75,True
2012/01/06,41.46,True
2012/01/09,41.79,True
2012/01/10,41.95,True
2012/01/11,42.04,True
2012/01/12,42.15,True
2012/01/13,42.15,True
2012/01/17,42.54,True
2012/01/18,43.1,True
2012/01/19,42.88,True
2012/01/20,42.77,True
2012/01/23,43.02,True
2012/01/24,42.44,True
2012/01/25,42.18,True
2012/01/26,42.18,True
2012/01/27,42.26,True
2012/01/30,41.92,True
2012/01/31,41.75,True
2012/02/01,42.65,True
2012/02/02,42.66,True
2012/02/03,43.51,True
2012/02/06,43.27,True
2012/02/07,43.08,True
2012/02/08,43.57,True
2012/02/09,43.0,True
2012/02/10,43.18,True
2012/02/13,42.83,True
2012/02/14,43.38,True
2012/02/15,43.53,True
2012/02/16,44.55,True
2012/02/17,44.27,True
2012/02/21,44.01,True
2012/02/22,43.69,True
2012/02/23,44.04,True
2012/02/24,44.07,True
2012/02/27,44.53,True
2012/02/28,44.91,True
2012/02/29,45.1,True
2012/03/01,45.21,True
2012/03/02,45.03,True
2012/03/05,45.17,True
2012/03/06,44.79,True
2012/03/07,44.71,True
2012/03/08,45.21,True
2012/03/09,45.64,True
2012/03/12,45.36,True
2012/03/13,45.23,True
2012/03/14,45.1,True
2012/03/15,44.88,True
2012/03/16,45.28,True
2012/03/19,45.13,True
2012/03/20,44.68,True
2012/03/21,44.91,True
2012/03/22,44.75,True
2012/03/23,45.14,True
2012/03/26,45.65,True
2012/03/27,45.34,True
2012/03/28,44.6,True
2012/03/29,44.29,True
2012/03/30,44.8,True
2012/04/02,45.07,True
2012/04/03,44.91,True
2012/04/04,44.31,True
2012/04/05,44.62,True
2012/04/09,43.94,True
2012/04/10,43.53,True
2012/04/11,43.75,True
2012/04/12,43.48,True
2012/04/13,43.43,True
2012/04/16,43.61,True
2012/04/17,43.94,True
2012/04/18,43.6,True
2012/04/19,43.33,True
2012/04/20,44.33,True
2012/04/23,43.25,True
2012/04/24,43.42,True
2012/04/25,43.8,True
2012/04/26,44.58,True
2012/04/27,44.88,True
2012/04/30,44.62,True
2012/05/01,44.71,True
2012/05/02,45.92,True
2012/05/03,46.14,True
2012/05/04,45.42,True
2012/05/07,45.26,True
2012/05/08,45.27,True
2012/05/09,45.23,True
2012/05/10,45.97,True
2012/05/11,45.32,True
2012/05/14,45.12,True
2012/05/15,45.32,True
2012/05/16,45.16,True
2012/05/17,44.87,True
2012/05/18,44.43,True
2012/05/21,44.88,True
2012/05/22,44.94,True
2012/05/23,44.79,True
2012/05/24,45.17,True
2012/05/25,44.98,True
2012/05/29,45.64,True
2012/05/30,45.33,True
2012/05/31,44.94,True
2012/06/01,43.6,True
2012/06/04,44.11,True
2012/06/05,44.03,True
2012/06/06,44.84,True
2012/06/07,44.45,True
2012/06/08,44.89,True
2012/06/11,44.73,True
2012/06/12,45.39,True
2012/06/13,45.19,True
2012/06/14,45.81,True
2012/06/15,45.65,True
2012/06/18,45.67,True
2012/06/19,46.25,True
2012/06/20,45.99,True
2012/06/21,45.39,True
2012/06/22,45.9,True
2012/06/25,45.2,True
2012/06/26,45.435,True
2012/06/27,45.99,True
2012/06/28,45.99,True
2012/06/29,46.73,True
2012/07/02,47.81,True
2012/07/03,47.83,True
2012/07/05,48.11,True
2012/07/06,48.12,True
2012/07/09,47.29,True
2012/07/10,46.93,True
2012/07/11,46.9,True
2012/07/12,47.52,True
2012/07/13,48.05,True
2012/07/16,48.07,True
2012/07/17,48.44,True
2012/07/18,48.61,True
2012/07/19,45.43,True
2012/07/20,45.08,True
2012/07/23,44.81,True
2012/07/24,44.59,True
2012/07/25,44.54,True
2012/07/26,44.56,True
2012/07/27,44.94,True
2012/07/30,45.33,True
2012/07/31,45.25,True
2012/08/01,44.84,True
2012/08/02,44.91,True
