date,PRC,is_prediction
2012/01/03,110.37,True
2012/01/04,110.18,True
2012/01/05,109.1,True
2012/01/06,108.31,True
2012/01/09,109.49,True
2012/01/10,109.06,True
2012/01/11,107.77,True
2012/01/12,104.97,True
2012/01/13,106.09,True
2012/01/17,106.72,True
2012/01/18,106.83,True
2012/01/19,106.93,True
2012/01/20,106.89,True
2012/01/23,107.01,True
2012/01/24,106.72,True
2012/01/25,107.73,True
2012/01/26,106.59,True
2012/01/27,103.96,True
2012/01/30,103.41,True
2012/01/31,103.12,True
2012/02/01,102.79,True
2012/02/02,103.69,True
2012/02/03,105.5,True
2012/02/06,106.67,True
2012/02/07,106.83,True
2012/02/08,106.76,True
2012/02/09,106.37,True
2012/02/10,105.28,True
2012/02/13,106.38,True
2012/02/14,106.49,True
2012/02/15,105.0,True
2012/02/16,106.52,True
2012/02/17,106.66,True
2012/02/21,108.41,True
2012/02/22,107.5,True
2012/02/23,108.35,True
2012/02/24,109.08,True
2012/02/27,109.63,True
2012/02/28,109.61,True
2012/02/29,109.12,True
2012/03/01,109.76,True
2012/03/02,109.61,True
2012/03/05,109.32,True
2012/03/06,108.85,True
2012/03/07,109.46,True
2012/03/08,110.03,True
2012/03/09,109.57,True
2012/03/12,110.0,True
2012/03/13,111.19,True
2012/03/14,110.69,True
2012/03/15,110.03,True
2012/03/16,110.28,True
2012/03/19,110.7,True
2012/03/20,109.08,True
2012/03/21,107.91,True
2012/03/22,105.35,True
2012/03/23,106.36,True
2012/03/26,107.84,True
2012/03/27,107.04,True
2012/03/28,105.89,True
2012/03/29,106.85,True
2012/03/30,107.21,True
2012/04/02,108.3,True
2012/04/03,107.14,True
2012/04/04,105.6,True
2012/04/05,104.75,True
2012/04/09,103.49,True
2012/04/10,101.45,True
2012/04/11,100.95,True
2012/04/12,102.59,True
2012/04/13,100.78,True
2012/04/16,101.51,True
2012/04/17,103.62,True
2012/04/18,103.39,True
2012/04/19,102.51,True
2012/04/20,102.52,True
2012/04/23,102.44,True
2012/04/24,103.03,True
2012/04/25,103.85,True
2012/04/26,106.22,True
2012/04/27,106.2,True
2012/04/30,106.56,True
2012/05/01,108.27,True
2012/05/02,107.03,True
2012/05/03,105.99,True
2012/05/04,103.72,True
2012/05/07,103.31,True
2012/05/08,102.84,True
2012/05/09,101.78,True
2012/05/10,103.36,True
2012/05/11,102.69,True
2012/05/14,101.94,True
2012/05/15,100.9,True
2012/05/16,100.1,True
2012/05/17,100.14,True
2012/05/18,98.46,True
2012/05/21,99.69,True
2012/05/22,99.32,True
2012/05/23,99.0,True
2012/05/24,100.06,True
2012/05/25,98.86,True
2012/05/29,100.24,True
2012/05/30,97.63,True
2012/05/31,98.31,True
2012/06/01,96.41,True
2012/06/04,96.58,True
2012/06/05,96.49,True
2012/06/06,99.8,True
2012/06/07,100.39,True
2012/06/08,100.84,True
2012/06/11,99.91,True
2012/06/12,100.74,True
2012/06/13,100.13,True
2012/06/14,101.92,True
2012/06/15,104.33,True
2012/06/18,103.46,True
2012/06/19,104.06,True
2012/06/20,103.63,True
2012/06/21,100.02,True
2012/06/22,100.44,True
2012/06/25,99.08,True
2012/06/26,100.95,True
2012/06/27,102.57,True
2012/06/28,103.46,True
2012/06/29,105.5,True
2012/07/02,105.86,True
2012/07/03,107.37,True
2012/07/05,106.03,True
2012/07/06,105.07,True
2012/07/09,104.46,True
2012/07/10,103.88,True
2012/07/11,104.85,True
2012/07/12,105.03,True
2012/07/13,106.01,True
2012/07/16,106.78,True
2012/07/17,107.43,True
2012/07/18,107.88,True
2012/07/19,108.84,True
2012/07/20,109.19,True
2012/07/23,107.95,True
2012/07/24,106.3,True
2012/07/25,106.06,True
2012/07/26,108.27,True
2012/07/27,109.26,True
2012/07/30,109.82,True
2012/07/31,109.58,True
2012/08/01,110.5,True
2012/08/02,109.25,True
2012/08/03,111.12,True
2012/08/06,111.31,True
2012/08/07,111.95,True
2012/08/08,112.14,True
2012/08/09,112.63,True
2012/08/10,113.55,True
2012/08/13,113.28,True
2012/08/14,113.32,True
2012/08/15,112.57,True
2012/08/16,113.32,True
2012/08/17,112.66,True
2012/08/20,112.52,True
2012/08/21,111.98,True
2012/08/22,112.15,True
2012/08/23,111.29,True
