date,PRC,is_prediction
2012/01/03,52.5,True
2012/01/04,52.07,True
2012/01/05,51.96,True
2012/01/06,51.43,True
2012/01/09,51.36,True
2012/01/10,51.29,True
2012/01/11,51.17,True
2012/01/12,50.93,True
2012/01/13,50.6,True
2012/01/17,50.8,True
2012/01/18,50.43,True
2012/01/19,50.3,True
2012/01/20,50.57,True
2012/01/23,50.48,True
2012/01/24,50.31,True
2012/01/25,51.11,True
2012/01/26,50.85,True
2012/01/27,49.56,True
2012/01/30,49.34,True
2012/01/31,50.04,True
2012/02/01,50.42,True
2012/02/02,50.51,True
2012/02/03,50.38,True
2012/02/06,50.27,True
2012/02/07,50.42,True
2012/02/08,50.2,True
2012/02/09,49.86,True
2012/02/10,49.91,True
2012/02/13,49.93,True
2012/02/14,50.23,True
2012/02/15,50.08,True
2012/02/16,50.42,True
2012/02/17,50.57,True
2012/02/21,50.14,True
2012/02/22,50.47,True
2012/02/23,50.94,True
2012/02/24,51.32,True
2012/02/27,51.41,True
2012/02/28,51.25,True
2012/02/29,50.47,True
2012/03/01,50.41,True
2012/03/02,50.52,True
2012/03/05,50.82,True
2012/03/06,50.52,True
2012/03/07,50.49,True
2012/03/08,50.6,True
2012/03/09,50.76,True
2012/03/12,51.33,True
2012/03/13,51.36,True
2012/03/14,50.55,True
2012/03/15,50.48,True
2012/03/16,50.32,True
2012/03/19,50.26,True
2012/03/20,50.64,True
2012/03/21,50.46,True
2012/03/22,50.42,True
2012/03/23,50.28,True
2012/03/26,50.71,True
2012/03/27,51.01,True
2012/03/28,50.69,True
2012/03/29,50.78,True
2012/03/30,51.21,True
2012/04/02,51.5,True
2012/04/03,51.54,True
2012/04/04,51.59,True
2012/04/05,51.38,True
2012/04/09,50.9,True
2012/04/10,50.2,True
2012/04/11,50.17,True
2012/04/12,50.3,True
2012/04/13,50.28,True
2012/04/16,50.74,True
2012/04/17,50.99,True
2012/04/18,50.62,True
2012/04/19,50.54,True
2012/04/20,51.02,True
2012/04/23,50.85,True
2012/04/24,50.81,True
2012/04/25,51.24,True
2012/04/26,51.89,True
