date,PRC,is_prediction
2012/01/03,79.31,True
2012/01/04,80.47,True
2012/01/05,81.64,True
2012/01/06,82.3,True
2012/01/09,82.73,True
2012/01/10,83.75,True
2012/01/11,84.5,True
2012/01/12,84.44,True
2012/01/13,84.66,True
2012/01/17,84.91,True
2012/01/18,86.22,True
2012/01/19,86.94,True
2012/01/20,87.04,True
2012/01/23,86.9,True
2012/01/24,86.42,True
2012/01/25,87.76,True
2012/01/26,87.66,True
2012/01/27,87.99,True
2012/01/30,87.41,True
2012/01/31,86.15,True
2012/02/01,86.92,True
2012/02/02,87.42,True
2012/02/03,88.4,True
2012/02/06,87.82,True
2012/02/07,87.94,True
2012/02/08,88.5,True
2012/02/09,87.93,True
2012/02/10,87.55,True
2012/02/13,88.68,True
2012/02/14,89.05,True
2012/02/15,84.28,True
2012/02/16,83.11,True
2012/02/17,83.87,True
2012/02/21,84.19,True
2012/02/22,84.37,True
2012/02/23,84.1,True
2012/02/24,83.27,True
2012/02/27,83.39,True
2012/02/28,83.33,True
2012/02/29,82.93,True
2012/03/01,83.08,True
2012/03/02,82.28,True
2012/03/05,81.83,True
2012/03/06,79.21,True
2012/03/07,79.21,True
2012/03/08,80.38,True
2012/03/09,80.17,True
2012/03/12,79.46,True
2012/03/13,81.66,True
2012/03/14,81.59,True
2012/03/15,81.64,True
2012/03/16,83.22,True
2012/03/19,83.16,True
2012/03/20,82.39,True
2012/03/21,81.99,True
2012/03/22,80.43,True
2012/03/23,80.84,True
2012/03/26,82.78,True
2012/03/27,82.4,True
2012/03/28,80.36,True
2012/03/29,80.49,True
2012/03/30,80.9,True
2012/04/02,82.19,True
2012/04/03,81.75,True
2012/04/04,81.21,True
2012/04/05,81.83,True
2012/04/09,79.45,True
2012/04/10,76.5126,True
2012/04/11,77.55,True
2012/04/12,79.34,True
2012/04/13,79.47,True
2012/04/16,79.57,True
2012/04/17,80.9,True
2012/04/18,80.94,True
2012/04/19,80.39,True
2012/04/20,80.91,True
2012/04/23,79.99,True
2012/04/24,80.98,True
2012/04/25,81.44,True
2012/04/26,82.3,True
2012/04/27,82.89,True
2012/04/30,82.36,True
2012/05/01,83.34,True
2012/05/02,83.43,True
2012/05/03,82.49,True
2012/05/04,80.69,True
2012/05/07,80.22,True
2012/05/08,80.54,True
2012/05/09,79.05,True
2012/05/10,78.96,True
2012/05/11,79.07,True
2012/05/14,77.33,True
2012/05/15,76.62,True
2012/05/16,74.18,True
2012/05/17,72.97,True
2012/05/18,73.19,True
2012/05/21,75.31,True
2012/05/22,74.93,True
2012/05/23,75.95,True
2012/05/24,75.67,True
2012/05/25,75.14,True
2012/05/29,76.29,True
2012/05/30,75.81,True
2012/05/31,73.87,True
2012/06/01,71.52,True
2012/06/04,70.59,True
2012/06/05,71.65,True
2012/06/06,73.51,True
2012/06/07,73.51,True
2012/06/08,74.31,True
2012/06/11,72.54,True
2012/06/12,74.06,True
2012/06/13,73.27,True
2012/06/14,74.71,True
2012/06/15,75.35,True
2012/06/18,74.89,True
2012/06/19,77.03,True
2012/06/20,76.86,True
2012/06/21,75.06,True
2012/06/22,75.53,True
2012/06/25,74.41,True
2012/06/26,76.0,True
2012/06/27,78.08,True
2012/06/28,78.24,True
2012/06/29,80.87,True
2012/07/02,80.45,True
2012/07/03,81.72,True
2012/07/05,81.98,True
2012/07/06,80.7,True
2012/07/09,80.53,True
2012/07/10,78.6,True
2012/07/11,78.16,True
2012/07/12,78.26,True
2012/07/13,77.48,True
2012/07/16,76.78,True
2012/07/17,75.94,True
2012/07/18,75.66,True
2012/07/19,75.69,True
2012/07/20,75.88,True
2012/07/23,75.15,True
2012/07/24,73.87,True
2012/07/25,73.73,True
2012/07/26,75.03,True
2012/07/27,78.1,True
2012/07/30,77.32,True
2012/07/31,76.82,True
2012/08/01,77.53,True
2012/08/02,76.41,True
2012/08/03,77.51,True
2012/08/06,78.43,True
2012/08/07,78.97,True
2012/08/08,79.17,True
2012/08/09,78.68,True
2012/08/10,79.37,True
2012/08/13,79.76,True
2012/08/14,80.13,True
2012/08/15,75.1,True
2012/08/16,75.51,True
2012/08/17,76.94,True
2012/08/20,77.89,True
2012/08/21,77.65,True
2012/08/22,77.03,True
2012/08/23,76.12,True
2012/08/24,76.67,True
2012/08/27,75.27,True
2012/08/28,73.81,True
2012/08/29,74.32,True
2012/08/30,74.53,True
2012/08/31,75.11,True
2012/09/04,74.12,True
2012/09/05,74.82,True
2012/09/06,77.04,True
2012/09/07,78.22,True
2012/09/10,77.19,True
2012/09/11,78.25,True
2012/09/12,78.79,True
2012/09/13,80.37,True
2012/09/14,82.0,True
2012/09/17,81.02,True
2012/09/18,81.31,True
2012/09/19,81.98,True
2012/09/20,82.29,True
2012/09/21,82.7,True
2012/09/24,82.95,True
2012/09/25,81.65,True
2012/09/26,81.41,True
2012/09/27,82.1,True
2012/09/28,82.47,True
2012/10/01,82.6,True
2012/10/02,82.22,True
2012/10/03,81.91,True
2012/10/04,82.83,True
2012/10/05,82.78,True
2012/10/08,82.77,True
2012/10/09,81.73,True
2012/10/10,81.19,True
2012/10/11,82.37,True
2012/10/12,82.44,True
2012/10/15,83.23,True
2012/10/16,84.56,True
2012/10/17,85.81,True
2012/10/18,86.86,True
2012/10/19,84.99,True
2012/10/22,85.89,True
2012/10/23,85.03,True
2012/10/24,84.31,True
2012/10/25,84.69,True
2012/10/26,85.47,True
2012/10/31,85.44,True
2012/11/01,86.87,True
2012/11/02,85.6,True
2012/11/05,85.89,True
2012/11/06,86.1,True
2012/11/07,84.13,True
2012/11/08,83.59,True
2012/11/09,84.29,True
2012/11/12,85.68,True
2012/11/13,85.69,True
2012/11/14,84.74,True
2012/11/15,85.39,True
2012/11/16,85.25,True
2012/11/19,86.25,True
2012/11/20,85.99,True
2012/11/21,82.83,True
2012/11/23,83.97,True
2012/11/26,84.46,True
2012/11/27,84.4,True
2012/11/28,84.27,True
2012/11/29,84.86,True
2012/11/30,84.05,True
2012/12/03,83.22,True
2012/12/04,83.5,True
2012/12/05,84.24,True
2012/12/06,84.73,True
2012/12/07,85.43,True
2012/12/10,85.78,True
2012/12/11,85.43,True
2012/12/12,86.25,True
2012/12/13,85.55,True
2012/12/14,85.93,True
2012/12/17,86.37,True
2012/12/18,86.86,True
2012/12/19,86.09,True
2012/12/20,86.75,True
2012/12/21,86.19,True
2012/12/24,86.1,True
2012/12/26,86.52,True
2012/12/27,85.94,True
2012/12/28,84.55,True
2012/12/31,86.42,True
2013/01/01,86.72014623355584,False
2013/01/02,86.59256424948232,False
2013/01/03,86.64932844658138,False
2013/01/04,86.44907437313354,False
2013/01/07,86.64867011897951,False
2013/01/08,86.77191216491158,False
2013/01/09,86.6682651003968,False
