date,PRC,is_prediction
2012/01/03,24.21,True
2012/01/04,24.31,True
2012/01/05,24.52,True
2012/01/06,24.3,True
2012/01/09,24.4,True
2012/01/10,25.65,True
2012/01/11,25.86,True
2012/01/12,26.33,True
2012/01/13,26.51,True
2012/01/17,27.0,True
2012/01/18,26.92,True
2012/01/19,27.13,True
2012/01/20,27.39,True
2012/01/23,27.74,True
2012/01/24,27.83,True
2012/01/25,27.45,True
2012/01/26,27.96,True
2012/01/27,27.14,True
2012/01/30,27.29,True
2012/01/31,27.18,True
2012/02/01,27.72,True
2012/02/02,27.75,True
2012/02/03,28.22,True
2012/02/06,28.28,True
2012/02/07,28.94,True
2012/02/08,28.78,True
2012/02/09,28.89,True
2012/02/10,28.18,True
2012/02/13,28.68,True
2012/02/14,28.48,True
2012/02/15,29.01,True
2012/02/16,29.58,True
2012/02/17,29.54,True
2012/02/21,29.69,True
2012/02/22,29.72,True
2012/02/23,30.04,True
2012/02/24,30.19,True
2012/02/27,29.84,True
2012/02/28,30.37,True
2012/02/29,30.01,True
2012/03/01,30.67,True
2012/03/02,30.53,True
2012/03/05,30.49,True
2012/03/06,29.93,True
2012/03/07,30.39,True
2012/03/08,30.38,True
2012/03/09,30.61,True
2012/03/12,30.78,True
2012/03/13,32.02,True
2012/03/14,32.04,True
2012/03/15,32.02,True
2012/03/16,32.05,True
2012/03/19,32.48,True
2012/03/20,31.86,True
2012/03/21,31.64,True
2012/03/22,32.49,True
2012/03/23,33.83,True
2012/03/26,33.83,True
2012/03/27,33.81,True
2012/03/28,33.16,True
2012/03/29,32.95,True
2012/03/30,33.34,True
2012/04/02,33.7,True
2012/04/03,33.51,True
2012/04/04,33.0,True
2012/04/05,33.08,True
2012/04/09,32.65,True
2012/04/10,32.18,True
2012/04/11,32.68,True
2012/04/12,33.27,True
2012/04/13,32.89,True
2012/04/16,32.52,True
2012/04/17,32.83,True
2012/04/18,32.65,True
2012/04/19,32.77,True
2012/04/20,32.93,True
2012/04/23,32.77,True
2012/04/24,32.78,True
2012/04/25,33.54,True
2012/04/26,33.88,True
2012/04/27,34.09,True
2012/04/30,33.9,True
2012/05/01,34.39,True
2012/05/02,34.32,True
2012/05/03,33.76,True
2012/05/04,33.52,True
2012/05/07,33.5,True
2012/05/08,33.38,True
2012/05/09,33.38,True
2012/05/10,33.5,True
2012/05/11,34.12,True
2012/05/14,33.6,True
2012/05/15,33.4,True
2012/05/16,33.09,True
2012/05/17,31.49,True
2012/05/18,31.52,True
2012/05/21,32.51,True
2012/05/22,32.34,True
2012/05/23,32.35,True
2012/05/24,32.62,True
2012/05/25,32.73,True
2012/05/29,33.36,True
2012/05/30,33.27,True
2012/05/31,33.11,True
2012/06/01,30.72,True
2012/06/04,30.8,True
2012/06/05,31.05,True
2012/06/06,31.6,True
2012/06/07,32.26,True
2012/06/08,32.82,True
2012/06/11,32.4,True
2012/06/12,32.92,True
2012/06/13,32.12,True
2012/06/14,32.37,True
2012/06/15,32.99,True
2012/06/18,32.83,True
2012/06/19,33.57,True
2012/06/20,34.14,True
2012/06/21,33.45,True
2012/06/22,33.61,True
2012/06/25,33.6,True
2012/06/26,33.51,True
2012/06/27,33.67,True
2012/06/28,33.36,True
2012/06/29,34.58,True
2012/07/02,34.89,True
2012/07/03,35.45,True
2012/07/05,35.36,True
2012/07/06,35.31,True
2012/07/09,35.01,True
2012/07/10,34.24,True
2012/07/11,34.65,True
2012/07/12,34.54,True
2012/07/13,34.96,True
2012/07/16,35.15,True
2012/07/17,35.69,True
2012/07/18,35.17,True
2012/07/19,34.93,True
2012/07/20,34.91,True
2012/07/23,34.5,True
2012/07/24,34.24,True
2012/07/25,34.18,True
2012/07/26,35.53,True
2012/07/27,36.41,True
2012/07/30,36.48,True
2012/07/31,35.96,True
2012/08/01,35.7,True
2012/08/02,35.27,True
2012/08/03,36.49,True
2012/08/06,36.61,True
2012/08/07,36.88,True
2012/08/08,37.08,True
2012/08/09,36.53,True
2012/08/10,36.84,True
2012/08/13,36.79,True
2012/08/14,36.71,True
2012/08/15,36.85,True
2012/08/16,37.81,True
2012/08/17,37.77,True
2012/08/20,37.17,True
2012/08/21,37.0,True
2012/08/22,38.43,True
2012/08/23,38.1,True
2012/08/24,38.6,True
2012/08/27,38.92,True
2012/08/28,38.55,True
2012/08/29,38.5,True
2012/08/30,38.37,True
2012/08/31,38.73,True
2012/09/04,38.75,True
2012/09/05,37.91,True
2012/09/06,38.23,True
2012/09/07,38.47,True
2012/09/10,38.22,True
2012/09/11,38.34,True
2012/09/12,38.26,True
2012/09/13,39.26,True
2012/09/14,39.31,True
2012/09/17,38.73,True
2012/09/18,38.51,True
2012/09/19,38.51,True
2012/09/20,38.16,True
2012/09/21,38.62,True
2012/09/24,38.63,True
2012/09/25,37.64,True
2012/09/26,37.02,True
2012/09/27,39.71,True
2012/09/28,39.73,True
2012/10/01,39.92,True
2012/10/02,39.49,True
2012/10/03,39.7,True
2012/10/04,40.41,True
2012/10/05,40.39,True
2012/10/08,40.29,True
2012/10/09,39.77,True
2012/10/10,39.44,True
2012/10/11,39.59,True
2012/10/12,38.79,True
2012/10/15,39.39,True
2012/10/16,40.05,True
2012/10/17,40.8,True
2012/10/18,40.43,True
2012/10/19,39.62,True
2012/10/22,39.95,True
2012/10/23,39.6,True
2012/10/24,39.83,True
2012/10/25,39.85,True
2012/10/26,40.25,True
2012/10/31,41.0,True
2012/11/01,41.32,True
2012/11/02,40.98,True
2012/11/05,40.26,True
2012/11/06,41.42,True
2012/11/07,40.6,True
2012/11/08,40.76,True
2012/11/09,41.08,True
2012/11/12,41.16,True
2012/11/13,41.18,True
2012/11/14,39.98,True
2012/11/15,38.34,True
2012/11/16,39.46,True
2012/11/19,40.81,True
2012/11/20,41.29,True
2012/11/21,41.13,True
2012/11/23,41.46,True
2012/11/26,41.34,True
2012/11/27,40.59,True
2012/11/28,41.25,True
2012/11/29,41.54,True
2012/11/30,41.61,True
2012/12/03,41.23,True
2012/12/04,41.0,True
2012/12/05,40.87,True
2012/12/06,40.56,True
2012/12/07,41.15,True
2012/12/10,40.78,True
2012/12/11,40.37,True
2012/12/12,41.0,True
2012/12/13,40.38,True
2012/12/14,39.54,True
2012/12/17,40.18,True
2012/12/18,40.53,True
2012/12/19,39.77,True
2012/12/20,38.41,True
2012/12/21,38.5,True
2012/12/24,38.51,True
2012/12/26,38.34,True
2012/12/27,37.96,True
2012/12/28,37.99,True
2012/12/31,38.55,True
2013/01/01,38.6633754314233,False
2013/01/02,38.68544835792048,False
2013/01/03,38.71040505471064,False
2013/01/04,38.751555729598266,False
2013/01/07,38.754612735889204,False
2013/01/08,38.793809705719106,False
2013/01/09,38.87416993413602,False
2013/01/10,38.94967271772937,False
2013/01/11,39.01092592939898,False
2013/01/14,39.06789410053372,False
2013/01/15,39.12352504906107,False
2013/01/16,39.175817412821736,False
2013/01/17,39.22928522723906,False
2013/01/18,39.28626146862382,False
2013/01/21,39.3446381391429,False
2013/01/22,39.402502436260185,False
2013/01/23,39.4598423940038,False
2013/01/24,39.51682522571645,False
2013/01/25,39.57340743103615,False
2013/01/28,39.6298846362471,False
2013/01/29,39.68657637424577,False
2013/01/30,39.74347454213285,False
2013/01/31,39.80042885619994,False
2013/02/01,39.857369342813264,False
2013/02/04,39.914276476881795,False
2013/02/05,39.97113876528203,False
2013/02/06,40.02797221392309,False
2013/02/07,40.08480835194424,False
2013/02/08,40.14166128429623,False
2013/02/11,40.198526215701484,False
2013/02/12,40.25539558972702,False
2013/02/13,40.31226448538148,False
2013/02/14,40.36912981451948,False
2013/02/15,40.42599132266533,False
2013/02/18,40.482851251781135,False
2013/02/19,40.53971170290838,False
2013/02/20,40.596573295724625,False
2013/02/21,40.6534357363874,False
2013/02/22,40.710298523142804,False
2013/02/25,40.76716119506475,False
2013/02/26,40.824023518542276,False
2013/02/27,40.88088555496859,False
2013/02/28,40.93774748734298,False
2013/03/01,40.994609450726365,False
2013/03/04,41.051471487613334,False
2013/03/05,41.10833357411337,False
2013/03/06,41.16519566817377,False
2013/03/07,41.22205772847477,False
2013/03/08,41.278919745048086,False
2013/03/11,41.33578172713181,False
