date,PRC,is_prediction
2012/01/03,41.08,True
2012/01/04,41.36,True
2012/01/05,41.36,True
2012/01/06,40.87,True
2012/01/09,40.85,True
2012/01/10,40.5,True
2012/01/11,40.41,True
2012/01/12,40.37,True
2012/01/13,41.0,True
2012/01/17,41.38,True
2012/01/18,41.43,True
2012/01/19,41.22,True
2012/01/20,40.96,True
2012/01/23,41.29,True
2012/01/24,41.82,True
2012/01/25,42.7,True
2012/01/26,42.42,True
2012/01/27,42.09,True
2012/01/30,42.3,True
2012/01/31,42.61,True
2012/02/01,42.32,True
2012/02/02,42.3,True
2012/02/03,41.94,True
2012/02/06,42.02,True
2012/02/07,42.41,True
2012/02/08,42.27,True
2012/02/09,42.67,True
2012/02/10,42.89,True
2012/02/13,41.76,True
2012/02/14,42.49,True
2012/02/15,42.27,True
2012/02/16,41.94,True
2012/02/17,42.38,True
2012/02/21,42.13,True
2012/02/22,41.38,True
2012/02/23,42.14,True
2012/02/24,41.67,True
2012/02/27,41.64,True
2012/02/28,42.29,True
2012/02/29,42.06,True
2012/03/01,43.01,True
2012/03/02,42.77,True
2012/03/05,43.2,True
2012/03/06,42.71,True
2012/03/07,42.55,True
2012/03/08,43.38,True
2012/03/09,44.21,True
2012/03/12,43.61,True
2012/03/13,43.86,True
2012/03/14,44.46,True
2012/03/15,45.13,True
2012/03/16,44.69,True
2012/03/19,44.75,True
2012/03/20,45.25,True
2012/03/21,44.75,True
2012/03/22,46.14,True
2012/03/23,47.13,True
2012/03/26,47.26,True
2012/03/27,45.75,True
2012/03/28,46.0,True
2012/03/29,46.27,True
2012/03/30,46.2,True
2012/04/02,46.76,True
2012/04/03,47.0,True
2012/04/04,46.84,True
2012/04/05,47.22,True
2012/04/09,46.54,True
2012/04/10,45.5,True
2012/04/11,45.86,True
2012/04/12,46.63,True
2012/04/13,46.3,True
2012/04/16,45.89,True
2012/04/17,46.55,True
2012/04/18,46.88,True
2012/04/19,46.64,True
2012/04/20,46.93,True
2012/04/23,46.5,True
2012/04/24,45.69,True
2012/04/25,46.3,True
2012/04/26,47.41,True
2012/04/27,47.78,True
2012/04/30,47.46,True
2012/05/01,47.8,True
2012/05/02,48.19,True
2012/05/03,48.08,True
2012/05/04,47.56,True
2012/05/07,48.21,True
2012/05/08,47.1,True
2012/05/09,46.84,True
2012/05/10,46.95,True
2012/05/11,47.17,True
2012/05/14,46.82,True
2012/05/15,47.0,True
2012/05/16,47.61,True
2012/05/17,45.99,True
2012/05/18,45.65,True
2012/05/21,46.35,True
2012/05/22,45.9,True
2012/05/23,46.9,True
2012/05/24,47.65,True
2012/05/25,47.58,True
2012/05/29,48.06,True
2012/05/30,48.56,True
2012/05/31,48.91,True
2012/06/01,48.62,True
2012/06/04,48.49,True
2012/06/05,46.76,True
2012/06/06,48.7,True
2012/06/07,48.98,True
2012/06/08,50.29,True
2012/06/11,50.18,True
2012/06/12,50.33,True
2012/06/13,50.18,True
2012/06/14,50.55,True
2012/06/15,52.19,True
2012/06/18,51.63,True
2012/06/19,52.2,True
2012/06/20,52.6,True
2012/06/21,52.38,True
2012/06/22,52.6,True
2012/06/25,53.19,True
2012/06/26,54.95,True
2012/06/27,54.02,True
2012/06/28,53.73,True
2012/06/29,54.39,True
2012/07/02,54.73,True
2012/07/03,53.76,True
2012/07/05,54.29,True
2012/07/06,54.59,True
2012/07/09,54.86,True
2012/07/10,55.6,True
2012/07/11,54.92,True
2012/07/12,54.0,True
2012/07/13,54.53,True
2012/07/16,54.61,True
2012/07/17,55.06,True
2012/07/18,53.74,True
2012/07/19,52.29,True
2012/07/20,52.34,True
2012/07/23,52.32,True
2012/07/24,52.48,True
2012/07/25,51.29,True
2012/07/26,51.28,True
2012/07/27,50.99,True
2012/07/30,50.95,True
2012/07/31,51.01,True
2012/08/01,51.06,True
2012/08/02,51.47,True
2012/08/03,51.9,True
2012/08/06,51.54,True
2012/08/07,52.72,True
2012/08/08,52.1,True
2012/08/09,51.35,True
2012/08/10,51.77,True
2012/08/13,52.54,True
2012/08/14,52.31,True
2012/08/15,51.76,True
2012/08/16,51.22,True
2012/08/17,51.35,True
2012/08/20,50.79,True
2012/08/21,50.77,True
2012/08/22,50.54,True
2012/08/23,49.71,True
2012/08/24,49.66,True
2012/08/27,48.85,True
2012/08/28,48.82,True
2012/08/29,48.54,True
2012/08/30,50.07,True
2012/08/31,51.07,True
2012/09/04,50.66,True
2012/09/05,51.06,True
2012/09/06,50.64,True
2012/09/07,49.85,True
2012/09/10,48.97,True
2012/09/11,48.83,True
2012/09/12,49.72,True
2012/09/13,50.74,True
2012/09/14,50.16,True
2012/09/17,50.11,True
2012/09/18,50.25,True
2012/09/19,51.18,True
2012/09/20,52.45,True
2012/09/21,52.94,True
2012/09/24,52.51,True
2012/09/25,52.7,True
2012/09/26,52.86,True
2012/09/27,52.0,True
2012/09/28,51.54,True
2012/10/01,51.61,True
2012/10/02,51.55,True
2012/10/03,51.55,True
2012/10/04,52.07,True
2012/10/05,51.69,True
2012/10/08,51.05,True
2012/10/09,50.21,True
2012/10/10,50.46,True
2012/10/11,49.57,True
2012/10/12,49.25,True
2012/10/15,49.33,True
2012/10/16,50.29,True
2012/10/17,48.2402,True
2012/10/18,47.29,True
2012/10/19,47.17,True
2012/10/22,46.95,True
2012/10/23,47.11,True
2012/10/24,47.22,True
2012/10/25,47.3,True
2012/10/26,47.63,True
2012/10/31,48.62,True
2012/11/01,48.5,True
2012/11/02,47.77,True
2012/11/05,47.73,True
2012/11/06,48.0,True
2012/11/07,47.98,True
2012/11/08,48.12,True
2012/11/09,46.99,True
2012/11/12,46.71,True
2012/11/13,46.6,True
2012/11/14,47.18,True
2012/11/15,47.96,True
2012/11/16,48.7,True
2012/11/19,48.47,True
2012/11/20,47.59,True
2012/11/21,48.0,True
2012/11/23,49.41,True
2012/11/26,49.31,True
2012/11/27,49.51,True
2012/11/28,49.58,True
2012/11/29,49.86,True
2012/11/30,50.0,True
2012/12/03,48.76,True
2012/12/04,47.94,True
2012/12/05,46.6,True
2012/12/06,46.43,True
2012/12/07,46.8,True
2012/12/10,46.57,True
2012/12/11,42.94,True
2012/12/12,44.39,True
2012/12/13,44.95,True
2012/12/14,43.83,True
2012/12/17,44.13,True
2012/12/18,44.2,True
2012/12/19,43.28,True
2012/12/20,43.97,True
2012/12/21,43.63,True
2012/12/24,43.46,True
2012/12/26,42.95,True
2012/12/27,43.12,True
2012/12/28,42.7,True
2012/12/31,44.09,True
2013/01/01,44.053368361575174,False
2013/01/02,43.815924917646186,False
2013/01/03,43.77637159474294,False
2013/01/04,43.89174196485273,False
2013/01/07,43.86538144309642,False
2013/01/08,44.03063071229612,False
2013/01/09,44.058545720410116,False
2013/01/10,44.01313900727309,False
2013/01/11,44.01425962682413,False
2013/01/14,44.05393431001787,False
2013/01/15,44.06427768625104,False
2013/01/16,44.088845211414046,False
2013/01/17,44.10387447184131,False
2013/01/18,44.10608676778751,False
2013/01/21,44.11473332767649,False
2013/01/22,44.13135080451051,False
2013/01/23,44.14299147633039,False
2013/01/24,44.15437087679587,False
2013/01/25,44.16571575814055,False
2013/01/28,44.17550091167239,False
2013/01/29,44.18587860417523,False
2013/01/30,44.197612506818786,False
2013/01/31,44.20864556541873,False
2013/02/01,44.2193019571212,False
2013/02/04,44.23009514919794,False
2013/02/05,44.24078088907688,False
2013/02/06,44.25148343482126,False
2013/02/07,44.262375902299986,False
2013/02/08,44.27318743583942,False
2013/02/11,44.2839043865937,False
2013/02/12,44.294650888402266,False
2013/02/13,44.305405755961075,False
2013/02/14,44.31615359494302,False
2013/02/15,44.32692203275965,False
2013/02/18,44.33768336582346,False
2013/02/19,44.348427779392246,False
2013/02/20,44.35917618637633,False
2013/02/21,44.36992941560731,False
2013/02/22,44.380680670151676,False
2013/02/25,44.39143313681138,False
2013/02/26,44.40218525503104,False
2013/02/27,44.412934931009886,False
2013/02/28,44.42368489619645,False
2013/03/01,44.43443594568612,False
2013/03/04,44.4451866600066,False
2013/03/05,44.45593719312489,False
2013/03/06,44.466687707669124,False
2013/03/07,44.47743790890288,False
2013/03/08,44.48818807351113,False
2013/03/11,44.49893838332901,False
