date,PRC,is_prediction
2012/01/03,48.45,True
2012/01/04,48.36,True
2012/01/05,48.59,True
2012/01/06,48.33,True
2012/01/09,48.58,True
2012/01/10,49.74,True
2012/01/11,50.26,True
2012/01/12,50.8,True
2012/01/13,50.49,True
2012/01/17,50.83,True
2012/01/18,51.58,True
2012/01/19,51.52,True
2012/01/20,51.34,True
2012/01/23,51.9,True
2012/01/24,52.8,True
2012/01/25,53.03,True
2012/01/26,52.64,True
2012/01/27,52.26,True
2012/01/30,52.43,True
2012/01/31,52.51,True
2012/02/01,52.96,True
2012/02/02,52.65,True
2012/02/03,52.87,True
2012/02/06,52.82,True
2012/02/07,52.44,True
2012/02/08,52.04,True
2012/02/09,52.31,True
2012/02/10,51.53,True
2012/02/13,51.91,True
2012/02/14,51.73,True
2012/02/15,51.22,True
2012/02/16,52.39,True
2012/02/17,52.43,True
2012/02/21,53.22,True
2012/02/22,53.11,True
2012/02/23,53.48,True
2012/02/24,53.32,True
2012/02/27,53.19,True
2012/02/28,53.37,True
2012/02/29,52.83,True
2012/03/01,52.88,True
2012/03/02,53.35,True
2012/03/05,53.15,True
2012/03/06,52.2,True
2012/03/07,52.51,True
2012/03/08,53.01,True
2012/03/09,53.35,True
2012/03/12,53.65,True
2012/03/13,54.77,True
2012/03/14,54.48,True
2012/03/15,54.95,True
2012/03/16,55.0,True
2012/03/19,54.92,True
2012/03/20,54.58,True
2012/03/21,54.67,True
2012/03/22,54.45,True
2012/03/23,54.37,True
2012/03/26,55.0,True
2012/03/27,55.29,True
2012/03/28,54.77,True
2012/03/29,55.03,True
2012/03/30,56.0,True
2012/04/02,56.07,True
2012/04/03,55.84,True
2012/04/04,55.25,True
2012/04/05,55.12,True
2012/04/09,54.59,True
2012/04/10,52.83,True
2012/04/11,53.9,True
2012/04/12,54.49,True
2012/04/13,53.88,True
2012/04/16,54.04,True
2012/04/17,54.79,True
2012/04/18,54.69,True
2012/04/19,53.0,True
2012/04/20,53.14,True
2012/04/23,52.73,True
2012/04/24,53.2,True
2012/04/25,53.4,True
2012/04/26,54.11,True
2012/04/27,54.69,True
2012/04/30,54.22,True
2012/05/01,54.59,True
2012/05/02,54.46,True
2012/05/03,53.91,True
2012/05/04,53.6,True
2012/05/07,53.63,True
2012/05/08,54.17,True
2012/05/09,53.86,True
2012/05/10,53.73,True
2012/05/11,53.66,True
2012/05/14,53.07,True
2012/05/15,52.91,True
2012/05/16,52.44,True
2012/05/17,51.88,True
2012/05/18,51.57,True
2012/05/21,52.68,True
2012/05/22,52.11,True
2012/05/23,52.75,True
2012/05/24,52.83,True
2012/05/25,52.76,True
2012/05/29,53.46,True
2012/05/30,52.17,True
2012/05/31,51.97,True
2012/06/01,49.82,True
2012/06/04,50.03,True
2012/06/05,50.31,True
2012/06/06,51.32,True
2012/06/07,51.12,True
2012/06/08,51.51,True
2012/06/11,50.76,True
2012/06/12,51.48,True
2012/06/13,50.93,True
2012/06/14,51.41,True
2012/06/15,51.69,True
2012/06/18,51.89,True
2012/06/19,52.82,True
2012/06/20,52.58,True
2012/06/21,51.21,True
2012/06/22,51.52,True
2012/06/25,50.55,True
2012/06/26,50.32,True
2012/06/27,50.64,True
2012/06/28,49.93,True
2012/06/29,52.08,True
2012/07/02,52.09,True
2012/07/03,52.66,True
2012/07/05,52.35,True
2012/07/06,51.37,True
2012/07/09,51.05,True
2012/07/10,50.89,True
2012/07/11,50.3,True
2012/07/12,49.53,True
2012/07/13,50.69,True
2012/07/16,50.29,True
2012/07/17,50.83,True
2012/07/18,52.11,True
2012/07/19,51.12,True
2012/07/20,51.14,True
2012/07/23,50.8,True
2012/07/24,50.12,True
2012/07/25,51.09,True
2012/07/26,52.05,True
2012/07/27,52.84,True
2012/07/30,52.81,True
2012/07/31,52.81,True
2012/08/01,53.1,True
2012/08/02,52.83,True
2012/08/03,53.36,True
2012/08/06,52.96,True
2012/08/07,53.32,True
2012/08/08,53.28,True
2012/08/09,52.98,True
2012/08/10,53.48,True
2012/08/13,53.93,True
2012/08/14,53.58,True
2012/08/15,53.57,True
2012/08/16,53.39,True
2012/08/17,53.79,True
2012/08/20,53.77,True
2012/08/21,53.5,True
2012/08/22,53.7,True
2012/08/23,53.16,True
2012/08/24,53.3,True
2012/08/27,53.4,True
2012/08/28,53.37,True
2012/08/29,53.31,True
2012/08/30,52.99,True
2012/08/31,53.57,True
2012/09/04,52.89,True
2012/09/05,52.84,True
2012/09/06,54.47,True
2012/09/07,55.06,True
2012/09/10,54.09,True
2012/09/11,54.54,True
2012/09/12,54.79,True
2012/09/13,55.41,True
2012/09/14,54.76,True
2012/09/17,54.84,True
2012/09/18,55.66,True
2012/09/19,55.53,True
2012/09/20,55.02,True
2012/09/21,54.9,True
2012/09/24,54.74,True
2012/09/25,54.56,True
2012/09/26,55.03,True
2012/09/27,55.45,True
2012/09/28,55.15,True
2012/10/01,56.25,True
