date,PRC,is_prediction
2012/01/03,38.31,True
2012/01/04,38.85,True
2012/01/05,39.5,True
2012/01/06,39.91,True
2012/01/09,39.75,True
2012/01/10,39.63,True
2012/01/11,38.7,True
2012/01/12,38.73,True
2012/01/13,38.4,True
2012/01/17,38.48,True
2012/01/18,39.02,True
2012/01/19,39.44,True
2012/01/20,39.31,True
2012/01/23,39.25,True
2012/01/24,39.25,True
2012/01/25,39.56,True
2012/01/26,39.35,True
2012/01/27,39.25,True
2012/01/30,38.99,True
2012/01/31,38.9,True
2012/02/01,39.33,True
2012/02/02,38.91,True
2012/02/03,40.0,True
2012/02/06,40.46,True
2012/02/07,40.98,True
2012/02/08,41.27,True
2012/02/09,41.53,True
2012/02/10,41.45,True
2012/02/13,41.79,True
2012/02/14,41.6,True
2012/02/15,41.25,True
2012/02/16,41.54,True
2012/02/17,41.75,True
2012/02/21,41.57,True
2012/02/22,41.27,True
2012/02/23,41.48,True
2012/02/24,41.31,True
2012/02/27,41.64,True
2012/02/28,41.93,True
2012/02/29,41.99,True
2012/03/01,42.39,True
2012/03/02,42.36,True
2012/03/05,42.7,True
2012/03/06,42.0,True
2012/03/07,41.75,True
2012/03/08,42.02,True
2012/03/09,42.24,True
2012/03/12,42.34,True
2012/03/13,44.01,True
2012/03/14,43.48,True
2012/03/15,43.47,True
2012/03/16,43.19,True
2012/03/19,43.44,True
2012/03/20,43.24,True
2012/03/21,43.27,True
2012/03/22,43.29,True
2012/03/23,43.65,True
2012/03/26,44.38,True
2012/03/27,44.15,True
2012/03/28,43.51,True
2012/03/29,43.01,True
2012/03/30,43.78,True
2012/04/02,43.84,True
2012/04/03,43.29,True
2012/04/04,42.93,True
2012/04/05,43.08,True
2012/04/09,42.11,True
2012/04/10,40.99,True
2012/04/11,41.37,True
2012/04/12,42.15,True
2012/04/13,41.85,True
2012/04/16,41.66,True
2012/04/17,42.68,True
2012/04/18,42.49,True
2012/04/19,42.08,True
2012/04/20,42.35,True
2012/04/23,42.01,True
2012/04/24,42.18,True
2012/04/25,42.7,True
2012/04/26,43.36,True
2012/04/27,43.35,True
2012/04/30,43.11,True
2012/05/01,43.79,True
2012/05/02,43.54,True
2012/05/03,43.81,True
2012/05/04,42.93,True
2012/05/07,43.82,True
2012/05/08,44.3,True
2012/05/09,45.02,True
2012/05/10,45.28,True
2012/05/11,45.56,True
2012/05/14,45.17,True
2012/05/15,45.01,True
2012/05/16,45.08,True
2012/05/17,44.33,True
2012/05/18,43.81,True
2012/05/21,44.39,True
2012/05/22,44.39,True
2012/05/23,44.21,True
2012/05/24,44.44,True
2012/05/25,44.5,True
2012/05/29,45.48,True
2012/05/30,45.2,True
2012/05/31,45.71,True
2012/06/01,44.4,True
2012/06/04,44.41,True
2012/06/05,44.84,True
2012/06/06,45.53,True
2012/06/07,45.63,True
2012/06/08,46.24,True
2012/06/11,45.8,True
2012/06/12,46.38,True
2012/06/13,46.23,True
2012/06/14,47.18,True
2012/06/15,47.09,True
2012/06/18,47.1,True
2012/06/19,47.51,True
2012/06/20,47.73,True
2012/06/21,47.4,True
2012/06/22,47.47,True
2012/06/25,46.7,True
2012/06/26,47.3,True
2012/06/27,47.87,True
2012/06/28,47.82,True
2012/06/29,48.5,True
2012/07/02,48.72,True
2012/07/03,48.59,True
2012/07/05,48.11,True
2012/07/06,48.04,True
2012/07/09,48.0,True
2012/07/10,47.36,True
2012/07/11,47.27,True
2012/07/12,47.41,True
2012/07/13,48.19,True
2012/07/16,47.86,True
2012/07/17,49.35,True
2012/07/18,49.35,True
2012/07/19,48.99,True
2012/07/20,48.59,True
2012/07/23,47.98,True
2012/07/24,48.16,True
2012/07/25,48.3,True
2012/07/26,49.71,True
2012/07/27,49.935,True
2012/07/30,49.8,True
2012/07/31,49.14,True
2012/08/01,48.82,True
2012/08/02,48.98,True
2012/08/03,49.77,True
2012/08/06,49.65,True
2012/08/07,49.81,True
2012/08/08,50.49,True
2012/08/09,49.96,True
2012/08/10,49.65,True
2012/08/13,49.86,True
2012/08/14,49.69,True
2012/08/15,49.89,True
2012/08/16,50.25,True
2012/08/17,50.46,True
2012/08/20,50.45,True
2012/08/21,49.64,True
2012/08/22,49.66,True
2012/08/23,49.17,True
2012/08/24,49.56,True
2012/08/27,49.63,True
2012/08/28,49.63,True
2012/08/29,50.04,True
2012/08/30,49.42,True
2012/08/31,49.47,True
2012/09/04,49.66,True
2012/09/05,50.79,True
2012/09/06,51.86,True
2012/09/07,51.74,True
2012/09/10,51.52,True
2012/09/11,51.56,True
2012/09/12,51.7,True
2012/09/13,52.6,True
2012/09/14,52.35,True
2012/09/17,52.15,True
2012/09/18,51.9,True
2012/09/19,52.7,True
2012/09/20,52.66,True
2012/09/21,52.74,True
2012/09/24,52.92,True
2012/09/25,52.54,True
2012/09/26,51.94,True
2012/09/27,52.58,True
2012/09/28,52.28,True
2012/10/01,52.07,True
